Date,Open,High,Low,Close,Volume
27-May-14,1210,1213.69,1197,1205,701931
23-May-14,1213,1215,1206,1209,436833
22-May-14,1207,1219,1198,1212,685655
21-May-14,1176,1215,1176,1208,763916
20-May-14,1182,1186.54,1173,1178,397973
19-May-14,1165,1183,1160,1182.94,678293
16-May-14,1185,1186,1154,1165,1032559
15-May-14,1218,1228,1180,1185,805055
14-May-14,1210,1222,1209,1215,486199
13-May-14,1216,1218,1210,1214,620448
12-May-14,1213,1217,1202,1212,638370
9-May-14,1197,1216,1189.42,1212,1205248
8-May-14,1242,1242,1207,1208,1144768
7-May-14,1235,1244,1227,1236,930035
6-May-14,1236,1241.56,1229.75,1241,816107
2-May-14,1232,1247,1229,1242,696093
1-May-14,1237,1241,1229,1231,342508
30-Apr-14,1237,1240.25,1227,1235,1586444
29-Apr-14,1250,1259,1230,1241,1580284
28-Apr-14,1233,1235,1219,1232,973178
25-Apr-14,1235,1244.36,1231,1238.06,1254324
24-Apr-14,1214,1244.12,1207.75,1244.12,1246387
23-Apr-14,1199,1211,1192,1209,892138
22-Apr-14,1195,1212,1190,1205,553004
17-Apr-14,1186,1191,1172,1190,592131
16-Apr-14,1185,1193,1176,1181.12,1153749
15-Apr-14,1190,1193.15,1172,1175,1275950
14-Apr-14,1191,1198,1183,1186,972595
11-Apr-14,1204,1206,1185,1193,1165375
10-Apr-14,1214,1226,1204,1214,840421
9-Apr-14,1212,1214,1200,1207,943880
8-Apr-14,1211,1216,1195,1209,1739407
7-Apr-14,1218,1218.28,1200,1214,1237151
4-Apr-14,1210,1229,1205,1225,1317965
3-Apr-14,1205,1209,1198,1204,1641650
2-Apr-14,1174,1206,1173,1200,2421922
1-Apr-14,1131,1174,1131,1161.25,2398640
31-Mar-14,1113,1130,1113,1122,878848
28-Mar-14,1102,1107.36,1096,1106,1204100
27-Mar-14,1099,1102.63,1084,1100,1790342
26-Mar-14,1102,1121,1098,1105,1462557
25-Mar-14,1092,1104,1092,1097,1438074
24-Mar-14,1107,1109,1094,1094,1418743
21-Mar-14,1087,1113,1085,1104,9122145
20-Mar-14,1085,1091.52,1079,1086,1937963
19-Mar-14,1078,1085,1072,1081,1655844
18-Mar-14,1069,1087.9,1066,1078,1387488
17-Mar-14,1066,1077,1062,1073,1107771
14-Mar-14,1071,1075,1063,1066,906637
13-Mar-14,1084,1084,1071,1076,1161543
12-Mar-14,1090,1094,1080,1082,788441
11-Mar-14,1093,1099,1086,1098,1223677
10-Mar-14,1111,1114,1086,1089,1205247
7-Mar-14,1120,1126,1111,1112,1317193
6-Mar-14,1125,1134,1111,1124,1071035
5-Mar-14,1124,1132,1119,1121,1179321
4-Mar-14,1115,1129,1114,1124,1257695
3-Mar-14,1111,1122,1092,1107,1060181
28-Feb-14,1117,1123,1111,1123,1545529
27-Feb-14,1111,1122,1103,1116,1456731
26-Feb-14,1114,1117,1105,1112,913473
25-Feb-14,1119,1121,1107,1118,1920477
24-Feb-14,1118,1125,1115,1119,1051929
21-Feb-14,1122,1125,1114,1119,1281200
20-Feb-14,1102,1116,1102,1113,1507581
19-Feb-14,1108,1112,1098,1107,892484
18-Feb-14,1114,1114,1096,1106,1350996
17-Feb-14,1101,1111,1098,1109,1126556
14-Feb-14,1085,1101,1080,1093,2079249
13-Feb-14,1100,1169,1076,1080,2949325
12-Feb-14,1112,1124,1088,1092,1786384
11-Feb-14,1080,1113,1076,1112,2500341
