Date,Open,High,Low,Close,Volume
27-May-14,442.1,451.2,442,447.02,3368757
23-May-14,441.4,443,438,439.92,2949285
22-May-14,433,442.2,431.7,440.02,3453243
21-May-14,421,429.8,420.9,429.02,2391584
20-May-14,422,424.6,417.3,421.72,3066100
19-May-14,418.6,425.9,416,423.52,2256215
16-May-14,417.8,418.6,406.55,417.6,3188208
15-May-14,430.6,433.1,414.6,416.5,2831963
14-May-14,431.2,432.21,421.8,429.6,2312830
13-May-14,448.5,450.5,434.8,435.5,2703405
12-May-14,443.7,447,438.3,445.4,2076376
9-May-14,439.2,444.1,432.6,442.8,2656176
8-May-14,434.9,442.1,432,438.9,2109698
7-May-14,433.7,435.2,414.78,433,2413519
6-May-14,438.5,445.5,413.5,435.4,6280477
2-May-14,444.6,447.8,438.3,445.9,2509372
1-May-14,439.8,445.5,436.52,443.4,1296810
30-Apr-14,439.1,439.8,433.2,436.8,2083533
29-Apr-14,438.1,442,435.6,439.8,1558388
28-Apr-14,436.2,440.9,433.7,436.8,2024868
25-Apr-14,438.1,440.2,433.3,435,1417462
24-Apr-14,437.8,440.4,434.4,440,2335478
23-Apr-14,442.8,443.98,430.2,435.36,2045990
22-Apr-14,439,447.5,438.7,443.8,2525132
17-Apr-14,425,437.4,423.15,436.8,1825212
16-Apr-14,423.7,425.6,419.78,424.56,1972688
15-Apr-14,424.9,428.8,417.5,417.8,2044619
14-Apr-14,430,430.8,422.7,426,2460067
11-Apr-14,435.1,437.1,428.7,432,2254555
10-Apr-14,446.4,446.8,439.5,440.5,3376301
9-Apr-14,444.9,449.26,442.58,445.46,4476805
8-Apr-14,437,440.2,432.8,440.2,4539037
7-Apr-14,435.3,440.4,434,437.2,3256119
4-Apr-14,436.9,442.55,433.5,441.6,4997677
3-Apr-14,416,436.3,415.8,433.5,5772417
2-Apr-14,418.9,418.9,413.3,415,4118682
1-Apr-14,387.1,425.5,380,416.5,11657676
31-Mar-14,397.5,400,389.5,390.3,6200833
28-Mar-14,400.4,401.9,392,395.3,6808674
27-Mar-14,385.8,397.3,383.8,396.9,5138596
26-Mar-14,374.7,387.5,373.74,382.41,6886812
25-Mar-14,367.8,374.1,367.4,373.4,3409911
24-Mar-14,363.6,368.6,360.76,366,4892756
21-Mar-14,374.9,375.8,362.9,363.3,6507259
20-Mar-14,376.1,377,366.7,374,6123465
19-Mar-14,378,382.3,377.3,378.1,5983458
18-Mar-14,370.7,378.9,369.5,376.4,4293881
17-Mar-14,367.6,372.1,366.6,369.5,4181862
14-Mar-14,371.5,371.6,364,365,6791126
13-Mar-14,381.9,382.6,375,376.7,5202089
12-Mar-14,380.1,382.1,375.1,380,3162210
11-Mar-14,378.2,386.5,376.8,381.9,5047972
10-Mar-14,380.1,383.1,374.7,376,3891056
7-Mar-14,391.1,391.1,380.7,381.5,2903281
6-Mar-14,384.3,390.9,384.3,390.1,6712901
5-Mar-14,382.8,384.3,376.7,382,4229238
4-Mar-14,379,384.9,377.5,383.5,4232192
3-Mar-14,381.9,382.4,371.6,373.7,5848594
28-Feb-14,385.6,391.2,381.6,390.6,5722743
27-Feb-14,383.2,384.9,377.4,383.8,4635027
26-Feb-14,385.6,388.5,380.4,384.1,5022725
25-Feb-14,385,389.9,379.5,385.4,9487513
24-Feb-14,389.6,393.4,385.3,389.73,4424988
21-Feb-14,389.1,391.5,385,386.22,5319934
20-Feb-14,390,390,378.7,386,5016918
19-Feb-14,397.4,398.9,394.4,396,3810996
18-Feb-14,397.8,400,392.2,395,5668571
17-Feb-14,401.7,401.7,389.6,394,7379934
14-Feb-14,408.9,410.5,399.8,401.4,4625070
13-Feb-14,418.5,420.1,403.2,408.2,5894466
12-Feb-14,428.3,433,425.7,427.6,5571785
11-Feb-14,423.9,428.6,423.2,426,6902048
10-Feb-14,423.2,425.7,415.7,421.5,5924911
7-Feb-14,410.5,420.5,410.5,417.7,6573405
6-Feb-14,405,410.8,400,407.21,6073443
5-Feb-14,394.7,402.4,391.4,400.33,7086854
4-Feb-14,380,398.6,378,395,10762573
3-Feb-14,389.9,394.6,375,376.7,5779421
31-Jan-14,403.4,403.4,386.1,390.8,5527212
30-Jan-14,400.6,402.4,393.2,401.7,3763620
29-Jan-14,412,423.4,394.4,399.6,6902053
28-Jan-14,395.5,408.4,391.9,403.2,4604641
27-Jan-14,398,401,388.7,391.3,4195507
24-Jan-14,412.5,413,385.8,397.3,11894526
23-Jan-14,421.6,429.6,419.4,421.4,3969175
22-Jan-14,427,430.3,419,423.28,3438827
21-Jan-14,436.3,439.3,423.3,426,4661743
20-Jan-14,437.5,439.3,432.7,435.4,1942540
17-Jan-14,450.6,453.1,436.7,439,3840122
16-Jan-14,435,454.2,425.1,451,8707909
15-Jan-14,455.6,455.6,447,448.7,2773470
14-Jan-14,452.3,457.8,448.1,453.1,3007238
13-Jan-14,468,472,458.4,459.9,3249561
10-Jan-14,450.9,456.6,440.7,455.4,4574646
9-Jan-14,474,474.3,446,449.6,6159990
8-Jan-14,490.7,491.5,473,473.3,3857261
7-Jan-14,495.1,498.2,489.6,491,3407673
6-Jan-14,488,493.2,487,491,2396190
3-Jan-14,490,490,485,488.3,3033281
2-Jan-14,497.5,497.5,482.7,490,3488437
31-Dec-13,488.9,500,485.9,500,908645
30-Dec-13,487.2,488.1,482.6,485.2,1038898
27-Dec-13,488.9,490.3,483.8,485.6,1761031
24-Dec-13,475.2,485,475,484.1,367777
