Date,Open,High,Low,Close,Volume
27-May-14,1397,1401,1386,1392,383305
23-May-14,1404,1405,1372,1385,415312
22-May-14,1390,1404,1381,1400,403464
21-May-14,1396,1399,1383,1386,490316
20-May-14,1417,1420,1392,1395,435271
19-May-14,1422,1431,1407,1415,408251
16-May-14,1418,1434,1409,1419,578114
15-May-14,1434,1435,1407,1416,784349
14-May-14,1468,1468,1426,1428,447276
13-May-14,1456,1467,1443,1448,725026
12-May-14,1432,1452,1424,1449,362568
9-May-14,1423,1430,1420,1426,668403
8-May-14,1414,1425,1412,1421,464774
7-May-14,1396,1411,1393,1410,549271
6-May-14,1397,1400,1386,1396,277949
2-May-14,1403,1405,1388,1391,479382
1-May-14,1409,1417,1398,1403,268921
30-Apr-14,1394,1398,1386,1398,762675
29-Apr-14,1424,1443.46,1424,1442,556107
28-Apr-14,1429,1431,1416,1422,816787
25-Apr-14,1417,1432,1413,1425,668168
24-Apr-14,1415,1430,1408,1416,740356
23-Apr-14,1368,1409,1365,1408,1142370
22-Apr-14,1354,1374.29,1350.15,1363,840386
17-Apr-14,1360,1369,1343,1350,651616
16-Apr-14,1345,1352,1333,1342,781790
15-Apr-14,1355,1363,1331.23,1339,434239
14-Apr-14,1358,1360,1343,1354,598049
11-Apr-14,1375,1381,1355,1359,786537
10-Apr-14,1397,1406,1379,1382,500941
9-Apr-14,1382,1400,1351,1392,1067962
8-Apr-14,1402,1407.75,1367,1383,829167
7-Apr-14,1405,1409.7,1399.88,1403,321579
4-Apr-14,1410,1414,1408,1412,314885
3-Apr-14,1427,1428,1406,1406,650906
2-Apr-14,1432,1432,1413,1419,652449
1-Apr-14,1436,1442,1426,1432.21,503010
31-Mar-14,1440,1444.7,1424,1428,451314
28-Mar-14,1466,1470,1423,1434,520391
27-Mar-14,1463,1463,1432,1455,414055
26-Mar-14,1476,1491.75,1463,1465,478662
25-Mar-14,1458,1470,1455,1470,434189
24-Mar-14,1464,1471,1450,1455,336187
21-Mar-14,1465,1479,1462,1467,487173
20-Mar-14,1479,1479,1441,1459,701195
19-Mar-14,1500,1502,1474,1486,431359
18-Mar-14,1494,1505,1482,1495,643846
17-Mar-14,1488,1504,1453,1499,316456
14-Mar-14,1496,1502,1475,1485,634755
13-Mar-14,1515,1515,1502,1505,570647
12-Mar-14,1514,1521,1510,1515,908547
11-Mar-14,1499,1520,1495,1518,1600369
10-Mar-14,1495,1507,1494,1500,649237
7-Mar-14,1523,1525,1488,1496,665938
6-Mar-14,1531,1534,1511,1521,798055
5-Mar-14,1431,1550,1428,1526,1803986
4-Mar-14,1426,1440,1408,1419,623178
3-Mar-14,1416,1422,1401,1417,454114
28-Feb-14,1434,1440,1424,1435,525746
27-Feb-14,1446,1447,1416,1433,511849
26-Feb-14,1490,1490,1445,1448,1064618
25-Feb-14,1475,1493,1470,1491,1061191
24-Feb-14,1471,1488,1460,1470.13,561816
21-Feb-14,1476,1482,1455,1469,887676
20-Feb-14,1465,1479,1462,1470,364065
19-Feb-14,1463,1484,1463,1473,425940
18-Feb-14,1460,1466,1451,1466,428924
17-Feb-14,1443,1458,1435,1455,284240
14-Feb-14,1436,1445,1428,1442,340824
13-Feb-14,1446,1446,1428,1437,360731
12-Feb-14,1443,1451,1429,1448,445250
11-Feb-14,1426,1447,1421,1438,534952
10-Feb-14,1417,1425,1386,1419,643223
7-Feb-14,1436,1438,1407,1418,837776
6-Feb-14,1414,1434,1401,1434,527346
5-Feb-14,1411,1427,1404,1409,467758
4-Feb-14,1428,1431,1396,1408,859545
3-Feb-14,1440,1460,1434,1436,453031
31-Jan-14,1442,1446,1417,1445,542862
30-Jan-14,1447,1448,1431,1444,481941
29-Jan-14,1470,1478,1440,1447,699703
28-Jan-14,1429,1465,1426,1462,655506
27-Jan-14,1427,1440,1409,1423,619858
24-Jan-14,1420,1439,1410,1427,865106
23-Jan-14,1448,1448,1404,1420,1355458
22-Jan-14,1435,1470,1435,1460,980597
21-Jan-14,1400,1421,1397,1415,459517
20-Jan-14,1408,1409,1395,1401,442984
17-Jan-14,1350,1423,1348,1407,1440176
16-Jan-14,1339,1339,1317,1326,578234
15-Jan-14,1340,1348,1334,1337,287388
14-Jan-14,1327,1340,1317,1337,329067
13-Jan-14,1341,1344,1327,1335,407723
10-Jan-14,1331,1340,1329,1336,434033
9-Jan-14,1338,1339,1316,1324,398340
8-Jan-14,1331,1343,1324,1338,481471
7-Jan-14,1322,1344,1318,1332,465014
6-Jan-14,1310,1327,1303,1321,294526
3-Jan-14,1305,1312,1295,1306,288693
2-Jan-14,1315,1315,1290,1305,424961
31-Dec-13,1307,1312,1301,1310,82174
30-Dec-13,1306,1308,1292,1300,245589
27-Dec-13,1306,1309,1299,1302,173555
24-Dec-13,1296,1311,1296,1304,65843
23-Dec-13,1282,1291,1277,1287,293337
20-Dec-13,1277,1289,1265,1278,1039817
19-Dec-13,1244,1270,1244,1267,533318
18-Dec-13,1237,1242,1229,1238,302372
17-Dec-13,1250,1254,1214,1233,794676
16-Dec-13,1234,1261,1233,1261,369023
13-Dec-13,1224,1242,1224,1232,266826
12-Dec-13,1226,1231,1213,1226,323825
11-Dec-13,1226,1231,1217,1227,300802
10-Dec-13,1215,1228,1213,1223,349846
9-Dec-13,1213,1221,1209,1215,415916
6-Dec-13,1209,1217,1196,1206,403560
5-Dec-13,1199,1212,1194,1210,452509
4-Dec-13,1197,1201,1187,1196,464388
3-Dec-13,1172,1207,1172,1195,558107
2-Dec-13,1245,1249,1213,1215,419056
29-Nov-13,1250,1257,1241,1243,336179
28-Nov-13,1247,1249,1240,1243,157279
27-Nov-13,1235,1251,1235,1245,271960
26-Nov-13,1248,1248,1229,1235,563730
25-Nov-13,1257,1258,1244,1249,204214
22-Nov-13,1252,1264,1251,1253,226642
21-Nov-13,1249,1252,1236,1252,406062
20-Nov-13,1265,1265,1244,1246,398449
19-Nov-13,1268,1269,1252.5,1265,351158
18-Nov-13,1282,1285,1266,1273,292165
15-Nov-13,1284,1287,1276,1284,267526
14-Nov-13,1266,1288,1266,1285,525762
13-Nov-13,1258,1265,1251,1262,404633
12-Nov-13,1276,1276,1255,1262,373993
11-Nov-13,1274,1278,1268,1273,214966
8-Nov-13,1286,1286,1265,1277,401988
7-Nov-13,1268,1300,1266,1288,505062
6-Nov-13,1272,1273,1266,1271,288500
5-Nov-13,1276,1277,1252,1268,244768
4-Nov-13,1275,1287,1274,1276,211009
1-Nov-13,1282,1286,1272,1280,328505
31-Oct-13,1271,1281,1265,1279,533314
30-Oct-13,1271,1277,1261,1269,394553
29-Oct-13,1242,1278,1242,1270,599405
28-Oct-13,1266,1279,1238,1240,339197
25-Oct-13,1240,1246,1233,1240,265915
24-Oct-13,1238,1247,1237,1243,267511
23-Oct-13,1232,1242,0,1238,338012
22-Oct-13,1223,1237,1219,1231,438716
21-Oct-13,1210,1221,1208,1218,740416
18-Oct-13,1215,1215,1197,1208,661866
17-Oct-13,1211,1214,1204,1209,518469
16-Oct-13,1225,1228,1200,1215,1311206
15-Oct-13,1226,1233,1217,1223,301212
14-Oct-13,1225,1233,1219,1229,245452
11-Oct-13,1220,1238,1218,1233.66,355941
10-Oct-13,1198,1220,1193,1215,276881
9-Oct-13,1193,1207,1188,1195,367515
8-Oct-13,1210,1213,1197,1197,353812
7-Oct-13,1220,1221,1208,1211,142420
4-Oct-13,1218,1227,1218,1222,295422
3-Oct-13,1220,1229,1217,1220,215542
2-Oct-13,1225,1229,1216,1223,387207
1-Oct-13,1227,1235,1218,1225,521692
30-Sep-13,1239,1249,1227,1233,305890
27-Sep-13,1248,1255,1244,1247,285600
26-Sep-13,1235,1263,1235,1248,384410
25-Sep-13,1214,1233,1204,1229,335607
24-Sep-13,1213,1224,1209,1213,396733
20-Sep-13,1215,1229,1215,1224,547311
19-Sep-13,1215,1230,1214,1218,526916
18-Sep-13,1210,1215,1207,1210,418200
17-Sep-13,1215,1225,1211,1212,483353
16-Sep-13,1230,1244,1210,1214,420610
13-Sep-13,1220,1233,1220,1223,212851
12-Sep-13,1225,1235,1220,1223,353928
11-Sep-13,1217,1232,1217,1227,574629
10-Sep-13,1260,1292,1260,1280,425700
9-Sep-13,1260,1266,1254,1259,442138
6-Sep-13,1253,1267,1251,1258,771764
5-Sep-13,1267,1269,1249,1260,474474
4-Sep-13,1264,1268,1258,1264,618041
3-Sep-13,1267,1278,1262,1265,390574
2-Sep-13,1269,1274,1264,1266,350592
30-Aug-13,1274,1276,1260,1261,582648
29-Aug-13,1315,1328,1232,1270,833660
28-Aug-13,1297,1301,1283,1290,399775
27-Aug-13,1310,1315,1295,1296,521827
23-Aug-13,1291,1302,1286,1295,332993
22-Aug-13,1294,1303,1288,1293,354169
21-Aug-13,1302,1305,1291,1294,388974
20-Aug-13,1283,1297,1280,1296,404858
19-Aug-13,1300,1300,1281,1290,286310
16-Aug-13,1280,1297,1270,1293,675333
15-Aug-13,1270,1284,1267,1279,715278
14-Aug-13,1260,1274,1258,1267,358218
13-Aug-13,1237,1257,1237,1257,568295
12-Aug-13,1253,1258,1233,1237,387798
9-Aug-13,1250,1262,1243,1251,426782
8-Aug-13,1270,1285,1253,1253,506134
7-Aug-13,1255,1290,1241,1265,674665
6-Aug-13,1327,1338,1259,1268,755917
5-Aug-13,1367,1367,1328,1330,529227
2-Aug-13,1384,1384,1342,1364,525088
1-Aug-13,1406,1412,1378,1381,597048
31-Jul-13,1408,1425,1400,1403,405059
30-Jul-13,1402,1417,1388,1416,287752
29-Jul-13,1398,1411,1391,1402,274750
26-Jul-13,1405,1405,1384,1400,277067
25-Jul-13,1390,1401,1386,1400,256401
24-Jul-13,1387,1396,1384,1392,302725
23-Jul-13,1379,1397,1371,1380,258771
22-Jul-13,1383,1386,1372,1380,127864
19-Jul-13,1374,1387,1369,1386,409287
18-Jul-13,1381,1389,1372,1384,277936
17-Jul-13,1383,1388,1361,1375,263937
16-Jul-13,1390,1397,1382,1390,376652
15-Jul-13,1373,1391,1368,1391,309733
12-Jul-13,1348,1373,1348,1369,203606
11-Jul-13,1357,1364,1338,1347,287894
10-Jul-13,1353,1366,1336,1350,354973
9-Jul-13,1362,1362,1343,1352,220282
8-Jul-13,1340,1360,1330,1350,347333
5-Jul-13,1353,1360,1340,1340,212163
4-Jul-13,1330,1358,1321,1347,242180
3-Jul-13,1307,1327,1280,1325,276375
2-Jul-13,1315,1326,1307,1325,314222
1-Jul-13,1329,1330,1304,1314,349810
28-Jun-13,1316,1346,1308,1327,574493
27-Jun-13,1310,1326,1299,1317,273342
26-Jun-13,1302,1318,1290,1308,254400
25-Jun-13,1302,1305,1293,1301,194980
24-Jun-13,1309,1319,1285,1293,234871
21-Jun-13,1293,1332,1292,1310,860827
20-Jun-13,1293,1305,1284.52,1293,335300
19-Jun-13,1322,1323,1303,1318,211786
18-Jun-13,1304,1334,1302,1325,267533
17-Jun-13,1307,1314,1302,1306,224252
14-Jun-13,1321,1322,1301,1306,236516
13-Jun-13,1285,1320,1279.58,1316,273567
12-Jun-13,1301,1317,1299,1306,273576
11-Jun-13,1306,1306.57,1289,1304,236559
10-Jun-13,1312,1319,1299,1308,260719
7-Jun-13,1287,1306,1278,1304,316185
6-Jun-13,1301,1306,1279,1280,317196
5-Jun-13,1318,1327,1291,1297,348133
4-Jun-13,1325,1331,1314,1320,265862
3-Jun-13,1332,1336.05,1315,1324,285930
31-May-13,1315,1338.39,1298,1338,1290506
30-May-13,1294,1317,1294,1317,267032
29-May-13,1315,1318,1291,1297,252385
28-May-13,1300,1316.05,1300,1312,339035
24-May-13,1291,1298,1283,1298,558028
23-May-13,1275,1291,1272,1286,421303
22-May-13,1268,1296,1267,1292,392801
21-May-13,1275,1278,1257,1271,282985
20-May-13,1265,1276,1250,1275,207250
17-May-13,1260,1264.75,1249,1261,228469
16-May-13,1283,1286,1251,1262,381269
15-May-13,1271,1290,1271,1283,196660
14-May-13,1263,1275,1261,1275,213350
13-May-13,1260,1266,1255,1263,259439
10-May-13,1258,1273,1255,1262,215683
9-May-13,1251,1272,1251,1261,267092
8-May-13,1243,1257.08,1243,1253,272375
7-May-13,1234,1274,1230,1242,450780
3-May-13,1233,1262,1233,1259,426913
