Date,Open,High,Low,Close,Volume
27-May-14,1811,1841,1811,1828,675480
23-May-14,1812,1812,1792,1805,304890
22-May-14,1801.84,1808.14,1790.39,1806.04,304261
21-May-14,1802,1813,1789,1804,527420
20-May-14,1836.51,1841.76,1801.74,1801.74,460026
19-May-14,1786.08,1832.3,1785.03,1831.16,472845
16-May-14,1793.43,1795.53,1761.91,1784.94,508813
15-May-14,1784,1789,1769,1789,506024
14-May-14,1769,1822,1761,1788,744540
13-May-14,1755,1769,1751,1766,430500
12-May-14,1727,1748,1726,1745,341259
9-May-14,1735,1739,1714,1725,598743
8-May-14,1725,1738,1720,1734,294468
7-May-14,1710.43,1729.83,1704.13,1727.24,387975
6-May-14,1723,1738,1705,1709,489833
2-May-14,1731,1741,1722,1728,742468
1-May-14,1678,1728,1667,1728,498779
30-Apr-14,1653,1659,1638,1657,471517
29-Apr-14,1668,1687,1648,1654,843866
28-Apr-14,1642.14,1662.1,1638.61,1656.85,526820
25-Apr-14,1628,1651,1543,1646,597592
24-Apr-14,1621,1643,1620,1638,462802
23-Apr-14,1605,1618,1597,1617,549095
22-Apr-14,1594,1623,1594,1621,556925
17-Apr-14,1579,1593,1557,1593,758048
16-Apr-14,1619,1622,1577,1578,649133
15-Apr-14,1655,1688,1603,1605,1404009
14-Apr-14,1561,1588,1551,1586,832125
11-Apr-14,1601.16,1601.16,1556.1,1569.65,774492
10-Apr-14,1605.37,1618.79,1595.91,1610.62,611791
9-Apr-14,1591,1606,1591,1598,479931
8-Apr-14,1589.61,1593.81,1565.39,1587.51,468891
7-Apr-14,1597,1604,1586,1590,419444
4-Apr-14,1599,1610,1596,1610,810985
3-Apr-14,1592,1611,1589,1593,817592
2-Apr-14,1583.3,1592.76,1578.63,1587.51,582172
1-Apr-14,1581.2,1588.56,1577,1581.2,423310
31-Mar-14,1584,1597,1574,1577,482224
28-Mar-14,1582,1591,1564,1580,614221
27-Mar-14,1589.61,1589.9,1559.14,1574.9,628238
26-Mar-14,1580,1604,1571,1596,795925
25-Mar-14,1570,1586,1569,1580,563107
24-Mar-14,1578.05,1588.56,1557.55,1567.54,919609
21-Mar-14,1589,1596,1571,1581,1367818
20-Mar-14,1588,1596,1581,1588,513174
19-Mar-14,1609,1609,1594,1596,597547
18-Mar-14,1605,1613,1596,1607,404034
17-Mar-14,1585,1616,1585,1611,506083
14-Mar-14,1573,1592,1568,1588,537297
13-Mar-14,1602,1606,1579,1581,652357
12-Mar-14,1610,1610,1577,1586,1158478
11-Mar-14,1634,1636,1615,1618,721862
10-Mar-14,1680,1690,1633,1635,646994
7-Mar-14,1708,1710,1674,1681,834748
6-Mar-14,1689,1825,1689,1710,2023960
5-Mar-14,1646,1657,1639,1653,761873
4-Mar-14,1631,1654,1627,1649,798787
3-Mar-14,1620,1640,1593,1624,1270360
