Date,Open,High,Low,Close,Volume
27-May-14,1588.5,1588.5,1554.5,1556.92,2268698
23-May-14,1542.5,1576.5,1527,1573.42,2010637
22-May-14,1558.5,1570.64,1536,1538,2265728
21-May-14,1529,1547.5,1508.5,1546.58,2869295
20-May-14,1568,1570,1529,1533,3294360
19-May-14,1560,1573.01,1544,1565.58,3541623
16-May-14,1600,1602.5,1540.5,1561.58,4729078
15-May-14,1625,1645,1598,1608,4582076
14-May-14,1645,1649,1623.5,1641.58,2505918
13-May-14,1651,1678.5,1627,1637.5,3915295
12-May-14,1627.5,1648,1619.5,1641.58,4840274
9-May-14,1590,1613.06,1578,1604,3199321
8-May-14,1576,1594.5,1574,1589,3131444
7-May-14,1537.5,1567.58,1532,1567.58,2591694
6-May-14,1564.5,1571.5,1529,1542.58,3053114
2-May-14,1562,1580,1550.5,1565,2633924
1-May-14,1583.5,1589.5,1548,1564.5,1032288
30-Apr-14,1535,1582.5,1525.5,1582.16,4998047
29-Apr-14,1516.5,1542.65,1505.5,1526.99,3101014
28-Apr-14,1533,1533,1510,1519.08,1845978
25-Apr-14,1552,1562.5,1519,1533.08,3284849
24-Apr-14,1580,1605.5,1555.5,1566.5,3920628
23-Apr-14,1539,1551,1523.5,1547,2742173
22-Apr-14,1545,1548.5,1520.5,1538.65,3066800
17-Apr-14,1545,1550,1512.5,1547,2919065
16-Apr-14,1530.5,1542,1506,1538.5,3122956
15-Apr-14,1542,1543,1504.5,1514,4291537
14-Apr-14,1531,1543.65,1506,1543.65,4612045
11-Apr-14,1530,1554,1516.5,1537,3200211
10-Apr-14,1567.5,1592.5,1541.5,1548.5,3420521
9-Apr-14,1578,1594.5,1555.5,1557.84,4409615
8-Apr-14,1563.5,1585,1539.5,1577,5164900
7-Apr-14,1547.5,1583.5,1537.94,1554,3707203
4-Apr-14,1517,1573,1517,1565,3003781
3-Apr-14,1537.5,1547.5,1505,1516.5,3825966
2-Apr-14,1529,1560,1529,1543.85,3118108
1-Apr-14,1541,1552.5,1518,1529.29,3112123
31-Mar-14,1517,1546,1515,1526.42,4383094
28-Mar-14,1499.5,1533.5,1496.5,1509,3782091
27-Mar-14,1478.5,1487,1459,1487,2863309
26-Mar-14,1507.5,1522.5,1481.5,1488.85,3881790
25-Mar-14,1453,1498.5,1453,1498,4135116
24-Mar-14,1440,1463,1433,1440,3378194
21-Mar-14,1413,1454,1406.5,1439.57,5621821
20-Mar-14,1382.5,1417,1374.5,1411.5,4532425
19-Mar-14,1439.5,1449.5,1388.5,1388.5,4398788
18-Mar-14,1459,1483,1438.5,1467.5,3614422
17-Mar-14,1428,1479,1427,1461.5,4487094
14-Mar-14,1391,1434,1387,1423,4970631
13-Mar-14,1432,1442,1410.5,1411.36,4314296
12-Mar-14,1422.5,1430.5,1409,1419.5,5106871
11-Mar-14,1437.5,1466.5,1426,1435.36,4665820
10-Mar-14,1450,1452,1415,1433,5252773
7-Mar-14,1557.5,1558.5,1455.5,1462.5,8228219
6-Mar-14,1531.5,1574.5,1530,1565,3965333
5-Mar-14,1500,1526,1492,1520,3468574
4-Mar-14,1492,1515,1479,1502.5,3387834
3-Mar-14,1490.5,1509.5,1478.5,1478.35,5391642
28-Feb-14,1508.5,1531,1498,1531,5712318
27-Feb-14,1495,1515,1475,1511.5,3676415
26-Feb-14,1495.5,1513,1484,1494,3817486
25-Feb-14,1525,1526,1480,1500.5,7351478
24-Feb-14,1553,1553,1523.5,1533.65,4451463
21-Feb-14,1560,1570,1530.5,1560.5,6516604
20-Feb-14,1550,1560,1526,1554,7323093
19-Feb-14,1587,1589.5,1563,1589,5235843
18-Feb-14,1553,1593,1524,1587,6890154
17-Feb-14,1531,1554.5,1518.5,1552,5311920
14-Feb-14,1545.5,1564,1509.5,1519.5,7071297
13-Feb-14,1546.5,1559.5,1499,1533.5,8253352
12-Feb-14,1539.5,1565,1535,1541,5838171
11-Feb-14,1506.5,1531.5,1501.5,1526,4533924
10-Feb-14,1487.5,1506.5,1478,1501,3865721
7-Feb-14,1464,1482.5,1451,1480,3880497
6-Feb-14,1465,1468.5,1433,1459.5,4757259
5-Feb-14,1435,1463.5,1417,1452,4881927
4-Feb-14,1390.5,1457,1390.5,1436.5,6083254
3-Feb-14,1440,1453.5,1395.5,1397,3665545
31-Jan-14,1428,1437,1403.5,1436,5982178
30-Jan-14,1410,1443,1392.5,1435.5,9642624
29-Jan-14,1400,1457,1362.5,1420.5,12269421
28-Jan-14,1326,1364,1323.5,1343.5,5359325
27-Jan-14,1333.5,1353.5,1317,1319.5,4080077
24-Jan-14,1381,1389.5,1333,1339.87,5959119
23-Jan-14,1348.5,1407.5,1347,1380.5,4198246
22-Jan-14,1365.5,1388,1357,1366.5,3257111
