Date,Open,High,Low,Close,Volume
27-May-14,804,807,795,795,1325073
23-May-14,788,800,783,799,1138740
22-May-14,776,790,775,786,1519845
21-May-14,781,781,768,771,2169661
20-May-14,799.5,802,783,783.5,1061576
19-May-14,793,801.5,792.5,800,1604840
16-May-14,799,800.5,779,790.5,1886715
15-May-14,803,812.88,788.31,800.04,2424691
14-May-14,782.5,798.5,772.94,795.04,1871905
13-May-14,802.5,810.5,776.5,779.04,2323520
12-May-14,778.5,797,777,796.04,1782969
9-May-14,776.5,780.5,760,769,2618987
8-May-14,776,781.67,775.5,780,1297927
7-May-14,780,782.5,768.5,780.04,1697151
6-May-14,799.5,808.5,781.82,783.54,2159630
2-May-14,775.5,790.5,771,790.5,1827621
1-May-14,791,791,760.5,776,911856
30-Apr-14,787,803.42,777.5,787,1666415
29-Apr-14,784.5,790.5,776,781,2217833
28-Apr-14,789,797.2,783.15,787.5,1370465
25-Apr-14,809.5,810,789,790,2375949
24-Apr-14,803,812,792.5,800,2181592
23-Apr-14,799,802.21,791.5,796.5,1585365
22-Apr-14,827.5,847,822.5,844.58,1371678
17-Apr-14,847,847,827,828.5,2551450
16-Apr-14,842.5,851.5,830,846,1510390
15-Apr-14,839,847,828,832.42,2392182
14-Apr-14,823,843.5,823,842,1944682
11-Apr-14,821.5,833,809,825,2935751
10-Apr-14,852,861,824,829.5,2820483
9-Apr-14,865,873.5,847.5,848,1804994
8-Apr-14,856,874,851.5,870.5,1986821
7-Apr-14,857,861.5,846.5,851.5,1259993
4-Apr-14,848,868.5,846,863,1254619
3-Apr-14,853.5,860,841,845.5,1946986
2-Apr-14,850,871.52,848.5,856.5,2649883
1-Apr-14,843,846.5,834,839.5,1517725
31-Mar-14,844.5,854.45,832,835.5,1390279
28-Mar-14,835.5,845,827.5,841.5,2063167
27-Mar-14,829,831,817,827.5,2127413
26-Mar-14,823,842.5,822.5,834,3279829
25-Mar-14,800,818.5,799,818.5,4095010
24-Mar-14,806,813,795.5,797,2428667
21-Mar-14,797,810.9,794.49,806.5,2910983
20-Mar-14,779,796,773.5,794,2752438
19-Mar-14,799,813,773.5,785,5258318
18-Mar-14,885,900,816,828.5,3800728
17-Mar-14,829.5,851.5,828,847.5,1811657
14-Mar-14,827.5,836,816.5,829.5,2294115
13-Mar-14,854,858.5,835,835.5,2021366
12-Mar-14,834,862.5,826,853.5,3777456
11-Mar-14,861,873,834.5,839.92,2893991
10-Mar-14,850,868.5,843.5,859,3330097
7-Mar-14,914,915,874.5,877,2703815
6-Mar-14,914.5,920,911.5,915,1927026
5-Mar-14,903,917,903,911.5,1500939
4-Mar-14,891,906,886.5,902.5,1873012
3-Mar-14,885.5,907.5,879.5,882.41,4161649
28-Feb-14,921,921.5,897.5,900.5,2016451
27-Feb-14,913.5,926.5,909,921.5,2442671
26-Feb-14,912.5,923.5,908,911.5,1390950
25-Feb-14,932.5,933.5,904.5,914.5,3167943
24-Feb-14,950,950,928,933.09,2056969
21-Feb-14,953,957.5,929.5,955,1736427
20-Feb-14,945.5,950.5,930.5,950.5,2425542
19-Feb-14,949.5,959.5,942.5,959,1498183
18-Feb-14,946,951,938,950,2080978
17-Feb-14,939,949.5,931,949,1113644
14-Feb-14,909.5,940.5,907.5,938.5,2419368
13-Feb-14,930,930.5,895,905.5,3068643
12-Feb-14,906.5,932,900.5,927.5,3635942
11-Feb-14,900,910,888.5,903,3165183
10-Feb-14,895,906.5,891.5,897.5,2350096
7-Feb-14,882.5,896,871.5,894,3258348
6-Feb-14,867,882.5,864,875.5,1623767
5-Feb-14,858.5,870,850,864,1938536
4-Feb-14,840,863.5,838.5,860.5,2635120
3-Feb-14,848,864.5,843.5,848,2093321
31-Jan-14,877,882,843.5,850.5,2586932
30-Jan-14,880,882.5,861.5,873.5,2224215
29-Jan-14,880,887.5,853,872.5,6251450
28-Jan-14,805.5,825.5,805.5,822.5,1758894
27-Jan-14,802.5,815,796.5,801.5,1538236
24-Jan-14,808.5,816.5,799.5,806.92,1800359
23-Jan-14,814,831,805,807,1605054
22-Jan-14,825.5,837,818.5,819.5,1193862
21-Jan-14,847,854,816,819.5,2076669
20-Jan-14,840,847.5,832.5,845,1389483
17-Jan-14,835,848.5,828.5,846.5,2450399
16-Jan-14,795.5,836,795.5,832.5,2640878
15-Jan-14,790,791.5,780,790,1723825
14-Jan-14,778,792.5,776,789,1056703
13-Jan-14,785,795,781.5,784,1294568
10-Jan-14,769,787.5,768,782,1605997
9-Jan-14,770.5,772.5,762.5,768.5,1471041
8-Jan-14,780,791,769,772.5,1248414
7-Jan-14,788.5,807,777.5,780.5,1710171
6-Jan-14,820.5,822,785.5,787,1369182
3-Jan-14,821,824,805,821,917301
2-Jan-14,825,825.5,805,822.08,1147080
31-Dec-13,838.5,838.5,823,824,156948
30-Dec-13,832,842,827,834,499525
27-Dec-13,803,834,803,830.5,749608
24-Dec-13,804.5,809,802.5,805,136487
23-Dec-13,800.5,807,793,804.5,879430
20-Dec-13,801,802.5,781,796.5,2181707
19-Dec-13,803,803,790.5,799.5,1604146
18-Dec-13,779,795.5,776,795.5,1656023
17-Dec-13,768,781,758.5,779.5,1364652
16-Dec-13,755.5,771,747,768,1538100
13-Dec-13,762,765,752.5,761,1421468
12-Dec-13,756.5,768.5,754,761,2301091
11-Dec-13,766,770,753,760.5,1020645
10-Dec-13,766,771.5,760,765.5,1258319
9-Dec-13,771.5,771.5,747,761.5,1135784
6-Dec-13,767.5,781,765,769,1227361
5-Dec-13,761,774.5,761,768.5,1994864
4-Dec-13,758.5,773.5,755.5,767,1680063
3-Dec-13,777,777.5,733,754,2819984
2-Dec-13,794.5,797.5,779.5,780.5,1643318
29-Nov-13,790.5,806,790,794,1875039
28-Nov-13,778.5,792.5,774.5,788.5,1221091
27-Nov-13,779,781,768,776,1423259
26-Nov-13,787,792,776.5,779,1667892
25-Nov-13,792.5,797,785.5,789.5,1508422
22-Nov-13,800,804.5,781.5,789.5,2094885
21-Nov-13,798,799.5,788,797,1667667
20-Nov-13,797.5,814.5,797.5,807,1244883
19-Nov-13,809,817,796,805,1470490
18-Nov-13,812.5,818.5,808,812.5,1134204
15-Nov-13,809.5,826.5,807.5,812,1865574
14-Nov-13,825,833.5,790.5,804,2863925
13-Nov-13,813.5,814.5,802.5,813.5,1798371
12-Nov-13,820,824.5,809,812.5,2334389
11-Nov-13,834.5,836.5,818.5,818.5,1455117
8-Nov-13,837,840,821,836.5,1575451
7-Nov-13,855,865.5,841.5,845,1387309
6-Nov-13,895,900.5,853,858,2668459
5-Nov-13,866.5,890.5,865,889,2134112
4-Nov-13,841,864.5,839.5,863.5,1572370
1-Nov-13,856,858.5,829.5,837,2185787
31-Oct-13,895,896.5,847.5,853.25,2359842
30-Oct-13,893.5,898,884.5,897.5,946561
29-Oct-13,868,888.5,862.5,888.5,1468975
28-Oct-13,883.5,885,864,870,1127340
25-Oct-13,870.5,881.5,862.5,875.5,940199
24-Oct-13,867,880.5,867,874,1581862
23-Oct-13,904,0,864,865.5,2112274
22-Oct-13,890,910,880.5,904,1259176
21-Oct-13,899,910.5,887,891,1139636
18-Oct-13,896,901.5,886,899,961126
17-Oct-13,894,901.5,885,888.5,1370275
16-Oct-13,884,894,866,891,1488287
15-Oct-13,875,895.5,875,888.5,1524913
14-Oct-13,849,872.5,845,867,1210848
11-Oct-13,858,865,850.5,859,1387306
10-Oct-13,835.5,854.5,831.5,852,1183416
9-Oct-13,834,838,825,830.5,2230928
8-Oct-13,819,839,811.5,833.5,2641642
7-Oct-13,820,822.5,810.5,820.5,1020535
4-Oct-13,812,825,806,821.5,1253200
3-Oct-13,825.5,831.5,806.5,815,1534483
2-Oct-13,810.5,824.5,805.5,824,1421182
1-Oct-13,821,825,807.5,816,1354580
30-Sep-13,816.5,823,806,818.5,1370324
27-Sep-13,846.5,848,817,830,2136578
26-Sep-13,854,864,848.5,853.5,1206678
25-Sep-13,848.5,858,838.5,855.5,1102687
24-Sep-13,852,861.5,842.5,850,1028135
20-Sep-13,880,884.5,850,851.5,2341365
19-Sep-13,900,908,881,886,2322678
18-Sep-13,877,881,852,860.5,1281687
17-Sep-13,879.5,889,874.5,882,1512435
16-Sep-13,859.5,891,857.5,883,1626500
13-Sep-13,861.5,861.5,840,849.5,1225467
12-Sep-13,888,890.5,860.5,864,1324297
11-Sep-13,899,900,881,886,1179357
10-Sep-13,900,906,894,896.5,1776574
9-Sep-13,901,905,887.5,891.5,932733
6-Sep-13,881,905.5,875.5,899,1897531
5-Sep-13,884.5,889.5,871.5,881,1809389
4-Sep-13,896,899,874,886,1255309
3-Sep-13,888.5,901.5,883,893.5,1687934
2-Sep-13,872,894,867.5,885.5,1337323
30-Aug-13,851,860,846.5,855,2502785
29-Aug-13,879,879,846,849,2970515
28-Aug-13,880,882.5,852,874.5,3109513
27-Aug-13,910,916,868.5,884.5,4437243
23-Aug-13,908,932.5,903.5,915,1928190
22-Aug-13,903,924,900.5,908,2971977
21-Aug-13,915,917,893,895,1854455
20-Aug-13,912.5,925,892,912,1918284
19-Aug-13,930,937,921.5,922,2107038
16-Aug-13,942,958.5,931.5,936.5,2681104
15-Aug-13,959,963,926.5,930,1737712
14-Aug-13,977.5,985,960,971,1397486
13-Aug-13,964.5,979,958,979,1876946
12-Aug-13,950,964.5,931.5,958,1835118
9-Aug-13,880,944.5,876.5,942,2884735
8-Aug-13,860,890,860,876.5,1625775
7-Aug-13,849.5,853.5,832,844.5,1476311
6-Aug-13,885,888.5,843.5,849.5,2211663
5-Aug-13,902.5,908,889,893.5,1048978
2-Aug-13,908.5,909.5,888,901,2328522
1-Aug-13,888,914.5,883.5,913.5,1830370
31-Jul-13,877,896.5,875,882,2187149
30-Jul-13,879.5,882.5,870,875,1763929
