Date,Open,High,Low,Close,Volume
27-May-14,2965,3041,2949,3029,553575
23-May-14,3046,3052,2953,2967,683379
22-May-14,3021,3051,3005,3020,450373
21-May-14,3069,3079,3007,3023,554118
20-May-14,3084,3091,3053,3070,525024
19-May-14,3014,3078,3000.65,3071,616214
16-May-14,2952,3004,2928,3004,791808
15-May-14,2967,3011,2929,2945,446916
14-May-14,2967,2975,2949,2965,289109
13-May-14,2989,2989,2937,2966,367434
12-May-14,2948,2984,2927,2982,393250
9-May-14,2960,2960,2923,2945,417505
8-May-14,2975,3014,2964,2974,502714
7-May-14,2974,3001,2953,2973,588536
6-May-14,2924,2963.15,2892,2963.15,598135
2-May-14,2992,2992,2889,2900,650935
1-May-14,3030,3048,2969.48,2997,271631
30-Apr-14,2948,2987,2941,2971,691812
29-Apr-14,2918,2960,2913,2946.29,598990
28-Apr-14,2923,2930,2888,2899.14,557236
25-Apr-14,2892,2906.15,2865,2906.15,857384
24-Apr-14,2979,2984.95,2855,2865.29,1135260
23-Apr-14,2847,2992,2830,2962,1340890
22-Apr-14,2736,2736,2695,2722,609413
17-Apr-14,2673,2735,2659,2711,590756
16-Apr-14,2666,2688,2661,2676,526599
15-Apr-14,2660,2683,2652,2654,557831
14-Apr-14,2640,2680,2633,2668,719296
11-Apr-14,2672,2672,2632,2645,795172
10-Apr-14,2622,2687,2617,2671,939768
9-Apr-14,2652,2665,2603,2603,1196698
8-Apr-14,2747,2749,2625,2645,1383852
7-Apr-14,2782,2789.56,2752,2753,381037
4-Apr-14,2791,2804.15,2778,2799,351030
3-Apr-14,2773,2802,2771,2782,500565
2-Apr-14,2781,2807,2749,2756,767573
1-Apr-14,2787,2802,2773,2789.95,498614
31-Mar-14,2842,2845,2779,2781,691223
28-Mar-14,2864,2867,2826,2830,436858
27-Mar-14,2830,2863,2827,2852,521058
26-Mar-14,2801,2846,2794,2835,498256
25-Mar-14,2771,2818,2771,2799,821039
24-Mar-14,2766,2775,2743,2769,588894
21-Mar-14,2773,2793.7,2755,2758,825418
20-Mar-14,2797,2797,2744,2770,658177
19-Mar-14,2804,2814,2775,2800,741658
18-Mar-14,2825,2828.95,2796,2805,801781
17-Mar-14,2830,2853,2813,2840,541247
14-Mar-14,2852,2854,2796,2836,864131
13-Mar-14,2923,2923,2862,2862,719239
12-Mar-14,2938,2946,2909,2921,701868
11-Mar-14,2977,2984,2947,2954,845162
10-Mar-14,2976,3011,2963,2976,835048
7-Mar-14,2996,3005,2959,2969,566677
6-Mar-14,2983,2999,2970,2990,640222
5-Mar-14,3013,3028,2979,2980,608400
4-Mar-14,2987,3030,2970,3027,635064
3-Mar-14,2964,2981,2940,2970,922973
28-Feb-14,2979,3017,2946,2998,890093
27-Feb-14,2966,2982,2911,2980,685050
26-Feb-14,2951,2972,2937,2964,864724
25-Feb-14,2920,2977,2900,2955,1419344
24-Feb-14,2975,3012,2889,2920,1252447
21-Feb-14,2981,3001,2967,2993,842114
20-Feb-14,2904,2968,2892,2967,660589
19-Feb-14,2912,2932,2889,2915,650787
18-Feb-14,2864,2915,2856,2914,672895
17-Feb-14,2818,2857,2817,2852,376353
14-Feb-14,2807,2819,2778,2812,571968
13-Feb-14,2774,2813,2762,2810,804037
12-Feb-14,2812,2812,2787,2794,732339
11-Feb-14,2816,2821,2783,2805,904528
10-Feb-14,2854,2857,2805,2810,999278
7-Feb-14,2881,2883,2843,2847,899791
6-Feb-14,2907,2915,2853,2859,1250026
5-Feb-14,2757,2930,2746,2883,1569639
4-Feb-14,2688,2781,2688,2762,950378
3-Feb-14,2722,2734,2682,2686,713686
31-Jan-14,2721,2721,2650,2715,890195
30-Jan-14,2682,2734,2638,2734,972785
