Date,Open,High,Low,Close,Volume
27-May-14,4225,4282,4207.5,4252.21,5243107
23-May-14,4236.5,4328.22,4216,4328,4235503
22-May-14,4402,4409,4228.5,4275,7447829
21-May-14,4313.5,4459,4264,4420,5409415
20-May-14,4215,4308.72,4185.72,4308.5,10275365
19-May-14,4200,4823.02,4098,4287.5,20889748
16-May-14,4741,4827,4662.67,4823.5,4172921
15-May-14,4649,4726.5,4634.5,4726.5,2760794
14-May-14,4642.5,4698.25,4468.5,4654,2538439
13-May-14,4635,4733.5,4615,4642,3932404
12-May-14,4628,4648.5,4576.42,4610,1724296
9-May-14,4665,4678,4598.5,4600.5,3618880
8-May-14,4630,4735,4630,4713,3000210
7-May-14,4622,4664,4608.53,4631,3416546
6-May-14,4735,4762.5,4657.5,4677.27,3335270
2-May-14,4825,4946.41,4716.5,4808,6993525
1-May-14,4675,5750,4666,4815,3409681
30-Apr-14,4612,4700,4602.57,4663.77,4734634
29-Apr-14,4620,4682.5,4563.04,4632.5,6079836
28-Apr-14,4701,4796.5,4560,4666.5,13999841
25-Apr-14,4110.5,4141.67,4041,4080,2952306
24-Apr-14,4010,4296.5,4008.5,4175,4946633
23-Apr-14,4000,4060,3972.11,4042.5,3686641
22-Apr-14,4095,4147.07,3957,3959.6,6499786
17-Apr-14,3775,3795,3757,3781.5,1642790
16-Apr-14,3738.5,3834.73,3735,3758.5,1355130
15-Apr-14,3735,3755.61,3718.5,3723,1773836
14-Apr-14,3752,3766,3723.65,3736,1978977
11-Apr-14,3803,3803,3740,3780.5,2011020
10-Apr-14,3832.5,3874.1,3815,3837,1860811
9-Apr-14,3817,3825.5,3794,3811.5,1761882
8-Apr-14,3863,3868,3798,3810.12,2767170
7-Apr-14,3902,3906,3850,3867.5,1762830
4-Apr-14,3929,3937.5,3893,3923,1592623
3-Apr-14,3950,3955.5,3909,3917.5,1343464
2-Apr-14,3919.5,3973,3919.5,3950,1816808
1-Apr-14,3905.5,3939,3884.5,3924.5,1466589
31-Mar-14,3939,3973.5,3873,3876.31,2307939
28-Mar-14,3921,3959,3918.9,3937.5,1697913
27-Mar-14,3898,3927.5,3884.5,3909.8,1587930
26-Mar-14,3896.5,3944.5,3893,3909.61,1875502
25-Mar-14,3855,3920,3854.5,3892,1662762
24-Mar-14,3921,3922.5,3858.5,3866,2256525
21-Mar-14,3940.5,3957.5,3915.5,3929,4071429
20-Mar-14,3966.5,3972.45,3916,3942,2216608
19-Mar-14,3989.5,4005.5,3975,3977.5,1371645
18-Mar-14,3964.5,4078.7,3945.5,3978.5,2045654
17-Mar-14,3924,4066.02,3920,3970.5,1767372
14-Mar-14,3913.5,3937.5,3905.5,3913,2855424
13-Mar-14,4002.5,4012,3969.5,3979,2173685
12-Mar-14,4021,4021,3967.5,4002,2533948
11-Mar-14,4007.5,4023.5,3979.5,4016,1461550
10-Mar-14,3979.5,4015,3977.5,3990,1824391
7-Mar-14,4013,4025,3972.5,3985,1474291
6-Mar-14,4059.5,4068,4011,4011,1880626
5-Mar-14,4073,4087,4038,4039.5,1250365
4-Mar-14,4029.5,4081,4020.5,4080.5,1706816
3-Mar-14,3973.5,4005,3959,3993.6,2789481
28-Feb-14,4094,4115,4046.5,4084,2244151
27-Feb-14,4082,4113,4057,4103,1525378
26-Feb-14,4083.5,4107,4065,4075,1455868
25-Feb-14,4093,4111.5,4060,4095,3611439
24-Feb-14,4016,4100,4000.5,4100.41,2655491
