Date,Open,High,Low,Close,Volume
27-May-14,522.5,525.5,518.69,524.5,3683634
23-May-14,521,522,517,519,1869757
22-May-14,520.5,521.05,516.33,517.5,3507093
21-May-14,512.5,518.5,510.5,518,3069236
20-May-14,512.5,516.5,511,512,3780064
19-May-14,514.5,514.5,503,512,4077946
16-May-14,511.5,519,502,513,6902262
15-May-14,528,536.5,511,513.5,6672424
14-May-14,528,532.53,527,531.5,3642075
13-May-14,534,534,523.5,528,3067650
12-May-14,525.5,531.5,522,531,2861541
9-May-14,524.5,525,514.5,524,2812333
8-May-14,527.5,529.5,520,525,3777353
7-May-14,531,531,522.15,526,4473660
6-May-14,527.5,533,523.5,530.97,4652550
2-May-14,526,527,520,523,4681432
1-May-14,527.5,527.5,519,525,2629740
30-Apr-14,516.5,526.92,513.5,525.5,6014468
29-Apr-14,510.5,518,510.1,517.5,3299270
28-Apr-14,509.5,514.56,505.5,509,3209207
25-Apr-14,508.5,510.92,505,509.47,3945225
24-Apr-14,508,515.5,503,509.45,4254865
23-Apr-14,512,513.54,504.5,505.95,3570948
22-Apr-14,510.5,514.5,504,510.55,3730960
17-Apr-14,502,509.5,499.5,509,4405954
16-Apr-14,494.3,501.01,494.3,499,5646632
15-Apr-14,503,512,489.5,491.4,6419554
14-Apr-14,497.3,505.5,492.1,505,4650243
11-Apr-14,498.6,502,494.9,499.2,5637754
10-Apr-14,503.5,507,497.9,503,7175664
9-Apr-14,490.3,500.5,489.9,500.5,6553092
8-Apr-14,489.5,493.3,484.12,489.95,8264961
7-Apr-14,492.8,496.5,488.77,491.3,4794086
4-Apr-14,489,501.86,488.6,498.2,7278941
3-Apr-14,487.9,493,487,489,5604312
2-Apr-14,481.2,491.7,481.2,487.8,6894483
1-Apr-14,484.7,494.7,477,490.37,11545114
31-Mar-14,473.5,481.8,473.1,477,12363541
28-Mar-14,482.3,482.3,442.4,470.2,38286252
27-Mar-14,486.8,490.56,482.1,483.48,4110893
26-Mar-14,483,495.4,478.3,489.8,7670726
25-Mar-14,477.7,482.4,473.2,481.1,9719484
24-Mar-14,484.3,485,475.3,476.4,6656141
21-Mar-14,494.4,494.8,480.3,480.3,14875461
20-Mar-14,489.5,498.7,477.54,493.7,12071689
19-Mar-14,517.5,522,472.5,490.4,22656383
18-Mar-14,515.5,519.5,510.5,517,5276343
17-Mar-14,508,518.5,505,515.5,5342161
14-Mar-14,511.5,512,505.5,507,6978092
13-Mar-14,525,525,511.5,516,6676036
12-Mar-14,522,527.5,518.5,523,8190003
11-Mar-14,512.5,528.5,510.5,523.5,9877170
10-Mar-14,508.5,520,508,509,5780241
7-Mar-14,503,526,502.5,508.5,10166396
6-Mar-14,497,514,495.9,504,17776160
5-Mar-14,461.9,468,460.3,466.1,6619249
4-Mar-14,464.5,466.1,459.4,462.5,7615626
3-Mar-14,465.4,466.4,454.5,459.85,4441607
28-Feb-14,470,476,470,473.6,6069884
27-Feb-14,472.7,473.3,457.6,473.65,6596374
26-Feb-14,474.1,475,471,473,3616742
25-Feb-14,476,476.6,469.6,474.5,8928851
24-Feb-14,467.4,475.3,467.3,475.3,5186747
21-Feb-14,470,474.1,467.4,469,4926724
20-Feb-14,460,468.3,458.9,468.3,5286839
19-Feb-14,460.6,465.2,459,464.1,3938219
18-Feb-14,461.9,463.7,456.4,462.5,5030184
17-Feb-14,459.8,462.9,458.3,460.8,3756099
14-Feb-14,460.6,463.6,457,459.6,6147255
13-Feb-14,460.9,461.9,454.3,459.9,5543811
12-Feb-14,460.6,466.7,459.3,461.5,7837485
11-Feb-14,458,461.4,453.4,457.7,7032192
10-Feb-14,457.7,459.7,453,455.9,4370962
7-Feb-14,455.8,459.7,450.9,456.3,5689294
6-Feb-14,442.8,453.2,440.1,453.2,8348952
5-Feb-14,440.6,443.8,438.6,439.9,4261577
4-Feb-14,434.4,443.5,432.2,440.8,6197673
3-Feb-14,442.9,445.1,435.6,436.7,4902988
31-Jan-14,450.1,450.1,438.9,445,7008095
30-Jan-14,450.6,455.6,448.8,452.5,7404576
29-Jan-14,459.9,460.2,444.1,450.9,5731994
28-Jan-14,446.2,457.9,444.9,456.5,6053919
27-Jan-14,455.5,457.1,440,445,10441865
24-Jan-14,471.5,475.7,455.7,456.6,7200789
23-Jan-14,476.2,478.6,469.1,470.9,4455679
22-Jan-14,474.8,478.5,472.7,477.3,3719965
21-Jan-14,477.2,480,473.5,474.7,3713245
20-Jan-14,475,477.9,473.3,477.1,2346598
17-Jan-14,475.2,481.1,472.5,476.4,6494161
16-Jan-14,476.3,477,470.1,472,3263335
15-Jan-14,476.1,477.5,473.6,476.6,4703649
14-Jan-14,474.4,474.4,469.6,473.9,4801817
13-Jan-14,472.5,479.3,472,476.2,5548910
10-Jan-14,465.7,472,460,469.9,5684655
9-Jan-14,461,466.8,459.2,463.7,6045057
8-Jan-14,455.6,460.2,453.1,460.2,6705977
7-Jan-14,443,456.9,441.1,454.2,6427599
6-Jan-14,442.7,445.6,439.1,443,3089333
3-Jan-14,444.2,445.3,442.5,443,2991575
2-Jan-14,452,452,441.7,444.3,4762899
31-Dec-13,449.7,451.9,447.3,449.7,1041000
30-Dec-13,449.3,449.8,444.7,447.1,1618354
27-Dec-13,443.4,449.5,442.9,448.4,3435286
24-Dec-13,444.9,447.9,440.6,442.1,980531
23-Dec-13,440,445.8,440,445.8,2535834
20-Dec-13,436,441.2,434.8,439.3,9613558
19-Dec-13,429.9,436.2,429.7,435.9,7813782
18-Dec-13,423.2,426.3,421.3,423.9,4781812
17-Dec-13,419.9,422.3,417,421.1,5559683
16-Dec-13,418.5,423.7,416.6,420.4,6555823
13-Dec-13,418.3,422.6,416.3,417.3,6196961
12-Dec-13,425.8,426,413.7,418.3,7566722
11-Dec-13,431.1,433.8,424.8,425.7,6263590
10-Dec-13,427.8,434.8,427.7,433.62,6331502
