Date,Open,High,Low,Close,Volume
27-May-14,417.7,422.1,414.96,415.98,4778841
23-May-14,414,416.5,411.5,415.38,3333446
22-May-14,413,414.6,409.9,413.16,3654298
21-May-14,408.1,411.3,403.7,410.98,3488354
20-May-14,412,413.6,407.7,408.48,5319017
19-May-14,414.9,418.1,411.3,413.18,5792785
16-May-14,415.9,421.4,413.7,414.58,10006499
15-May-14,411,418.6,408,416.5,8870485
14-May-14,409,412.7,407.6,411.8,3702479
13-May-14,408,413.1,406.2,409.4,5240437
12-May-14,405.5,408,403.2,407.8,3310937
9-May-14,406.4,406.4,401.71,405,3180953
8-May-14,404.1,406,402.1,405.6,3208167
7-May-14,398.4,405.37,395,404.5,7177056
6-May-14,402.9,406.89,393.7,397.4,4308614
2-May-14,399.9,406.7,396.02,401.1,4595780
1-May-14,400.8,404.32,398.6,401.2,2533886
30-Apr-14,398.2,400.7,394.8,400,4873628
29-Apr-14,402.5,404.3,399,399.2,6409693
28-Apr-14,403,403,396.2,401,3574684
25-Apr-14,394.8,402.2,394.8,401.9,4103995
24-Apr-14,398.9,401,394,396.4,4669721
23-Apr-14,393.4,396.3,391.1,395.4,6705964
22-Apr-14,390,399.8,385.5,392,7219283
17-Apr-14,380,390.74,374.3,377.94,9016178
16-Apr-14,384.1,392.8,374.1,376,8852289
15-Apr-14,395.4,397.12,390.2,391.9,4415717
14-Apr-14,396.9,399.4,390.02,395.6,5057400
11-Apr-14,401.5,402.9,394.4,398.6,5262206
10-Apr-14,404.8,409,403.7,405.5,5510134
9-Apr-14,401.3,406.3,401.01,404.3,5365340
8-Apr-14,404.6,405.5,399.3,401.16,6726143
7-Apr-14,407.5,411.3,404.8,405.6,4914005
4-Apr-14,408.8,412.9,407.2,410.7,5093884
3-Apr-14,413.2,414.14,405.3,406.95,5990032
2-Apr-14,415.9,419.07,413.3,413.4,3618839
1-Apr-14,415.4,416.5,413,413.98,4070364
31-Mar-14,409.4,415.7,408.8,414.2,9183141
28-Mar-14,411.8,412.4,406.4,407.4,4930410
27-Mar-14,411.2,411.2,405.8,410.5,4858672
26-Mar-14,413.5,416.1,411,411.1,5763699
25-Mar-14,405.3,412.1,400.1,411.5,7899427
24-Mar-14,409.6,410.7,402.73,403.5,6729779
21-Mar-14,419,420.9,409.9,411,14992274
20-Mar-14,411.2,419.6,408.4,417.1,9709636
19-Mar-14,411.8,420.8,410.2,413.5,12260191
18-Mar-14,398.4,407.8,396.5,407.8,7741022
17-Mar-14,388.5,396.7,388.1,396.5,7804968
14-Mar-14,387.9,389.5,385.3,388.1,11913740
13-Mar-14,400,400.4,392,392,9672073
12-Mar-14,404.4,406.5,400.9,400.9,7589815
11-Mar-14,404.5,407,401.4,406.9,7326906
10-Mar-14,406.8,410.5,401.2,402.7,6429857
7-Mar-14,413.7,414.8,405.2,405.2,7577644
6-Mar-14,418.9,420.3,411.8,413.5,6037318
5-Mar-14,420,420.3,413.9,417.6,6830949
4-Mar-14,413.1,421.3,412.4,420.4,8660116
3-Mar-14,400.7,410.9,400.7,409.5,8071619
28-Feb-14,412.1,414.6,408.9,410.9,7845997
27-Feb-14,410.8,412,406.7,411.1,9222158
26-Feb-14,413,414.4,401.6,409.9,9585337
25-Feb-14,418.1,422.3,409.3,410.9,14891391
24-Feb-14,412.4,418.3,409.5,417.5,10821811
21-Feb-14,405.8,413.7,402.5,411.3,16438048
20-Feb-14,400,405.8,388.1,400.4,20534662
19-Feb-14,455,455.9,434.3,436.8,11581444
18-Feb-14,438.3,439.1,434.1,437.6,4959971
17-Feb-14,432,439.5,432,436.9,4052768
14-Feb-14,426.4,433.6,426,431.9,5494258
13-Feb-14,436.2,436.6,421.5,425.8,10934167
12-Feb-14,438.6,441.5,437.7,439.5,5305587
11-Feb-14,433.2,436.1,430.9,435.9,5102091
10-Feb-14,431.7,433,426.4,430.8,4164253
7-Feb-14,428.5,430.7,423.2,429.1,4372789
6-Feb-14,422.8,428.9,420.3,426.3,4767147
5-Feb-14,418,425.8,417.2,419.1,5918284
4-Feb-14,421.3,423,414.4,415.8,6836522
3-Feb-14,430.2,433.7,422.4,423.8,7098791
31-Jan-14,430,431.4,423.5,429.1,7783389
30-Jan-14,432.1,436.8,428.1,436,4745683
29-Jan-14,440.2,441.4,427.3,431.6,5714799
28-Jan-14,432.8,439.1,430.5,437.3,4835957
27-Jan-14,429.7,434.5,429.7,432.3,5845841
24-Jan-14,438.9,447,430,430,8437444
23-Jan-14,437.3,442.4,434.7,437.2,7218726
22-Jan-14,438,439.7,433.9,434,4896675
21-Jan-14,444.4,445.7,436.8,437.5,4606122
20-Jan-14,445.1,448.2,443,444.1,2188510
17-Jan-14,441.9,446.2,441.8,444.4,5975880
16-Jan-14,437,441.7,435.8,441,5076766
15-Jan-14,430.9,437.1,430.5,436.6,6464963
14-Jan-14,427.7,428.8,423.8,428.2,4376178
13-Jan-14,436.8,438,428.3,429.7,4872559
10-Jan-14,432.6,436.6,431.3,434,4806021
9-Jan-14,431.7,435.3,428,429.9,5938095
8-Jan-14,428.5,428.5,423.6,426.5,4827813
7-Jan-14,433.2,433.6,426.1,426.4,5364986
6-Jan-14,433.2,436,431,431.6,3059832
3-Jan-14,432,434.8,430.5,432.2,2789661
2-Jan-14,437.3,438.2,429.5,430.5,3711606
31-Dec-13,437.1,440,432.3,435,1652729
30-Dec-13,440.4,441.6,433.7,434,2411127
27-Dec-13,444.4,447,435.9,440,4239950
24-Dec-13,433.8,434,430,431.4,886713
23-Dec-13,424,430.6,421.5,430.6,7653455
20-Dec-13,424,428.1,419.9,422.1,16703784
19-Dec-13,447.1,460,440,442,8263556
18-Dec-13,436.1,436.1,432,434.1,3634216
17-Dec-13,435.9,440.8,432.8,432.8,4791157
16-Dec-13,434.5,439.9,432.2,436.9,5560218
13-Dec-13,420.9,434.2,420.2,434,8008118
12-Dec-13,425.7,425.7,419.4,420.9,5278168
11-Dec-13,416.2,431,416.2,426,7565594
10-Dec-13,416.5,420.5,413,415.4,4850100
9-Dec-13,417.5,418.8,414.5,416.3,5863116
6-Dec-13,418.3,419.2,405.5,415.8,9028383
5-Dec-13,420.8,427,417.1,417.7,5468572
4-Dec-13,418,421.9,416.5,420.7,5718756
3-Dec-13,427.6,428.1,416.3,416.3,6962126
2-Dec-13,427.1,429.2,423.8,424,3239603
29-Nov-13,432.5,435.3,427.4,427.4,5976391
28-Nov-13,426.3,434.4,425.8,433,4779564
27-Nov-13,428.3,430.7,420,426.2,6345734
26-Nov-13,431.3,436.3,428.4,429.7,4932994
25-Nov-13,432,435.6,430.2,432.3,4456206
22-Nov-13,429.4,434.6,428.6,430.8,4873919
21-Nov-13,432.8,434,428,428.9,6586681
20-Nov-13,440.3,440.4,433.8,434.4,4809844
19-Nov-13,445,446.6,439.2,441,4589188
18-Nov-13,450,452.6,445.2,446.1,5653621
15-Nov-13,454.2,455,446.2,449,5108273
14-Nov-13,449.2,454.2,447.9,454.2,4858615
13-Nov-13,450,451.4,444.4,447.2,4785885
12-Nov-13,452.2,453.7,449,452,3168675
11-Nov-13,456.5,457,451,451.7,3738172
8-Nov-13,454.3,457,450.6,457,4555379
7-Nov-13,456.1,463.7,454.6,460.2,4213392
6-Nov-13,455.2,457.8,454.1,455.8,3506795
5-Nov-13,455.8,457.6,450.9,453.3,3704204
4-Nov-13,456.4,457.9,453,455,3419525
1-Nov-13,457.8,460.8,450.4,455.7,4270956
31-Oct-13,454.5,456.8,452.2,454.7,4637456
30-Oct-13,454.9,456.2,450.6,452.9,4846562
29-Oct-13,447.9,454,447.7,454,5055856
