Date,Open,High,Low,Close,Volume
27-May-14,1202.5,1221,1197.5,1219.44,4344113
23-May-14,1233.5,1237,1207,1213.44,5194868
22-May-14,1260.5,1261.5,1230,1233.94,6216673
21-May-14,1269,1279,1257.4,1261.44,4103422
20-May-14,1295,1295,1264.5,1270.44,3984189
19-May-14,1282,1299.5,1279.5,1296.5,4093160
16-May-14,1264,1283.5,1254.5,1283.5,5748829
15-May-14,1249,1261,1242.27,1259,6200897
14-May-14,1268,1271.5,1246.5,1252,5005026
13-May-14,1270.5,1277,1252,1269,3962663
12-May-14,1268.5,1273,1259,1265,3182706
9-May-14,1274.5,1277,1253,1265,4613620
8-May-14,1274.5,1283.5,1265.75,1275,3878440
7-May-14,1260.5,1276.5,1258,1268,5823930
6-May-14,1250,1279.5,1250,1265.94,7899879
2-May-14,1235,1256.5,1227.92,1251.5,6899009
1-May-14,1218,1245,1186.5,1237.5,5055552
30-Apr-14,1197,1236.5,1184.5,1198,8352050
29-Apr-14,1150.5,1193.5,1149.32,1180.62,10198134
28-Apr-14,1090,1154,1067.5,1146,16158526
25-Apr-14,1148,1152.5,1139,1145.06,3781984
24-Apr-14,1135.5,1151,1132.44,1150.12,4213809
23-Apr-14,1132,1138.01,1124.94,1134,3193980
22-Apr-14,1131.5,1139.5,1122,1137.61,3032726
17-Apr-14,1133.5,1136,1124,1134,3211711
16-Apr-14,1127,1132.5,1123,1128.11,3293912
15-Apr-14,1129.5,1129.5,1110.5,1123,4513412
14-Apr-14,1105.5,1120,1100,1120,3723401
11-Apr-14,1107,1114,1098.57,1113.5,5464237
10-Apr-14,1110.5,1125.5,1107,1113,3206223
9-Apr-14,1128.5,1131.32,1113,1117.11,4719408
8-Apr-14,1141,1144.5,1122,1128.5,4051686
7-Apr-14,1127,1142,1125,1141.5,4295966
4-Apr-14,1140,1140.14,1125.5,1136,3710207
3-Apr-14,1143.5,1148.5,1132.5,1137,3874534
2-Apr-14,1130.5,1141.5,1127.06,1138.5,3807671
1-Apr-14,1125.5,1136.14,1117,1126.21,3780692
31-Mar-14,1117,1128,1111.5,1117.56,4799644
28-Mar-14,1116,1120.18,1106.62,1111.5,4072952
27-Mar-14,1100,1112,1096.91,1111.06,3617872
26-Mar-14,1105.5,1119,1098.5,1103.5,5384679
25-Mar-14,1083.5,1107,1083,1107,5999251
24-Mar-14,1067.5,1082.5,1054.5,1082.5,6710885
21-Mar-14,1063,1072,1059.5,1062.05,8527224
20-Mar-14,1062.5,1068.5,1046.5,1065,7143205
19-Mar-14,1084.5,1087.5,1069.5,1070.05,3747798
18-Mar-14,1076,1092,1068.5,1086,3694498
17-Mar-14,1073.5,1084,1066.69,1080.11,3758625
14-Mar-14,1068,1078.5,1063,1071,4495116
13-Mar-14,1073.5,1081,1068.5,1070.61,3965167
12-Mar-14,1074,1080.5,1065.5,1069.5,3592274
11-Mar-14,1086.5,1092.5,1073.5,1077.5,2943609
10-Mar-14,1089,1099,1083,1088,3452511
7-Mar-14,1100,1104,1090,1090,3468088
6-Mar-14,1099,1105,1090.5,1097,3773427
5-Mar-14,1097,1104,1087,1097.5,4595654
4-Mar-14,1090,1108.5,1086,1094.5,4594390
3-Mar-14,1078.5,1105.5,1036.5,1083.89,5552934
28-Feb-14,1096,1106,1085,1088.5,4742202
27-Feb-14,1099.5,1104.5,1076,1088.5,4103300
26-Feb-14,1100,1106.5,1096,1100,7850646
25-Feb-14,1114,1119.5,1089.5,1097.5,9360275
24-Feb-14,1101,1117.5,1094,1117.61,5226095
21-Feb-14,1102,1109.5,1098.5,1102,4553100
20-Feb-14,1086,1096,1083,1096,3383914
19-Feb-14,1097,1099.5,1078,1089.5,3995135
18-Feb-14,1090.5,1096,1070,1095,4703957
17-Feb-14,1077,1092,1073,1084,3008184
14-Feb-14,1064.5,1079,1063,1072,3305002
13-Feb-14,1077,1080.5,1058.5,1066,3856655
12-Feb-14,1068.5,1087.5,1068.5,1075.5,5844100
11-Feb-14,1049,1072.5,1043,1067,6382105
10-Feb-14,1060,1065.5,1056.5,1060.5,5360326
7-Feb-14,1084,1093.5,1050,1053,8653776
6-Feb-14,1069,1090.5,1054.5,1086.5,7601671
5-Feb-14,1053.5,1069.5,1043,1060.5,8248043
4-Feb-14,1021,1068.5,1010.5,1051.5,13624692
3-Feb-14,1024,1045,1021.5,1025,9021580
31-Jan-14,1008.5,1035,1008,1022,12974525
30-Jan-14,1040.5,1043.5,1006,1008.5,13101163
29-Jan-14,1061.5,1064.5,1035,1035,9413770
28-Jan-14,1082,1084,1050,1053.5,11779770
27-Jan-14,1140,1144.5,1050.5,1082,26903879
24-Jan-14,1288,1293,1249.5,1255,7529856
23-Jan-14,1314.5,1326.5,1289.5,1295,7853902
22-Jan-14,1339,1344.5,1308,1312.5,5756258
21-Jan-14,1345.5,1355.5,1339,1342,3828763
20-Jan-14,1343.5,1351,1337.5,1348,2035454
17-Jan-14,1344.5,1349.5,1329,1344.5,7701188
16-Jan-14,1333.5,1352,1326.5,1351.5,5008275
15-Jan-14,1313,1336,1308.5,1334.5,4078834
14-Jan-14,1303.5,1317.5,1298.5,1310.5,2830683
13-Jan-14,1320,1324.5,1310,1315,1912158
10-Jan-14,1314,1323.5,1309,1319.5,3443229
9-Jan-14,1311.5,1318.5,1304,1308,3806975
8-Jan-14,1320,1322.5,1305.5,1319.05,3147404
7-Jan-14,1299,1319,1293.5,1318.5,4275315
6-Jan-14,1297,1308,1294,1307.84,2862151
3-Jan-14,1290.5,1301,1284.5,1297,3342121
2-Jan-14,1307,1309,1294,1296,4069514
31-Dec-13,1296.5,1307,1293,1297.5,801179
30-Dec-13,1298,1301,1288.5,1298.5,1989031
27-Dec-13,1283,1300,1274,1297,1889098
24-Dec-13,1275.5,1290,1275.5,1283,554322
23-Dec-13,1245.5,1273.5,1245.5,1273,1963425
20-Dec-13,1235,1254.5,1229.5,1247.5,7267029
19-Dec-13,1249.5,1260.5,1237.5,1257.5,3841482
18-Dec-13,1231.5,1239.5,1222.5,1235.5,3381030
17-Dec-13,1231.5,1236.5,1225.5,1234.5,3831897
16-Dec-13,1213,1243.5,1208,1236,4256710
13-Dec-13,1212.5,1230,1210.5,1217,2928693
12-Dec-13,1226.5,1229.5,1215.5,1219,3147732
11-Dec-13,1232,1251.5,1228,1234.5,2983698
10-Dec-13,1233,1253,1230,1236.5,3387005
9-Dec-13,1231,1238.5,1217,1237.5,4024920
6-Dec-13,1229,1232,1208,1225,3565236
5-Dec-13,1224,1224,1208,1212,2688097
4-Dec-13,1234.5,1234.5,1213.5,1222,2840277
3-Dec-13,1240.5,1241.5,1223.5,1225,4281895
2-Dec-13,1245.5,1249.5,1231.5,1232,2863938
29-Nov-13,1257,1267,1246.5,1248.5,2272386
28-Nov-13,1253.5,1266,1253.5,1259,1774759
27-Nov-13,1249.5,1257.5,1243.5,1256,2551348
26-Nov-13,1261,1264.5,1245.5,1246,2811831
25-Nov-13,1261.5,1261.5,1242,1259,2871266
22-Nov-13,1247.5,1260,1243,1259.5,2936362
21-Nov-13,1247,1254,1239,1247,2665674
20-Nov-13,1253.5,1262.5,1248.5,1252,2453273
19-Nov-13,1255,1259.5,1239.5,1258.5,2297489
18-Nov-13,1251,1261,1247.5,1258.5,2287975
15-Nov-13,1249.5,1266.5,1249,1257,3629009
14-Nov-13,1265,1269.5,1240.5,1246.5,4214261
13-Nov-13,1262.5,1269,1217,1248,5800282
12-Nov-13,1278,1279,1262.5,1269.5,2636814
11-Nov-13,1269.5,1284.5,1269,1282,2329437
8-Nov-13,1260.5,1271,1256.5,1266.5,2199267
7-Nov-13,1276,1279,1261.5,1268,2655857
6-Nov-13,1290,1294,1273.5,1276,2845915
5-Nov-13,1285,1288,1268,1279,3051450
