Date,Open,High,Low,Close,Volume
27-May-14,1954.5,1955,1936,1947.4,3500870
23-May-14,1935.5,1951.37,1921.5,1947.4,2308632
22-May-14,1930,1944.5,1923,1935.5,3324498
21-May-14,1903.5,1916.6,1892,1915.6,3042818
20-May-14,1939.5,1947,1909,1916,3592462
19-May-14,1940,1952,1923.5,1941.81,3711982
16-May-14,1980,1984.5,1937,1953.1,5438015
15-May-14,1993,2017.5,1973,1982,4987244
14-May-14,1971,2001.5,1962.5,1995.1,4835052
13-May-14,1959,1989.5,1953,1965,6078217
12-May-14,1922,1955.19,1917.88,1948.1,7105515
9-May-14,1920,1923,1895.5,1897,3402088
8-May-14,1919,1924,1910,1913,2900574
7-May-14,1898,1917.1,1881,1917,3794705
6-May-14,1921,1924.5,1890,1912.1,4726933
2-May-14,1889,1939.54,1881.5,1931.19,5343243
1-May-14,1904,1917,1888.5,1896,2028601
30-Apr-14,1907.5,1929,1900.5,1919.1,4564486
29-Apr-14,1905,1919.5,1883,1918.69,3927189
28-Apr-14,1915,1924.13,1892.5,1902.6,4072148
25-Apr-14,1921,1940.44,1913.5,1924.1,3012920
24-Apr-14,1924.5,1942,1919.5,1928.81,3291947
23-Apr-14,1919.5,1927.24,1907.5,1920,2343060
22-Apr-14,1910.5,1928.5,1901,1918.69,3591583
17-Apr-14,1914.5,1919,1880,1913,4103002
16-Apr-14,1929.5,1935.5,1892.5,1909.5,3681132
15-Apr-14,1934.5,1942,1892.02,1899,5283910
14-Apr-14,1907.5,1938.19,1892.11,1938.19,4241840
11-Apr-14,1919,1930.91,1894.5,1909.5,5156782
10-Apr-14,1942.5,1957.65,1915.76,1931,5202003
9-Apr-14,1943.5,1964,1933,1942.5,5078813
8-Apr-14,1932,1951.82,1909.5,1940,6904088
7-Apr-14,1943,1952.39,1915.15,1928,4406007
4-Apr-14,1925.5,1966,1914.89,1961,5616863
3-Apr-14,1900,1932.5,1899,1926.75,6825862
2-Apr-14,1888.5,1926,1885.25,1916.81,6387552
1-Apr-14,1876,1896.5,1867.96,1888.59,8602264
31-Mar-14,1865,1875.42,1837,1843.91,6946675
28-Mar-14,1845.5,1870.38,1832.57,1852,5046956
27-Mar-14,1823,1835.5,1813.62,1832.5,4854696
26-Mar-14,1850.5,1863,1826,1830.82,6252053
25-Mar-14,1815,1845.5,1815,1843.5,6603656
24-Mar-14,1818,1821.5,1791.5,1802,4469539
21-Mar-14,1799,1823,1799,1809.59,7266630
20-Mar-14,1774,1797.5,1764,1793,7252739
19-Mar-14,1819,1827.5,1777,1778.41,6328771
18-Mar-14,1813,1832,1793,1816,4524926
17-Mar-14,1790.5,1826,1788.7,1808.5,5571323
14-Mar-14,1776,1797,1770,1786.5,5602005
13-Mar-14,1817.5,1822,1788,1789.82,7300791
12-Mar-14,1800,1802,1777,1793,9127614
11-Mar-14,1830,1839,1806,1811.82,7263382
10-Mar-14,1815,1833,1802.5,1822,9599495
7-Mar-14,1881,1891.5,1838,1848.5,8043915
6-Mar-14,1887.5,1904.5,1875.5,1888,4254890
5-Mar-14,1892.5,1904,1874,1883,4901939
4-Mar-14,1917.5,1935,1904.5,1924.19,7317987
3-Mar-14,1892,1908,1880.5,1904.81,6007630
28-Feb-14,1921.5,1928.5,1910,1928.5,6272602
27-Feb-14,1909.5,1929,1897,1926,5987738
26-Feb-14,1923.5,1939.5,1909.5,1917,5170486
25-Feb-14,1946,1947.5,1912.5,1928.5,10910893
24-Feb-14,1958,1970,1942.5,1960.2,7441984
21-Feb-14,1985,1989,1956,1970,8580558
20-Feb-14,1925,1979,1925,1953.5,10752345
19-Feb-14,1944.5,1972,1937.5,1965,6685674
18-Feb-14,1948,1955.5,1912.5,1949,8725134
17-Feb-14,1899,1917,1890.5,1912,5475439
14-Feb-14,1874,1906.5,1868,1888.5,8005016
13-Feb-14,1866.5,1880,1826,1871,8306140
12-Feb-14,1864,1881,1857,1862.5,6484532
11-Feb-14,1828,1852.5,1818,1849,7050133
10-Feb-14,1814,1828,1807,1815,5297791
7-Feb-14,1793.5,1809,1775.5,1805.18,6762086
6-Feb-14,1767,1789.5,1748.5,1782.5,6819943
5-Feb-14,1758,1766.5,1740,1759,6041364
4-Feb-14,1762,1775.5,1742.5,1766,7023351
3-Feb-14,1794,1815,1767.5,1774.5,5162621
31-Jan-14,1803,1810.5,1770.5,1795.5,7108505
30-Jan-14,1795.5,1814,1782.5,1811,6067417
29-Jan-14,1823.5,1841,1765,1803.5,8862469
28-Jan-14,1798,1816,1790.5,1802,7054133
27-Jan-14,1786,1815,1771.5,1780,7767929
24-Jan-14,1822,1822,1783.5,1791.5,7544838
23-Jan-14,1814,1848,1809,1824.5,6473594
22-Jan-14,1860,1874,1824.5,1834,6367891
21-Jan-14,1881.5,1886.5,1845.5,1854.5,7011425
20-Jan-14,1875,1899.5,1872,1886.5,4229793
17-Jan-14,1869,1890,1869,1890,10518167
16-Jan-14,1830,1866,1819,1860,13782224
15-Jan-14,1775,1794,1765.5,1791.5,5790898
14-Jan-14,1781.5,1790,1767.5,1781.5,3967324
13-Jan-14,1792.5,1801.5,1776.5,1800,5883058
10-Jan-14,1783,1806.5,1766.5,1780.5,6956836
9-Jan-14,1810,1816,1768,1772,6382029
8-Jan-14,1822,1836,1806.5,1811,5120966
7-Jan-14,1828.5,1848,1814.5,1828.5,3939774
6-Jan-14,1850,1862,1824.5,1828.5,4338235
3-Jan-14,1853,1861.5,1842.5,1857.5,3092971
2-Jan-14,1877,1877,1835,1852.19,4603037
31-Dec-13,1861.5,1871,1857.5,1869,680729
30-Dec-13,1870,1882.5,1852.5,1865.5,2853885
27-Dec-13,1845,1869,1825,1868,2797003
24-Dec-13,1841.5,1849,1829,1834,509607
23-Dec-13,1818,1834.5,1810.5,1833,3126793
20-Dec-13,1811,1824.5,1782.5,1805.5,13751998
19-Dec-13,1809.5,1813.5,1785.5,1801.5,5629205
18-Dec-13,1792.5,1808,1784,1789,5083869
17-Dec-13,1778,1799,1766,1784.5,4886816
16-Dec-13,1750.5,1799.5,1715,1793,5288500
13-Dec-13,1757,1768,1743.5,1757.5,4786780
12-Dec-13,1756,1784.5,1737.5,1754.5,7444063
11-Dec-13,1799,1823.5,1777.5,1785,5652587
10-Dec-13,1831,1835.5,1807.5,1807.5,6115687
9-Dec-13,1851,1851.5,1815,1844,6100748
6-Dec-13,1820.5,1862,1814.5,1845.18,6406568
5-Dec-13,1815.5,1834,1806,1815.5,5077877
4-Dec-13,1813.5,1837,1803,1818.5,6017651
3-Dec-13,1805,1818,1773.5,1801.5,7068299
2-Dec-13,1845.5,1858,1819,1822,5207323
29-Nov-13,1864,1883,1859,1872.42,5425572
28-Nov-13,1844,1885,1835.5,1875.5,4219244
27-Nov-13,1837.5,1868.5,1830,1844,4756257
26-Nov-13,1878,1883.5,1832,1841,5876493
25-Nov-13,1880,1889,1864.5,1875,2462711
22-Nov-13,1912,1912.5,1860,1876,5288692
21-Nov-13,1924,1924,1902.5,1909.5,3790538
20-Nov-13,1912,1950.5,1911.5,1936,3577149
19-Nov-13,1933,1935.5,1912,1928,3116654
18-Nov-13,1940,1946,1926.5,1940.5,2782117
15-Nov-13,1920,1944,1914.5,1932,4555287
14-Nov-13,1929,1934,1892,1913.5,4401381
13-Nov-13,1928,1935,1881,1904,7143319
12-Nov-13,1952,1956.5,1931.5,1940.5,3962311
11-Nov-13,1960,1963,1940,1956,3227446
8-Nov-13,1951,1973.5,1939.5,1970,4180402
7-Nov-13,1978,2005.5,1959,1968.5,5851512
6-Nov-13,1984,2000,1972.5,1983,4868481
5-Nov-13,1957,1996,1957,1970,5991226
4-Nov-13,1927,1954.5,1927,1949.5,3865728
1-Nov-13,1930.5,1945.5,1909,1919,5451235
31-Oct-13,1949.5,1957.5,1924.5,1930.5,5594189
30-Oct-13,1955,1970.5,1944,1952,3227507
29-Oct-13,1940,1958,1918,1949,3599281
28-Oct-13,1966.5,1970.5,1934,1944.5,3488664
25-Oct-13,1936,1959,1932,1953,3193887
24-Oct-13,1927.5,1955,1922.5,1950,4432153
23-Oct-13,1949.5,0,1911.5,1922.5,5557370
22-Oct-13,1908,1964.5,1904,1950.5,9315617
21-Oct-13,1870,1885,1867.5,1873.5,3871320
18-Oct-13,1850,1872,1848,1861.5,4419373
17-Oct-13,1842.5,1853,1829.5,1861.21,3669053
16-Oct-13,1835.5,1858.5,1817,1850,5097166
15-Oct-13,1831,1859,1830.5,1842.5,5594198
14-Oct-13,1815,1826,1799,1816.5,2564378
11-Oct-13,1806.5,1817.5,1793,1815,3715485
10-Oct-13,1778.5,1801.5,1765,1791.5,4530945
9-Oct-13,1775,1786.5,1760,1771.5,5199876
8-Oct-13,1793,1798,1762.5,1768.5,4774333
7-Oct-13,1797.5,1803.5,1777,1802,3861377
4-Oct-13,1800,1808.5,1781.5,1804.5,3628514
3-Oct-13,1823.5,1841.5,1796,1802,3532399
2-Oct-13,1800,1832.5,1777,1826,4670273
1-Oct-13,1817.5,1831,1787.5,1805,4576476
30-Sep-13,1816,1831,1806.5,1820,4073776
27-Sep-13,1883,1883,1833,1841,4273191
26-Sep-13,1868,1893,1863,1883,2895208
25-Sep-13,1860,1888,1854,1865,4409219
24-Sep-13,1876,1878,1852,1860,3986830
20-Sep-13,1911.5,1911.5,1875,1875.5,7273976
19-Sep-13,1928,1949,1906,1908,6715760
18-Sep-13,1900,1903.5,1876.5,1894.34,4207540
17-Sep-13,1905.5,1908,1887.5,1895,4997413
16-Sep-13,1910.5,1924,1905.5,1905.5,3788851
