Date,Open,High,Low,Close,Volume
27-May-14,508.9,508.9,503.5,504.17,15614856
23-May-14,507.6,507.92,504.7,506.97,9724251
22-May-14,511.1,511.1,501,508.25,15429916
21-May-14,505.1,509.3,505.1,509.27,14206058
20-May-14,504.8,506.9,501,506.3,18853389
19-May-14,508.4,510.26,505.83,509.07,18432382
16-May-14,504.9,508.1,502.98,507.1,22786071
15-May-14,504.4,505.3,500.04,503,20928378
14-May-14,500.3,504.2,499.2,503.5,17353223
13-May-14,502,502,497.35,500.2,14316092
12-May-14,501.3,504.43,498.9,501.3,14372385
9-May-14,501.6,502.7,499,500.9,11601509
8-May-14,501.6,506.78,499.75,501,19906775
7-May-14,495.75,504.2,494,501.4,25599655
6-May-14,503.9,504.59,499.65,501,15882084
2-May-14,498.65,503.8,497.75,501.7,17421303
1-May-14,503.9,505.5,496.1,498.05,9039283
30-Apr-14,496.75,506.1,495.5,499.2,29386425
29-Apr-14,491,502.65,491,502.65,31831086
28-Apr-14,490.85,492.25,483.95,488.35,28373645
25-Apr-14,490,496,489.18,493.52,23815860
24-Apr-14,487.5,489.65,486,489.35,18486996
23-Apr-14,486.7,487.25,482.35,485.85,17656929
22-Apr-14,483.25,488.2,482.29,486.65,13144981
17-Apr-14,480.2,483,477.5,482.05,15012926
16-Apr-14,476.5,479.9,476,478.55,13820725
15-Apr-14,474.85,478.15,472.8,473.55,21005196
14-Apr-14,471.55,474.55,467.1,474.55,29791297
11-Apr-14,480.9,482.65,475.1,475.45,18781689
10-Apr-14,484.55,486.29,481,484,12632537
9-Apr-14,478.2,483.15,477.87,482.95,14920705
8-Apr-14,482.9,485.15,476.9,477.2,23903150
7-Apr-14,486,489.46,482.8,484.85,13068211
4-Apr-14,486.6,495.68,483.4,490.05,12472186
3-Apr-14,484.85,488.8,482.8,485.15,12759243
2-Apr-14,484.15,488.15,482,485.4,15656243
1-Apr-14,480.7,484.95,480.5,484.3,13081520
31-Mar-14,485.35,486.6,478.8,480,23842781
28-Mar-14,477.9,497.69,476.95,484.15,19443434
27-Mar-14,474.1,477.15,471.5,476.37,18365133
26-Mar-14,473.25,479.75,472,479.01,17953792
25-Mar-14,470.15,476.35,466,473.95,31585377
24-Mar-14,470.45,473.4,468.15,468.5,26643192
21-Mar-14,468.5,474,462.64,468.77,74087785
20-Mar-14,477,477,467.6,468.25,51942990
19-Mar-14,477.15,479.05,473.5,476.97,19305930
18-Mar-14,476.05,480.5,475.05,477,26200368
17-Mar-14,479.2,479.96,475.07,476.85,26115040
14-Mar-14,478.8,482.4,476.3,477.25,23322427
13-Mar-14,484.1,484.3,477.85,478.55,17868326
12-Mar-14,483.1,485.8,482.15,482.6,21974563
11-Mar-14,484.15,487.85,483.2,484,24795342
10-Mar-14,480,487.15,479.8,484,30727363
7-Mar-14,487.85,488.3,480.05,480.05,30049096
6-Mar-14,488.15,489.7,485.1,486.9,16945141
5-Mar-14,491,491,485.2,486,24766920
4-Mar-14,492.85,495.45,481,491.5,30571231
3-Mar-14,499.7,500,491.8,492.85,34239373
28-Feb-14,504.8,506.1,501.1,504.4,36234420
27-Feb-14,504.9,508.4,500.8,503.3,20447675
26-Feb-14,507,510,504.7,506.8,19804865
25-Feb-14,506,509.6,503.5,508,50311445
24-Feb-14,498.4,505.9,498.4,505.95,26508790
21-Feb-14,500.8,505.2,499.45,501.7,32573486
20-Feb-14,493.8,500,493.75,499.55,24668526
19-Feb-14,495.6,499.55,492.35,494.98,24049062
18-Feb-14,488.4,495.85,488.3,495.1,25830749
17-Feb-14,486.4,492.35,483.95,487.7,16323105
14-Feb-14,484.5,487.65,482.4,486.4,14041120
13-Feb-14,487.15,490,482.2,485.2,16978861
12-Feb-14,487.35,493.15,486,487.05,23602060
11-Feb-14,484.4,491.75,484.4,491.75,22585705
10-Feb-14,483.95,483.95,479.55,482.05,14596381
7-Feb-14,483.75,486.05,476.75,481.7,16893914
6-Feb-14,472.2,484,469.8,482.15,24568420
5-Feb-14,473.55,476.1,468.85,470.05,21924839
4-Feb-14,472.5,476.35,463.8,473.8,30135142
3-Feb-14,475.9,478.75,472.75,473.6,16117064
31-Jan-14,478,480.1,470.15,478,21054333
30-Jan-14,477.9,482.6,476.65,477.9,17146770
29-Jan-14,479.75,480.45,472.55,476.9,21328365
28-Jan-14,477.6,480.65,474.65,476.65,16449484
27-Jan-14,485.1,487.1,474.45,475.8,27135492
24-Jan-14,489.7,493.05,485.45,486.55,26679426
23-Jan-14,491.8,494.3,487.75,488.15,22145949
22-Jan-14,491.3,495.4,490.7,493.6,21311150
21-Jan-14,494.15,495.3,490.7,491.3,16705104
20-Jan-14,490.4,494.7,487.3,494.3,11532482
17-Jan-14,482,492,475.05,491.05,31796470
16-Jan-14,490.9,491.35,487.4,489.45,18276765
15-Jan-14,493.4,494.85,491.05,492.85,19161270
14-Jan-14,490.95,492.8,487,491.05,18904908
13-Jan-14,496.3,497.65,491.85,495.8,15932466
10-Jan-14,489,499.35,487,497,22298262
9-Jan-14,495.1,499.9,494.1,495.3,19457968
8-Jan-14,494.5,494.7,491.25,492.85,14268207
7-Jan-14,488.05,494.65,484.1,494,17881261
6-Jan-14,488.35,491.6,485.1,488.95,14431257
3-Jan-14,488.85,493.4,486.2,487.9,14128912
2-Jan-14,490.95,490.95,484.65,488.85,16133918
31-Dec-13,489.1,490.8,488.05,488.05,5242901
30-Dec-13,489.1,490.85,484.5,485.75,8716825
27-Dec-13,485.65,490.65,482.3,488.7,9184860
24-Dec-13,487.85,490.8,485.8,486.2,3794159
23-Dec-13,479,484.9,477.45,484.85,11970811
