Date,Open,High,Low,Close,Volume
27-May-14,390.8,395.1,388.6,391.98,11769163
23-May-14,384.2,388,382,387.48,10891714
22-May-14,383.2,383.8,380.3,382.98,10334619
21-May-14,379.8,382.9,376.6,382.08,12805706
20-May-14,372.5,380.8,371.9,379.28,15498644
19-May-14,366.4,372.3,364.7,371.08,11047654
16-May-14,361.8,368.06,361.3,366.38,17806995
15-May-14,375,375.1,361.8,362.8,15397561
14-May-14,375,376.26,372,373.6,11244776
13-May-14,375.8,376.2,371.9,374.9,15364805
12-May-14,382.6,384.2,373.46,374.3,18849549
9-May-14,389,390,381.7,382.5,12498742
8-May-14,389.5,393.5,385.5,388,15658493
7-May-14,378.9,380.6,374,376.8,11777568
6-May-14,378.5,381.4,375.7,377.98,8087930
2-May-14,378.7,382.3,375.9,377.5,12344374
1-May-14,370,451,368.9,377.1,7182363
30-Apr-14,372.5,372.7,366,368.5,12501535
29-Apr-14,372.2,374.4,370.4,374,9241061
28-Apr-14,373,374.68,370.3,371.2,6082860
25-Apr-14,371,374.7,369.2,372.68,7746862
24-Apr-14,373.6,375.1,367.6,372.1,8433835
23-Apr-14,372.3,374.4,369.8,372,10233105
22-Apr-14,370,373,368.89,371.26,9351169
17-Apr-14,362,369.7,362,369.5,17561124
16-Apr-14,361,363.2,358.9,362,10556763
15-Apr-14,354.7,362.2,350.8,357.96,15780206
14-Apr-14,356.2,357.63,350.3,356.2,12882888
11-Apr-14,357.5,362.2,354.61,358,14366075
10-Apr-14,367.5,370.49,358.6,359.9,14388901
9-Apr-14,357.9,367.5,355.21,363.5,16008801
8-Apr-14,374.5,375.1,358.7,361.9,27186291
7-Apr-14,378.7,381.3,374.2,375,8015964
4-Apr-14,382.8,384.4,380.3,381.3,8638562
3-Apr-14,383.5,384.6,381.2,381.6,9136455
2-Apr-14,380.8,385.6,380.75,383.3,11383157
1-Apr-14,382.2,382.98,378.4,379.69,11280640
31-Mar-14,376,382.5,375.3,379.5,19616394
28-Mar-14,381.5,382.8,373,374.1,15635766
27-Mar-14,376.8,383.4,375.2,379.92,14964832
26-Mar-14,384,385.5,376.11,378.3,19443168
25-Mar-14,383.2,391,382.3,384,10758507
24-Mar-14,387.4,389.82,381.3,383.1,14598349
