Date,Open,High,Low,Close,Volume
27-May-14,1213,1226,1207,1222,673386
23-May-14,1212,1218,1200.9,1206,661659
22-May-14,1209,1216,1204,1212.94,802372
21-May-14,1196,1205,1178,1198.39,1180549
20-May-14,1187,1204,1178,1199.4,1693298
19-May-14,1215,1222.2,1171,1178,1685282
16-May-14,1236,1247,1186,1188,1709648
15-May-14,1254,1254,1214,1223.94,973743
14-May-14,1246,1254,1242,1251,1024353
13-May-14,1242,1246,1233,1240,974809
12-May-14,1228,1234,1216,1225,923358
9-May-14,1216,1224,1203,1223,762495
8-May-14,1231,1232,1211,1219.51,746186
7-May-14,1216,1226.84,1200,1225,1536051
6-May-14,1217,1227,1215,1220.03,1082206
2-May-14,1201,1220,1199,1208,1183069
1-May-14,1200,1211,1187,1195,1154081
30-Apr-14,1197,1214,1189,1194,3126318
29-Apr-14,1206,1223,1195,1199,3234543
28-Apr-14,1199,1222,1195,1203,2128746
25-Apr-14,1196,1198,1183,1197,2049830
24-Apr-14,1204,1205,1193,1195.39,1384442
23-Apr-14,1190,1200,1187,1197,2064376
22-Apr-14,1210,1217,1183,1191,3304530
17-Apr-14,1214,1226,1201,1216,1396538
16-Apr-14,1376,1383,1364,1376,961404
15-Apr-14,1367,1381,1356,1357,834636
14-Apr-14,1393,1398.92,1359,1366,1008788
11-Apr-14,1405,1406.92,1369,1395,986455
10-Apr-14,1414,1425,1409,1418,774547
9-Apr-14,1383,1413,1383,1413,1216785
8-Apr-14,1417,1421.4,1378,1380,1059322
7-Apr-14,1407,1418,1396,1418,1354380
4-Apr-14,1388,1416,1387,1414,1097775
3-Apr-14,1404,1410,1384,1385,754702
2-Apr-14,1396,1414.25,1388,1400,1302265
1-Apr-14,1362,1408,1362,1387.9,1751092
31-Mar-14,1297,1384,1277,1347,3353453
28-Mar-14,1279,1292.65,1256,1292,1249337
27-Mar-14,1360,1366,1257,1275,3196100
26-Mar-14,1380,1390,1361,1366,680489
25-Mar-14,1368,1386,1368,1375,482514
24-Mar-14,1383,1387.7,1363.3,1366,368927
21-Mar-14,1389,1393,1385,1388,941772
20-Mar-14,1370,1389,1363,1387,722384
19-Mar-14,1399,1400.85,1375,1389,722859
18-Mar-14,1389,1405,1384,1396,453943
17-Mar-14,1383,1404,1380,1393,501212
14-Mar-14,1385,1385,1365,1379,707141
13-Mar-14,1414,1418,1383,1391,680430
12-Mar-14,1435,1441,1404,1414,599720
11-Mar-14,1439,1448,1430,1442,296670
10-Mar-14,1433,1450,1431,1437,591284
7-Mar-14,1453,1460,1433,1434,578230
6-Mar-14,1465,1468,1447,1453,422713
5-Mar-14,1470,1470,1456,1459,261695
4-Mar-14,1437,1471,1437,1465,476727
3-Mar-14,1458,1458,1422,1430,745635
28-Feb-14,1457,1476,1452,1471,527669
27-Feb-14,1448,1456,1435,1454,407518
26-Feb-14,1459,1465,1448,1448,386059
25-Feb-14,1456,1461,1448,1455,871188
24-Feb-14,1443,1459,1433,1456.87,595605
21-Feb-14,1434,1443,1424,1441,480668
20-Feb-14,1426,1431,1419,1428,751750
19-Feb-14,1421,1447,1421,1433,429045
18-Feb-14,1422,1443,1417,1441,564365
17-Feb-14,1412,1424,1412,1420,331614
14-Feb-14,1410,1418,1406,1415,600931
