Date,Open,High,Low,Close,Volume
27-May-14,247.75,249.43,245.25,245.49,34915174
23-May-14,243.6,247.54,242.44,246.61,28757615
22-May-14,243.5,244.67,241.65,243.5,23418425
21-May-14,239.75,243.87,236.9,241.7,35631456
20-May-14,239.6,239.96,236.7,238.55,26431436
19-May-14,240,241.47,235.75,238.95,49538507
16-May-14,245.8,246.41,239.3,241.55,56983508
15-May-14,251.95,254.05,244.34,244.8,46040784
14-May-14,254.1,254.9,249.95,251.3,22284528
13-May-14,257.5,259,252.48,255.35,30221564
12-May-14,259,259.7,254.75,256.65,29801202
9-May-14,265,267.55,258.7,260.15,57580374
8-May-14,251,264.57,249.35,262,132027090
7-May-14,242.8,245.54,239.1,243.3,50750318
6-May-14,252.85,255.32,244.27,245,64302663
2-May-14,256,258.6,253.98,258.5,45955000
1-May-14,255,257.18,253.75,256.15,18787817
30-Apr-14,249.8,253.1,248.11,252.17,30576170
29-Apr-14,248.8,251.7,244.8,250.28,36888710
28-Apr-14,249,250.7,248.05,248.98,24339865
25-Apr-14,250.85,252.85,247.75,248.85,28463300
24-Apr-14,249.95,253.55,249.45,252,33891691
23-Apr-14,249,249.7,246.05,248.9,28652320
22-Apr-14,247,249.4,244.9,247.27,36152953
17-Apr-14,238.9,250.15,234.65,246.5,69453513
16-Apr-14,234.15,238.21,234,237.55,28965181
15-Apr-14,237,239.12,232.15,233.15,28950211
14-Apr-14,234.9,237.32,230.95,237.32,35302820
11-Apr-14,238,239.68,232.98,236.05,51874209
10-Apr-14,239.6,242.07,237.85,239.75,29766206
9-Apr-14,239.05,241.25,237.55,238.5,30290763
8-Apr-14,241.05,242.25,234.35,238.6,35329764
7-Apr-14,246.45,248.05,241.15,241.85,31553401
4-Apr-14,245.55,249,241.76,248.15,33602627
3-Apr-14,244,246.45,240.77,244.2,45244554
2-Apr-14,238.5,243.97,238.12,242.73,46133077
1-Apr-14,236.35,237.95,233.4,237.45,39648182
31-Mar-14,231.9,233.75,231.1,233.42,39160764
28-Mar-14,232.65,233.95,227.65,231.1,34862474
27-Mar-14,232.35,232.7,229.8,230.95,35667826
26-Mar-14,237.25,237.6,232.85,233.32,53482799
25-Mar-14,234.65,238.35,234.3,236.95,37892691
24-Mar-14,237.6,237.8,233.1,234.05,37762923
21-Mar-14,238.15,239.25,234.5,235.9,96147256
20-Mar-14,239.9,242.05,236.1,238.65,38236704
19-Mar-14,238.5,243.3,232.17,241.5,58172922
18-Mar-14,231.8,238,230.2,235.38,44923633
17-Mar-14,232.1,233.67,229.95,231.05,38685691
14-Mar-14,235.6,238.65,228.3,231.15,59861867
13-Mar-14,235.5,240.35,234.95,235.65,56664493
12-Mar-14,235,237.1,230.35,233.75,54787394
