Date,Open,High,Low,Close,Volume
27-May-14,3531.5,3550,3508,3537.68,1855880
23-May-14,3548,3553,3503,3515.68,1344307
22-May-14,3586.5,3625,3543,3543.18,3434505
21-May-14,3507,3526.18,3501,3526.18,1449636
20-May-14,3539.5,3539.5,3484,3503.68,1400582
19-May-14,3527,3547,3513.5,3528.35,2433402
16-May-14,3479.5,3527,3445,3513.18,3456391
15-May-14,3460,3478,3430.5,3466.5,2497292
14-May-14,3455,3467.5,3429,3464.33,1657142
13-May-14,3471.5,3473,3435,3450.5,2132626
12-May-14,3469,3478.5,3451,3458.5,1976368
9-May-14,3430.5,3446,3405.29,3417,1997830
8-May-14,3430,3449.5,3417,3436,1990464
7-May-14,3374,3415.5,3371,3415.5,2312534
6-May-14,3411.5,3416.9,3362.5,3366.33,2446557
2-May-14,3444.5,3449,3380.5,3396.5,2685876
1-May-14,3418,3461.5,3406,3449,1197898
30-Apr-14,3430,3500.32,3399,3416.66,3461235
29-Apr-14,3489.5,3489.5,3449,3487,2756005
28-Apr-14,3424.5,3475,3408,3458.65,2102898
25-Apr-14,3411.5,3427.5,3395,3424.33,2044893
24-Apr-14,3430,3432.5,3384.5,3424.5,1932991
23-Apr-14,3435.5,3459.5,3411.5,3417,1933195
22-Apr-14,3407,3444.5,3392.25,3423.84,2563196
17-Apr-14,3414.5,3414.5,3363.5,3407,3540077
16-Apr-14,3446,3452,3407,3415.16,2725123
15-Apr-14,3445,3467,3421,3435.16,2408983
14-Apr-14,3380.5,3545.9,3365,3451,3928073
11-Apr-14,3405.5,3497.4,3383.73,3392.5,2178048
10-Apr-14,3413,3433.58,3391.5,3427.66,2027945
9-Apr-14,3392.5,3431,3377,3400,2563132
8-Apr-14,3316,3395.5,3305.5,3389.66,3709153
7-Apr-14,3323,3356.5,3315.98,3328.5,1963491
4-Apr-14,3360,3360,3320,3346.5,2238122
3-Apr-14,3312.5,3325,3298,3323.5,2646775
2-Apr-14,3339,3339,3302,3306.67,2072629
1-Apr-14,3345.5,3355.64,3300.65,3323.19,1967623
31-Mar-14,3357,3446.15,3322,3335.33,3102381
28-Mar-14,3287.5,3340,3274,3340,3532085
27-Mar-14,3224.5,3287,3216.7,3286.84,2653550
26-Mar-14,3246.5,3270,3224,3234.68,2885554
25-Mar-14,3220.5,3251.5,3211.5,3250.5,2504296
24-Mar-14,3230.5,3230.5,3200.5,3213.5,2630390
21-Mar-14,3208,3244.5,3200.5,3239,4772520
20-Mar-14,3221,3225.83,3189,3214.5,2835424
19-Mar-14,3258,3264,3221.5,3232.84,2422279
18-Mar-14,3195,3266.5,3162,3253,2910769
17-Mar-14,3224,3224,3179,3200.18,2878589
14-Mar-14,3189.5,3241.5,3188.5,3224,2767517
13-Mar-14,3220,3230.5,3196.5,3200,3066005
12-Mar-14,3226,3240,3205.5,3218,3274427
11-Mar-14,3340,3352,3315,3334.5,3326648
10-Mar-14,3300,3351,3300,3341,3007545
7-Mar-14,3340,3340,3290,3290,3078571
6-Mar-14,3325,3344.5,3296.5,3335,3361349
5-Mar-14,3291.5,3347,3279.5,3325,3352933
4-Mar-14,3256,3288.5,3250.5,3286.5,3072702
3-Mar-14,3200,3227,3187.5,3210.18,3507620
28-Feb-14,3236,3273.5,3228,3250,4650385
27-Feb-14,3185,3240,3129,3217.37,3238949
26-Feb-14,3172.5,3193,3153.5,3174,2277996
25-Feb-14,3177.5,3189.5,3142,3176.5,5100005
24-Feb-14,3141,3182.5,3119.5,3182.5,3009701
21-Feb-14,3148.5,3173,3143.5,3155,3568194
20-Feb-14,3100.5,3152,3091.5,3152,3024420
19-Feb-14,3118.5,3132.5,3101,3126.5,3533778
18-Feb-14,3122.5,3146.5,3096,3141,3355972
17-Feb-14,3058,3109.5,3047,3108.5,2150785
14-Feb-14,3042.5,3049,3022.5,3047,2007242
13-Feb-14,2994.5,3063.5,2986.5,3052,4074727
12-Feb-14,3000,3012.5,2985,2995,3416299
11-Feb-14,2984.5,2995.5,2967.5,2993,2873440
10-Feb-14,2938,2966.5,2935,2966.5,1972692
7-Feb-14,2935.5,2953.5,2910.5,2925,2248495
6-Feb-14,2891,2932.5,2884,2928,3244918
5-Feb-14,2906,2920.5,2878.5,2881,2945190
4-Feb-14,2900,2922,2900,2903.5,2769552
3-Feb-14,2914.5,2944.5,2903,2916.5,2403172
31-Jan-14,2915.5,2958.5,2871,2916,4510250
30-Jan-14,2938.5,2939,2877.5,2889.5,4704929
29-Jan-14,3000.5,3001,2923,2929,4021617
28-Jan-14,3025,3032,2979.5,2985,2955781
27-Jan-14,3073,3078,3022,3024.5,2927153
24-Jan-14,3120.5,3146.5,3068,3073.25,3234194
23-Jan-14,3163,3192,3121,3126.5,2250159
22-Jan-14,3150,3177,3149.5,3167,2456533
21-Jan-14,3125,3163,3114.5,3148,3118834
20-Jan-14,3080,3127,3075.5,3121,1524816
17-Jan-14,3088,3105,3063.5,3075,3469231
16-Jan-14,3081.5,3093.5,3059,3085,2374586
15-Jan-14,3080,3086,3073,3084,2256610
14-Jan-14,3040,3075,3025,3054,2628632
13-Jan-14,3089,3096,3018,3042.5,4238251
10-Jan-14,3142,3143,3082,3084.5,2829892
9-Jan-14,3153,3166.5,3105,3111.5,2126263
8-Jan-14,3168,3186,3087.5,3154.5,2717981
7-Jan-14,3202,3219.5,3185.5,3185.5,1877566
6-Jan-14,3195.5,3219,3186,3208.2,1290509
3-Jan-14,3208,3229,3196.5,3200,1180910
2-Jan-14,3252.5,3252.5,3207,3207.5,1847183
31-Dec-13,3223,3238,3213.5,3238,454250
30-Dec-13,3255.5,3255.5,3201.5,3220.5,1244514
27-Dec-13,3238.5,3257.5,3219.5,3252.5,928573
24-Dec-13,3211,3244,3199.5,3213.5,255246
23-Dec-13,3183,3214,3183,3214,1029144
20-Dec-13,3186.5,3208,3162.5,3175.5,5969569
19-Dec-13,3186,3199,3183,3194,2129222
18-Dec-13,3170,3190,3162.5,3172.5,2334637
17-Dec-13,3156,3173,3148,3148,2395276
16-Dec-13,3126.5,3174,3119.5,3172,1700241
13-Dec-13,3132,3144.5,3118,3124.5,1692832
12-Dec-13,3150.5,3169.5,3125.5,3142.5,2452275
11-Dec-13,3163,3182.5,3155,3166,2301538
10-Dec-13,3166.5,3188.5,3156,3174.35,1652849
9-Dec-13,3201,3202.5,3170.5,3181.5,1979224
6-Dec-13,3207,3210.5,3176,3195,1920896
5-Dec-13,3213,3218.5,3191,3196.5,1702605
4-Dec-13,3190.5,3223,3189.5,3209.5,2525231
3-Dec-13,3218,3229.5,3185,3185,2126596
2-Dec-13,3268.5,3278.5,3223.5,3223.5,1683587
29-Nov-13,3248.5,3269.5,3247,3261,1719813
28-Nov-13,3250,3258.5,3217.5,3250.5,1718528
27-Nov-13,3267.5,3286,3262,3273,1749236
26-Nov-13,3290,3305.5,3268,3268,2846282
25-Nov-13,3285.5,3303,3284.5,3300,2127955
22-Nov-13,3281,3292.5,3262.5,3271,2023398
21-Nov-13,3312,3325,3281,3281,2575432
20-Nov-13,3362,3373.5,3353.5,3360,1563208
19-Nov-13,3372,3384,3368.5,3376.51,1643513
18-Nov-13,3383,3395,3368,3379,1645561
15-Nov-13,3389.5,3397,3377.5,3387,1953218
14-Nov-13,3405,3412.5,3376,3398.13,2448010
13-Nov-13,3424,3434.5,3374.5,3380,2138790
12-Nov-13,3447,3447,3409.5,3423,1842658
11-Nov-13,3443.5,3453,3422.5,3446.5,1263125
8-Nov-13,3421,3434.5,3395,3426,1565394
7-Nov-13,3446,3466.5,3417,3428,1930935
6-Nov-13,3444.5,3454.5,3425.5,3434.5,2151362
5-Nov-13,3438,3438,3408.5,3434,1373721
4-Nov-13,3444,3454,3420.5,3434.5,1338640
1-Nov-13,3449.5,3449.5,3417.5,3435.5,1403516
31-Oct-13,3433,3461.5,3414,3436,2790182
30-Oct-13,3450,3459,3429,3438.5,1944811
29-Oct-13,3451.5,3480,3415.5,3450,2035352
28-Oct-13,3415,3445.5,3401,3443.5,1549409
25-Oct-13,3377.5,3417,3362.5,3415,2659879
24-Oct-13,3420,3420.5,3376.5,3390,1901994
23-Oct-13,3369,3400,0,3386,2016575
22-Oct-13,3347.5,3416,3339.5,3385,3472695
21-Oct-13,3334,3340.5,3300.5,3336,2195320
18-Oct-13,3330,3330,3287.5,3306.33,2753991
17-Oct-13,3243,3314,3243,3276.52,2969012
16-Oct-13,3214,3259,3205.5,3250,2383880
15-Oct-13,3252.5,3262,3217.5,3221,2304325
14-Oct-13,3230,3251,3221.5,3232,1804250
11-Oct-13,3250,3250,3209,3233,1977095
10-Oct-13,3213.5,3244.5,3201,3235,2213336
9-Oct-13,3205,3222,3192.5,3205,2450314
8-Oct-13,3203.5,3232,3192,3212,2868378
7-Oct-13,3200,3201.5,3178,3200,1906242
4-Oct-13,3195.5,3231.5,3189.5,3198,2418782
3-Oct-13,3199.5,3209,3182.5,3190,2559968
2-Oct-13,3199,3199.5,3158,3178,3475412
1-Oct-13,3245,3269.5,3200.5,3204,3072390
30-Sep-13,3258.5,3285,3251,3276.5,1897154
27-Sep-13,3332,3340.5,3281.5,3295,1670456
26-Sep-13,3315,3337,3304.5,3328.5,1379203
25-Sep-13,3319,3339.5,3300.5,3304,1929200
24-Sep-13,3342.5,3348,3322,3325.5,1497305
20-Sep-13,3365,3380,3351,3355.5,3517604
19-Sep-13,3365,3421.5,3357.5,3373.5,3692547
18-Sep-13,3353,3356.5,3313,3324.5,2528726
17-Sep-13,3335.5,3375,3335.5,3346,2427078
16-Sep-13,3345,3364.5,3322,3352,1913711
13-Sep-13,3296,3316.5,3295.5,3307.02,1563449
12-Sep-13,3336.5,3338.5,3310,3316,2184187
11-Sep-13,3326.5,3339.5,3313,3329,1835144
10-Sep-13,3327,3344.5,3320,3320,1794249
9-Sep-13,3340.5,3351,3304,3308,2174022
6-Sep-13,3263.5,3289.5,3245.5,3265.54,2276932
5-Sep-13,3260,3285.5,3222.5,3269.5,2206692
4-Sep-13,3261.5,3261.5,3232.5,3254,1570795
3-Sep-13,3273.5,3303.5,3254.5,3264,2145186
2-Sep-13,3275,3312,3269,3275,1587441
30-Aug-13,3284.5,3302.5,3254,3255,2881480
29-Aug-13,3249,3280,3239.5,3271,1782136
28-Aug-13,3269,3286,3232,3243,2305278
27-Aug-13,3255,3317,3255,3278,3039699
23-Aug-13,3327.5,3340,3309,3331,2217676
22-Aug-13,3315.5,3342.5,3306,3328,2040513
21-Aug-13,3374.5,3382,3317.5,3320,1866367
20-Aug-13,3400,3418,3377,3406.5,1617714
19-Aug-13,3410,3418.5,3373,3393.5,1539511
16-Aug-13,3420,3430,3385.5,3398,2278036
15-Aug-13,3457,3479.5,3402.5,3412.5,2197225
14-Aug-13,3465,3493,3448,3448,1916501
13-Aug-13,3452.5,3477.5,3438.5,3462,1639348
12-Aug-13,3480,3480,3436,3450,1473869
9-Aug-13,3461.5,3470,3428.5,3465,1398093
8-Aug-13,3451.5,3467,3414,3447.5,2198174
7-Aug-13,3510.5,3529,3443.5,3443.5,2544103
6-Aug-13,3517,3539,3491.5,3523.5,1652245
5-Aug-13,3549.5,3574.5,3511.5,3529.5,1425284
2-Aug-13,3582,3591,3525,3546,1946795
1-Aug-13,3527.5,3579.5,3525,3563.38,2185817
31-Jul-13,3483.5,3559,3454,3506,2876011
30-Jul-13,3455.5,3493,3455.5,3462.5,1904579
29-Jul-13,3428.5,3464,3428.5,3448,1592212
26-Jul-13,3443.5,3467,3413.5,3418.5,1602419
25-Jul-13,3450.5,3459.5,3395,3421,1741793
24-Jul-13,3442,3478.5,3432,3450,2311135
23-Jul-13,3493.5,3501.5,3446,3446,2132202
22-Jul-13,3480.5,3499,3466.5,3489,1168088
19-Jul-13,3512.5,3525.5,3455,3470.5,3349639
18-Jul-13,3507.5,3537,3471.5,3501,2532996
17-Jul-13,3526.5,3529,3459.5,3508,2171025
16-Jul-13,3511.5,3542.5,3491,3495.5,2140386
15-Jul-13,3486,3518.5,3468,3508.5,1716867
12-Jul-13,3514,3530,3470,3476,1870668
11-Jul-13,3516,3526.5,3470,3495,2072711
10-Jul-13,3555.5,3584.5,3477.5,3482,3084935
9-Jul-13,3546,3598,3525.41,3553,2570484
8-Jul-13,3505,3564.61,3483,3537,1819270
5-Jul-13,3505.5,3563,3375.5,3480,2924494
4-Jul-13,3405.5,3519.5,3405.5,3506.5,2571280
3-Jul-13,3395.5,3417,3353.5,3382.5,2182808
2-Jul-13,3437,3459,3404.5,3435.5,1808009
1-Jul-13,3384.5,3448.5,3381.5,3447,2353138
28-Jun-13,3443,3455.5,3367.5,3367.5,3963021
27-Jun-13,3414.5,3458,3388,3439,2729556
26-Jun-13,3331.5,3394.5,3326,3394.5,2880036
25-Jun-13,3319.5,3339.5,3287,3325,2661850
24-Jun-13,3345,3372.5,3288,3293,2990840
21-Jun-13,3355,3399.5,3327.5,3354,8103912
20-Jun-13,3425.5,3449.5,3330,3339.76,3647483
19-Jun-13,3489,3502.5,3443,3486.5,1746796
18-Jun-13,3470.5,3501,3466.5,3476.5,2048712
17-Jun-13,3487,3519,3467.5,3467.5,1999988
14-Jun-13,3507,3507,3441,3469,2105606
13-Jun-13,3463,3492.5,3447,3483,2491076
12-Jun-13,3505.5,3538.5,3498,3500.5,1752170
11-Jun-13,3513.5,3522.5,3455,3508.5,2307379
10-Jun-13,3523,3539,3515,3520,1545456
7-Jun-13,3505,3537.5,3460.5,3527.5,2359675
6-Jun-13,3560,3576.5,3498,3498,1930913
5-Jun-13,3620,3638,3556.5,3556.5,2198246
4-Jun-13,3630,3654,3603.5,3634,1644006
3-Jun-13,3608,3635.5,3577,3603.5,1753172
31-May-13,3659,3675.78,3621.95,3623,3541163
30-May-13,3664.5,3686,3628,3660.5,1757965
29-May-13,3768.5,3807.5,3651.5,3667,2489775
28-May-13,3739,3807,3736.5,3784,2609717
24-May-13,3719.5,3742.5,3676,3706,1571711
23-May-13,3737.5,3762,3690,3715,2297258
22-May-13,3752.5,3770,3725,3752,2343991
21-May-13,3778,3784,3738.5,3758.5,2019032
20-May-13,3776,3790,3732.5,3772,1245351
17-May-13,3739,3766,3700,3762.5,1740059
16-May-13,3752,3767.5,3736.5,3744,1369593
15-May-13,3763.5,3779.5,3733.5,3757,1480249
14-May-13,3738,3758.5,3728,3746.5,1780400
13-May-13,3724.5,3750.5,3709.5,3740,1659666
10-May-13,3687.5,3737.5,3687.5,3725,2173418
9-May-13,3669.5,3702,3656,3684.5,1543662
8-May-13,3646,3688.5,3625.5,3674,1822444
7-May-13,3657.5,3657.5,3596,3633,1957940
3-May-13,3625.5,3644,3601,3628.5,1496913
2-May-13,3576.5,3643,3576.5,3634,1941876
1-May-13,3585,3621.13,3566.5,3604.5,1390869
30-Apr-13,3610.5,3610.5,3552.6,3566,3064421
29-Apr-13,3600,3600.5,3579,3591,1872905
26-Apr-13,3586.5,3607,3573.5,3596.5,1649776
25-Apr-13,3625,3660,3584.5,3591,3780977
24-Apr-13,3563,3563,3521.78,3548,2100339
23-Apr-13,3518,3572.57,3501.5,3557.5,2602910
22-Apr-13,3544,3547.5,3488.9,3503,2076390
19-Apr-13,3515,3528,3478,3526.5,2495905
18-Apr-13,3559,3564,3426,3479.5,3837628
17-Apr-13,3556.5,3567.5,3533.5,3537.5,2780510
16-Apr-13,3576.5,3584.5,3531,3531,2046467
15-Apr-13,3581.5,3615.5,3566.5,3594.5,1975195
12-Apr-13,3587.5,3611.5,3583,3590,1782238
11-Apr-13,3592.5,3618,3571,3600.5,1964484
10-Apr-13,3549.5,3585.5,3530.62,3580,2144212
9-Apr-13,3562,3562,3519,3530.5,1627971
8-Apr-13,3513.5,3551.11,3501.6,3544,1876637
5-Apr-13,3560.5,3564,3490,3510,2197478
4-Apr-13,3563.5,3586,3541.5,3549.5,1851167
3-Apr-13,3600,3606.04,3557,3562,1972949
2-Apr-13,3541,3599.5,3532.5,3590,1938432
28-Mar-13,3526,3573.5,3497,3527,2371643
27-Mar-13,3512,3524.5,3487.5,3513.5,1584701
26-Mar-13,3521,3527,3483.5,3496,1690083
25-Mar-13,3494.5,3522.5,3468,3509,1637500
22-Mar-13,3483,3525,3474,3488,1712305
21-Mar-13,3516.5,3516.5,3468.5,3492,2309574
20-Mar-13,3532,3543,3504,3514.5,2538609
19-Mar-13,3473,3516.57,3464.5,3506.5,1733540
18-Mar-13,3460,3491.21,3460,3482.5,2026720
15-Mar-13,3478,3502,3464,3494.5,4442636
14-Mar-13,3495.5,3501.5,3472,3472.5,3192917
13-Mar-13,3514,3539.09,3487.5,3491,2746590
12-Mar-13,3629.5,3639.51,3583.5,3613,2036422
11-Mar-13,3559,3631,3478,3628,2065465
8-Mar-13,3537,3580,3531.5,3562,2230953
7-Mar-13,3524.5,3535,3502.5,3517,2484533
6-Mar-13,3554.5,3559,3510.5,3519,2752509
5-Mar-13,3572.5,3580,3539.5,3566,2010703
4-Mar-13,3518,3580.44,3509,3564,2523939
1-Mar-13,3447.5,3516,3430,3508,2843061
28-Feb-13,3447.5,3457.5,3407,3434.5,3834408
27-Feb-13,3423,3427.5,3396.5,3416,1789260
26-Feb-13,3411.5,3446,3399,3422,1832982
25-Feb-13,3451.5,3465,3417.5,3427.5,2130800
22-Feb-13,3437.5,3458,3430,3453,1292193
21-Feb-13,3468,3470.5,3405.5,3439,2081803
20-Feb-13,3397,3474,3396.5,3474,2215823
19-Feb-13,3339,3391,3337.5,3390,1582012
18-Feb-13,3337,3359,3317.74,3340,985306
15-Feb-13,3346.5,3362,3323.5,3340.5,1677610
14-Feb-13,3349.5,3385.5,3332.5,3343.5,1746375
13-Feb-13,3320,3359.5,3273,3349.5,3385695
12-Feb-13,3293.5,3328,3283,3321.5,1759552
11-Feb-13,3288.5,3317.5,3276,3291,1366366
8-Feb-13,3247,3311.06,3242,3280.5,2325461
7-Feb-13,3286.5,3290.5,3241,3241.5,2001563
6-Feb-13,3292.5,3310.5,3272.5,3284.5,1510762
5-Feb-13,3277,3323.36,3263,3289.5,1693180
4-Feb-13,3325,3327.5,3278,3280.5,1935985
1-Feb-13,3283,3340,3270.53,3327.5,2229372
31-Jan-13,3267,3300,3256.5,3283,2765113
30-Jan-13,3266.5,3293.5,3243,3275.5,3575423
29-Jan-13,3257.5,3306.5,3239.5,3301.5,1909441
28-Jan-13,3237,3268.5,3232,3256,2046244
25-Jan-13,3247,3262,3208,3262,2389606
24-Jan-13,3191,3265.5,3175,3249.5,2323887
23-Jan-13,3222.5,3232,3183.5,3200,2060610
22-Jan-13,3219.5,3234,3200.32,3225.5,1748075
21-Jan-13,3181,3227,3177,3223.5,1586650
18-Jan-13,3150,3188.14,3150,3170.5,2855757
17-Jan-13,3177.5,3181.82,3124,3157.5,2340322
16-Jan-13,3157.5,3188.5,3150.5,3171,2616269
15-Jan-13,3140,3171.27,3138,3160.5,2434366
14-Jan-13,3152,3165,3139,3142,2246666
11-Jan-13,3182.5,3185,3137,3147,2257849
10-Jan-13,3171,3194.5,3162,3170,2044844
9-Jan-13,3185,3203.5,3178,3183,2232036
8-Jan-13,3199.5,3207.5,3151.01,3185.5,2678343
7-Jan-13,3200,3217,3192.5,3194,2335950
4-Jan-13,3124,3190.5,3124,3174.5,2083276
3-Jan-13,3107.5,3132.5,3091.41,3124,2036995
2-Jan-13,3116,3129,3089,3091,2623752
31-Dec-12,3110.5,3136.5,3104.5,3121,662979
28-Dec-12,3124.5,3138,3104.5,3108.5,1265366
27-Dec-12,3100.5,3138.5,3088,3123,1565380
24-Dec-12,3117.5,3141.5,3090.64,3101,698366
21-Dec-12,3105,3144.5,3099,3142,4074718
20-Dec-12,3115,3141.5,3107.5,3110,3538264
19-Dec-12,3176.5,3208.5,3095,3095,5496898
