Date,Open,High,Low,Close,Volume
27-May-14,692,718.5,692,718.5,3368840
23-May-14,711.5,715,705.33,708.5,1708559
22-May-14,703.5,712.5,701.5,712,2231528
21-May-14,700,706,697.5,703.5,1467621
20-May-14,702.5,707.5,693.5,699.5,1576370
19-May-14,704,710,699,703,1913654
16-May-14,715,718.5,695.86,702,4084896
15-May-14,717.5,722.5,709,712,3233218
14-May-14,722.5,722.5,709,719.5,2422110
13-May-14,717,718,707.5,715,2739517
12-May-14,715.5,718,712,713,2113511
9-May-14,707.5,715,704,712.5,1821253
8-May-14,698.5,711.5,698.5,711,2390379
7-May-14,691.5,697.5,691,697.5,1601489
6-May-14,689.5,695.5,688.5,694,2215975
2-May-14,689.5,694.5,683.5,686.5,2839973
1-May-14,685.5,697.5,685.5,690,1017324
30-Apr-14,698.5,698.5,688,690.5,1609878
29-Apr-14,690,702.76,689.5,697.5,2227301
28-Apr-14,694.5,701.82,688.32,689,2163401
25-Apr-14,682,693.51,680,681,1956966
24-Apr-14,689,696.56,679.5,682,1888528
23-Apr-14,684,690,684,687.5,1737718
22-Apr-14,674,687,674,684.5,1762438
17-Apr-14,673.5,677,670.68,673,2567221
16-Apr-14,664.5,673.5,664,672,1725107
15-Apr-14,661.5,666.5,660,661.5,2112102
14-Apr-14,651,660,645.36,660,1664886
11-Apr-14,664,664.5,653.5,655,2582953
10-Apr-14,663,669.5,661.68,668,2190284
9-Apr-14,656,662,656,661,1415142
8-Apr-14,665,665.96,655,656,2005964
7-Apr-14,667,671.4,662.5,666,1605858
4-Apr-14,667,672.5,665,672,1441777
3-Apr-14,667,672.5,665.5,667,1597972
2-Apr-14,656.5,670,653.5,667.5,2786806
1-Apr-14,654.5,663.5,654.5,656.91,2089766
31-Mar-14,660,661.88,650.86,654,3023215
28-Mar-14,655.5,662,655.5,659,1654147
27-Mar-14,659,661.5,654.5,655.5,1792124
26-Mar-14,668,671.5,663.44,663.5,1680351
25-Mar-14,660.5,670,660,666,1649398
24-Mar-14,659,664.5,655.5,658,1822347
21-Mar-14,660.5,668.59,658.81,660,3613377
20-Mar-14,670,671.84,656.82,659.5,2972621
19-Mar-14,673,678.25,666.86,675.5,2059992
18-Mar-14,670,681.5,667.5,674.5,1924260
17-Mar-14,663,673.5,663,670.5,2414869
14-Mar-14,670.5,674.5,660,663,3765162
13-Mar-14,674.5,675,669,673,2727847
12-Mar-14,680,683.5,669.5,671,3648249
11-Mar-14,690.5,691.5,684.5,687,2185084
10-Mar-14,689.5,694,687,688.5,2159466
7-Mar-14,700.5,700.5,687,689.5,2505898
6-Mar-14,701,704.5,700,701.5,2090868
5-Mar-14,700.5,702,697.5,700.5,1556152
4-Mar-14,690,703,689.5,703,2284677
3-Mar-14,689,694.5,685.5,688.5,1948659
28-Feb-14,695,698,690,697,2099454
27-Feb-14,695,697.5,690.5,693.5,1913584
26-Feb-14,701.5,701.5,693,695,1564622
25-Feb-14,699.5,704,696,700,3237667
24-Feb-14,698,699,692.5,699,2039008
21-Feb-14,700,706,696.5,701,3636934
20-Feb-14,687.5,696,686.5,696,1709096
19-Feb-14,687.5,692.5,685,692.5,2382226
18-Feb-14,680,688.5,678,688,2383913
17-Feb-14,667.5,680.5,666,680,1825313
14-Feb-14,667.5,671,664.5,664.5,2140115
13-Feb-14,673,674.5,664,669,3010335
12-Feb-14,679.5,679.5,671,674,2943456
11-Feb-14,675.5,681,673.5,678.5,2257034
10-Feb-14,670.5,674,668.5,672,1868023
7-Feb-14,661.5,672.5,659,668,2067150
6-Feb-14,659,663.5,650.5,659.5,2123212
5-Feb-14,653,660,648,656,2032125
4-Feb-14,654,658.5,651.5,653,3188392
3-Feb-14,652.5,663.5,650,659,2264340
31-Jan-14,667.5,669.5,650,656.5,3472078
30-Jan-14,668.5,671,661.5,669.5,2070302
29-Jan-14,680,683,664,667,2768481
28-Jan-14,675,675,664,674.5,3134550
27-Jan-14,670,672.5,658,662,3989095
24-Jan-14,664.5,666.5,662.5,664.5,2323350
23-Jan-14,665,671.5,662,665.5,3758941
22-Jan-14,674.5,675,667,667.5,3252473
21-Jan-14,670,675.5,664.5,672.5,3711164
20-Jan-14,660.5,662.5,657,661.5,1716914
17-Jan-14,654,667.5,654,664,4330268
16-Jan-14,654,658,652,655,2221020
15-Jan-14,645,658.5,643,657,2984126
14-Jan-14,642,649,639,646,1942968
13-Jan-14,638.5,647.5,638.5,645.5,2276458
10-Jan-14,634,643,633.5,638.5,2778840
9-Jan-14,633,637,628,633,3163502
8-Jan-14,619,625,618,624,2000445
7-Jan-14,620,627.5,617,626,1953495
6-Jan-14,620,625,617,620.5,1508335
3-Jan-14,617,624,616,622,2420421
2-Jan-14,629,631.5,617.5,617.5,1999141
31-Dec-13,623,631.5,623,629,753711
30-Dec-13,624,627.5,617,620.5,1461071
27-Dec-13,629,631,624,625.5,1181749
24-Dec-13,620.5,632.5,620.5,628,727350
23-Dec-13,620,624,617.5,623,1487179
20-Dec-13,613.5,619.5,610.5,619.5,5256906
19-Dec-13,606.5,616,606.5,614,2863891
18-Dec-13,600,602,598,599,1528403
17-Dec-13,596,599,593,597,2125383
16-Dec-13,595.5,600.5,595,598,1419896
13-Dec-13,590,600.5,588,598,2173574
12-Dec-13,600,600,592,592.5,1968444
11-Dec-13,599,606,599,599.5,2173419
10-Dec-13,602,607.5,599.5,601.5,2114210
9-Dec-13,602,605,599.5,604.5,1345289
6-Dec-13,602,602.5,597,601,1069430
5-Dec-13,595.5,602,595,599,1781864
4-Dec-13,600,605,598.5,598.5,1857738
3-Dec-13,600,602,597.5,600,2261267
2-Dec-13,609,611,601,601,1655881
