Date,Open,High,Low,Close,Volume
27-May-14,870.5,881.13,865,874.5,1855038
23-May-14,873,873,861,867.5,1820002
22-May-14,876.5,880,870,872.5,2343696
21-May-14,866.5,877,864.5,877,2268150
20-May-14,860,869,857.5,865.5,2460966
19-May-14,853,864.5,851,859,2759553
16-May-14,850.5,854,842,850,3187437
15-May-14,846.5,853.5,845,850,4338749
14-May-14,851,854.5,840,844,4656441
13-May-14,870,871.5,855.5,857,3799671
12-May-14,875,876,861.5,868.5,4511571
9-May-14,890,893.5,887.11,890,1296931
8-May-14,890,893.5,882.61,889,1795759
7-May-14,880.5,890.5,877.5,886.5,2848675
6-May-14,888,889,876,879.54,3375572
2-May-14,900.5,902.5,882.5,889,2763248
1-May-14,912.5,925,898.5,900.5,4148660
30-Apr-14,888.5,888.5,872.5,880.09,3645169
29-Apr-14,881.5,895,881,889.5,2385800
28-Apr-14,893,896.86,877.9,882.04,1834342
25-Apr-14,894,901.52,892,895.54,2165473
24-Apr-14,891,897,887.5,893.5,1838419
23-Apr-14,901.5,902.15,884,888,2614789
22-Apr-14,895.5,911,891.5,899.91,3062112
17-Apr-14,889,896,887,890,2062891
16-Apr-14,879,891.5,874,888.5,2706483
15-Apr-14,879.5,888.13,869.91,870,2200560
14-Apr-14,874,878.5,867.18,877,1512489
11-Apr-14,882.5,883,868.5,877,3093737
10-Apr-14,901,901.32,886,887.5,2284738
9-Apr-14,887,901.5,880,896,2183393
8-Apr-14,898,900,876,888.91,1983640
7-Apr-14,895.5,904,892,896.5,1998065
4-Apr-14,895,904.5,888.8,901,3630633
3-Apr-14,920,921,888.72,892.5,4452743
2-Apr-14,924,925.5,912.5,919,2083785
1-Apr-14,916,933.8,913,924.59,3214596
31-Mar-14,918.5,919.5,908.5,912.95,3929670
28-Mar-14,936.5,936.5,916.5,917.5,2548994
27-Mar-14,917,931.5,912.17,929.95,3556677
26-Mar-14,917,920.5,910,915.91,5012940
25-Mar-14,946.5,946.5,923,927.5,4090085
24-Mar-14,947.5,954,934.5,941.5,2784451
21-Mar-14,944,948.5,935.5,947,4619063
20-Mar-14,937,942,927.5,942,2352021
19-Mar-14,940,943,927.5,939.5,2171786
18-Mar-14,937.5,946,930,939.73,3142572
17-Mar-14,928.5,940,923.5,936.75,2435255
14-Mar-14,913,928.5,909.5,929.03,3343778
13-Mar-14,925,925,914,914.5,2648376
12-Mar-14,921.5,924,913.5,922.9,2098435
11-Mar-14,923.5,923.5,912,921,2280363
10-Mar-14,924,926.5,916.5,918,2381468
7-Mar-14,930,934,921,923,2457148
6-Mar-14,938,943.5,921.5,932,3476082
5-Mar-14,945,946,938.5,941,2102008
4-Mar-14,938,943,933.5,943,2100674
3-Mar-14,930,936,926,931.41,2531187
28-Feb-14,940,944,935,940,2955508
27-Feb-14,941.5,943,934,939.5,3520494
26-Feb-14,940,946.5,937,938.14,3102871
25-Feb-14,943,945,930.5,943.5,4466684
24-Feb-14,921,941,914.5,941,3988873
21-Feb-14,923.5,929,914.5,922.5,3296894
20-Feb-14,915,919,910.5,917,2782764
19-Feb-14,908.5,922.5,908.5,921.5,3152354
18-Feb-14,901,912.5,897.5,912.5,2653779
17-Feb-14,892,904,889.5,898.5,2067705
14-Feb-14,894,899,887.5,890,2904940
13-Feb-14,894,897,888.5,891.5,3303541
12-Feb-14,901,904,897,897,3025056
11-Feb-14,892.5,901.5,885.5,900,2286591
10-Feb-14,898.5,898.5,887.5,889.5,2410324
7-Feb-14,897.5,897.5,890,893.5,2113820
6-Feb-14,898.5,898.5,889,893.5,4452739
5-Feb-14,880,896,875,893.5,4600479
4-Feb-14,879,880.5,867.5,877,4810683
3-Feb-14,898.5,901.5,879.5,880,4317802
31-Jan-14,884,889.5,856,876,5745299
30-Jan-14,865,895.5,853,878,6715655
29-Jan-14,865,865.5,841,844.5,4215359
28-Jan-14,862.5,867.5,852.5,867,3143973
27-Jan-14,852,865.5,849,858,4660103
24-Jan-14,853,862.5,851.5,852,4575903
23-Jan-14,853.5,858.5,851,854.5,2565109
22-Jan-14,857,862.5,851.5,856.5,3783622
21-Jan-14,853,862,850,857,3357026
20-Jan-14,842,855.5,840,854,2396127
17-Jan-14,849,857.5,838.5,840,3464561
16-Jan-14,864.5,865,841.5,845,4533043
15-Jan-14,880,880,866,869.5,4134938
14-Jan-14,850,880.5,845,871,7324248
13-Jan-14,839.5,840,826,839.5,1835548
10-Jan-14,828,839.5,819,839,2994384
9-Jan-14,844,846,823,824.5,3536695
8-Jan-14,843,847,836,843,1974745
7-Jan-14,840,849.5,835.5,840.5,2044832
6-Jan-14,838.5,843,835,836,2014495
3-Jan-14,844,844,836,838,1806810
2-Jan-14,846,849,841,843.5,2257571
31-Dec-13,844.5,849.5,841,844,542973
30-Dec-13,847.5,849,836.5,840,1225274
27-Dec-13,862,862,831.5,844.5,2819307
24-Dec-13,819,838,816,833,1812219
23-Dec-13,796.5,814,796.5,812.5,2239584
20-Dec-13,797,800.5,788.5,794,3468215
19-Dec-13,800,801,790,793,2079734
18-Dec-13,800.5,805.5,791.5,791.5,2075605
17-Dec-13,798,798,791.5,796,2158810
16-Dec-13,805,805.5,797.5,802.5,1655554
13-Dec-13,788.5,805.5,788,804,3250795
12-Dec-13,799.5,799.5,786,788,2629490
11-Dec-13,804,809,799.5,800,1946042
10-Dec-13,797,808,794,804,3716312
9-Dec-13,805.5,806.5,799,800,2328758
6-Dec-13,785,811.5,785,804,3700919
5-Dec-13,785.5,797,782.5,789.5,2878622
4-Dec-13,794.5,804.5,784,785,3010149
3-Dec-13,799.5,809,793,793.5,3525387
2-Dec-13,816.5,818,798.5,805,3962019
29-Nov-13,822.5,826,818.5,819,1714843
28-Nov-13,822,827,818.5,819.5,1145864
27-Nov-13,816,825.5,816,819,2069890
26-Nov-13,834,834,815,817,4235416
25-Nov-13,834,839,830.5,834,2003200
22-Nov-13,834,842.5,829.5,830.5,2458094
21-Nov-13,835,835.5,825,834,2563621
20-Nov-13,825,839,821.5,835,4824226
19-Nov-13,820,828.5,819.5,825,3230400
18-Nov-13,818,827,811.5,822,3499883
15-Nov-13,820.5,824.5,818,819.5,3362365
14-Nov-13,815,822,812,818.06,5808712
13-Nov-13,822.5,827.5,804.5,805,5266267
12-Nov-13,825,848.5,825,840,6359822
11-Nov-13,859,865,826.5,829,14020506
8-Nov-13,930.5,933.5,920.5,930,1827621
7-Nov-13,942.5,946,933.5,934.5,1521476
6-Nov-13,935.5,944.5,935.5,940,1446551
5-Nov-13,943,945,930,933,1507149
4-Nov-13,943,949,937.5,943.5,1449219
1-Nov-13,942,949,939.5,943,1740502
31-Oct-13,932.5,942.5,922.5,937.5,3791078
30-Oct-13,928,937,928,933.5,1563022
29-Oct-13,928.5,934.5,921.5,928,1363313
28-Oct-13,928,936.5,925,925.5,1735513
25-Oct-13,936,939,922.5,928.5,2350365
24-Oct-13,946.5,950.5,941.5,950,1844807
23-Oct-13,943.5,945.5,938.5,943,1480449
22-Oct-13,938.5,945,935.5,942.5,1658930
21-Oct-13,930,939.5,923,938,1991518
18-Oct-13,945,949.5,922.5,928,3994171
17-Oct-13,884.5,951,877.5,922,7313819
16-Oct-13,873,883,868.5,878,4260173
15-Oct-13,882,883.5,874.5,874.5,2331168
14-Oct-13,874.5,879.5,869,877,1668965
11-Oct-13,873,876.5,869,873,1353995
10-Oct-13,863,872,857,869.5,1850893
9-Oct-13,867,870,854,859.5,2287253
8-Oct-13,876,882.5,869,870,1652550
7-Oct-13,876.5,883,873,877.5,1482741
4-Oct-13,878.5,883.5,871.5,878,2303617
3-Oct-13,870,883,870,881.5,1702064
2-Oct-13,877,877.5,867,873.5,1602045
1-Oct-13,869.5,883.5,869.5,880.5,2154087
30-Sep-13,866.5,875,865,870,2312918
27-Sep-13,872.5,880.5,867.5,873.5,2064397
26-Sep-13,877,883,876.5,877.5,1334007
25-Sep-13,885.5,886,874.5,876,1855193
24-Sep-13,872.5,887.5,871,885.5,2654408
20-Sep-13,856,871,855.5,869,2905954
19-Sep-13,865,877,859,861.5,2684164
18-Sep-13,865.5,869,857.5,859,1775064
17-Sep-13,867.5,875.5,862.5,868.67,1801400
16-Sep-13,872.5,874,866.5,869,1578528
13-Sep-13,858.5,868.5,857,865,2486307
12-Sep-13,851,861.5,848.5,857.5,2048787
11-Sep-13,825,849.5,825,849.5,2377331
10-Sep-13,847.5,856,847.5,852,1848132
9-Sep-13,850,850.5,842,843.5,1493502
6-Sep-13,852,855,844.5,850,2313012
5-Sep-13,860,864.5,849.5,851.5,1988761
4-Sep-13,854.5,862,850.5,858,1730644
3-Sep-13,852.5,858,847.5,855,2205881
2-Sep-13,842.5,854,842.5,852.5,1631939
30-Aug-13,849.5,850,839,839.5,2599334
29-Aug-13,841,851,837.5,847,1739766
28-Aug-13,838,842,834.5,841,2769089
27-Aug-13,834.5,842.5,831,839,2097845
23-Aug-13,826.5,839,824,835,1308752
22-Aug-13,824.5,833.5,823.5,827,1242090
21-Aug-13,829,837.5,825,825,1754778
20-Aug-13,829,831,822.5,828.5,833534
19-Aug-13,835,835,824.5,831,1334408
16-Aug-13,829.5,837.5,826.5,834.5,1872522
15-Aug-13,843.5,845,828.5,830,1548731
14-Aug-13,840.5,846,839.5,844,2216365
13-Aug-13,845.5,847.5,841,841,2055564
12-Aug-13,850.5,851.5,836.5,846,1952689
9-Aug-13,843.5,857,843.5,850,3021163
8-Aug-13,830,844,826.5,841,3209935
7-Aug-13,833.5,838,827.5,829.5,2410786
6-Aug-13,830,838.5,830,833,2505271
5-Aug-13,837.5,839.5,829.5,829.5,2310604
2-Aug-13,833.5,840,831.5,837,1661436
1-Aug-13,828.5,836.5,828.5,833,2514606
31-Jul-13,827.5,834.5,826,828,2293612
30-Jul-13,839,840,827,829,2246457
29-Jul-13,821.5,836.5,816,834,2841685
26-Jul-13,830,838.5,812.5,822,6217312
25-Jul-13,838,850.5,831.5,850,5741272
24-Jul-13,831.5,841.5,831,838,1929211
23-Jul-13,853,853.5,826.5,830,2409648
22-Jul-13,852.5,855,847.5,850,1859770
19-Jul-13,845.5,852.5,839.49,852,2087357
18-Jul-13,835,845,835,845,1365291
17-Jul-13,840,845.13,831.5,836,2417877
16-Jul-13,840,842.5,830.5,835,2646230
15-Jul-13,836,842.5,833,840.5,2234857
12-Jul-13,827,842.5,826.5,835.5,2828977
11-Jul-13,830.5,835.5,823.75,826.5,2314413
10-Jul-13,821.5,829,820,826,2039253
9-Jul-13,818.5,827,816,819.5,2535193
8-Jul-13,820.5,823.28,814.5,819,2261410
5-Jul-13,812,829,809.5,815,1952202
4-Jul-13,817,820.25,806,812.5,1539505
3-Jul-13,810,817,805.5,814,1748959
2-Jul-13,804.5,819,801,813,2375902
1-Jul-13,795.5,802.5,792.5,801,1617154
28-Jun-13,790,799,786,792,2488888
27-Jun-13,779,792,778.5,790,2634944
