Date,Open,High,Low,Close,Volume
27-May-14,1680,1684,1672,1675,357934
23-May-14,1686,1689,1663,1670,239453
22-May-14,1676,1692,1671,1686.92,362802
21-May-14,1665,1676,1658,1676,329342
20-May-14,1658,1672,1653,1668.92,330716
19-May-14,1662,1676,1645,1651.92,495755
16-May-14,1685,1686,1649,1657,610911
15-May-14,1685,1692.1,1677,1679.92,793443
14-May-14,1672,1685,1667,1682,380132
13-May-14,1666,1676,1662,1672,302266
12-May-14,1644,1663,1637,1662,431459
9-May-14,1638,1648,1629,1647,308078
8-May-14,1656,1666,1634,1641,378159
7-May-14,1636,1661,1636,1655,498157
6-May-14,1655,1666,1648,1665,415746
2-May-14,1663,1671,1645,1652,594283
1-May-14,1687,1687,1656,1665,282131
30-Apr-14,1667,1690,1667,1681,549829
29-Apr-14,1653,1671,1652,1670,484113
28-Apr-14,1658,1668,1642,1652,461004
25-Apr-14,1646,1662,1641,1662,601956
24-Apr-14,1664,1670.95,1636,1650,503667
23-Apr-14,1621,1659,1617,1654,492636
22-Apr-14,1612,1628,1601,1616,318723
17-Apr-14,1603,1610,1600,1608,422222
16-Apr-14,1590,1606,1576,1602,452579
15-Apr-14,1593,1608,1570,1575,410259
14-Apr-14,1594,1598.54,1565,1592,338611
11-Apr-14,1619,1619.56,1586,1598,290959
10-Apr-14,1631,1649,1627,1630,327468
9-Apr-14,1615,1644,1615,1627,391972
8-Apr-14,1625,1631,1600,1612,578860
7-Apr-14,1608,1625,1603,1623,392261
4-Apr-14,1609,1626.4,1604,1619,341166
3-Apr-14,1603,1615,1601.2,1606,348835
2-Apr-14,1612,1616,1594,1598,331180
1-Apr-14,1601,1611.33,1598,1606.27,273694
31-Mar-14,1602,1608,1594,1596,547611
28-Mar-14,1606,1620,1596,1600,439678
27-Mar-14,1600,1602,1591,1596,329350
26-Mar-14,1588,1605,1587,1604,458880
25-Mar-14,1564,1588,1564,1585,349321
24-Mar-14,1573,1581,1555,1558,335267
21-Mar-14,1577,1594,1572.72,1576,639856
20-Mar-14,1571,1577,1559,1573,344119
19-Mar-14,1589,1591,1579,1579,419455
18-Mar-14,1583,1594,1575,1587,465048
17-Mar-14,1574,1591,1568,1584,353993
14-Mar-14,1565,1571,1558,1565,433380
13-Mar-14,1580,1584,1568,1570,419235
12-Mar-14,1591,1598,1573,1579,404241
11-Mar-14,1596,1608,1588,1599,473199
10-Mar-14,1577,1610,1576,1597,747126
7-Mar-14,1580,1590,1571,1574,471927
6-Mar-14,1581,1584,1572,1577,405011
5-Mar-14,1579,1584,1571,1576,349738
4-Mar-14,1552,1589,1552,1585,463130
3-Mar-14,1558,1560,1539,1543,440702
28-Feb-14,1562,1579,1554,1573,591186
27-Feb-14,1569,1575,1543,1569,629179
26-Feb-14,1568,1593,1556,1566,653806
25-Feb-14,1599,1600,1551,1569,1418299
24-Feb-14,1526,1604,1502,1585,860494
21-Feb-14,1494,1495,1468,1483,745938
20-Feb-14,1479,1490,1467,1489,483930
19-Feb-14,1478,1496,1478,1483,571160
18-Feb-14,1470,1484,1458,1483,647337
17-Feb-14,1451,1468,1448,1466,384600
14-Feb-14,1433,1463,1429,1453,622843
13-Feb-14,1419,1431,1412,1431,800780
12-Feb-14,1425,1433,1400,1418,1166387
11-Feb-14,1391,1395,1381,1391,517805
10-Feb-14,1391,1394,1384,1387,311890
7-Feb-14,1383,1391,1376,1388,503975
6-Feb-14,1369,1382,1363,1378,374968
5-Feb-14,1370,1371,1356,1367,649870
4-Feb-14,1388,1390,1369,1374.17,451667
3-Feb-14,1380,1406,1374,1391,468120
31-Jan-14,1395,1395,1366,1388,414728
30-Jan-14,1389,1399,1376,1399,352705
29-Jan-14,1416,1417,1380,1391,535437
28-Jan-14,1410,1415,1399,1409,320241
27-Jan-14,1424,1426,1391,1401,399253
24-Jan-14,1438,1443,1413,1419,447075
23-Jan-14,1449,1460,1431,1436,373502
22-Jan-14,1451,1458,1445,1446,256165
21-Jan-14,1420,1451,1420,1448,419067
20-Jan-14,1422,1428,1415,1425,160812
17-Jan-14,1429,1439,1415,1418,601492
16-Jan-14,1425,1434,1410,1425,391853
15-Jan-14,1429,1438,1427,1430,336568
14-Jan-14,1407,1431,1398,1426,244637
13-Jan-14,1419,1425,1409,1417,367290
10-Jan-14,1423,1439,1419,1422,397406
9-Jan-14,1431,1435,1412,1416,307070
8-Jan-14,1433,1437,1418,1426,283907
7-Jan-14,1444,1450,1425,1430,466188
6-Jan-14,1444,1457,1441,1445,271160
3-Jan-14,1438,1454,1438,1447,246630
2-Jan-14,1455,1459,1440,1446.56,442003
31-Dec-13,1441,1458,1439,1450,111849
30-Dec-13,1438,1445,1429,1435,236214
27-Dec-13,1434,1443,1429,1441,204641
24-Dec-13,1420,1443,1417,1429,78229
23-Dec-13,1406,1423,1397,1423,224610
20-Dec-13,1410,1410,1391,1402,698306
19-Dec-13,1389,1420,1388,1404,606103
18-Dec-13,1374,1387,1368,1379,420187
17-Dec-13,1393,1393,1361,1372,534647
16-Dec-13,1347,1376,1347,1373,426349
13-Dec-13,1353,1363,1349,1351,347843
12-Dec-13,1360,1370,1348,1359,488041
11-Dec-13,1363,1384,1346,1365,427815
10-Dec-13,1360,1382,1359,1376,329150
9-Dec-13,1359,1368,1356,1366,273616
6-Dec-13,1350,1366,1350,1362,261186
5-Dec-13,1330,1355,1330,1354,332707
4-Dec-13,1344,1384,1337,1340,566187
3-Dec-13,1389,1398,1370,1371,435487
2-Dec-13,1395,1400,1380,1391,351657
29-Nov-13,1393,1403,1386,1388,397965
28-Nov-13,1393,1401,1385,1393,175422
27-Nov-13,1388,1400,1382,1394,324356
26-Nov-13,1411,1415,1391,1396,473323
25-Nov-13,1385,1406,1384,1404,260727
22-Nov-13,1380,1388,1380,1384,194507
21-Nov-13,1369,1383,1364,1377,253552
20-Nov-13,1383,1390,1365,1376,326332
19-Nov-13,1392,1396,1384,1392,208676
18-Nov-13,1387,1400,1381,1399,225053
15-Nov-13,1395,1401,1386,1391,258942
14-Nov-13,1400,1414,1388,1396,376655
13-Nov-13,1406,1412,1381,1395,336736
12-Nov-13,1413,1417,1404,1409,300159
11-Nov-13,1421,1433,1408,1408,240521
8-Nov-13,1385,1426,1384,1414,690717
7-Nov-13,1373,1393,1369,1391,741053
6-Nov-13,1368,1381,1354,1374,308124
5-Nov-13,1377,1380,1366,1373,240727
4-Nov-13,1379,1396,1371,1373,251719
1-Nov-13,1380,1380,1362,1378,249122
31-Oct-13,1360,1377,1360,1377,431401
30-Oct-13,1368,1384,1363,1369,279054
29-Oct-13,1360,1370,1347,1367,352512
28-Oct-13,1354,1369,1347,1356,254635
25-Oct-13,1369,1370,1353,1357,380144
24-Oct-13,1361,1375,1361,1371,244966
23-Oct-13,1368,1387,1362,1366,271286
22-Oct-13,1359,1373,1354,1367,261904
21-Oct-13,1360,1371,1355,1361,252134
18-Oct-13,1350,1358,1337,1357,443617
17-Oct-13,1330,1337,1310,1334,353105
16-Oct-13,1323,1331,1288,1329,640434
15-Oct-13,1333,1349,1316,1330,824446
14-Oct-13,1312,1329,1301,1329,395532
11-Oct-13,1319,1336,1317,1334,299484
10-Oct-13,1294,1328,1294,1320,259190
9-Oct-13,1300,1306,1287,1295,454763
8-Oct-13,1325,1335,1304,1305,352819
7-Oct-13,1320,1325,1304,1322,242422
4-Oct-13,1327,1331,1319,1325,443789
3-Oct-13,1327,1339,1323,1330,357536
2-Oct-13,1347,1352,1328,1335,321356
1-Oct-13,1342,1369,1336,1352,380674
30-Sep-13,1330,1341,1330,1338,324545
27-Sep-13,1357,1374,1341,1349,288735
26-Sep-13,1349,1355,1342,1344,180991
25-Sep-13,1355,1357,1343,1350,229037
24-Sep-13,1342,1362,1342,1358,335163
20-Sep-13,1347,1373,1347,1352,518908
19-Sep-13,1360,1369,1348,1351,253071
18-Sep-13,1359,1368,1347,1350,281485
17-Sep-13,1372,1381,1356,1356,476055
16-Sep-13,1368,1376,1364,1365,412531
13-Sep-13,1341,1354,1332,1352,279463
12-Sep-13,1350,1355,1333,1346,342949
11-Sep-13,1356,1357,1344,1347,402512
10-Sep-13,1365,1374,1352,1356,454994
9-Sep-13,1364,1366,1348,1357,455815
6-Sep-13,1363,1369,1349,1361,341348
5-Sep-13,1372,1387,1355,1365,474612
4-Sep-13,1373,1374,1351,1371,343187
3-Sep-13,1376,1386,1369,1374,319105
2-Sep-13,1365,1387,1365,1383,218701
30-Aug-13,1374,1381,1351,1361,502718
29-Aug-13,1359,1376,1344,1375,357542
28-Aug-13,1377,1381,1359,1364,389130
27-Aug-13,1363,1390,1341,1376,456331
23-Aug-13,1348,1366,1344,1354,170588
22-Aug-13,1341,1356,1341,1350,229938
21-Aug-13,1362,1362,1341,1345,250789
20-Aug-13,1336,1362,1326,1362,377994
19-Aug-13,1334,1354,1330,1349,260579
16-Aug-13,1344,1350,1327,1333,421117
15-Aug-13,1375,1398,1339,1343,549967
14-Aug-13,1349,1362,1346,1355,226755
13-Aug-13,1355,1373,1323,1350,346580
12-Aug-13,1360,1363,1339,1349,299163
9-Aug-13,1349,1365,1341,1361,555448
8-Aug-13,1354,1354,1340,1345,412991
7-Aug-13,1367,1369,1345,1346,575375
6-Aug-13,1360,1389,1360,1368,673780
5-Aug-13,1377,1388,1353,1360,659850
2-Aug-13,1402,1402,1373,1379,518851
1-Aug-13,1410,1420,1388,1398,503051
31-Jul-13,1394,1423,1394,1409,477835
30-Jul-13,1387,1410,1383,1403,282229
29-Jul-13,1375,1393,1375,1382,230721
26-Jul-13,1384,1389,1370,1374,231107
25-Jul-13,1372,1383,1361,1371,246435
24-Jul-13,1375,1387,1369,1379,189699
23-Jul-13,1392,1392,1371,1376,286870
22-Jul-13,1390,1390,1379,1386,152227
19-Jul-13,1389,1396,1376,1385,389670
18-Jul-13,1377,1399,1377,1396,298127
17-Jul-13,1369,1381,1362,1376,226574
16-Jul-13,1387,1393,1367,1369,341500
15-Jul-13,1378,1396.75,1376,1383,271918
12-Jul-13,1378,1394,1376,1378,321725
11-Jul-13,1399,1404,1375,1378,480018
10-Jul-13,1373,1396,1366,1392,313441
9-Jul-13,1373,1384,1365,1377,437187
8-Jul-13,1380,1389,1370,1374,431507
