Date,Open,High,Low,Close,Volume
27-May-14,1507,1534.51,1507,1529,766288
23-May-14,1530,1530,1496,1503,930357
22-May-14,1516,1531,1504,1528.85,936334
21-May-14,1509,1542,1499,1518,1516485
20-May-14,1533,1538,1510,1515,1169824
19-May-14,1537,1542,1525,1530,960411
16-May-14,1528,1533,1520,1532,934287
15-May-14,1519,1536,1517,1526,963221
14-May-14,1526,1530,1515,1520,575729
13-May-14,1530,1533,1517,1525,771579
12-May-14,1517,1530,1506,1525.92,797475
9-May-14,1517,1520,1506.69,1517,807902
8-May-14,1489,1524,1484,1523,912767
7-May-14,1485,1492,1479,1484,673814
6-May-14,1488,1498,1475,1487.93,937824
2-May-14,1494,1497,1484,1492,1097450
1-May-14,1485,1498,1462,1495,405611
30-Apr-14,1458,1486,1450,1484.85,809843
29-Apr-14,1470,1476,1455,1464,737348
28-Apr-14,1469,1479,1460,1463,761409
25-Apr-14,1454,1473,1435.03,1466,1139770
24-Apr-14,1431,1455,1423,1454,1351841
23-Apr-14,1446,1449,1424,1429,1355761
22-Apr-14,1439,1456,1437,1444.14,952457
17-Apr-14,1460,1460,1432,1440,1632618
16-Apr-14,1434,1474,1422,1466,2378750
15-Apr-14,1438,1458,1421,1422,2146254
14-Apr-14,1404,1433,1402,1431,1706021
11-Apr-14,1393,1416,1388,1413,1298998
10-Apr-14,1426,1438,1404,1407,1530774
9-Apr-14,1377,1429,1373,1417,1305117
8-Apr-14,1404,1406.9,1348,1374,2564243
7-Apr-14,1413,1415,1400,1406,1056220
4-Apr-14,1434,1452.34,1402.43,1434,955211
3-Apr-14,1392,1447,1383,1432,1948735
2-Apr-14,1391,1393,1381.72,1390,1368374
1-Apr-14,1389,1401,1382,1388,1168433
31-Mar-14,1408,1420,1393,1395,1292975
28-Mar-14,1411,1418,1396.02,1409,1154804
27-Mar-14,1420,1425,1400,1405,1096819
26-Mar-14,1385,1427,1374,1425,1887943
25-Mar-14,1382,1395,1376,1378,1013776
24-Mar-14,1393,1397,1368,1377,1461630
21-Mar-14,1403,1403,1382,1390,2169012
20-Mar-14,1424,1427.85,1387,1420,1361904
19-Mar-14,1444,1446,1423,1429.75,1058005
18-Mar-14,1447,1447,1427,1442,1199142
17-Mar-14,1429,1451,1420,1446,1189862
14-Mar-14,1419,1428,1388,1424,1593482
13-Mar-14,1462,1462,1427,1428,925409
12-Mar-14,1469,1479,1444,1453,712355
11-Mar-14,1467,1485,1457,1475,781151
10-Mar-14,1489,1503,1466,1470,1033817
7-Mar-14,1528,1529,1479,1494,1272060
