Date,Open,High,Low,Close,Volume
27-May-14,1092,1103,1091.26,1096,759190
23-May-14,1093,1097,1090,1091,586293
22-May-14,1082,1093,1078,1090.95,679300
21-May-14,1077,1081,1072,1080.95,842593
20-May-14,1069,1078,1067,1076.95,687058
19-May-14,1074,1083,1068,1070.95,1255785
16-May-14,1103,1105,1068,1073.95,1627556
15-May-14,1124,1124,1100,1102.94,716449
14-May-14,1122,1123,1116,1123,532326
13-May-14,1127,1127,1109,1119,1136053
12-May-14,1102,1119,1096,1117,978412
9-May-14,1101,1103,1092,1102,805959
8-May-14,1101,1105,1092,1101,1024292
7-May-14,1089,1099,1088,1099,1305621
6-May-14,1099,1105,1088,1092,894680
2-May-14,1089,1095,1083,1094,1474273
1-May-14,1088,1088,1075,1086,322160
30-Apr-14,1056,1086,1056,1085,1984363
29-Apr-14,1061,1070,1048,1055,1329830
28-Apr-14,1080,1082,1060,1062,900370
25-Apr-14,1081,1083,1075,1082,651550
24-Apr-14,1083,1085.85,1071,1083,913593
23-Apr-14,1081,1085.72,1078,1081,529976
22-Apr-14,1077,1084,1070,1083,828847
17-Apr-14,1068,1080,1063,1078,1065397
16-Apr-14,1055,1069,1044,1065,1050836
15-Apr-14,1080,1082,1063,1065,1082698
14-Apr-14,1085,1086.72,1072,1074,925565
11-Apr-14,1083,1090.64,1073,1088,1249863
10-Apr-14,1104,1114,1091,1092,1496877
9-Apr-14,1088,1104,1088,1097,1259096
8-Apr-14,1098,1101,1086,1087,1255201
7-Apr-14,1094,1105,1090,1100,1114935
4-Apr-14,1101,1110,1100,1103,1010525
3-Apr-14,1101,1105,1094.72,1100,813195
2-Apr-14,1105,1109,1098,1102,788265
1-Apr-14,1099,1106,1096.26,1103.24,1020441
31-Mar-14,1105,1108,1094,1096,1175396
28-Mar-14,1102,1103,1098,1102,789543
27-Mar-14,1103,1105,1093,1100,881329
26-Mar-14,1105,1108,1098,1101,1425339
25-Mar-14,1095,1112,1095,1103,1152652
24-Mar-14,1104,1107.28,1093,1096,951648
21-Mar-14,1106,1111,1094,1108,1868503
20-Mar-14,1105,1111,1095,1105,989365
19-Mar-14,1105,1116,1099.28,1111,950673
18-Mar-14,1103,1111,1098,1106,1191948
17-Mar-14,1111,1116,1102,1105,1197830
14-Mar-14,1107,1113,1099,1109,1113977
13-Mar-14,1122,1122,1109,1110,850417
12-Mar-14,1128,1131,1117,1118,959837
11-Mar-14,1125,1143,1123,1132,1248548
10-Mar-14,1134,1139,1125,1126,1296496
7-Mar-14,1133,1138,1121,1131,1044563
6-Mar-14,1141,1145,1124,1130,1310296
5-Mar-14,1146,1146,1130,1139,1281476
4-Mar-14,1120,1152,1120,1146,2405143
3-Mar-14,1130,1141,1111,1114,2561815
28-Feb-14,1160,1162,1133,1140,2154513
27-Feb-14,1120,1162,1111,1158,2949935
26-Feb-14,1092,1094,1085,1085,974980
25-Feb-14,1089,1095,1080,1090,2300509
24-Feb-14,1085,1090,1076,1089,1587935
21-Feb-14,1088,1091,1080,1085,1343694
20-Feb-14,1084,1086,1070,1082,984417
19-Feb-14,1071,1091,1071,1087,1564262
18-Feb-14,1066,1075,1059,1075,1367766
17-Feb-14,1049,1062,1049,1062,902055
14-Feb-14,1034,1050,1029,1050,1075138
13-Feb-14,1032,1034,1024,1033,1255257
12-Feb-14,1026,1032,1023,1030,985210
11-Feb-14,1016,1028,1014,1024,1711680
10-Feb-14,998.5,1015,997.5,1014,1631884
7-Feb-14,1003,1010,994.5,995.5,1550173
6-Feb-14,991,1001,985.5,1000,1057449
5-Feb-14,994.5,1005,987.5,989,1389368
4-Feb-14,990.5,1002,986,996.5,1424140
3-Feb-14,980,1003,979.5,992,1072624
31-Jan-14,998,998,968.5,983.5,2029300
30-Jan-14,1008,1010,988.5,1001,1901198
29-Jan-14,1025,1025,1003,1011,1002714
28-Jan-14,1013,1022,1007,1016,1171783
27-Jan-14,1023,1026,1008,1015,951684
24-Jan-14,1041,1045,1022,1026,799830
23-Jan-14,1060,1068,1034,1037,919264
