Date,Open,High,Low,Close,Volume
27-May-14,2418,2437,2410,2417,319167
23-May-14,2402,2407,2383,2399,587077
22-May-14,2380,2408,2373,2402,327362
21-May-14,2372,2404,2348,2378,688833
20-May-14,2340,2420,2340,2380,798141
19-May-14,2305,2325,2281,2302,884619
16-May-14,2346,2351,2292,2295,1029756
15-May-14,2395,2410,2334.77,2341.12,648633
14-May-14,2420,2433,2389,2390.12,388419
13-May-14,2441,2449,2415,2419,313708
12-May-14,2394,2432,2378,2429.12,426335
9-May-14,2400,2419,2388,2399,325500
8-May-14,2394,2413,2394,2403,387789
7-May-14,2386,2406,2384.26,2399.12,532753
6-May-14,2379,2421,2375,2399.12,978261
2-May-14,2357,2383,2340,2377.24,672386
1-May-14,2363,2376,2345,2357,289089
30-Apr-14,2353,2374,2341,2366,627416
29-Apr-14,2313,2375,2312,2370,631114
28-Apr-14,2314,2326,2285,2297,492383
25-Apr-14,2304,2325.9,2284.23,2313,388888
24-Apr-14,2291,2310.69,2272,2305,594498
23-Apr-14,2261,2294,2261,2293,444024
22-Apr-14,2242,2267,2234,2265,432476
17-Apr-14,2204,2239,2200.95,2235,584069
16-Apr-14,2211,2217.55,2189,2205,530241
15-Apr-14,2211,2232,2188,2194,555931
14-Apr-14,2237,2247.45,2184,2205,1319843
11-Apr-14,2276,2287,2235,2248,734053
10-Apr-14,2320,2340,2299,2300,659757
9-Apr-14,2340,2346.8,2312,2315,355468
8-Apr-14,2343,2361,2317,2336,418921
7-Apr-14,2348,2371,2326,2350,681011
4-Apr-14,2357,2399,2357,2370,818234
3-Apr-14,2315,2356,2304,2355,789184
2-Apr-14,2316,2326,2290,2318,803764
1-Apr-14,2287,2324,2281,2316.06,766996
31-Mar-14,2301,2310,2280,2284,721093
28-Mar-14,2293,2314,2273,2290,795903
27-Mar-14,2336,2338,2288,2289,800574
26-Mar-14,2358,2375,2284,2338,1596539
25-Mar-14,2462,2510,2317,2343,2822008
24-Mar-14,2453,2481,2444,2456,705251
