Date,Open,High,Low,Close,Volume
27-May-14,330.8,330.9,328.4,328.98,6879198
23-May-14,329,329,326.11,328.28,4075243
22-May-14,329.5,332.4,327.2,328.68,7451047
21-May-14,327.1,329.5,325.37,328.28,5261477
20-May-14,329,329.1,324.9,327.28,6803299
19-May-14,330,331.16,327.5,328.18,6872811
16-May-14,328.1,331.2,324.5,328.88,10468394
15-May-14,328,329.3,323.4,326.5,9293022
14-May-14,324.7,327.3,323.2,327.08,9650160
13-May-14,319.6,324.5,318.92,323.6,13998195
12-May-14,319.4,319.4,316.1,318,6640501
9-May-14,319.3,319.4,313.96,318,11272862
8-May-14,314,323.1,310,320,16104030
7-May-14,324.6,326.91,324.4,326.8,8708002
6-May-14,329.4,330.22,321.8,324.2,11682301
2-May-14,329.6,332.6,327.9,328.8,7266600
1-May-14,333.3,333.6,328.97,330,3725817
30-Apr-14,333.5,334.12,328.8,330,12455156
29-Apr-14,332.6,337.1,332.6,335,7632364
28-Apr-14,332,334,330.05,332.7,5125246
25-Apr-14,332,345.78,330.9,332.72,9259469
24-Apr-14,330.6,342.28,328,331.8,8295799
23-Apr-14,332.9,341.98,328.6,330.6,10768617
22-Apr-14,345.2,348.8,344,344.93,13215518
17-Apr-14,344.3,345.4,340,345,9291206
16-Apr-14,344.6,346.2,341.1,343.3,8812949
15-Apr-14,338.7,343.4,338,342,9316112
14-Apr-14,334.7,340.6,333.3,339.3,11941922
11-Apr-14,332.9,337.1,332.2,334.9,10987148
10-Apr-14,339,339,332.4,333.7,10264860
9-Apr-14,336.8,340,335.5,337.6,11086500
8-Apr-14,335.2,336.3,332.17,336,13893493
7-Apr-14,326.8,336.2,325,331.98,13411460
4-Apr-14,329.5,330.6,326.8,328.5,13096485
3-Apr-14,329.6,329.6,326.6,328.5,12863545
2-Apr-14,328.8,329.3,325.62,327.97,9607226
1-Apr-14,329.5,331.1,327.64,329.55,10186777
31-Mar-14,329,331.6,325.4,329.68,17747171
28-Mar-14,325.7,329.4,324.57,328.6,9808640
27-Mar-14,321.3,326.6,320.8,325.18,14318564
26-Mar-14,331,331,322,323.07,20472475
25-Mar-14,330.9,335,329.5,332.5,12646295
24-Mar-14,335,335.54,330.1,331.5,12231672
21-Mar-14,331.2,337.9,330.14,337.9,27977646
20-Mar-14,330.1,331.8,323.1,331.1,17220999
19-Mar-14,334.1,336.31,329.5,331.5,13946456
18-Mar-14,332.9,336,331.5,334.1,12460122
17-Mar-14,330.7,334.1,329.1,332.5,9845343
14-Mar-14,334.3,335.3,328.5,330.5,11590887
13-Mar-14,330.4,337.4,327.2,335.47,18771482
12-Mar-14,325.8,329.8,325.2,327.9,11442744
11-Mar-14,331,331,326.7,327,12936706
10-Mar-14,328.1,331.8,325.6,327,13713586
7-Mar-14,322.3,326.5,321.5,324.6,13497922
6-Mar-14,322.5,324.3,321.6,322.2,9606661
5-Mar-14,319.7,322.8,318,322.3,9465721
4-Mar-14,317.3,320.5,316.4,319.2,11819947
3-Mar-14,315.6,317.6,312.7,313.27,13871155
28-Feb-14,317.6,320.4,316.2,319,15684473
27-Feb-14,320.5,320.9,316.4,318.1,11529379
26-Feb-14,320.2,320.2,317,319.7,12416102
25-Feb-14,319.5,320.7,317.4,320.1,17439239
24-Feb-14,321,321.5,316.6,319.2,10084354
21-Feb-14,322.2,322.9,319.3,320.8,11912503
20-Feb-14,313,325.5,308.4,320.6,17559379
19-Feb-14,314.2,317.4,313,314,9107757
18-Feb-14,310,318,306.2,314.4,21760828
17-Feb-14,318,318.8,316.6,318.4,7186880
14-Feb-14,317.3,319.1,315.6,318.2,7919777
13-Feb-14,314.7,317.1,313.8,316.2,8686688
12-Feb-14,312.5,315.4,312.3,314.4,10790666
11-Feb-14,310.7,314.3,310.5,312.8,12221199
10-Feb-14,308.5,308.9,302.5,308.9,14524889
7-Feb-14,313.9,315.3,312.7,314.2,8577024
