Date,Open,High,Low,Close,Volume
27-May-14,1375,1390,1363,1373,211171
23-May-14,1380,1383,1361,1369,243127
22-May-14,1381,1396,1368,1379,275210
21-May-14,1375,1390,1372,1382,234096
20-May-14,1351,1382,1339,1375,344792
19-May-14,1395,1399,1343,1346,356325
16-May-14,1447,1455,1368,1381,581994
15-May-14,1432,1455,1418,1447,505733
14-May-14,1433,1441,1426,1436,139851
13-May-14,1440,1440,1409.64,1433,316768
12-May-14,1451,1454.7,1419,1434,246297
9-May-14,1462,1462,1434,1450,170748
8-May-14,1475,1480,1447,1460,226803
7-May-14,1449,1472,1436,1467,339269
6-May-14,1481,1488,1430,1445,234788
2-May-14,1492,1498,1476,1480,202998
1-May-14,1490,1502,1486,1497,77170
30-Apr-14,1494,1500,1488,1498,385989
29-Apr-14,1500,1509,1487,1501,285304
28-Apr-14,1489,1501,1484,1494,222451
25-Apr-14,1469,1499,1464,1481,313819
24-Apr-14,1473,1478,1448,1472,266417
23-Apr-14,1519,1523,1452,1466,391710
22-Apr-14,1521,1530,1514,1518,388054
17-Apr-14,1500,1520,1489,1519,312065
16-Apr-14,1500,1505,1492,1500,391237
15-Apr-14,1501,1504.85,1494,1495,541066
14-Apr-14,1487,1504,1481,1502,295807
11-Apr-14,1485,1495,1481,1492,269152
10-Apr-14,1500,1505,1490,1497,235591
9-Apr-14,1500,1516,1497,1499,415077
8-Apr-14,1493,1500,1483,1497,269427
7-Apr-14,1487,1503,1487,1499,310639
4-Apr-14,1486,1500,1484,1496,480624
3-Apr-14,1491,1498,1474,1484,394219
2-Apr-14,1498,1508,1494,1495,573333
1-Apr-14,1495,1502,1483,1500,216377
31-Mar-14,1507,1513,1488,1494,321551
28-Mar-14,1502,1515,1498,1505,299491
27-Mar-14,1488,1500,1480,1500,240991
26-Mar-14,1492,1500,1486,1495,279398
25-Mar-14,1478,1500,1478,1485,319961
24-Mar-14,1469,1484,1455,1477,401290
21-Mar-14,1489,1500,1455,1476,933208
20-Mar-14,1508,1519,1488,1488,299858
19-Mar-14,1514,1528,1512,1518,292830
18-Mar-14,1475,1525,1471,1516,369328
17-Mar-14,1434,1488,1434,1485,338334
14-Mar-14,1466,1478,1426,1433,262605
13-Mar-14,1478,1504,1466,1469,253056
12-Mar-14,1480,1509,1465,1471,275568
11-Mar-14,1466,1494,1440,1491,375851
10-Mar-14,1474,1504,1469,1471,181398
7-Mar-14,1524,1533,1480,1480,199729
6-Mar-14,1511,1539,1501,1512,296142
5-Mar-14,1512,1526,1504,1510,182046
4-Mar-14,1458,1522,1458,1519,354697
3-Mar-14,1452,1470,1428,1442,246382
28-Feb-14,1503,1515,1479,1485,316644
27-Feb-14,1517,1541,1498,1499,254202
26-Feb-14,1520,1530,1512,1524,198273
25-Feb-14,1521,1532,1506,1524,670836
24-Feb-14,1545,1561,1507,1516,302486
21-Feb-14,1600,1600,1550,1550,408047
20-Feb-14,1590,1601,1586,1595,172820
19-Feb-14,1592,1602,1580,1593,255517
18-Feb-14,1591,1591,1572,1585,271143
17-Feb-14,1520,1587,1520,1584,272288
14-Feb-14,1589,1596,1536,1553,360678
13-Feb-14,1600,1603,1575,1589,189160
12-Feb-14,1594,1599,1582,1592,281372
11-Feb-14,1584,1593,1566,1578,488726
10-Feb-14,1614,1614,1593,1601,364513
7-Feb-14,1612,1617,1594,1605,271736
6-Feb-14,1600,1615,1585,1611,380308
5-Feb-14,1585,1617,1568,1599,324964
4-Feb-14,1586,1594,1570,1582,325194
3-Feb-14,1604,1624,1583,1585,389263
31-Jan-14,1658,1667,1576,1613,585209
30-Jan-14,1639,1679,1614,1667,277897
29-Jan-14,1678,1695,1615,1652,276117
28-Jan-14,1666,1683,1655,1683,219434
