Date,Open,High,Low,Close,Volume
27-May-14,998,1013.45,997.5,1004,1964750
23-May-14,1001,1005.8,993,995,2202371
22-May-14,985,1003,984,1002,2066577
21-May-14,985,990,980,986,2929627
20-May-14,1001,1009,992.5,993.5,2116833
19-May-14,993.5,1007,992.5,1001,2944214
16-May-14,997.5,1004,982.06,990.5,4204537
15-May-14,992,1001,990,993,4202255
14-May-14,1020,1039,993,996.05,5327261
13-May-14,985.5,988.5,975,980.55,2540538
12-May-14,975.5,982,970,981,2492870
9-May-14,963,972.5,959.5,972,2323265
8-May-14,962.5,965,959.5,962,1704860
7-May-14,951,967.5,950,961.5,3715163
6-May-14,945.5,952.5,942,949.55,2108748
2-May-14,941,949.94,938.5,945.5,2400626
1-May-14,944.5,954.82,938,941.5,1125012
30-Apr-14,931.5,943,928.5,942,2512887
29-Apr-14,933.5,940.5,926.44,936,2948767
28-Apr-14,936,943,928,929,2021778
25-Apr-14,930.5,936.05,928,936.05,2046624
24-Apr-14,937,939,924,932.59,2438535
23-Apr-14,929,937,927.5,934.5,2439289
22-Apr-14,920,930.06,916.5,925.59,1977985
17-Apr-14,911,921.5,907,919.5,1774672
16-Apr-14,913,916.5,904.5,907.5,2572318
15-Apr-14,909,916,904.5,907.09,2691451
14-Apr-14,904,912.09,892,912,4195018
11-Apr-14,912.5,915,901.33,908.5,2726162
10-Apr-14,915.5,928,909,921,3334766
9-Apr-14,906.5,912.5,903.4,909.5,2004575
8-Apr-14,913.5,914,894.5,904.5,3474936
7-Apr-14,910,919,906.5,913.5,2880293
4-Apr-14,909,917,909,916,2374708
3-Apr-14,914,918.5,906.5,908,2625323
2-Apr-14,920,926.5,915,915,2485459
1-Apr-14,915.5,920.5,911.5,916.24,2032807
31-Mar-14,924.5,928,912,915.09,2562770
28-Mar-14,925,929.5,919.5,920.5,2456383
27-Mar-14,925,929.5,918,923.05,2866196
26-Mar-14,919.5,936,919.18,929.09,3970618
25-Mar-14,901,920,901,917.5,3029582
24-Mar-14,906,910.5,898,901,2871079
21-Mar-14,907.5,912.5,900.36,907.55,4684253
20-Mar-14,909,912,902,907.5,3778591
19-Mar-14,920,923,914,914.5,2013832
18-Mar-14,913,924.5,908.5,919,2050251
17-Mar-14,913.5,920.5,910.5,915,2286091
14-Mar-14,910.5,917,909,912,2980425
13-Mar-14,920.5,922.5,914,914,2210382
12-Mar-14,932,935,920,920,2868369
11-Mar-14,939,941,926.5,936.5,2457108
10-Mar-14,946.5,948,936,938.5,2815781
7-Mar-14,942.5,953.5,938.5,945.5,2823008
6-Mar-14,945,949,942,943.5,1921629
5-Mar-14,953,955,942.5,943.5,2392204
4-Mar-14,941,955,941,954.5,2351968
3-Mar-14,936,944.5,927.5,930.11,3867382
28-Feb-14,937,948,932,944.5,3956637
27-Feb-14,939.5,945,933.5,938,2822064
26-Feb-14,941.5,946.5,936,940.5,2681075
25-Feb-14,941,946,934.5,941,4641747
24-Feb-14,922.5,940,922,938.5,2988110
21-Feb-14,917.5,930,917.5,924,3683535
20-Feb-14,918,922,914.5,917,3224699
19-Feb-14,931.5,937,920,922,2642858
18-Feb-14,923,932.5,918.5,932,2759027
17-Feb-14,917,924.5,917,920,2381671
14-Feb-14,907,915,906,913.5,3108964
13-Feb-14,915,921.5,895,904.5,3763400
12-Feb-14,911,918.5,906.5,916,4399870
11-Feb-14,894,907,893,907,4500235
10-Feb-14,894.5,895.5,883,891,4067030
7-Feb-14,902.5,903.5,889,892,4048008
6-Feb-14,917.5,917.5,896,901.5,4533490
5-Feb-14,903.5,905.5,897,899.5,4545146
4-Feb-14,903,910.5,900.5,903,2837096
3-Feb-14,911,943.5,905.5,907,2911172
31-Jan-14,919.5,922,904,910.5,4223442
30-Jan-14,929,932.5,917.5,919,3241985
29-Jan-14,935.5,941,921,934.34,3898863
28-Jan-14,928,937,924.5,932.5,2671633
