Date,Open,High,Low,Close,Volume
27-May-14,2520,2578,2514,2574.87,284485
23-May-14,2584,2585,2561,2576.87,149157
22-May-14,2584,2597.56,2575,2580.87,129781
21-May-14,2563,2592,2551,2585.87,211687
20-May-14,2562,2571,2550,2566.87,354601
19-May-14,2554,2575,2542,2557.87,178051
16-May-14,2572,2582,2542,2553,313573
15-May-14,2581,2581,2560,2578,229125
14-May-14,2560,2576,2552,2576,157667
13-May-14,2535,2567,2534,2562,187988
12-May-14,2505,2528,2495,2528,188729
9-May-14,2491,2505,2477,2496,154464
8-May-14,2498,2501.92,2477,2491,246040
7-May-14,2491,2504,2473,2488,260970
6-May-14,2560,2571,2473,2494,424325
2-May-14,2576,2587,2559,2565,193277
1-May-14,2587,2592.4,2560,2575,88843
30-Apr-14,2533,2579,2528,2576,307817
29-Apr-14,2562,2576,2559,2571,225019
28-Apr-14,2586,2593,2553,2553,178269
25-Apr-14,2544,2582,2539,2578.87,308351
24-Apr-14,2550,2569,2524,2547,399262
23-Apr-14,2569,2581,2562,2581,181087
22-Apr-14,2582,2599,2533,2570,286413
17-Apr-14,2565,2582,2546,2576,151482
16-Apr-14,2545,2579,2545,2560,211859
15-Apr-14,2559,2573,2548,2553,176718
14-Apr-14,2553,2576,2549,2563,327961
11-Apr-14,2538,2588,2538,2565,335081
10-Apr-14,2557,2576,2545,2551,205178
9-Apr-14,2518,2554,2515,2545,170748
8-Apr-14,2506,2518,2481.44,2517,207223
7-Apr-14,2501,2526,2490,2509,206262
4-Apr-14,2495,2520,2495,2506.49,220355
3-Apr-14,2539,2539,2484,2492,325543
2-Apr-14,2561,2571,2532,2542,287246
1-Apr-14,2549,2565.29,2547,2555.26,272619
31-Mar-14,2542,2552,2521,2546,257504
28-Mar-14,2533,2591,2529,2539,378676
27-Mar-14,2506,2531,2502,2522,374360
26-Mar-14,2485,2522.54,2482,2514,315346
25-Mar-14,2469,2494.41,2465,2475,334542
24-Mar-14,2451,2476,2450,2470,436177
21-Mar-14,2421,2465,2421,2456,380034
20-Mar-14,2408,2437,2393,2418,271939
19-Mar-14,2385,2432,2385,2424,393791
18-Mar-14,2377,2399,2356,2393,254709
17-Mar-14,2334,2377,2313,2370,280236
14-Mar-14,2301,2333,2295,2326,319638
13-Mar-14,2360,2370,2310,2319.2,313881
12-Mar-14,2411,2413,2367,2367,256218
11-Mar-14,2432,2440,2409,2427.85,230108
10-Mar-14,2440,2452,2414,2425,269219
7-Mar-14,2489,2489,2446,2452,233761
6-Mar-14,2524,2526,2481,2485,281452
5-Mar-14,2522,2536,2509,2511,235304
4-Mar-14,2538,2551,2517,2530,297992
3-Mar-14,2525,2525,2503,2515,264923
28-Feb-14,2536,2548,2535,2541,266542
27-Feb-14,2525,2540,2518,2539,399877
26-Feb-14,2538,2541,2507,2527,331562
25-Feb-14,2448,2555,2448,2538,602728
24-Feb-14,2481,2508,2470,2495.23,301889
21-Feb-14,2517,2517,2486,2492,167389
20-Feb-14,2493,2516,2484,2510,229333
19-Feb-14,2491,2526,2491,2517,240966
