Date,Open,High,Low,Close,Volume
27-May-14,1912,1918.5,1897,1900.1,1943777
23-May-14,1920.5,1925.5,1886,1902,2013338
22-May-14,1910,1936.5,1904.5,1924.4,2316770
21-May-14,1897.5,1911,1895,1910.9,2195580
20-May-14,1925.5,1927.5,1895.5,1897.5,2635707
19-May-14,1943,1959,1916,1918.81,3717697
16-May-14,1907.5,1952.5,1906,1942,5689776
15-May-14,1871.5,1914,1871.5,1909.6,3582465
14-May-14,1874.5,1885,1863.5,1878.09,1657966
13-May-14,1864,1880.5,1859,1871.5,2565664
12-May-14,1856,1862.09,1843.5,1862.09,1754224
9-May-14,1826.5,1856,1822.98,1851,2858820
8-May-14,1830,1839.5,1815.5,1831,2363047
7-May-14,1824.5,1830.5,1814.5,1825,2936237
6-May-14,1838,1838.75,1819.5,1827.09,1749182
2-May-14,1825,1842,1816.5,1825.68,2762644
1-May-14,1819.5,1837,1811.5,1825,1814221
30-Apr-14,1815.5,1831.5,1808.5,1817.59,3080438
29-Apr-14,1823,1829,1810.5,1826.18,2714516
28-Apr-14,1804,1828,1795,1821.59,2883242
25-Apr-14,1800.5,1810.5,1799,1807.09,2863094
24-Apr-14,1818.5,1826,1805,1805.5,3588774
23-Apr-14,1840.5,1847.5,1814.67,1816.5,3163872
22-Apr-14,1871.5,1879.5,1834,1837.82,5168575
17-Apr-14,1820,1841.5,1804,1829,8173633
16-Apr-14,1914,1917,1893,1900,4214678
15-Apr-14,1911.5,1919,1892.5,1910,4187282
14-Apr-14,1866,1937,1865.5,1917,4924769
11-Apr-14,1874,1884,1857.5,1872.31,2562617
10-Apr-14,1879.5,1898.26,1873.5,1889,2645677
9-Apr-14,1878,1909.5,1876.5,1882,3738115
8-Apr-14,1850,1879,1847.5,1878.5,3911950
7-Apr-14,1845.5,1865.5,1842.5,1855.5,2737447
4-Apr-14,1847,1866,1837,1858,2825384
3-Apr-14,1835,1840,1825.5,1833.5,2678724
2-Apr-14,1848,1852.5,1825,1832,4302098
1-Apr-14,1865.5,1865.5,1829,1851.75,3677780
31-Mar-14,1879.5,1892,1853.5,1860.91,3824848
28-Mar-14,1866,1878,1859.5,1868.5,3043589
27-Mar-14,1828.5,1869.5,1820.5,1863.91,3940147
26-Mar-14,1854.5,1862,1835.5,1836.82,3572439
25-Mar-14,1822,1854.5,1819.7,1850.5,4112630
24-Mar-14,1812.5,1824,1798,1819.5,3998658
21-Mar-14,1799,1810,1789.42,1789.42,6887432
20-Mar-14,1780,1792.5,1765.8,1791.5,3810235
19-Mar-14,1804,1805,1774.82,1790,3676264
18-Mar-14,1780,1800.5,1775,1797.5,4944257
17-Mar-14,1818,1819.5,1778,1780,6541787
14-Mar-14,1802.5,1829,1797,1821,3676208
13-Mar-14,1816.5,1827,1803,1806,3035597
12-Mar-14,1838.5,1839.5,1808,1809.5,3951169
11-Mar-14,1863.5,1863.5,1844,1849,2313440
10-Mar-14,1833,1855,1832.5,1855,3654253
