Date,Open,High,Low,Close,Volume
27-May-14,105.80,108.00,104.79,106.50,1722443
23-May-14,102.00,105.80,101.50,103.90,1897295
22-May-14,101.40,103.00,98.55,102.10,1978467
21-May-14,99.00,102.00,97.60,99.70,1101663
20-May-14,99.75,102.70,97.70,99.65,1683401
19-May-14,99.00,100.20,96.00,99.90,3334699
16-May-14,103.50,103.80,93.65,100.10,3463716
15-May-14,105.40,108.40,100.80,102.30,2273350
14-May-14,103.80,106.00,102.34,105.00,1302680
13-May-14,105.70,106.20,102.33,103.50,1497910
12-May-14,103.30,106.40,99.23,104.40,1670407
9-May-14,105.50,105.50,101.60,103.16,2108503
8-May-14,105.50,107.50,103.40,104.80,1829305
7-May-14,101.20,105.00,100.10,103.38,1787690
6-May-14,99.45,102.10,98.60,100.41,2336874
2-May-14,99.20,101.90,97.45,100.18,3129564
1-May-14,96.65,99.00,95.06,97.72,1439325
30-Apr-14,96.45,98.00,95.37,96.65,3004162
29-Apr-14,94.50,97.20,91.60,96.05,4070499
28-Apr-14,92.20,95.00,89.15,94.00,3739543
25-Apr-14,93.25,95.60,90.60,92.30,2191902
24-Apr-14,96.50,96.85,92.35,93.20,2375562
23-Apr-14,93.70,96.15,93.70,95.38,2123685
22-Apr-14,91.85,95.50,89.98,94.90,3879241
17-Apr-14,84.70,92.95,83.75,91.10,4224466
16-Apr-14,86.80,86.80,82.15,83.45,1892495
15-Apr-14,86.75,93.49,84.20,84.50,4914768
14-Apr-14,81.90,86.05,76.08,85.85,2660421
11-Apr-14,83.35,85.10,81.00,81.35,2403515
10-Apr-14,83.45,85.25,82.50,84.75,3459740
9-Apr-14,78.80,85.50,78.75,81.95,4353336
8-Apr-14,76.95,79.50,75.25,78.95,3202167
7-Apr-14,78.70,80.85,75.20,75.70,1786901
4-Apr-14,77.00,80.00,76.22,79.90,2522873
3-Apr-14,77.25,78.05,75.30,76.00,3070817
2-Apr-14,79.10,79.75,76.80,78.05,3751193
1-Apr-14,82.40,82.86,74.60,79.61,3036592
31-Mar-14,73.95,81.15,73.50,79.70,4740680
28-Mar-14,70.80,73.25,70.80,72.05,1860413
27-Mar-14,68.65,71.95,66.70,70.85,3169263
26-Mar-14,67.45,70.45,65.22,69.20,2389220
25-Mar-14,65.00,67.65,64.40,67.65,2090958
24-Mar-14,65.90,66.75,63.30,65.20,2395124
21-Mar-14,63.10,65.25,62.20,65.15,9557248
20-Mar-14,62.55,65.70,62.03,63.05,3816837
19-Mar-14,60.85,65.90,60.71,62.65,5238508
18-Mar-14,55.25,61.00,54.70,60.60,6080299
17-Mar-14,54.45,56.38,53.55,55.25,2974757
14-Mar-14,55.05,55.05,51.35,54.40,3126643
13-Mar-14,56.35,57.60,55.85,55.85,2535207
12-Mar-14,57.95,58.20,55.60,56.45,3091222
11-Mar-14,60.05,61.00,57.30,58.25,2827786
10-Mar-14,62.75,64.55,58.70,60.00,4849568
7-Mar-14,64.65,66.45,63.00,63.65,2882467
6-Mar-14,64.00,68.65,63.80,64.90,7387471
5-Mar-14,62.70,66.00,61.80,63.30,2961763
4-Mar-14,62.50,65.60,61.70,63.10,4067055
3-Mar-14,68.10,68.10,60.70,61.15,4577277
28-Feb-14,70.60,71.20,67.90,70.05,3706075
27-Feb-14,73.40,74.00,69.05,71.05,3206159
26-Feb-14,76.20,76.85,72.85,72.85,2324293
25-Feb-14,80.00,80.00,75.65,76.45,2486244
24-Feb-14,81.65,81.65,78.30,80.15,1771423
21-Feb-14,82.80,84.85,81.70,82.25,1561069
20-Feb-14,81.20,83.95,77.25,83.10,3919073
