Date,Open,High,Low,Close,Volume
27-May-14,1028,1030,1021,1022.95,1777349
23-May-14,1024,1025,1018,1022,1484712
22-May-14,1026,1028,1022,1023.95,2217450
21-May-14,1026,1030,1021,1024.95,1529507
20-May-14,1034,1037,1023,1024,2052098
19-May-14,1039,1044,1025,1031.95,3356705
16-May-14,1059,1059,1034,1039.95,2667992
15-May-14,1084,1084,1049,1055,2161301
14-May-14,1076,1083,1069,1082.95,1812704
13-May-14,1064,1070.29,1056,1065,2234674
12-May-14,1051,1060.27,1047,1057,1972744
9-May-14,1063,1063,1046,1049,1501925
8-May-14,1059,1068,1054,1062,2858495
7-May-14,1100,1100,1053,1060,3418156
6-May-14,1128,1137,1120,1134,1439339
2-May-14,1135,1137.28,1120,1124,1768385
1-May-14,1144,1150.14,1133,1135,805624
30-Apr-14,1139,1139,1123,1136,1592250
29-Apr-14,1129,1143,1129,1140,1751970
28-Apr-14,1130,1130,1118,1125,1082760
25-Apr-14,1127,1132.28,1120,1125,1146231
24-Apr-14,1135,1135,1121,1133,1512856
23-Apr-14,1109,1130,1107,1127,2129269
22-Apr-14,1086,1115,1081,1107,1552171
17-Apr-14,1076,1081,1069,1081,1227742
16-Apr-14,1058,1078,1057,1073,1507413
15-Apr-14,1053,1063,1043,1052,1093356
14-Apr-14,1055,1063,1048,1054,1172281
11-Apr-14,1067,1072,1045,1058,1300987
10-Apr-14,1082,1085,1071,1077,1108707
9-Apr-14,1051,1076,1047.21,1075.95,1697881
8-Apr-14,1060,1061,1035,1049.9,2188230
7-Apr-14,1077,1080.28,1060,1064,1194260
4-Apr-14,1085,1088.53,1078,1083,1190845
3-Apr-14,1094,1097,1079,1080,1081992
2-Apr-14,1094,1100,1089,1094,979287
1-Apr-14,1085,1094,1080,1086.57,1545554
31-Mar-14,1095,1101,1079,1081,1945050
28-Mar-14,1083,1097,1082.11,1093,2060796
27-Mar-14,1072,1078.02,1065,1077,1444477
26-Mar-14,1058,1077,1055,1074,1619562
25-Mar-14,1048,1064.28,1048,1054,1566239
24-Mar-14,1063,1070,1046,1047,1842659
21-Mar-14,1060,1064,1053,1063,3177672
20-Mar-14,1058,1060,1045,1057,1563000
19-Mar-14,1071,1071,1062,1065,1351568
18-Mar-14,1052,1073,1048,1071,2024769
17-Mar-14,1044,1056,1044,1055,1626563
14-Mar-14,1028,1049,1025,1045,2444208
13-Mar-14,1042,1044,1027,1032,2227303
12-Mar-14,1046,1048,1034,1039,2130500
11-Mar-14,1042,1054,1038,1047,1569662
10-Mar-14,1046,1047,1020,1043,2662937
7-Mar-14,1067,1068,1043,1046,3171386
6-Mar-14,1072,1077,1063,1069,2064786
5-Mar-14,1100,1100,1070,1071,2175516
4-Mar-14,1085,1106,1085,1102,1448157
3-Mar-14,1069,1081,1060,1078,2089484
28-Feb-14,1100,1108,1070,1081,3127126
27-Feb-14,1103,1106,1086,1098,1453892
26-Feb-14,1112,1120,1106,1106,1686303
25-Feb-14,1108,1116,1096,1112,2676332
