Date,Open,High,Low,Close,Volume
27-May-14,1583,1593,1579,1588.08,674797
23-May-14,1556,1584.39,1537,1572,579878
22-May-14,1556,1572,1541.2,1550,1202123
21-May-14,1580,1595,1539,1550,1180782
20-May-14,1585,1597,1567,1580.08,1102989
19-May-14,1523,1590,1515,1587.08,1537560
16-May-14,1558,1566,1473,1516,2530330
15-May-14,1667,1670,1549,1550,2078609
14-May-14,1660,1689.61,1652,1662.08,1464073
13-May-14,1700,1704.65,1626,1658,2125448
12-May-14,1686,1740,1685,1730,850222
9-May-14,1711,1721,1677,1685,712054
8-May-14,1713,1725.01,1701,1715,798646
7-May-14,1698,1719,1669,1700.32,1147599
6-May-14,1652,1689.61,1643,1663.1,802710
2-May-14,1654,1660,1638,1641,570403
1-May-14,1637,1669,1637,1653,275580
30-Apr-14,1656,1661,1628,1637,974176
29-Apr-14,1639,1675.58,1634,1663,748263
28-Apr-14,1660,1677.57,1623.61,1628,945336
25-Apr-14,1696,1704,1653,1661,769052
24-Apr-14,1703,1737,1688,1699,1044545
23-Apr-14,1713,1723,1681,1686,570904
22-Apr-14,1689,1719,1679,1712,811769
17-Apr-14,1658,1690,1654,1683,714985
16-Apr-14,1625,1656,1620,1653,886426
15-Apr-14,1642,1663,1605,1608,981794
14-Apr-14,1696,1702,1613,1640,1220959
11-Apr-14,1741,1746.56,1667.56,1700,1130485
10-Apr-14,1786,1807.54,1753,1761,898225
9-Apr-14,1757,1799,1757,1778,759698
8-Apr-14,1791,1794,1740,1750,1057507
7-Apr-14,1810,1826.95,1789,1796,743967
4-Apr-14,1813,1853,1798,1829,1273714
3-Apr-14,1794,1806.02,1771,1791,758986
2-Apr-14,1776,1793,1772,1790,1166855
1-Apr-14,1723,1773.05,1723,1765.38,938579
31-Mar-14,1725,1733.28,1703,1715,949226
28-Mar-14,1717,1724,1699,1711,654251
27-Mar-14,1717,1725.9,1698,1711,1015785
26-Mar-14,1700,1727,1687,1723,1131349
25-Mar-14,1700,1730,1682,1692,2632075
24-Mar-14,1621,1633,1587,1632,1116348
21-Mar-14,1607,1629,1606,1622,979748
20-Mar-14,1623,1624,1578,1608,1204236
19-Mar-14,1628,1650,1602,1634,1003525
18-Mar-14,1640,1643.81,1610,1625,865547
17-Mar-14,1613,1645,1613,1636,646484
14-Mar-14,1619,1641,1591,1615,874816
13-Mar-14,1655,1674,1631,1634,936289
12-Mar-14,1648,1658,1620,1647,789851
11-Mar-14,1641,1670,1634,1655,727554
10-Mar-14,1679,1709,1639,1641,987894
7-Mar-14,1709,1720,1681,1681,654636
6-Mar-14,1741,1760,1711,1711,1011404
5-Mar-14,1730,1745,1724,1739,871384
4-Mar-14,1684,1734,1684,1731,988865
3-Mar-14,1693,1709,1674,1675,1281290
28-Feb-14,1720,1731,1707,1721,1009264
27-Feb-14,1679,1722,1673,1721,1077727
26-Feb-14,1704,1719,1670,1680,1256531
25-Feb-14,1771,1773,1748,1771,1154065
24-Feb-14,1736,1772,1731,1771.46,643361
21-Feb-14,1751,1751,1720,1744,592576
20-Feb-14,1734,1750,1713,1748,916647
19-Feb-14,1749,1755,1730,1747,464439
18-Feb-14,1732,1755,1729,1753,604224
17-Feb-14,1707,1734,1707,1727,601289
14-Feb-14,1722,1736,1709,1713,877280
13-Feb-14,1725,1731,1699,1726,937530
12-Feb-14,1735,1743,1714,1734,565850
11-Feb-14,1718,1735,1713,1731,787368
10-Feb-14,1732,1732,1699,1707.5,571590
7-Feb-14,1711,1730,1700,1728,806988
6-Feb-14,1671,1706,1664,1703,1097002
5-Feb-14,1663,1681,1654,1661,1043242
4-Feb-14,1625,1667,1611,1660,1003757
3-Feb-14,1650,1662,1621,1635,1108633
31-Jan-14,1631,1645,1604,1644,1153714
