Date,Open,High,Low,Close,Volume
27-May-14,848,849.5,816,822,1129392
23-May-14,844.5,854.5,832.5,849,483006
22-May-14,833,854.5,832.5,845,841976
21-May-14,835.5,835.5,819.85,829.5,494336
20-May-14,849.5,849.5,829,832.5,533728
19-May-14,837.5,854,832.5,846.5,738509
16-May-14,858,858,832,836,1143504
15-May-14,839,868,835.52,860.5,1538849
14-May-14,822.5,840.31,816,836.5,745837
13-May-14,837,845,818,825,743110
12-May-14,827,839,816,832.5,687388
9-May-14,809,822,798.5,816.5,886099
8-May-14,821.5,822.5,807.5,810,692694
7-May-14,822.5,827.5,811,820,949168
6-May-14,835,836.6,817.86,826.5,638548
2-May-14,821,841,815.5,832,987077
1-May-14,836.5,852.5,826,830,425465
30-Apr-14,844.5,854.24,836.28,851.5,1015502
29-Apr-14,862.5,864,838,849.5,1023661
28-Apr-14,849.5,868.5,845.5,864.5,635596
25-Apr-14,843.5,856,841,850,645605
24-Apr-14,853.5,866,835.43,846,1234273
23-Apr-14,848,854.5,841.03,853,927918
22-Apr-14,866,874,844.5,848,1187045
17-Apr-14,879,881.77,848,868,1029540
16-Apr-14,910,913.5,879.5,884,1126495
15-Apr-14,929,929.55,900,901.5,1085687
14-Apr-14,911,934,911,932.5,1065225
11-Apr-14,898,911.5,891,908.5,630162
10-Apr-14,887.5,904.5,887,899.5,1142274
9-Apr-14,907.5,913,876,884,990814
8-Apr-14,891,910,891,905,1129459
7-Apr-14,876,892.5,870.5,891,730061
4-Apr-14,872.5,898.18,868,891,934283
3-Apr-14,877.5,893,859.5,870.5,858219
2-Apr-14,864.5,883,856.43,877,1283832
1-Apr-14,844.5,852,839.5,843.94,754933
31-Mar-14,853,865.79,842,843.5,1029646
28-Mar-14,843.5,863.5,836.5,850,955693
27-Mar-14,868,869.5,833.5,837.5,1347627
26-Mar-14,880.5,901,870.5,872.5,1041597
25-Mar-14,855.5,877,855,876,1476794
24-Mar-14,883.5,889,852,852,1284817
21-Mar-14,871,890,869,885,1346991
20-Mar-14,872,879.61,853.92,866.5,1024895
19-Mar-14,884.5,887.12,865,876,1112746
18-Mar-14,906,906.96,873.5,880.5,1471789
17-Mar-14,929,930.5,913.5,924.5,864449
14-Mar-14,897,943,890.5,925.5,1720864
13-Mar-14,908.5,918,894,899.5,1273870
12-Mar-14,887.5,904.5,874,900,1005637
