Date,Open,High,Low,Close,Volume
27-May-14,306.1,310.9,305.3,310.5,2036508
23-May-14,306,306.92,303.2,305,1551767
22-May-14,307.4,307.98,304.6,306.1,1653877
21-May-14,305.9,307.5,304.4,307.2,1179632
20-May-14,308.3,309,304.04,304.7,1738962
19-May-14,310.6,311.43,305.9,306.8,2661239
16-May-14,307,311.8,306.7,309,5743738
15-May-14,303.4,306.3,301.66,306.3,3442781
14-May-14,299.2,302.8,298.2,302.5,2181863
13-May-14,302.3,302.94,294.4,300,1644682
12-May-14,298.6,301.4,298.6,299.8,2317138
9-May-14,295,300.8,290,300,2949278
8-May-14,302.9,304.4,301,302.9,1918810
7-May-14,304,304.2,300.5,301.6,2196714
6-May-14,301.3,303.7,299.7,302.9,1529223
2-May-14,300,308.21,295.5,301,3863401
1-May-14,297.6,301.29,296.3,297.6,917692
30-Apr-14,297,298.4,294.1,298.3,2906696
29-Apr-14,299.1,302.63,296.9,297.9,3171565
28-Apr-14,294.6,300.3,294.6,297.9,3032214
25-Apr-14,294.1,296.2,292,294.4,1754805
24-Apr-14,296.7,313.42,294,295.9,3842553
23-Apr-14,290.2,307.71,288.86,295.8,3810810
22-Apr-14,289.7,292.63,288.9,290.3,3024234
17-Apr-14,283,289.9,282.3,289.3,3224649
16-Apr-14,282.3,283.7,279.2,281.8,2556569
15-Apr-14,281,296.59,280.2,280.8,4125110
14-Apr-14,278.8,281.1,277,281.1,5531624
11-Apr-14,277,280.9,275.9,278.9,5430829
10-Apr-14,279.3,282.4,277.1,277.3,3547783
9-Apr-14,277.9,280.6,277,278.7,3373337
8-Apr-14,282,282,274.5,277,6095642
7-Apr-14,292.4,306.91,287,287.8,3159193
4-Apr-14,289.1,297.6,289.1,295.1,2966535
3-Apr-14,288.4,291.8,285.7,290.21,3555060
2-Apr-14,290,296.06,288.36,288.4,4473048
1-Apr-14,299.5,304.6,298.1,303.7,5293559
31-Mar-14,298,308.58,296.04,298.8,6474704
28-Mar-14,313,313.1,266.6,292.8,24354788
27-Mar-14,321.4,323.02,315.7,319,3576072
26-Mar-14,323.6,326.66,320.9,322.7,4687522
25-Mar-14,314.8,322.8,314.46,322,4206353
24-Mar-14,317.3,318.92,312.4,313.3,3158600
21-Mar-14,320.1,327.47,314.9,317.2,9111474
20-Mar-14,333.4,333.7,308.85,318.1,8820325
19-Mar-14,350.6,360.6,294.57,335,15952256
18-Mar-14,365.5,373.3,348.05,351,5846390
17-Mar-14,366.1,373.6,366,373.1,2091272
14-Mar-14,369.1,370.3,364.3,366.8,2293719
13-Mar-14,375.6,375.6,370,371.1,2193544
12-Mar-14,373.1,377.7,372.1,374.1,2779935
11-Mar-14,378.4,379.5,372.1,375,2015053
10-Mar-14,376.7,381.8,375.1,378,1915557
7-Mar-14,383.6,383.6,376.2,376.9,3818621
6-Mar-14,378.5,383.4,377.9,382.6,2893110
5-Mar-14,377.2,379.9,374.9,376.6,2185104
4-Mar-14,371.9,379.1,371.1,376.9,2496546
3-Mar-14,373,373.5,365.4,369.6,2874705
28-Feb-14,375.5,379.4,374.7,377.8,2313711
27-Feb-14,374.9,375.9,369.6,375.5,1692785
26-Feb-14,376.3,380.4,374.7,375.1,1933013
25-Feb-14,374,377.7,372.4,376.6,3752826
24-Feb-14,372.1,377.4,371.3,372.69,2803222
21-Feb-14,372.6,374.5,370.5,372.5,2828582
20-Feb-14,370.9,372.5,369.7,371.7,2737700
19-Feb-14,371,374.9,370.4,373.3,2323340
18-Feb-14,373.5,373.5,369.4,370.8,3012876
17-Feb-14,368.4,373.4,368.2,372.1,1352868
14-Feb-14,369.6,370.6,369.1,369.6,1208161
13-Feb-14,370,370,367.1,369.5,2313484
12-Feb-14,367.3,372.5,367,370.1,2904009
11-Feb-14,365.1,367.8,363.1,365.68,2852749
10-Feb-14,359.1,365.2,358,363.9,3186401
7-Feb-14,357.6,360.1,356.2,358.5,1918734
6-Feb-14,354.2,358.4,353.1,357.9,1892368
5-Feb-14,348.7,353.8,347.8,352.8,2476152
4-Feb-14,346.5,350.9,344.5,348.7,2597558
3-Feb-14,347.3,351.3,345.6,347.8,2903927
31-Jan-14,350.5,351.3,344.6,348.6,3386991
30-Jan-14,348.4,351.4,347.2,351.4,2218413
29-Jan-14,350.6,352.9,346.3,349.1,2548391
28-Jan-14,347.4,350.1,347.4,348.9,2652928
27-Jan-14,351.9,352.6,343.9,347,3728463
24-Jan-14,353.2,354.5,349.9,351.9,3731276
23-Jan-14,356.1,357.8,351.5,352.4,3136779
22-Jan-14,357,359.2,353.9,355.8,2229779
21-Jan-14,358.2,359.2,356.9,357,2447247
20-Jan-14,360,360,357.7,357.7,2310483
17-Jan-14,354,360,353.9,359.9,3873074
16-Jan-14,355.3,358.2,352.1,353.3,2692410
15-Jan-14,354,358.5,351.6,354.2,2347737
14-Jan-14,355.2,359.6,351.7,359.6,1369114
13-Jan-14,353.7,359.9,353.2,358.7,1318836
10-Jan-14,352.3,356.8,351.4,353.1,1376641
9-Jan-14,350.1,351.3,348.7,350.4,1567333
8-Jan-14,350.2,352.2,348.2,349,1718042
7-Jan-14,349.9,351.8,349.4,350.4,2086727
6-Jan-14,349.5,350.4,346.4,349.9,1481646
3-Jan-14,350.8,352.6,348.3,348.4,1712412
2-Jan-14,356,356.2,350.3,351.5,1925106
31-Dec-13,351.2,355.2,351,354,844572
30-Dec-13,350.8,351.8,347.8,349.9,1037418
27-Dec-13,349.6,351.6,348,349.2,985353
24-Dec-13,346.6,352.2,346,348.7,381570
23-Dec-13,338.9,346.5,338.9,346.4,1030735
20-Dec-13,335.9,340.3,334.6,340.1,6746494
19-Dec-13,332.4,336.7,332.1,335.2,1691041
18-Dec-13,329.2,331.6,327.6,327.7,1294180
17-Dec-13,329.8,332.6,328.4,329,1471356
16-Dec-13,323.3,330.4,323.1,330.4,1984923
13-Dec-13,322.3,327.4,321.8,321.9,1714927
12-Dec-13,326.1,326.5,319.5,323.3,2354815
