Date,Open,High,Low,Close,Volume
27-May-14,253,254.3,251.7,253.1,2169323
23-May-14,255.4,255.4,251.1,251.5,2227466
22-May-14,253.3,255.9,252.7,254.9,3397395
21-May-14,252.7,253.5,252.4,253.3,2168329
20-May-14,257.9,259.1,252.5,252.59,5787562
19-May-14,258.9,262.4,256.36,257.79,4503608
16-May-14,255.9,258.2,252.8,258.2,4397828
15-May-14,255.9,257.3,254.11,255.7,3875615
14-May-14,251,257.8,250.7,256.9,4461176
13-May-14,251,251.5,249.2,250.5,3578624
12-May-14,249.3,251.3,248.1,250.8,2100296
9-May-14,249.5,249.8,246.5,248.2,3069977
8-May-14,251.3,251.3,246.8,249.29,4148694
7-May-14,241,250.3,240.95,250.2,7584514
6-May-14,238.8,240.5,237,240.3,5117813
2-May-14,236.7,239.4,236.5,238,2608736
1-May-14,235.7,238,234.6,237.1,1506541
30-Apr-14,231,236.4,231,236,4150796
29-Apr-14,236.4,240.1,235.7,236.9,3786648
28-Apr-14,241.4,242,238.4,238.9,2760387
25-Apr-14,240.3,242,239.6,242,3257794
24-Apr-14,242.6,243.4,238.6,240.1,5141539
23-Apr-14,243,243.3,239.5,240.6,2825501
22-Apr-14,242.6,246.2,241.2,242.8,3518195
17-Apr-14,243.4,244.7,240.1,242.1,3459350
16-Apr-14,242.4,244.7,240.1,243.8,3153883
15-Apr-14,244.8,245.9,237.2,240.6,5157804
14-Apr-14,245.1,248.5,244.4,248,3216975
11-Apr-14,245.9,246.6,243.3,246.4,2696286
10-Apr-14,247.1,248.3,242.5,247.2,4820634
9-Apr-14,249.5,250.9,246.3,249.5,5178605
8-Apr-14,248.9,249.6,245.8,249.2,3327948
7-Apr-14,248.1,250.9,247,249.1,4345725
4-Apr-14,244.7,250.4,244.6,250.3,4301585
3-Apr-14,244.9,245.5,242.4,244.2,3251109
2-Apr-14,242.7,246.9,242.3,245,3846809
1-Apr-14,242.1,244.3,241.6,242.7,2390404
31-Mar-14,238.9,243.4,238.6,241.5,7142273
28-Mar-14,233.5,240.2,233.5,237.9,4744921
27-Mar-14,236.7,236.7,232.4,232.8,3753900
26-Mar-14,235.7,240.15,235.2,237,4272955
25-Mar-14,233.4,235.6,231.69,234.8,3453721
24-Mar-14,238.5,238.6,232.7,233,3675272
21-Mar-14,238.7,240.4,237.91,239.1,4808459
20-Mar-14,238.4,239.9,237.7,238.7,3483265
19-Mar-14,240.8,241.5,239.2,240.2,3591618
18-Mar-14,235.8,242,235.36,240.3,5586542
17-Mar-14,229.3,236.9,229.3,236.2,5731281
14-Mar-14,227.2,230.7,226.5,229.4,6597480
13-Mar-14,232.9,233.4,225.4,228,8246039
12-Mar-14,240,245.3,226.2,232.5,14413327
11-Mar-14,245.8,247.6,242.5,245.4,7067835
10-Mar-14,243.8,248.2,243.1,245,9944240
7-Mar-14,235.7,244.3,234.3,243.9,7460618
6-Mar-14,235.3,237.2,233.9,235.5,3127131
5-Mar-14,235.1,236.1,234.4,234.7,1992218
4-Mar-14,233.5,237.2,232.7,235.6,2344057
3-Mar-14,235.2,235.2,229.5,232.3,2535859
28-Feb-14,237.8,238,235.1,237.4,3073501
27-Feb-14,235.8,238.2,234.2,237.9,2284152
26-Feb-14,237.5,237.9,235.1,235.5,2422175
25-Feb-14,236.2,238.7,235,238,4776951
24-Feb-14,231,236.2,230.8,236.2,4544065
21-Feb-14,234.4,237.4,234.2,236.7,4200528
20-Feb-14,233.2,234.9,231.5,233.4,3600698
19-Feb-14,232.5,234.5,231.4,234.2,2397577
18-Feb-14,234.9,234.9,231.2,232.6,3693888
17-Feb-14,231.3,234.7,229.9,234.5,2140166
14-Feb-14,228.4,232.2,228.3,231.5,3644728
13-Feb-14,233,233,227.6,228.7,5368591
12-Feb-14,234.1,234.9,231.1,232.8,4722808
11-Feb-14,230,235.3,228.8,234.2,8196333
10-Feb-14,235.1,235.1,226.1,229,7258200
7-Feb-14,235.5,236.9,234.4,235.1,3718804
6-Feb-14,233,236.5,229.7,235.6,6455701
5-Feb-14,233.7,235.3,232,232.5,5166511
4-Feb-14,236.1,236.4,233.7,234.2,4086803
3-Feb-14,238.7,241,236.3,237,3577117
31-Jan-14,237,238.8,235,238.8,5552895
30-Jan-14,247.5,247.5,237.4,237.7,11105496
29-Jan-14,248.3,250.1,245.4,246.9,4886769
28-Jan-14,248,248.8,245.3,247.1,3360284
27-Jan-14,253.6,253.7,247.3,249.9,3893919
24-Jan-14,257.2,258.3,251.8,253,3418538
