Date,Open,High,Low,Close,Volume
27-May-14,389.9,397.5,389.8,393.42,2264252
23-May-14,385.2,388.5,383.1,388.3,1632691
22-May-14,383.5,385.9,381.8,384,2383853
21-May-14,375.2,383.2,373.1,383,2554950
20-May-14,371.8,377.2,369.9,375.52,2701833
19-May-14,366.3,371.4,361,370.8,3097092
16-May-14,372,374.3,357.5,365.22,6125006
15-May-14,385.5,388.9,371.2,372.3,4250995
14-May-14,385.8,386.4,382.2,384.8,2541618
13-May-14,379,385.3,377.3,384.6,3860626
12-May-14,377.6,380.4,376.4,377.12,1826718
9-May-14,377.5,378.59,374.3,377.2,4704968
8-May-14,375,378.1,372.3,378,4047380
7-May-14,374.6,378.9,373.18,373.92,4327851
6-May-14,383.8,384.8,372.9,376.82,4470103
2-May-14,387.1,387.1,381.7,382.9,2947658
1-May-14,384,468,380.13,387,1055103
30-Apr-14,380,384.3,378.8,384,3494510
29-Apr-14,379.3,383.7,378.8,382,2878111
28-Apr-14,381.7,383.68,377.4,378.3,2401200
25-Apr-14,386.5,388.44,378.6,381.62,3184626
24-Apr-14,391.9,392,383.4,388.06,3336623
23-Apr-14,396.1,396.96,386.7,388.76,2706723
22-Apr-14,392.5,399.5,390.7,396.8,3528960
17-Apr-14,385.2,392.5,385,391,3814349
16-Apr-14,379,388,377.6,386.2,4316820
15-Apr-14,381.1,387.1,373.8,374,6198203
14-Apr-14,375.4,376.7,364.4,374,4871651
11-Apr-14,381,381.9,374.63,377.64,4068039
10-Apr-14,390.5,392.7,383.8,384.2,2684905
9-Apr-14,377,389.1,376.46,388.52,3741024
8-Apr-14,389.5,391.2,375.8,378.4,5471542
7-Apr-14,402.7,403.4,389.7,389.7,5003845
4-Apr-14,400.5,408.6,398.5,406.1,3329617
3-Apr-14,402.8,404.1,399.3,399.7,3253569
2-Apr-14,401,406.8,400.4,402,3240897
1-Apr-14,392.2,402.2,390.3,399.8,3132981
31-Mar-14,395.2,397.8,390,390.3,3739738
28-Mar-14,390.3,395.5,390.2,394.2,2514006
27-Mar-14,388.7,389.9,386.5,388.7,3015225
26-Mar-14,384.9,389.5,383.4,389.3,3936797
25-Mar-14,380,384.8,378.2,383,3776495
24-Mar-14,383.1,384.3,379.3,379.3,4116081
21-Mar-14,385.2,387.55,383.53,384,3513690
20-Mar-14,383.6,385.8,380,384.2,3362558
19-Mar-14,386.9,390.06,383.1,386.8,3116239
18-Mar-14,381.2,388.5,380.4,386,4173530
17-Mar-14,373.3,382.1,372.6,381.8,3585130
14-Mar-14,368.3,374.4,364.4,373.4,5217730
13-Mar-14,381.1,381.2,370.2,371.5,5741947
12-Mar-14,382.4,384.4,375.8,379.8,5327165
11-Mar-14,385.3,387.6,383.1,384.6,4979866
10-Mar-14,389.7,393.4,383.5,384,5365138
7-Mar-14,398.6,398.9,389.6,389.8,3575694
6-Mar-14,403.8,404.7,397.4,397.8,4323790
5-Mar-14,402.8,407.1,401.1,401.1,4450419
4-Mar-14,396.9,403.3,394.6,402.8,4362546
3-Mar-14,396,398.1,390.9,393,6774020
28-Feb-14,407.7,409.7,404.3,405.7,5193058
27-Feb-14,412.7,412.7,402,408.2,4478496
26-Feb-14,411.3,416,409.6,412.3,7809760
25-Feb-14,408,413.8,391.2,410.7,11485995
24-Feb-14,411.3,417.8,410.3,414.9,4998365
21-Feb-14,410.5,413.6,408.3,413,5536152
20-Feb-14,410,410,404.6,408.3,5188108
19-Feb-14,412.5,415.4,409.4,413.7,3167698
18-Feb-14,415,415,409,412.9,4255758
17-Feb-14,413,416.1,411.9,413.9,3161812
14-Feb-14,411.7,413.5,409.5,412,3826686
13-Feb-14,408.2,411.5,404.1,411.1,6223243
12-Feb-14,409,411.8,406.6,411.1,4948127
11-Feb-14,399,408.7,397,407.9,6108578
10-Feb-14,404.8,406.1,401.4,405.4,3376001
7-Feb-14,401.2,405.3,400.5,403.4,3543053
6-Feb-14,392.5,399.8,389.5,398.9,6456353
5-Feb-14,389.8,393.8,387.4,388.1,4357986
4-Feb-14,390,391.3,384.2,388.8,4097688
3-Feb-14,393.1,398.6,391.7,393.1,5314579
31-Jan-14,397.3,397.3,385.5,394.3,3603500
30-Jan-14,393.5,398.5,385.3,397.8,2823758
29-Jan-14,396.2,400.1,383.3,392.5,4302883
28-Jan-14,385.5,395,385.5,392.7,3460920
27-Jan-14,387.5,388.4,381.8,383.6,4331910
24-Jan-14,396.6,400.3,385.2,387.6,5445618
23-Jan-14,398.5,403.3,393.6,395.8,2918176
22-Jan-14,400,403.3,398.6,399,2779481
21-Jan-14,406.1,408,398,400,4055029
20-Jan-14,407.3,407.5,403.7,405.6,2156934
