Date,Open,High,Low,Close,Volume
27-May-14,1636,1658.39,1626.5,1634.58,4178893
23-May-14,1629,1646.19,1615.5,1627.5,3626445
22-May-14,1639.5,1639.5,1623.66,1631.16,4580720
21-May-14,1619.5,1634.5,1617,1633.5,3955616
20-May-14,1622.5,1627,1616.5,1618.58,4748050
19-May-14,1643.5,1643.5,1616,1620,8667000
16-May-14,1640,1656.5,1631,1643.5,9124334
15-May-14,1640,1647,1633.5,1640,7868635
14-May-14,1623,1644,1200.67,1623.84,4316588
13-May-14,1631,1640,1611,1637,6409546
12-May-14,1622.5,1629.5,1602.5,1621,5671454
9-May-14,1612.5,1617.14,1607.5,1613,4730370
8-May-14,1630,1632.22,1610.5,1617,6137880
7-May-14,1627,1638.52,1615,1629.5,5544977
6-May-14,1632.5,1639,1623,1637.24,6439028
2-May-14,1635,1639.5,1619,1627.5,6169616
1-May-14,1640,1658.09,1621,1637.5,3483075
30-Apr-14,1652,1664.5,1617.32,1632,9524037
29-Apr-14,1664,1676.18,1651,1665.67,6296701
28-Apr-14,1666.5,1689,1652.5,1668.55,6853750
25-Apr-14,1649,1664.84,1642.5,1654.92,4776854
24-Apr-14,1652,1661.18,1640,1651,6046206
23-Apr-14,1643,1657,1639,1642.5,6048210
22-Apr-14,1629,1654,1611.5,1639.84,14887477
17-Apr-14,1557,1560,1544.78,1559,7938530
16-Apr-14,1554,1567.55,1546.44,1563.5,5771517
15-Apr-14,1539.5,1558.5,1539.5,1547,6018620
14-Apr-14,1538.5,1545,1528,1543,6249861
11-Apr-14,1560,1567.86,1541.5,1552,7745036
10-Apr-14,1584,1594,1576,1581.5,6086731
9-Apr-14,1564.5,1583.5,1562.27,1581.5,6573435
8-Apr-14,1550,1566.1,1545.5,1555.34,7810687
7-Apr-14,1569,1574,1552,1554,5781101
4-Apr-14,1587,1588.5,1573,1577,4250650
3-Apr-14,1581.5,1603.48,1574,1578.5,5011223
2-Apr-14,1590.5,1594,1577.5,1583,6621009
1-Apr-14,1597,1603.28,1579,1593.83,6649938
31-Mar-14,1617.5,1633,1586,1591.42,7610842
28-Mar-14,1622.5,1651.5,1616.5,1618,5021483
27-Mar-14,1616,1619.32,1605,1613.92,3917355
26-Mar-14,1623.5,1634.5,1613.5,1623.34,5646938
25-Mar-14,1597,1625.1,1596,1622,5772851
24-Mar-14,1612,1617.5,1590.5,1600,5405790
21-Mar-14,1634,1634,1616.5,1616.92,13000057
20-Mar-14,1638.5,1643,1617.5,1629,7422692
19-Mar-14,1649.5,1662,1642,1655,4189037
18-Mar-14,1635,1654.5,1628.5,1647.5,4861457
17-Mar-14,1629.5,1642,1625.94,1637.66,4392375
14-Mar-14,1632.5,1646,1627.5,1629.5,5344711
13-Mar-14,1653,1653.5,1635,1638.66,4879554
12-Mar-14,1670,1672,1645,1649.5,6795648
11-Mar-14,1672.5,1678,1665.5,1674,4779895
10-Mar-14,1660,1672.5,1657.5,1673,6372493
7-Mar-14,1670.5,1675,1647.5,1653.5,5842612
6-Mar-14,1689,1695.5,1671.5,1679.94,6363958
5-Mar-14,1690.5,1695,1679.5,1686.5,4178594
4-Mar-14,1680,1692.5,1680,1690,5791350
3-Mar-14,1652,1669,1649.5,1663.83,5851637
28-Feb-14,1680,1689.5,1665.5,1671.5,8546835
27-Feb-14,1685,1698.5,1679.5,1684.5,7636395
26-Feb-14,1667,1695,1667,1690.5,6618456
25-Feb-14,1673,1682.5,1662.5,1674.5,12608459
24-Feb-14,1676.5,1690,1662.5,1683.17,7986711
21-Feb-14,1698,1706,1678.5,1681,8067810
20-Feb-14,1676.5,1688.5,1673.5,1684.5,5775337
19-Feb-14,1679.5,1686.5,1657.5,1681.5,5488501
18-Feb-14,1689.5,1695,1676.5,1690.5,7231895
17-Feb-14,1664,1689,1661,1683.5,3825316
14-Feb-14,1650,1675.5,1648,1664.5,5190926
13-Feb-14,1651,1659,1638,1653,5039056
12-Feb-14,1645,1655.5,1639,1650.5,5712215
11-Feb-14,1615,1643,1613.5,1643,6177050
10-Feb-14,1612,1612.5,1597.5,1607.5,6548934
7-Feb-14,1606.5,1618,1596.5,1602.42,6273033
6-Feb-14,1593,1598,1561.5,1598,7448446
5-Feb-14,1550,1609,1548,1579.5,9821065
4-Feb-14,1567,1572,1554,1570.35,6082103
3-Feb-14,1578,1590,1571.5,1571.5,7147218
31-Jan-14,1572.5,1574.5,1542.5,1564,6596058
30-Jan-14,1571.5,1579.5,1556,1576.5,9148136
29-Jan-14,1605,1608,1570.5,1577.5,7308244
28-Jan-14,1611,1614.5,1600,1601.5,4760773
27-Jan-14,1621.5,1637,1607,1610.5,6276128
24-Jan-14,1639.5,1651,1623.5,1624.5,7485658
23-Jan-14,1650.5,1664.5,1641.5,1652.5,5492833
22-Jan-14,1664,1676,1650,1650,5857645
21-Jan-14,1660,1676.5,1659,1661.5,5546018
20-Jan-14,1642,1663.5,1642,1663,3702220
17-Jan-14,1657,1662,1642,1645,8563687
16-Jan-14,1622,1640.5,1618.5,1635,5053066
15-Jan-14,1601,1624.5,1593.5,1619,6000298
14-Jan-14,1582.5,1597,1579.5,1591.5,5102113
13-Jan-14,1595.5,1597,1587,1591,4485739
10-Jan-14,1609,1615.5,1598,1606.89,5228767
9-Jan-14,1600.5,1626,1596.5,1597.5,6220921
8-Jan-14,1619.5,1619.5,1599,1599,4890390
7-Jan-14,1614.5,1625.5,1613.5,1616.5,4859332
6-Jan-14,1610.5,1621,1606,1614.66,3371902
3-Jan-14,1599.5,1611,1595.5,1604.5,2784106
2-Jan-14,1616.5,1616.5,1597.5,1599.5,3393711
31-Dec-13,1613,1619,1605,1611.5,1140261
30-Dec-13,1600,1610.5,1596,1607,2724561
27-Dec-13,1597.5,1613.5,1595,1603.5,2949243
24-Dec-13,1573.5,1601.5,1573,1589,1021493
23-Dec-13,1574,1587,1570.5,1582.5,2475201
20-Dec-13,1580,1591,1567.5,1573,13600304
19-Dec-13,1564,1573.5,1560.5,1573,5157084
18-Dec-13,1568,1581.5,1531,1548.5,7565014
17-Dec-13,1583,1583,1565,1566,6094484
16-Dec-13,1565.5,1595,1562.5,1589,4927778
13-Dec-13,1572.5,1577,1552,1570.5,4955837
12-Dec-13,1575,1579.5,1561.5,1570.5,5000163
11-Dec-13,1578.5,1588,1575,1577,3759449
10-Dec-13,1595,1600,1579.5,1579.5,4265185
9-Dec-13,1611,1611.5,1594.5,1599.5,4137674
6-Dec-13,1600.5,1610.5,1594,1605,3618012
5-Dec-13,1590.5,1603,1583.5,1597,4110864
4-Dec-13,1595,1601,1589.5,1595.34,3979694
3-Dec-13,1616,1621.5,1598.5,1598.5,4524443
2-Dec-13,1623.5,1627.5,1614.5,1619.5,3373590
29-Nov-13,1613,1622,1613,1618.5,3976306
28-Nov-13,1615,1617.5,1608,1611.5,2782415
27-Nov-13,1615.5,1623,1612,1615,4241445
26-Nov-13,1638,1640,1613,1614,11402861
25-Nov-13,1640.5,1654.5,1638,1641.5,3141035
22-Nov-13,1649.5,1654,1637,1655.76,3854436
21-Nov-13,1645.5,1651,1634.5,1639.5,5568766
