Date,Open,High,Low,Close,Volume
27-May-14,331,332.3,328.1,328.58,11622282
23-May-14,329.35,330.15,327.85,329.63,7756587
22-May-14,328,332.1,327.9,328.83,15863869
21-May-14,325.5,327.35,322.6,326.47,18962424
20-May-14,327.95,329.25,325.8,327.5,14204950
19-May-14,326.3,328.35,325.2,327.62,14567417
16-May-14,326.45,327.85,320.45,325.62,21432119
15-May-14,329,331.95,325.2,326.4,25486673
14-May-14,326.1,328,323.3,327.42,13018677
13-May-14,330.55,335.7,329.8,330.65,24603407
12-May-14,328.4,331.35,327.85,329.55,20125409
9-May-14,326.95,328.62,324,326,10056286
8-May-14,325,328.29,324.8,326.6,19126758
7-May-14,320.35,323.75,318.3,320.69,14456042
6-May-14,319.45,321.95,315.6,320.77,18896945
2-May-14,316.45,319.5,314.1,319.25,19178516
1-May-14,319.95,319.95,314.55,316.05,9088616
30-Apr-14,313.35,319.55,311.85,318.53,24187242
29-Apr-14,312.75,315.65,310.95,315.58,12423989
28-Apr-14,316.25,316.29,310.55,312.55,14561536
25-Apr-14,315,316.8,314.05,316.02,10953493
24-Apr-14,316.55,319.24,315,316,16097566
23-Apr-14,315.3,316.2,313,315.05,9941817
22-Apr-14,313,316.55,310.25,314.88,17696642
17-Apr-14,314.25,315.85,311.25,314.15,19072378
16-Apr-14,314.65,317.4,310.95,313.95,16743282
15-Apr-14,316.45,318.15,311.05,312.37,16921106
14-Apr-14,312.5,318.1,312.5,317.93,22235784
11-Apr-14,310.65,315.68,309.2,311.6,16822296
10-Apr-14,313,316.8,310.35,314.3,15436282
9-Apr-14,314.9,320,312.6,312.75,24793614
8-Apr-14,317.3,320.07,312.25,316,25780913
7-Apr-14,315.65,319.3,312.48,316.65,19187997
4-Apr-14,312.85,320.01,312.65,318.7,18453392
3-Apr-14,312.45,315.4,310.55,313.25,15909843
2-Apr-14,310,315.8,309.35,313.27,22794423
1-Apr-14,311.25,313,308.35,310.32,17176996
31-Mar-14,314.25,316.15,307.1,308.78,21576124
28-Mar-14,311.15,316,310.51,313.25,17225176
27-Mar-14,308,310.8,304.75,307.08,21869753
26-Mar-14,314,316.37,309.6,311.07,16079594
25-Mar-14,307.95,312.95,307.85,312,20960434
24-Mar-14,304.5,310.6,303.3,305.75,17939392
21-Mar-14,303,307.5,300.85,303.6,43395667
20-Mar-14,299.85,304.25,298.3,301.35,24303105
19-Mar-14,310,310.35,299.6,301.27,32276681
18-Mar-14,307.8,314.1,305.15,311.45,26718366
17-Mar-14,298.1,309.35,297.53,306.6,36337891
14-Mar-14,302.1,303.25,295.8,297,45007291
13-Mar-14,311.75,312.5,303.75,304.67,23723011
12-Mar-14,311,312.15,304,309.5,48731153
11-Mar-14,318,320.3,312.2,313.64,33950301
10-Mar-14,319.1,322.1,314,317,39616600
7-Mar-14,339.6,340.05,322.25,324.85,34517956
6-Mar-14,334.35,342.65,334.35,339.95,22421898
5-Mar-14,328.3,334.6,328.3,332.2,15666448
4-Mar-14,337,337.5,330.45,331.85,33419316
3-Mar-14,323,330,322.85,326.22,25032575
28-Feb-14,329.05,331.25,326.75,329.2,21643608
27-Feb-14,328.6,331.45,325.6,329.7,22843975
26-Feb-14,332.7,335.55,328.9,329.85,21541900
25-Feb-14,333.65,335.35,328.95,334,37382692
24-Feb-14,337.15,338.5,334.6,336.53,22092633
21-Feb-14,334,340.15,332.8,339.05,28887552
20-Feb-14,341.5,343.85,336.65,340.45,30057197
19-Feb-14,346,348.05,344.15,347.85,21776383
18-Feb-14,344.15,347.05,339.25,345.4,23265163
17-Feb-14,340,345.5,338.85,344.05,22684281
14-Feb-14,332.45,339.75,332.45,338.1,21733214
13-Feb-14,337,337.7,328.45,332.05,28986035
12-Feb-14,334.95,339,333.25,337.15,34638729
11-Feb-14,328.7,334,326.5,332.85,27334395
10-Feb-14,327.3,327.8,323.75,326.05,11944631
7-Feb-14,325,327.35,321.75,325.4,20619180
6-Feb-14,315,323.4,313.25,322.5,26869940
5-Feb-14,312.15,315.7,309.8,313,18710693
