Date,Open,High,Low,Close,Volume
27-May-14,620.9,623.93,619.5,621.2,19673927
23-May-14,615.6,619.7,614.1,614.8,13291431
22-May-14,619.7,619.7,613.8,616.1,18793335
21-May-14,618.8,621.04,614.9,618.5,17402422
20-May-14,632.1,635.33,623.5,627.1,21110414
19-May-14,629.1,634.64,628.1,632.9,27388741
16-May-14,623.7,633.4,622.7,632.5,36748682
15-May-14,618.1,629,610.54,624.97,34328046
14-May-14,611,618.7,606,617.47,23792043
13-May-14,606,611.1,605.6,611,19490277
12-May-14,603,642.9,601.9,606.27,33446366
9-May-14,593.6,596.88,590.4,596,18004708
8-May-14,596.4,597.8,587.4,593.8,27035788
7-May-14,592.1,635.3,590,596.5,26478595
6-May-14,603.5,650.6,589.88,604.1,21605887
2-May-14,605.9,609,601.8,605.7,19712145
1-May-14,605.1,737,603.76,607.4,8046256
30-Apr-14,605.3,607.36,589.88,604.04,20297795
29-Apr-14,604.7,611.51,604.5,611.16,18067927
28-Apr-14,604.1,606.29,600.84,600.9,15542166
25-Apr-14,607.3,608.17,599,602.5,24079878
24-Apr-14,613.5,618.61,611.6,613,17061753
23-Apr-14,614.1,614.6,607.5,612.2,16107320
22-Apr-14,618.2,620.4,614.8,614.96,18773059
17-Apr-14,616,619.3,610.8,617.4,17154107
16-Apr-14,620.1,620.7,614.1,616.3,19949989
15-Apr-14,618.9,622.82,593.09,618,23439520
14-Apr-14,617.2,623.08,592.99,621.46,20110138
11-Apr-14,619.9,623.4,614.9,617.6,27820361
10-Apr-14,616.7,622.48,616.6,618.7,25522038
9-Apr-14,609.9,615,608.82,612.7,27686753
8-Apr-14,606.5,610.2,602.4,605.06,33052973
7-Apr-14,610,613.15,604.2,606.2,17482808
4-Apr-14,613.1,628.4,611.3,612.5,17465798
3-Apr-14,610.7,614.9,604.75,610.6,18224799
2-Apr-14,612.4,613.9,609.6,611.14,19116724
1-Apr-14,609,615.7,606.7,613.13,22199739
31-Mar-14,611.2,611.2,604.7,607.5,28856937
28-Mar-14,610.5,613.52,606.6,610,16488534
27-Mar-14,609,609.3,605.3,608.33,18655070
26-Mar-14,610.8,615.6,608.7,611.26,20930186
25-Mar-14,607.8,613.8,607.8,611.7,18253499
24-Mar-14,605.5,610.5,605.5,606.2,25430755
21-Mar-14,596.8,614.3,596.2,605.73,49339604
20-Mar-14,591,597.58,589.88,594.2,28845749
19-Mar-14,593.9,598.64,591.4,591.83,23769870
18-Mar-14,597.4,608.1,594.2,597.9,25222891
17-Mar-14,598.6,600.8,595.3,597,28174066
14-Mar-14,600.9,603.8,597.1,598.1,28708137
13-Mar-14,602,606.5,597.2,597.2,24767388
12-Mar-14,608.6,610,598.9,599.2,36286530
11-Mar-14,621.3,621.5,613.5,616.6,26520667
10-Mar-14,619.5,625.4,614.2,615.7,24049030
7-Mar-14,624.6,626.5,618.6,619.6,22405178
6-Mar-14,627.4,629,624.3,625.7,19398547
5-Mar-14,630.2,630.5,622.3,622.6,21299030
4-Mar-14,629.2,635.4,626,631.7,18314008
3-Mar-14,622,624.3,617,622.54,28172164
28-Feb-14,634.5,635.3,628.1,629.7,26466433
27-Feb-14,633.2,636.9,624.1,635.9,25538617
26-Feb-14,626.5,630.3,623.3,627.1,18936132
25-Feb-14,630.9,631.9,624.4,627,54901773
24-Feb-14,650.1,651,617,635.7,54518591
21-Feb-14,654.6,657.8,650.3,654.2,33136361
20-Feb-14,646.9,654.2,645.8,652.1,23213950
19-Feb-14,656.2,661.1,653.3,656.6,21081739
18-Feb-14,644.5,656.8,643,651.43,35673229
17-Feb-14,637,650,636.5,647.5,19854258
14-Feb-14,637.3,640.7,633.4,638,14265360
13-Feb-14,633.5,638.9,630.4,638.2,24905606
