Date,Open,High,Low,Close,Volume
27-May-14,590.5,596.5,585.5,596.5,1269928
23-May-14,586,593.5,585,590.5,1080474
22-May-14,583,586.5,580,586.5,961655
21-May-14,583,588.5,580,583,918389
20-May-14,578,588,578,582.5,1350873
19-May-14,589,591.5,581.5,582.5,1226311
16-May-14,589.5,592.5,579.45,587,2296570
15-May-14,589.5,591.5,585,590.5,1494585
14-May-14,583,589.3,582.5,589,1273676
13-May-14,584.5,585.5,581,583.5,1018646
12-May-14,587,587,580,582,1013662
9-May-14,588.5,588.5,581,584.5,1082044
8-May-14,583.5,590,583.5,588,944777
7-May-14,571,584,571,582.5,1398433
6-May-14,576.5,577.5,569,575,1292287
2-May-14,576.5,579,570,572,977155
1-May-14,570,579,569,577,627490
30-Apr-14,580,580,570.5,570.5,1534531
29-Apr-14,573.5,580.5,573,580,1325179
28-Apr-14,578,581,572.5,573,1157865
25-Apr-14,573.5,578,571.5,578,1775065
24-Apr-14,578,582.5,569,573.5,1428193
23-Apr-14,577,582.5,577,580.5,1349434
22-Apr-14,567.5,577,567.5,574,1150586
17-Apr-14,561.5,568.5,560,568.5,1654436
16-Apr-14,561.5,564,558,560,999780
15-Apr-14,562.5,564,557,559,1027488
14-Apr-14,558,561,551,560.5,1381740
11-Apr-14,565,565.5,559.5,562.5,1484110
10-Apr-14,567.5,572.5,565,569,1519163
9-Apr-14,562.5,569,561,565.5,844129
8-Apr-14,560.5,562,554,562,1128306
7-Apr-14,560.5,563,558,561,901581
4-Apr-14,562.5,566.5,559.5,565.5,790396
3-Apr-14,565,565.5,560.5,561,966640
2-Apr-14,553.5,566.5,553.11,564,1610758
1-Apr-14,557.5,562,550,552.51,1261381
31-Mar-14,556.5,558,554,554,1766413
28-Mar-14,557,558.19,552,556.5,812561
27-Mar-14,558,560.5,553.5,554,1091973
26-Mar-14,554.5,564,553.5,559.5,2407256
25-Mar-14,543.5,554.5,543.5,553,1175093
24-Mar-14,546.5,551,542,544,1126485
21-Mar-14,547,553,545.5,548,2985361
