Date,Open,High,Low,Close,Volume
27-May-14,1184,1200,1177,1190.06,517867
23-May-14,1198,1198,1176,1178,497099
22-May-14,1184,1195,1176,1193,396849
21-May-14,1154,1183,1152.55,1179,604022
20-May-14,1145,1161,1140,1154.06,650559
19-May-14,1175,1191,1133.1,1144.06,927552
16-May-14,1202,1212,1148.75,1173,964171
15-May-14,1237,1257.28,1199,1201,919745
14-May-14,1239,1246,1228,1233,545552
13-May-14,1222,1242,1218,1237,484389
12-May-14,1212,1219,1203,1216,299102
9-May-14,1221,1221.44,1204,1209,480934
8-May-14,1206,1223,1199.38,1221,547792
7-May-14,1177,1212,1166.38,1200,969709
6-May-14,1157,1195,1145,1179,661188
2-May-14,1220,1225,1185,1193,606126
1-May-14,1175,1220,1164,1215,462069
30-Apr-14,1182,1186,1157,1170,572095
29-Apr-14,1160,1187,1160,1187,688513
28-Apr-14,1170,1182.83,1151,1151,623378
25-Apr-14,1211,1213,1166,1170,484632
24-Apr-14,1205,1231.75,1200,1212,669328
23-Apr-14,1249,1253,1185.17,1197,779888
22-Apr-14,1203,1256,1197,1247,982807
17-Apr-14,1203,1215.71,1188,1203,788214
16-Apr-14,1245,1251,1148,1199,1368283
15-Apr-14,1205,1240,1194,1211,922201
14-Apr-14,1250,1255,1192,1207,966131
11-Apr-14,1305,1308,1236.17,1257,953502
10-Apr-14,1360,1378,1323,1324,465512
9-Apr-14,1323,1343.22,1315,1340,812759
8-Apr-14,1363,1369.12,1309,1315,861741
7-Apr-14,1421,1427.25,1364,1365,611001
4-Apr-14,1427,1445,1422,1436,406792
3-Apr-14,1423,1441,1418,1428,461838
2-Apr-14,1450,1451,1414,1424,801442
1-Apr-14,1466,1470,1445.25,1452.81,584572
31-Mar-14,1466,1476,1456,1458,493412
28-Mar-14,1473,1482.62,1448,1460,369514
27-Mar-14,1477,1477,1452,1465.75,444668
26-Mar-14,1415,1493,1415,1481,1090024
25-Mar-14,1376,1406,1374,1406,423294
24-Mar-14,1412,1421.75,1370,1374,595294
21-Mar-14,1458,1473,1410.69,1414,1041821
20-Mar-14,1495,1500,1424,1455,1187804
19-Mar-14,1319,1513,1298,1504,2143983
18-Mar-14,1311,1331,1310,1314,361648
17-Mar-14,1299,1317,1298.04,1314,310427
14-Mar-14,1310,1311,1287,1294,427034
13-Mar-14,1344,1350,1316,1316,463207
12-Mar-14,1371,1379,1339,1339,572905
11-Mar-14,1387,1397,1371,1385,309558
10-Mar-14,1386,1413,1381,1384,632705
7-Mar-14,1375,1395,1366,1385,615957
6-Mar-14,1377,1386,1369,1370,548318
5-Mar-14,1383,1400,1370,1370,528267
4-Mar-14,1375,1394,1368,1385,553435
3-Mar-14,1373,1373,1347,1367,805357
28-Feb-14,1349,1398,1348,1397,762432
27-Feb-14,1349,1356,1334,1350,668043
26-Feb-14,1343,1354,1334,1350,794220
25-Feb-14,1352,1354,1340,1345,737217
24-Feb-14,1317,1359,1313,1357,764155
21-Feb-14,1328,1332,1312,1314,921435
20-Feb-14,1343,1343,1318,1321,551890
19-Feb-14,1347,1356,1342,1352,603660
18-Feb-14,1348,1350,1338,1346,697032
17-Feb-14,1335,1351,1333,1342,308554
14-Feb-14,1339,1349,1329,1338,480008
13-Feb-14,1337,1344,1318,1341,650659
12-Feb-14,1328,1350,1321,1336,517166
11-Feb-14,1305,1349,1300,1328,801112
10-Feb-14,1360,1362,1296,1301.69,1217750
7-Feb-14,1376,1381,1344,1346.99,950063
6-Feb-14,1345,1393,1333,1371,1128051
5-Feb-14,1453,1460,1326,1345,2168734
4-Feb-14,1443,1502,1428,1497,666648
3-Feb-14,1487,1501,1446,1449,571854
31-Jan-14,1510,1510,1469,1486,656027
30-Jan-14,1480,1515,1457,1514,527157
29-Jan-14,1493,1523,1470,1483,641519
28-Jan-14,1439,1486,1435,1485,687370
27-Jan-14,1507,1510,1419,1429,1121487
24-Jan-14,1537,1547,1497,1509,606398
23-Jan-14,1528,1550,1526,1536,594834
22-Jan-14,1548,1560,1524,1530,712311
21-Jan-14,1519,1577,1518,1550,780473
20-Jan-14,1473,1509,1456,1509,437639
17-Jan-14,1470,1493,1445,1453,665673
16-Jan-14,1445,1477,1433,1476,649327
15-Jan-14,1470,1475,1427,1446,1171858
14-Jan-14,1485,1544,1482,1508,1173134
13-Jan-14,1475,1485,1455,1485,321753
10-Jan-14,1455,1489,1452,1478,512422
9-Jan-14,1465,1471,1441,1449,581135
8-Jan-14,1469,1475,1449,1463,478647
7-Jan-14,1490,1492,1456,1470,817337
6-Jan-14,1441,1491,1432,1491,600001
3-Jan-14,1408,1443,1399,1441,714406
