Date,Open,High,Low,Close,Volume
27-May-14,1526,1546,1522.6,1546,658139
23-May-14,1525,1528,1516,1519,404875
22-May-14,1546,1547,1525,1527,1031571
21-May-14,1536,1541,1526.9,1539,310241
20-May-14,1535,1552,1533,1538,310138
19-May-14,1540,1551,1522.9,1534.92,507057
16-May-14,1590,1601,1526,1536,921837
15-May-14,1578,1601,1578,1587,995043
14-May-14,1563,1592,1561,1577,570513
13-May-14,1558,1564,1551,1564,445736
12-May-14,1528,1547,1525,1546,318773
9-May-14,1515,1528,1507,1527,445797
8-May-14,1512,1516,1503,1512,539846
7-May-14,1514,1523,1508,1510,401101
6-May-14,1527,1540,1514,1516,495326
2-May-14,1508,1523,1504,1523,439133
1-May-14,1495,1508,1494,1508,144755
30-Apr-14,1494,1501,1484,1500,435648
29-Apr-14,1486,1502,1486,1495,386202
28-Apr-14,1502,1503,1482,1483,327352
25-Apr-14,1489,1508.9,1488,1498,472952
24-Apr-14,1501,1513,1490,1495,424994
23-Apr-14,1493,1498,1488,1490,433461
22-Apr-14,1495,1508,1486,1492,569724
17-Apr-14,1493,1500,1488,1493,599300
16-Apr-14,1487,1492,1476,1488,569916
15-Apr-14,1502,1508,1476,1476,518787
14-Apr-14,1510,1514.97,1490.42,1501,605993
11-Apr-14,1528,1533,1514,1517,775340
10-Apr-14,1553,1566.5,1538,1540,461672
9-Apr-14,1549,1577,1545.88,1547,715830
8-Apr-14,1545,1552,1534,1540,766596
7-Apr-14,1560,1571.28,1534,1543,762825
4-Apr-14,1524,1558,1524,1552,796439
3-Apr-14,1521,1536,1519,1524,528566
2-Apr-14,1496,1523,1492,1522,606460
1-Apr-14,1463,1491,1456,1490,488742
31-Mar-14,1459,1472,1456.8,1458,683295
28-Mar-14,1454,1466,1449,1453,446346
27-Mar-14,1450,1458,1440,1450,359120
26-Mar-14,1455,1470.39,1447,1454,519905
25-Mar-14,1444,1457,1440,1450,580305
24-Mar-14,1452,1465,1435,1438,610154
21-Mar-14,1463,1472,1457,1462,765809
20-Mar-14,1468,1477,1448,1458,582833
19-Mar-14,1465,1484,1462,1476,582789
18-Mar-14,1459,1478,1454,1468,676539
17-Mar-14,1456,1472,1455.72,1461,665903
14-Mar-14,1426,1459,1415,1456,1025586
13-Mar-14,1426,1432,1415,1417,617287
12-Mar-14,1455,1455,1419,1422,724498
11-Mar-14,1449,1471,1446,1450,699693
10-Mar-14,1469,1484,1440,1450,752005
7-Mar-14,1475,1484,1438,1470,1312087
6-Mar-14,1525,1525,1449,1481,1204926
5-Mar-14,1528,1548,1528,1548,677893
4-Mar-14,1512,1534,1511,1534,805833
3-Mar-14,1502,1505,1490,1495,584064
28-Feb-14,1513,1529,1510,1525,849666
27-Feb-14,1509,1524,1494,1513,703908
26-Feb-14,1520,1528,1510,1510,481916
25-Feb-14,1520,1524,1510,1517,898198
24-Feb-14,1529,1532,1516,1520,724798
21-Feb-14,1550,1553,1524,1526,908415
20-Feb-14,1559,1565,1547,1551.16,617629
19-Feb-14,1548,1560,1543,1554.94,425965
18-Feb-14,1538,1559,1533,1546,626266
17-Feb-14,1469,1536,1469,1529.24,458404
14-Feb-14,1711,1730,1706,1722,388661
13-Feb-14,1723,1723,1697,1714,544720
12-Feb-14,1712,1725.7,1712,1719,687463
11-Feb-14,1693,1710,1693,1709,499371
10-Feb-14,1694,1695,1682,1691,426709
7-Feb-14,1688,1699,1679,1691,524426
6-Feb-14,1669,1688,1661,1683,512168
5-Feb-14,1671,1688,1650,1662,681039
4-Feb-14,1657,1673,1638,1670,547558
3-Feb-14,1704,1723,1658,1665,961295
31-Jan-14,1722,1722,1679,1711,699850
30-Jan-14,1715,1727,1696,1725,381956
29-Jan-14,1734,1746,1696,1722,606168
28-Jan-14,1697,1720,1697,1719,596965
27-Jan-14,1713,1719,1687,1691,450544
24-Jan-14,1768,1778,1709,1710,665741
23-Jan-14,1759,1782,1754,1763,512592
22-Jan-14,1754,1769,1744,1762,326484
21-Jan-14,1783,1794,1755,1758,362875
20-Jan-14,1778,1792,1767,1773,186281
17-Jan-14,1785,1790,1770,1777,419444
16-Jan-14,1790,1794,1777,1777,188412
15-Jan-14,1798,1801,1786,1791,306716
14-Jan-14,1766,1790,1757,1785,325380
13-Jan-14,1790,1799,1781,1787,427800
10-Jan-14,1783,1795,1771,1786,688614
9-Jan-14,1731,1752,1731,1746,404121
8-Jan-14,1745,1749,1728,1734,299332
7-Jan-14,1776,1776,1746,1747,416768
6-Jan-14,1742.86,1779.43,1742.86,1770.47,515399
3-Jan-14,1730,1753,1718,1751,326070
2-Jan-14,1747,1758,1731,1736,384576
31-Dec-13,1739,1753,1734,1743,88736
30-Dec-13,1755,1760,1739,1741,276981
27-Dec-13,1735,1751,1727,1750,239838
24-Dec-13,1707,1728,1707,1726,59220
23-Dec-13,1685,1711,1680,1711,225464
20-Dec-13,1689,1689,1666,1683,765329
19-Dec-13,1677,1687,1672,1680,496535
18-Dec-13,1649,1664,1647,1657,307135
17-Dec-13,1667,1672,1646,1646,494784
16-Dec-13,1637,1687,1637,1674,471678
13-Dec-13,1632,1651,1631,1646,359131
12-Dec-13,1649,1649,1631,1635,562973
11-Dec-13,1645,1667,1643,1651,387782
10-Dec-13,1661,1680,1651,1651,330076
9-Dec-13,1657,1667,1645,1663,327639
6-Dec-13,1630,1656,1630,1650,329143
5-Dec-13,1623,1645,1621,1629,435669
4-Dec-13,1658,1659,1618,1632,597469
3-Dec-13,1669,1675,1643,1643,583843
2-Dec-13,1680,1688,1666,1672,305416
29-Nov-13,1679,1693,1675,1678,393794
28-Nov-13,1678,1697,1666,1677,458117
27-Nov-13,1693,1703,1685,1686,488866
26-Nov-13,1691,1703,1683,1695,556966
25-Nov-13,1695,1706,1694,1695,413571
22-Nov-13,1697,1706,1688,1688,511454
21-Nov-13,1701,1711,1696,1698,308654
20-Nov-13,1703,1713,1697,1706,343491
19-Nov-13,1699,1714,1696,1712,302208
18-Nov-13,1698,1717,1681,1709,400582
15-Nov-13,1718,1725,1698,1704,409314
14-Nov-13,1725,1737,1709,1720,472511
13-Nov-13,1725,1725,1702,1712,434001
12-Nov-13,1725,1736,1719,1726,593548
11-Nov-13,1731,1736,1719,1725,965282
8-Nov-13,1739,1747,1719,1720,707505
7-Nov-13,1782,1791,1755,1757,619034
6-Nov-13,1752,1791,1752,1786,480926
5-Nov-13,1759,1759,1731,1752,354388
4-Nov-13,1731,1758,1731,1754,320638
1-Nov-13,1737,1739,1722,1735,424344
31-Oct-13,1735,1754,1727,1736,584151
30-Oct-13,1737,1749,1727,1736,450145
29-Oct-13,1718,1730,1714,1730,270378
28-Oct-13,1722,1725,1710,1717,222148
25-Oct-13,1720,1729,1707,1725,314226
24-Oct-13,1713,1729,1709,1729,495363
23-Oct-13,1723.43,0,0,1710.91,443456
22-Oct-13,1727,1744,1722,1728,410188
21-Oct-13,1763,1763,1734,1734,543095
18-Oct-13,1730.3,1757.7,1712,1750.3,723729
17-Oct-13,1753,1753,1702,1715,500024
16-Oct-13,1731.43,1771.43,1726.86,1753.15,945698
15-Oct-13,1717,1736,1711,1713,303100
14-Oct-13,1688,1707,1681,1706,310908
11-Oct-13,1695,1710,1685,1701,270013
10-Oct-13,1658,1711,1658,1694,310325
9-Oct-13,1621,1662,1619,1654,575121
8-Oct-13,1670,1677,1664,1670,346375
7-Oct-13,1674,1674,1661,1671,368418
4-Oct-13,1666,1687,1662,1680,313008
3-Oct-13,1680,1693,1669,1671,333776
2-Oct-13,1675,1687,1663,1686,474344
1-Oct-13,1662,1672,1658,1669,351942
30-Sep-13,1656,1666,1649,1663,546328
27-Sep-13,1648,1687,1646,1679,751646
26-Sep-13,1658,1670,1649,1661,371757
25-Sep-13,1661,1678,1653,1656,394894
24-Sep-13,1674,1682,1664,1665,301039
20-Sep-13,1662,1683,1662,1662,896176
19-Sep-13,1686,1686,1662,1666,319830
18-Sep-13,1682,1682,1649,1658,372883
17-Sep-13,1713,1714,1674,1674,526274
16-Sep-13,1725,1730,1710,1713,282225
13-Sep-13,1685,1709,1683,1703,432246
12-Sep-13,1719,1736,1685,1688,397078
11-Sep-13,1720,1731,1712,1722,413275
10-Sep-13,1720,1746,1718,1729,641973
9-Sep-13,1706,1706,1687,1705,332000
6-Sep-13,1677,1707,1662,1703,595399
5-Sep-13,1663,1688,1657,1685,410781
4-Sep-13,1680,1690,1646,1667,268689
3-Sep-13,1673,1693,1659,1681,580512
2-Sep-13,1651,1677,1651,1674,350690
30-Aug-13,1655,1661,1626,1640,667953
29-Aug-13,1602,1659,1592,1655,515444
28-Aug-13,1648,1648,1618.29,1636.47,472734
27-Aug-13,1714,1714,1658,1658,621473
23-Aug-13,1673,1720,1672,1719,601646
22-Aug-13,1599,1739,1597,1704,845594
21-Aug-13,1600,1616,1593,1610,457166
20-Aug-13,1610,1615,1595,1600,530558
19-Aug-13,1641.14,1649.14,1618.29,1624.89,504335
16-Aug-13,1617,1645,1614,1639,435804
15-Aug-13,1653,1657,1615,1619,305392
14-Aug-13,1639,1656,1635,1651,264274
13-Aug-13,1641,1657,1621,1639,391058
12-Aug-13,1648,1651,1633,1641,363543
9-Aug-13,1643,1656,1630,1647,688553
8-Aug-13,1627,1642,1625,1640,454023
7-Aug-13,1623,1635,1601,1621,404198
6-Aug-13,1632,1642,1621,1631,285771
5-Aug-13,1610,1630,1603,1627,286972
2-Aug-13,1630,1635,1609,1609,235571
1-Aug-13,1576,1626,1571,1625,618242
31-Jul-13,1565,1582,1563,1568,422875
30-Jul-13,1560,1579,1555,1569,520169
29-Jul-13,1550,1563,1539,1552,241661
26-Jul-13,1571,1579,1542,1546,283243
25-Jul-13,1581,1581,1557,1566,287475
24-Jul-13,1577,1586,1568,1579,316743
23-Jul-13,1600,1605,1575,1575,375636
22-Jul-13,1600,1607,1592,1597,341507
19-Jul-13,1567,1616,1559,1600,674936
18-Jul-13,1541,1576,1541,1568,299366
17-Jul-13,1541.71,1552,1528.5,1545.14,315237
16-Jul-13,1552,1576,1542,1542,383825
15-Jul-13,1559,1571,1549,1559,291193
12-Jul-13,1552,1571,1552,1553,282176
11-Jul-13,1563,1563,1537,1551,389979
10-Jul-13,1535,1546,1514,1535,265471
9-Jul-13,1549,1562,1529,1539,434228
8-Jul-13,1511,1544,1509,1528,313156
5-Jul-13,1520,1531,1489,1495,377410
4-Jul-13,1494,1514,1470,1513,317632
3-Jul-13,1463,1489,1463,1480,460843
2-Jul-13,1469,1496,1462,1489,457076
1-Jul-13,1427,1473,1418,1471,327357
28-Jun-13,1436.57,1448.38,1416,1417.14,519002
27-Jun-13,1413,1450,1413,1442,326972
26-Jun-13,1409,1433,1400,1411,397222
25-Jun-13,1383,1406,1379,1398,403688
24-Jun-13,1398,1400,1365,1369,300668
21-Jun-13,1425,1462,1399,1399,879023
20-Jun-13,1452.57,1465.49,1410.29,1418.29,483457
19-Jun-13,1482.29,1487.18,1451.43,1480,309405
18-Jun-13,1471,1496,1470,1480,305773
17-Jun-13,1476.6,1490.9,1470.9,1473.1,263819
14-Jun-13,1471,1496,1464,1473,342130
13-Jun-13,1446,1473,1434,1467,684373
12-Jun-13,1461,1482,1451,1469,353862
11-Jun-13,1463,1467,1446,1459,541562
10-Jun-13,1435.43,1480,1428.66,1470.86,504523
7-Jun-13,1418,1439,1407,1435,473981
6-Jun-13,1434,1451,1411,1411,284968
5-Jun-13,1456,1465,1434,1434,371264
4-Jun-13,1478,1480,1454,1463,323282
3-Jun-13,1472,1472,1451,1459,608390
31-May-13,1509.71,1510.86,1464.02,1477.71,850892
30-May-13,1501,1526,1495,1517,363946
29-May-13,1529.14,1529.14,1502.99,1507.43,535207
28-May-13,1510,1534,1505,1529,424359
24-May-13,1519,1529,1490,1496,708432
23-May-13,1518,1533,1494,1514,648525
22-May-13,1551,1561,1543,1549,299670
