Date,Open,High,Low,Close,Volume
27-May-14,179.4,182.4,179.3,181.7,7891368
23-May-14,179.4,180.9,177.7,178.5,6103155
22-May-14,178.8,180.3,177.6,178.6,8488170
21-May-14,176.5,178.2,175.2,177.7,6240563
20-May-14,173.2,177.4,173.1,176.6,8175019
19-May-14,171.9,176.12,171.5,172.8,11711615
16-May-14,170.6,176.89,167.1,172.5,20742974
15-May-14,180,180.1,169.1,169.6,22353664
14-May-14,183,183.9,178.2,179.1,21918644
13-May-14,188,191.1,187.5,191,10082627
12-May-14,189.4,190.11,185.3,186.8,11380819
9-May-14,189,190.5,188,189,9307260
8-May-14,189,189.6,187.1,188.9,9832071
7-May-14,187.5,190.5,186.8,187.5,13217628
6-May-14,185.4,187.12,184.4,185.91,7826557
2-May-14,188.1,190.04,183.8,184.5,14669507
1-May-14,184.7,191.9,182.8,186.6,8428298
30-Apr-14,177.2,187.07,175.5,182,12543378
29-Apr-14,183.9,185.6,180.72,183.7,13284398
28-Apr-14,186.3,187.8,182.3,182.4,7973718
25-Apr-14,187,187.5,184.3,185.1,6639427
24-Apr-14,188.6,189.7,184.8,187.1,7998930
23-Apr-14,188.9,189.2,185.9,187.93,8514437
22-Apr-14,187.4,191.1,187.3,188.6,16430480
17-Apr-14,181,187.3,180.6,186.2,17655580
16-Apr-14,175.5,180.82,175.5,180,16731819
15-Apr-14,177.7,179.48,173.1,173.6,18251368
14-Apr-14,182.1,182.9,176,177.4,16372604
11-Apr-14,188.6,188.6,182.3,183,16094964
10-Apr-14,190.2,191.5,188.2,190.1,6460153
9-Apr-14,188.4,192,188.4,189.2,9560530
8-Apr-14,193.1,193.6,184.4,187.8,15835313
7-Apr-14,195.6,196.2,192.5,192.7,7173613
4-Apr-14,196.7,197.09,194.4,196.6,6923207
3-Apr-14,196.2,197.2,194.9,195.5,9649719
2-Apr-14,193.7,196,193.3,195.6,7741301
1-Apr-14,191.8,193.3,191.3,192.64,9674452
31-Mar-14,190,193.8,189.3,191.49,13310148
28-Mar-14,192.5,193.8,189.3,189.4,12599182
27-Mar-14,195.1,195.72,192.2,192.49,9271445
26-Mar-14,191,196.3,189.02,195.98,14888746
25-Mar-14,193.1,195.4,192.9,195,7154353
24-Mar-14,196.3,196.9,191.35,193,9957381
21-Mar-14,198.1,198.2,195,196,13849324
20-Mar-14,200.8,200.8,196.7,197.5,10811534
19-Mar-14,203.3,203.6,200.4,202.2,8652562
18-Mar-14,197.7,203.03,197.2,203,13712327
17-Mar-14,194.4,198.5,194.32,197.8,7316813
14-Mar-14,194.9,195.3,193,194.5,8195171
13-Mar-14,198.9,199.6,195.7,195.9,10794086
12-Mar-14,197.2,198.6,195.8,198.3,7756314
11-Mar-14,196.8,198.3,195.5,197.8,8034352
10-Mar-14,200.9,201.8,195.8,196.8,9484365
7-Mar-14,198.6,203.7,198.3,200.5,9940108
6-Mar-14,200.6,201.2,198.3,198.6,7167973
5-Mar-14,202.5,203.4,199.4,199.9,8962430
4-Mar-14,197.9,202.4,197.9,202.2,9787032
3-Mar-14,198.3,199,195,196.1,8938178
28-Feb-14,198.7,203.6,198.6,201.9,14260895
27-Feb-14,201.5,201.8,196.4,199.2,14477353
26-Feb-14,206,208,195.5,201.5,32026487
25-Feb-14,204.1,206.3,203.1,206.1,17691916
24-Feb-14,203.5,204.4,201.9,203.8,13618556
21-Feb-14,208.7,209.9,203.6,204.2,10641681
20-Feb-14,205.9,207.8,203.2,207.8,8188282
19-Feb-14,209.3,211,206,207.7,7741179
18-Feb-14,208,210.7,207.7,210.6,7272451
17-Feb-14,205.9,208,205.6,207.8,4942847
14-Feb-14,209,209.4,205.7,206.2,8142586
13-Feb-14,207,209,205,209,8567354
12-Feb-14,206.8,207.1,204.8,206.9,7268513
11-Feb-14,202.4,206,201.6,206,11380896
10-Feb-14,202.9,203.6,200.2,201.1,6191200
7-Feb-14,203.1,203.9,201.7,202,6769932
6-Feb-14,199.1,202,197.5,201.8,12878066
5-Feb-14,195.7,198.3,194.7,197.5,9470196
4-Feb-14,194.3,196.1,191.9,195.1,9109430
3-Feb-14,196,198.2,194.5,195.3,9449836
31-Jan-14,201.9,201.9,195.5,196.5,16655909
30-Jan-14,197.1,201.8,196.4,201.8,11292720
29-Jan-14,197.8,201,195.3,197.7,14232552
28-Jan-14,193.3,197.5,192.5,196.6,10930595
27-Jan-14,191.7,193.8,188.6,192.5,12743684
24-Jan-14,199.7,201.1,193.4,194.1,9629080
23-Jan-14,202.7,203,197.7,199.3,9289032
22-Jan-14,204.9,205.8,202.8,203,4699440
21-Jan-14,205.8,206.9,203.3,204.6,6479759
20-Jan-14,203.4,206.4,203,205.8,5734619
17-Jan-14,207.1,207.9,201.9,203.2,10203593
16-Jan-14,209.5,209.5,206.2,207.1,6257465
15-Jan-14,208.4,209.8,206.7,209.6,8864892
14-Jan-14,204.9,207.5,201.3,207.3,9803275
13-Jan-14,201.5,204.4,201.5,202.8,8323518
10-Jan-14,200.2,201.9,199.5,199.5,7933694
9-Jan-14,197.5,201.5,197.2,199.3,9656208
8-Jan-14,197.6,198,195.9,196.7,6697602
7-Jan-14,200.3,201,197.6,197.9,5220146
6-Jan-14,195,198.8,194.5,197.7,5260420
