Date,Open,High,Low,Close,Volume
27-May-14,2653,2668,2646,2653.13,1557996
23-May-14,2675,2680.2,2655,2659.13,1546723
22-May-14,2676,2713,2672,2672.13,2323781
21-May-14,2655,2669,2644,2647.13,1414691
20-May-14,2669,2669,2644,2653,909755
19-May-14,2672,2688,2657,2664.87,1292796
16-May-14,2656,2676,2640,2661.87,2294793
15-May-14,2659,2673,2648,2656,1712876
14-May-14,2658,2671,2648,2663.87,984695
13-May-14,2644,2658,2633,2652,1462503
12-May-14,2617,2642,2596,2641,1852884
9-May-14,2599,2622,2580,2591,1460451
8-May-14,2594,2596,2567,2595,1846222
7-May-14,2517,2549,2509,2549,1786760
6-May-14,2531,2535,2507,2516.87,1562337
2-May-14,2526,2530,2502,2514,1486602
1-May-14,2559,2559,2517,2524,771121
30-Apr-14,2602,2604,2541.8,2557,2028711
29-Apr-14,2563,2605,2555,2605,2026307
28-Apr-14,2561,2570,2547,2550,1509282
25-Apr-14,2546,2563,2540,2560.87,1155704
24-Apr-14,2553,2563,2512,2550,1084809
23-Apr-14,2545,2562,2541,2544,1760374
22-Apr-14,2513,2541,2502,2535.25,1868509
17-Apr-14,2494,2525.2,2472,2511,2002953
16-Apr-14,2494,2497,2476,2495,1566118
15-Apr-14,2476,2508,2467,2481,1922498
14-Apr-14,2445,2500,2439,2474,1781130
11-Apr-14,2463,2472.99,2445,2447,2141389
10-Apr-14,2441,2476,2430,2464.75,1762412
9-Apr-14,2401,2429,2391,2415.88,1652994
8-Apr-14,2402,2410,2367,2392.76,1754164
7-Apr-14,2441,2446.9,2398,2400,1464496
4-Apr-14,2451,2460.05,2426,2452,1395555
3-Apr-14,2427,2448,2420,2428,2085271
2-Apr-14,2425,2441,2414,2421,1395374
1-Apr-14,2438,2443,2405.36,2424.15,1509442
31-Mar-14,2439,2457,2422,2422.88,1991245
28-Mar-14,2441,2461,2428,2432,1477402
27-Mar-14,2420,2444,2420,2433,1721445
26-Mar-14,2435,2455,2425,2430,1397093
25-Mar-14,2423,2448,2415,2434,1621513
24-Mar-14,2445,2445,2415,2425,1437787
21-Mar-14,2417,2462,2413,2441.12,3062874
20-Mar-14,2424,2428,2407,2418,1259079
19-Mar-14,2424,2449,2415.35,2438,1912553
18-Mar-14,2412,2424,2398.46,2415,2027243
17-Mar-14,2417,2426,2408,2419,1727050
14-Mar-14,2436,2441,2408,2416,2141299
13-Mar-14,2469,2481,2446,2446,2172186
12-Mar-14,2481,2493,2469,2472,2190876
11-Mar-14,2489,2497,2478,2494,1760473
10-Mar-14,2475,2494,2468,2487.25,1538610
7-Mar-14,2489,2495,2473,2476,2253863
6-Mar-14,2481,2496,2469,2493,2017271
5-Mar-14,2483,2488,2469,2475,1414214
4-Mar-14,2443,2482,2438,2474,2075691
3-Mar-14,2409,2432,2405,2421,1825328
28-Feb-14,2441,2459,2427,2437,2300856
27-Feb-14,2438,2447,2405,2437,2542689
26-Feb-14,2408,2447,2401,2446,2607800
25-Feb-14,2397,2415,2388,2411,3602444
24-Feb-14,2369,2400,2365,2398,2519771
21-Feb-14,2376,2385,2366,2373,2086795
20-Feb-14,2362,2373,2351,2360,2097188
19-Feb-14,2400,2420,2364,2372,2178441
18-Feb-14,2371,2408,2350,2381.77,2414908
17-Feb-14,2306,2364,2299,2348.65,1783245
14-Feb-14,2348,2349,2290,2300,2469615
13-Feb-14,2222,2359,2222,2351,4435096
12-Feb-14,2241,2249,2223,2225,2664100
11-Feb-14,2249,2259,2238,2247,2521208
10-Feb-14,2225,2242,2220,2242,1642845
7-Feb-14,2212,2224,2205,2214,1672587
6-Feb-14,2206,2207,2180,2200,2778260
5-Feb-14,2218,2231,2189,2189,2160378
4-Feb-14,2228,2249,2209,2227,1851351
3-Feb-14,2216,2255,2211,2239,1966059
31-Jan-14,2242,2285,2206,2223,3410863
30-Jan-14,2194,2197,2156,2182,1397531
29-Jan-14,2233,2234,2181,2189,1603703
28-Jan-14,2258,2263,2213,2217,1341808
27-Jan-14,2278,2302,2246,2252,1770131
24-Jan-14,2294,2310,2254,2262,2624882
23-Jan-14,2292,2314,2292,2305,2002192
22-Jan-14,2283,2302,2280,2288,1556140
21-Jan-14,2238,2291,2228,2284,2372906
20-Jan-14,2218,2238,2217,2228,1121273
17-Jan-14,2236,2251,2199,2210,2418224
16-Jan-14,2195,2235,2190,2232,2151985
15-Jan-14,2186,2210,2168,2185,1627446
14-Jan-14,2220,2263,2208,2253,1960950
13-Jan-14,2217,2229,2207,2224,2243614
10-Jan-14,2235,2238,2217,2217,2083474
9-Jan-14,2243,2250,2220,2221,1856271
8-Jan-14,2310,2310,2242,2247,2751225
7-Jan-14,2345,2348,2310,2314,1479436
6-Jan-14,2345,2355,2333,2346.89,885129
3-Jan-14,2346,2353,2328,2339,625029
2-Jan-14,2344,2363,2340,2344,1071777
31-Dec-13,2335,2343,2324,2338,224529
30-Dec-13,2343,2344,2317,2338,576847
27-Dec-13,2329,2351,2327,2343,687830
24-Dec-13,2316,2330,2307,2318,191281
23-Dec-13,2306,2322,2297,2316,547012
20-Dec-13,2310,2322,2301,2303,2112530
19-Dec-13,2288,2307,2282,2307,1510945
18-Dec-13,2266,2288,2264,2267,1570332
17-Dec-13,2267,2275,2258,2258,1148304
16-Dec-13,2236,2277,2234,2267,1321023
13-Dec-13,2216,2251,2211,2236,1188589
12-Dec-13,2241,2250,2218,2220,1450727
11-Dec-13,2267,2273,2237,2243,1543069
10-Dec-13,2266,2282,2252,2256,937039
9-Dec-13,2291,2292,2274,2272.9,954526
6-Dec-13,2304,2304,2277,2289,1384706
5-Dec-13,2310,2316,2284,2285,1407318
4-Dec-13,2299,2319,2298,2300,1023857
3-Dec-13,2309,2314,2290,2297,1405639
2-Dec-13,2322,2334,2311,2313,1049212
29-Nov-13,2319,2334,2309,2324,1375615
28-Nov-13,2316,2330,2285,2316,2260663
27-Nov-13,2356,2372,2343,2361,1146223
26-Nov-13,2367,2369,2354,2355,1432509
25-Nov-13,2376,2384,2357,2369,942092
22-Nov-13,2378,2380,2355,2370,1557754
21-Nov-13,2410,2410,2349,2367,2796084
20-Nov-13,2423,2439,2414,2430,1054024
19-Nov-13,2425,2434,2419,2427.49,1126764
18-Nov-13,2425,2436,2416,2426,1259316
15-Nov-13,2400,2427,2396,2426,1958180
14-Nov-13,2379,2399,2375,2399,1858984
13-Nov-13,2370,2375,2348,2363,1204389
12-Nov-13,2389,2393,2362,2370,1140333
11-Nov-13,2385,2389,2372,2382,1014783
8-Nov-13,2340,2379,2340,2374,1768645
7-Nov-13,2360,2376,2340,2340,1278999
6-Nov-13,2372,2391,2355,2355,1763709
5-Nov-13,2275,2398,2270,2382,2599209
4-Nov-13,2309,2321,2296,2310,921218
1-Nov-13,2333,2340,2302,2305,794745
31-Oct-13,2310,2344,2310,2329,1859189
30-Oct-13,2334,2336,2319,2329,953330
29-Oct-13,2350,2368,2328,2332,1017929
28-Oct-13,2337,2350,2328,2344,1042898
25-Oct-13,2309,2345,2305,2341,1176476
24-Oct-13,2291,2323,2284,2319,1019120
23-Oct-13,2284,2297,0,2295,1165654
22-Oct-13,2278,2308,2278,2292,1131301
21-Oct-13,2280,2284,2269,2280,668359
18-Oct-13,2260,2279,2249,2279,1842496
17-Oct-13,2214,2268,2213,2253,2077534
16-Oct-13,2184,2222,2183,2220,1322279
15-Oct-13,2231,2234,2184,2189,1418462
14-Oct-13,2199,2226,2199,2211,1250668
11-Oct-13,2202,2212,2168,2210,1147550
10-Oct-13,2181,2211,2175,2198,1157909
9-Oct-13,2193,2201,2165,2174,1210147
8-Oct-13,2221,2229,2181,2198,1804131
7-Oct-13,2211,2234,2206,2218,1007093
4-Oct-13,2225,2236,2214,2215,940432
3-Oct-13,2210,2243,2198,2235,1337406
2-Oct-13,2234,2242,2210,2219,1482197
1-Oct-13,2277,2277,2233,2237,1701311
30-Sep-13,2275,2298,2261,2287,1458821
27-Sep-13,2303,2312,2272,2290,1131333
26-Sep-13,2286,2308,2278,2296,1130600
25-Sep-13,2259,2283,2253,2280,1444334
24-Sep-13,2289,2293,2254,2257,1400543
20-Sep-13,2290,2303,2281,2303,4019394
19-Sep-13,2305,2315,2289,2291,1631148
18-Sep-13,2283,2296,2262,2277,1029523
17-Sep-13,2316,2321,2281,2281,1912283
16-Sep-13,2307,2329,2296,2312,1495099
13-Sep-13,2274,2292,2268,2292,1350207
12-Sep-13,2267,2296,2264,2279,1645169
11-Sep-13,2269,2284,2263,2267,1347650
10-Sep-13,2257,2285,2255,2268,1513251
9-Sep-13,2268,2275,2230,2247,1329103
6-Sep-13,2228,2263,2228,2261,2688772
5-Sep-13,2187,2239,2185,2219.98,3173652
4-Sep-13,2144,2184,2139,2184,1864201
3-Sep-13,2132,2169,2130,2154,1411214
2-Sep-13,2143,2152,2125,2133,1042374
30-Aug-13,2145,2150,2129,2132,2352007
29-Aug-13,2148,2151,2128,2142,1438775
28-Aug-13,2113,2144,2106,2140,1751059
27-Aug-13,2141,2158,2120,2120,2428492
23-Aug-13,2158,2160,2145,2154,2407998
22-Aug-13,2165,2177,2155,2159,1346777
21-Aug-13,2186,2195,2163,2164,968780
20-Aug-13,2194,2197,2176,2184,1163306
19-Aug-13,2208,2211,2183,2199,1623931
16-Aug-13,2213,2237,2197,2205,2987693
15-Aug-13,2167,2247,2167,2209,4335009
14-Aug-13,2129,2160,2129,2154,2694670
13-Aug-13,2144,2152,2115,2128,2286666
12-Aug-13,2141,2144,2124,2141,1254465
9-Aug-13,2139,2143,2128,2141,1347084
8-Aug-13,2161,2162,2121,2132,1992079
7-Aug-13,2194,2204,2157,2157,1722559
6-Aug-13,2209,2217,2185,2200,1765901
5-Aug-13,2230,2235,2208,2208,1027965
2-Aug-13,2234,2234,2212,2223,1550173
1-Aug-13,2218,2239,2214,2227,1703005
31-Jul-13,2167,2208,2164,2206,2643835
30-Jul-13,2175,2186,2158,2159.09,1579808
29-Jul-13,2178,2190,2163,2170,1652975
26-Jul-13,2173,2190,2155,2173,1858336
25-Jul-13,2199,2206,2162,2164,2050141
24-Jul-13,2210,2227,2199,2205,1564072
23-Jul-13,2218,2235,2210,2210,1962563
22-Jul-13,2181,2220,2171,2208,1430620
19-Jul-13,2190,2211.2,2166,2180,2900867
18-Jul-13,2190,2210.28,2187,2190,2332411
17-Jul-13,2223,2228,2177.82,2197,2022615
16-Jul-13,2263,2267.19,2241,2253,1837268
15-Jul-13,2256,2270.2,2248.82,2259,1107646
12-Jul-13,2281,2288,2249,2250,1366320
11-Jul-13,2308,2315,2252.8,2273,1518806
10-Jul-13,2342,2358.04,2246.3,2285,1841999
9-Jul-13,2334,2361.18,2327,2340,1147241
8-Jul-13,2295,2335,2278,2319,1401371
5-Jul-13,2289,2316,2268,2282,1752463
4-Jul-13,2283,2300,2266,2288,1647138
3-Jul-13,2280,2288,2249,2267,1628660
2-Jul-13,2286,2298,2269,2293,1115006
1-Jul-13,2286,2298,2278,2288,1451741
28-Jun-13,2309,2311,2267,2280,2753205
27-Jun-13,2270,2309,2266.8,2308,1690814
26-Jun-13,2268,2282,2258,2267,1769171
25-Jun-13,2287,2287,2235.36,2265,2140814
24-Jun-13,2290,2294.32,2269,2278,1971685
21-Jun-13,2311,2318,2290,2295,4949088
20-Jun-13,2336,2353,2307,2311,2106662
19-Jun-13,2372,2372,2353,2361,1318431
18-Jun-13,2363,2370,2355,2364,1423725
17-Jun-13,2357,2382,2357,2366,1356277
14-Jun-13,2359,2359,2337,2350,1627900
13-Jun-13,2347,2356,2334,2355,1642956
12-Jun-13,2365,2395,2358,2367,1584252
11-Jun-13,2355,2367,2336,2365,1605463
10-Jun-13,2344,2368,2341,2355,1189027
7-Jun-13,2347,2357,2317,2346,1696895
6-Jun-13,2364,2374.7,2341,2341,1211071
5-Jun-13,2397,2405,2361,2361,2039661
4-Jun-13,2381,2408.6,2373,2406,1731078
3-Jun-13,2361,2379,2350.72,2373,1658806
31-May-13,2396,2397.55,2370.31,2371,2982844
30-May-13,2371,2398,2367.39,2395,1118278
29-May-13,2399,2401.32,2366,2378,1981547
28-May-13,2436,2446,2415,2415,1589780
24-May-13,2390,2411,2388,2407,2050500
23-May-13,2375,2391,2361,2378,2465692
22-May-13,2395,2408.13,2374,2395,2900210
21-May-13,2351,2390,2350,2389,3560208
20-May-13,2310,2335.23,2301,2334,1366387
17-May-13,2290,2306,2274.79,2296,2166179
16-May-13,2295,2307.22,2292,2295,1454050
15-May-13,2290,2300,2287,2290,1672036
14-May-13,2308,2312,2284,2288,1691790
13-May-13,2323,2325,2310,2315,1218026
10-May-13,2313,2328,2312.68,2322,2984280
9-May-13,2316,2317,2304,2311,1271475
8-May-13,2317,2333,2308,2317,1812136
7-May-13,2356,2368,2315,2316,2404894
3-May-13,2372,2372,2331,2358,1563632
2-May-13,2291,2376,2291,2370,2655684
1-May-13,2296,2312,2295,2306,775784
30-Apr-13,2297,2326,2280,2300,2734183
29-Apr-13,2288,2303,2279,2299,1576946
26-Apr-13,2283,2301,2265,2277,1416730
25-Apr-13,2310,2322,2283,2288,2305109
24-Apr-13,2290,2302.21,2280,2298,1927489
23-Apr-13,2260,2285.58,2255,2277,1866645
22-Apr-13,2266,2274.18,2251,2256,1091056
19-Apr-13,2243,2279,2228,2260,1915031
18-Apr-13,2266,2277,2227,2239,2302497
17-Apr-13,2279,2289,2260,2261,1596481
16-Apr-13,2288,2296,2278,2278,1567247
15-Apr-13,2309,2314,2291,2300,1328110
12-Apr-13,2336,2340,2299,2310,1793647
11-Apr-13,2342,2375,2329,2340,1710117
10-Apr-13,2303,2349,2298.6,2345,2120100
9-Apr-13,2290,2310,2279,2305,2240503
8-Apr-13,2272,2280,2255,2279,1671221
5-Apr-13,2288,2294,2251,2260,1860361
4-Apr-13,2279,2294,2257.53,2277,1597116
3-Apr-13,2312,2319,2268,2270,1367453
2-Apr-13,2291,2332,2287,2314,1545591
28-Mar-13,2265,2306,2245,2299,2217251
27-Mar-13,2272,2274.82,2224,2253,1807937
26-Mar-13,2291,2295,2256.55,2266,1889348
25-Mar-13,2303,2303,2276,2281,2187038
22-Mar-13,2313,2320,2291,2291,1771216
21-Mar-13,2359,2365,2294,2316,2411906
20-Mar-13,2350,2368,2346,2360,1530874
19-Mar-13,2334,2353,2325.72,2343,1368368
18-Mar-13,2352,2357,2332,2332,1777002
15-Mar-13,2377,2385,2353,2373,2774494
14-Mar-13,2390,2398,2376.7,2379,2368307
13-Mar-13,2383,2410,2380,2393,1571931
12-Mar-13,2365,2400,2359,2380,1530144
11-Mar-13,2355,2369,2346,2363,1231012
8-Mar-13,2358,2368,2348.28,2355,1541789
7-Mar-13,2397,2398,2346,2351,2190115
6-Mar-13,2416,2427.42,2375,2385,3678318
5-Mar-13,2442,2455,2426,2443,1445576
4-Mar-13,2409,2446,2406,2426,1670263
1-Mar-13,2393,2424,2382,2409,1127994
28-Feb-13,2383,2397,2372,2390,2495813
27-Feb-13,2347,2386,2336,2380,1841109
26-Feb-13,2341,2370,2328,2344,2106266
25-Feb-13,2388,2399,2346,2353,1759118
22-Feb-13,2377,2387,2361,2379,1568263
21-Feb-13,2396,2396,2354,2362,1432777
20-Feb-13,2414,2432.07,2394,2397,1808384
19-Feb-13,2357,2410,2352,2408,1800426
18-Feb-13,2319,2365.01,2319,2356,1916471
15-Feb-13,2313,2340,2312,2318,1640363
14-Feb-13,2315,2330,2296,2312,1967767
13-Feb-13,2316,2324,2300,2309,1786191
12-Feb-13,2301,2325.18,2297,2317,1383181
11-Feb-13,2308,2326,2300,2305,1174792
8-Feb-13,2338,2347,2294,2300,3170424
7-Feb-13,2362,2365,2344,2347,1284196
6-Feb-13,2362,2375,2349,2363,1312346
5-Feb-13,2356,2369,2345,2355,1468585
4-Feb-13,2365,2373.67,2341,2345,1188908
1-Feb-13,2356,2368,2330,2358,1917230
31-Jan-13,2350,2367,2343,2345,2709486
30-Jan-13,2380,2417.73,2333,2361,5513538
29-Jan-13,2432,2471,2430,2466,1353892
28-Jan-13,2425,2442,2414,2423,1384385
25-Jan-13,2391,2425,2391,2420,1579425
24-Jan-13,2382,2397,2375,2390,1472470
23-Jan-13,2381,2392,2368.68,2385,1152669
22-Jan-13,2393,2394,2379,2388,1526467
21-Jan-13,2390,2410,2389,2394,1359734
18-Jan-13,2368,2448.9,2360,2378,2166770
17-Jan-13,2376,2392.29,2351,2363,1748504
16-Jan-13,2414,2422.49,2352,2368,3524750
15-Jan-13,2467,2488,2460,2484,1336766
14-Jan-13,2455,2477.41,2450,2470,1243570
11-Jan-13,2463,2475,2438.84,2448,2044014
10-Jan-13,2464,2465,2436,2459,1446768
9-Jan-13,2472,2483,2435,2469,1592399
8-Jan-13,2446,2479,2446,2473,1973243
7-Jan-13,2445,2458,2433,2454,1337872
4-Jan-13,2405,2448,2402.4,2443,1876437
3-Jan-13,2391,2419,2379,2412,1233008
2-Jan-13,2391,2408,2375,2385,1518106
31-Dec-12,2359,2384,2359,2373,424294
28-Dec-12,2386,2386,2361,2365,644900
27-Dec-12,2372,2396,2360,2382,793498
24-Dec-12,2388,2397,2372,2377,423430
21-Dec-12,2391,2406,2374,2394,3617040
20-Dec-12,2405,2425,2389,2397,1684959
19-Dec-12,2415,2432,2390,2397,2491029
18-Dec-12,2429,2444.12,2402,2418,2101779
17-Dec-12,2437,2447,2420,2426,1481517
14-Dec-12,2457,2462,2425,2432,2033482
13-Dec-12,2461,2469,2440,2452,1649512
12-Dec-12,2473,2485.75,2454,2466,1253181
11-Dec-12,2485,2502,2469,2469,1212507
10-Dec-12,2498,2503,2479,2484,1356632
7-Dec-12,2490,2512,2485,2498,1679794
6-Dec-12,2536,2536,2483,2485,1946986
5-Dec-12,2537,2545,2517,2528,1609820
4-Dec-12,2518,2542,2514,2534,1423326
3-Dec-12,2509,2523,2490,2521,1219018
30-Nov-12,2504,2517,2494.84,2497,1443462
29-Nov-12,2514,2521,2491,2504,1592517
28-Nov-12,2517,2523,2490,2509,1106845
27-Nov-12,2505,2524,2500,2517,1237355
26-Nov-12,2481,2502,2479,2495,1191086
23-Nov-12,2490,2503,2482,2484,896179
22-Nov-12,2475,2494,2465,2484,1003280
21-Nov-12,2426,2483,2417,2472,2247588
20-Nov-12,2454,2454,2417,2428,1738479
19-Nov-12,2403,2460,2395,2460,1776579
16-Nov-12,2400,2422,2388,2395,1768398
15-Nov-12,2415,2417.14,2391,2400,1321678
14-Nov-12,2436,2450,2419,2424,1605216
13-Nov-12,2426,2449,2400,2445,1752753
12-Nov-12,2444,2466,2427,2427,1368991
9-Nov-12,2425,2445.5,2425,2434,1430667
8-Nov-12,2436,2440,2417,2430,1494608
7-Nov-12,2430,2447.19,2421,2431,2668887
6-Nov-12,2399,2430,2395,2425,1460510
5-Nov-12,2392,2406.89,2375,2399,1432812
2-Nov-12,2352,2392.24,2342.18,2392,1771959
1-Nov-12,2334,2355,2322,2350,1796366
31-Oct-12,2370,2373,2323,2340,2663564
30-Oct-12,2335,2390,2325,2370,2059975
29-Oct-12,2338,2338,2309,2332,1560748
26-Oct-12,2318,2347,2306,2343,1950733
25-Oct-12,2298,2334,2288,2330,2225893
24-Oct-12,2290,2302,2277,2296,1743258
23-Oct-12,2315,2315,2278,2294.89,1917101
22-Oct-12,2283,2317,2274,2302.33,1507378
19-Oct-12,2286,2300.6,2279.84,2286,1745269
18-Oct-12,2302,2312,2275,2285,2461231
17-Oct-12,2292,2308.4,2285,2305,2607571
16-Oct-12,2290,2303,2281,2296,1474455
15-Oct-12,2282,2305,2273,2279,1399709
12-Oct-12,2282,2299,2275,2283,1288583
11-Oct-12,2270,2292,2259,2283,1559036
10-Oct-12,2287,2288,2271,2271,1732938
9-Oct-12,2322,2322,2273,2285,2325676
8-Oct-12,2350,2367.91,2308,2314,2068512
5-Oct-12,2348,2385,2336,2370,2019810
4-Oct-12,2319,2349,2310,2343,1566648
3-Oct-12,2319,2319,2303,2314,1583375
2-Oct-12,2311,2334,2302,2328,1517040
1-Oct-12,2292,2331,2287.08,2316,1885282
28-Sep-12,2308,2312,2289.71,2292,2522068
27-Sep-12,2324,2325,2300,2300,1682883
26-Sep-12,2330,2346,2317,2317,1975118
25-Sep-12,2356,2357,2339,2345,1553134
24-Sep-12,2360,2371,2339,2352,1695025
21-Sep-12,2400,2400,2350,2365,3751314
20-Sep-12,2330,2399,2325,2399,4134392
19-Sep-12,2358,2359,2315,2336,2406041
18-Sep-12,2327,2366,2320.86,2362,2733113
17-Sep-12,2294,2321.79,2294,2318,1848512
14-Sep-12,2334,2342,2280,2300,3356391
13-Sep-12,2267,2302,2253,2301,2257053
12-Sep-12,2271,2277,2250,2276,2795697
11-Sep-12,2250,2276,2248,2271,2568107
10-Sep-12,2250,2277.58,2235,2250,2714959
7-Sep-12,2340,2348.56,2258,2262,4822249
6-Sep-12,2394,2406,2340,2344,4629113
5-Sep-12,2429,2431,2397,2406,2479469
4-Sep-12,2478,2480,2437,2449,1400782
3-Sep-12,2455,2487.25,2450,2487,790594
31-Aug-12,2477,2488,2456,2456,2072739
30-Aug-12,2455,2479,2447,2474,1155591
29-Aug-12,2437,2465,2434,2456,1707102
28-Aug-12,2470,2492,2421.77,2437,1609860
24-Aug-12,2438,2464,2430,2453,1482885
23-Aug-12,2443,2457.41,2423,2435,1599021
22-Aug-12,2452,2453,2426,2430,921280
21-Aug-12,2468,2487,2450,2455,1307072
20-Aug-12,2471,2476,2458,2465,649491
17-Aug-12,2491,2491,2463,2465,1690234
16-Aug-12,2495,2515,2474.21,2480,1258762
15-Aug-12,2495,2511,2475,2489,2254526
14-Aug-12,2547,2562,2531,2533,1182540
