Date,Open,High,Low,Close,Volume
27-May-14,2355,2375,2301,2302.12,1914928
23-May-14,2225,2229,2215,2226.11,615790
22-May-14,2217,2226,2206,2219.11,618769
21-May-14,2183,2214.11,2178,2214,613446
20-May-14,2189,2217,2179,2179,740978
19-May-14,2192,2226,2174,2185.11,885484
16-May-14,2195,2203,2150,2184,1051508
15-May-14,2208,2225,2183,2195,852326
14-May-14,2215,2225,2007,2210.11,486580
13-May-14,2195,2219.11,2170,2219.11,575311
12-May-14,2182,2197,2165.1,2186,925002
9-May-14,2211,2226,2184.1,2185,1156233
8-May-14,2222,2231,2200,2211,940134
7-May-14,2189,2232,2185,2221.11,1092334
6-May-14,2189,2196,2168,2185.11,1231691
2-May-14,2150,2234.39,2135,2190,2363981
1-May-14,2019,2038,1996,2024,382995
30-Apr-14,1992,2020,1986,2018,654495
29-Apr-14,1991,2005,1983,1999,574085
28-Apr-14,2000,2010,1974,1985,910206
25-Apr-14,1991,2008,1978,1999.1,635278
24-Apr-14,1955,1992.2,1950.1,1992.2,928226
23-Apr-14,1951,1962,1941,1949,459041
22-Apr-14,1924,1958,1923.31,1951.2,821380
17-Apr-14,1904,1924.9,1901,1922,504174
16-Apr-14,1915,1927,1898,1905,699306
15-Apr-14,1914,1930,1891,1904,593566
14-Apr-14,1895,1916,1869,1914,853859
11-Apr-14,1900,1904,1882,1904,841702
10-Apr-14,1925,1939,1908,1912,505892
9-Apr-14,1921,1936,1915,1924,585855
8-Apr-14,1901,1922,1876,1916,895792
7-Apr-14,1912,1915,1883,1908,588734
4-Apr-14,1936,1937,1920,1925,522146
3-Apr-14,1949,1952.9,1929,1930,578093
2-Apr-14,1948,1958,1944,1945,439730
1-Apr-14,1929,1950,1920,1935.19,577383
31-Mar-14,1936,1944,1921,1927,738448
28-Mar-14,1941,1951,1924,1932,542756
27-Mar-14,1950,1954.9,1922,1936,877419
26-Mar-14,1958,1969,1928.31,1956,1126026
25-Mar-14,1926,1959,1922,1955,1005633
24-Mar-14,1932,1934,1912,1923,1066171
21-Mar-14,1868,1945,1863,1937,1824480
20-Mar-14,1880,1887.1,1845,1866,1149855
19-Mar-14,1894,1914.1,1875,1892,835088
18-Mar-14,1898,1926,1881,1918,692450
17-Mar-14,1888,1906,1881,1896,657038
14-Mar-14,1884,1900,1873,1887,764432
13-Mar-14,1924,1924,1897,1897,668837
12-Mar-14,1916,1921,1902,1916,783913
11-Mar-14,1904,1933,1896,1924,819351
10-Mar-14,1928,1931,1904,1907,1048598
7-Mar-14,1928,1935,1910,1919,689681
6-Mar-14,1930,1933,1904,1919,825457
5-Mar-14,1946,1946,1917,1923,724493
4-Mar-14,1909,1961,1909,1949,663944
3-Mar-14,1921,1926,1894,1898,885527
28-Feb-14,1937,1953,1932,1942,1019709
27-Feb-14,1925,1939,1908,1937,906560
26-Feb-14,1918,1938,1918,1929,837144
25-Feb-14,1927,1936,1920,1929,1130745
24-Feb-14,1919,1936,1903,1927.63,1393979
21-Feb-14,1949,1965,1918,1925,1653852
20-Feb-14,1979,1982,1960,1975,1030305
19-Feb-14,1988,1996,1964,1966,1129840
18-Feb-14,2021,2023,1946,1981,1812161
17-Feb-14,2001,2047,1996,2047,899343
14-Feb-14,1973,2005,1968,2003,789629
13-Feb-14,1996,1998,1953,1975,926146
12-Feb-14,1984,2003,1983,1996,739290
11-Feb-14,1956,1985,1956,1983,711284
10-Feb-14,1946,1958,1937,1951,618564
7-Feb-14,1957,1959,1942,1943,1018799
6-Feb-14,1948,1973,1937,1954,1152626
5-Feb-14,1937,1952,1927,1945,1028923
4-Feb-14,1952,1965,1940,1942,798048
3-Feb-14,1965,1993,1964,1967,501550
31-Jan-14,1982,1989,1929,1970,599136
30-Jan-14,1977,1997,1970,1983,481012
29-Jan-14,1990,2022,1962,1981,763035
28-Jan-14,1983,1995,1977,1984,487722
27-Jan-14,2019,2023,1968,1972,1054063
24-Jan-14,2030,2044,2013,2026,1612917
23-Jan-14,2034,2046,2020,2029,818282
22-Jan-14,2027,2047,2027,2038,639874
21-Jan-14,2008,2029,2001,2024,683354
20-Jan-14,1997,2003,1990,2001,181048
17-Jan-14,1990,2007,1977,1996,751230
16-Jan-14,2016,2025,1988,1989,635240
15-Jan-14,2017,2025,2008,2020,423851
14-Jan-14,1982,2012,1975,2012,512309
13-Jan-14,1971,1997,1971,1993,588340
10-Jan-14,1972,1980,1963,1980,773326
9-Jan-14,1961,1981,1946,1966,1240066
8-Jan-14,1995,2004,1976,1982,661479
7-Jan-14,1995,2008,1979,2002,422815
6-Jan-14,1995,2003,1981,1989,476027
3-Jan-14,2004,2013,1996,1999,688328
2-Jan-14,2013,2022,1995,2009,718690
31-Dec-13,2014,2037,2010,2013,216546
30-Dec-13,2022,2043,2019,2020,572642
27-Dec-13,2001,2028,1998,2025,497374
24-Dec-13,1989,2008,1985,2000,147721
23-Dec-13,1955,1987,1955,1987,539880
20-Dec-13,1948,1973,1940,1953,1165478
19-Dec-13,1921,1941,1895,1941,878975
18-Dec-13,1892,1906,1888,1895,447355
17-Dec-13,1910,1911,1884,1889,462618
16-Dec-13,1890,1914,1886,1908,435294
13-Dec-13,1886,1915,1886,1897,463760
12-Dec-13,1885,1901,1878,1890,642360
11-Dec-13,1881,1905,1881,1899,526329
10-Dec-13,1900,1910,1879,1882,374790
9-Dec-13,1890,1905,1880,1900,579344
6-Dec-13,1884,1892,1865,1882,568035
5-Dec-13,1884,1893,1870,1887,479411
4-Dec-13,1895,1901,1876,1885,630046
3-Dec-13,1908,1910,1893,1893,743420
2-Dec-13,1901,1913,1897,1909,395326
29-Nov-13,1904,1916,1901,1903,445407
28-Nov-13,1915,1915,1905,1908,449401
27-Nov-13,1909,1917,1888,1916.45,735094
26-Nov-13,1887,1914,1884,1905.34,990709
25-Nov-13,1872,1888,1872,1887,413257
22-Nov-13,1847,1875,1847,1863,578013
21-Nov-13,1857,1860,1848,1853,534823
20-Nov-13,1850,1870,1831,1859,966291
19-Nov-13,1867,1874,1853,1860,674457
18-Nov-13,1857,1880,1843,1877,511786
15-Nov-13,1848,1870,1843,1868,585822
14-Nov-13,1833,1846,1824,1840,713344
13-Nov-13,1833,1837,1805,1814,1015803
12-Nov-13,1821,1849,1815,1839,1062092
11-Nov-13,1805,1824,1803,1820,580543
8-Nov-13,1791,1802,1787,1801,936035
7-Nov-13,1800,1817,1795,1798,881262
6-Nov-13,1807,1810,1793,1800,842334
5-Nov-13,1800,1811,1780,1806,914429
4-Nov-13,1842,1842,1791,1794,634363
1-Nov-13,1820,1830,1796,1805,860188
31-Oct-13,1829,1839,1815,1819,583479
30-Oct-13,1823,1840,1821,1829,396769
29-Oct-13,1837,1840,1818,1822,635577
28-Oct-13,1850,1850,1801,1823,745785
25-Oct-13,1861,1871,1859,1865,429416
24-Oct-13,1861,1873,1853,1863,489644
23-Oct-13,1876,1880,1857,1860,442215
22-Oct-13,1859,1873,1847,1865,454037
21-Oct-13,1864,1867,1855,1859,322499
18-Oct-13,1840,1861,1832,1856,698252
17-Oct-13,1845,1852,1820,1830,597671
16-Oct-13,1837,1868,1827,1853,618494
15-Oct-13,1819,1854,1810,1845,885400
14-Oct-13,1815,1819,1805,1808,407300
11-Oct-13,1780,1820,1770,1815,1102688
