Date,Open,High,Low,Close,Volume
27-May-14,385,393.5,383.4,392.92,5084696
23-May-14,379.4,382.2,373.35,379.42,4204904
22-May-14,379.7,382.1,377.2,380.02,3855773
21-May-14,377.8,383.5,373.7,378.2,5890366
20-May-14,372.1,380.6,371,378.42,5944120
19-May-14,359.7,371.57,353.6,370.84,8240685
16-May-14,367.4,370.2,350.5,358.3,16900033
15-May-14,387.8,392.14,365.6,365.7,14592560
14-May-14,396,397.1,388,388.9,4346801
13-May-14,396.9,399.5,392.5,395.1,5258900
12-May-14,387.9,394.9,383.8,393.8,7986378
9-May-14,411,415.54,383.7,385,16309520
8-May-14,396.7,409,396,404.6,7998656
7-May-14,406.4,408.36,393.25,394.2,7046647
6-May-14,406.9,412.01,403.4,408.4,4298865
2-May-14,410,410.9,405.5,406.7,3928938
1-May-14,404.4,493,402.6,410.4,3286323
30-Apr-14,396.4,404.5,395.1,404.1,4496433
29-Apr-14,401.1,404.2,396.25,398.6,5593432
28-Apr-14,404.5,407.8,397.5,397.5,3832057
25-Apr-14,411.8,413.9,398.9,400,6486367
24-Apr-14,410.6,419.8,407.41,413.3,5766108
23-Apr-14,410.5,413.7,405.8,407.3,5085548
22-Apr-14,408.7,411.39,377.98,410.3,4841426
17-Apr-14,395.3,407.7,392.6,407.7,7767757
16-Apr-14,383,395.3,374.85,395.2,11670644
15-Apr-14,378.5,383,373.8,376.2,9155817
14-Apr-14,391,394.3,370.1,377.1,16626671
11-Apr-14,407.9,410.1,390.8,392.1,13348206
10-Apr-14,423,426.5,413.8,413.9,4723709
9-Apr-14,417.3,423.6,416.31,420.6,4146025
8-Apr-14,431.3,432,404.8,416,10259072
7-Apr-14,436.5,441.5,429.5,430.1,5683096
4-Apr-14,436.2,447.3,436.2,442.9,4452174
3-Apr-14,435.5,441.4,423.35,436.4,5038498
2-Apr-14,426,437,426,432.42,6164630
1-Apr-14,418,424.7,417.2,422.33,7381278
31-Mar-14,419.2,421.3,416.3,417.81,5778535
28-Mar-14,417,418.7,413.6,417.7,5321456
27-Mar-14,422,422,410.7,413,6791844
26-Mar-14,419.6,426.8,418.2,422.6,3441265
25-Mar-14,412,423.3,412,418.3,5386175
24-Mar-14,418.1,424,408.7,410.9,5384143
21-Mar-14,424,427.1,419.4,420.6,6309116
20-Mar-14,427.8,430.6,419.4,423.4,5785426
19-Mar-14,433.8,435,428.5,432.5,4722108
18-Mar-14,428.8,437.1,424.4,434,5581645
17-Mar-14,421.9,430.2,418.3,429.9,5639075
14-Mar-14,428.8,430.2,414.5,421.3,9513709
13-Mar-14,443.4,450.4,432.9,432.9,6335332
12-Mar-14,446.4,451.4,437.8,444.8,6131874
11-Mar-14,435,448.6,435,444,5551112
10-Mar-14,438.9,449,432.5,433.1,6492893
7-Mar-14,447.2,453,441,441,5731977
6-Mar-14,442.5,450.9,442.5,447.2,5925448
5-Mar-14,437.4,445.5,436.8,442.4,6020808
4-Mar-14,427,441.9,426.2,439.9,6295411
3-Mar-14,434.8,434.8,419.4,422.8,8582250
28-Feb-14,440,445,434,437,13432696
27-Feb-14,453.8,454.4,444.2,451.8,6987471
26-Feb-14,450.8,457.2,450.6,454.6,5671981
25-Feb-14,445.2,452.5,443.9,451.7,8696314
24-Feb-14,446.1,453.3,443.7,445.5,4944176
21-Feb-14,452,452.6,442.9,447.7,3910607
20-Feb-14,442.9,451,437.4,450.5,4608072
19-Feb-14,448.8,451.4,444.9,447.4,3132011
18-Feb-14,446.6,450.6,443.5,449.9,4537419
17-Feb-14,446.3,448.9,443.3,444.2,3145648
14-Feb-14,443.8,454.5,443.7,446.4,7637042
13-Feb-14,429.6,442.1,421.1,442,7719046
12-Feb-14,430.3,431,425.9,429.6,3133218
11-Feb-14,426,429.5,425.1,428.1,3518054
10-Feb-14,430.3,430.5,420.2,423.5,2924855
7-Feb-14,424.4,428.7,422.9,428.3,5531886
6-Feb-14,414.3,426.6,413.9,421.5,7683013
5-Feb-14,405.9,417.9,405.6,412.6,6195573
4-Feb-14,411.4,417.1,402.5,411.2,6286501
3-Feb-14,418,423.4,412.6,414.4,5390628
31-Jan-14,418,418.2,405.5,416.7,5751480
30-Jan-14,405,419.7,405,418.7,7287706
29-Jan-14,413,415.9,396.7,403.2,7933343
28-Jan-14,403.1,408.6,400.5,407.8,6922219
27-Jan-14,406.8,408.9,396.8,400.6,8232055
24-Jan-14,428.5,431.1,405.7,406.3,10607208
23-Jan-14,436.4,439.4,426.2,427.4,6360656
22-Jan-14,431.1,438.6,431.1,437,4393578
21-Jan-14,427.3,433.7,426.3,431.4,5903504
