Date,Open,High,Low,Close,Volume
27-May-14,2879,2911,2863,2896,400830
23-May-14,2906,2909,2841,2871,324188
22-May-14,2890,2922,2878,2906,289329
21-May-14,2894,2907,2871,2891,397208
20-May-14,2983,2999,2917,2926,660269
19-May-14,2991,3001,2939,2984,771856
16-May-14,2960,3003,2869,2992,842306
15-May-14,3107,3110,3067,3090,287843
14-May-14,3081,3104,3059,3100,264697
13-May-14,3065,3084,3057,3068,241639
12-May-14,3042,3056,3013,3050.46,275732
9-May-14,3018,3047,3006,3027,438166
8-May-14,3006,3015,2969,2986,182916
7-May-14,2995,3007,2979,2994,341293
6-May-14,2931,3008,2931,2995,387586
2-May-14,2948,2948,2919,2928,271225
1-May-14,2933,2985,2922,2945,160249
30-Apr-14,2917,2921,2892,2906,354967
29-Apr-14,2920,2929,2912,2918,225799
28-Apr-14,2929,2932,2912,2922,208213
25-Apr-14,2920,2936,2913,2926,202840
24-Apr-14,2940,2944,2920,2926,262073
23-Apr-14,2939,2944,2922,2926,138001
22-Apr-14,2922,2956,2919,2934,206527
17-Apr-14,2912,2927,2910,2923,347291
16-Apr-14,2939,2951,2912,2913,314194
15-Apr-14,2914,2926,2910,2920,286293
14-Apr-14,2905,2925,2886,2911,233033
11-Apr-14,2907,2915,2887,2913,254804
10-Apr-14,2935,2948,2919,2925,277697
9-Apr-14,2922,2924,2910,2918.05,330613
8-Apr-14,2934,2937,2896,2918,361349
7-Apr-14,2952,2954,2929,2939,269198
4-Apr-14,3008,3014,2962,2968,366792
3-Apr-14,3029,3036,2993,3000,262323
2-Apr-14,3028,3055,3023,3033,264986
1-Apr-14,3077,3088.8,3046,3057.98,296634
31-Mar-14,3070,3105,3066,3072,402060
28-Mar-14,3027,3065,3022,3064.39,218654
27-Mar-14,3025,3059,3001,3019,173175
26-Mar-14,3012,3063,3012,3031,272554
25-Mar-14,2986,3011,2982,3002,344199
24-Mar-14,2989,3012.56,2971,2982,391869
21-Mar-14,2943,3003.9,2943,3000,544739
20-Mar-14,2928,2947,2906,2939,323036
19-Mar-14,2968,2968,2926,2943,282967
18-Mar-14,2937,2973,2931,2963,164187
17-Mar-14,2928,2956,2922,2949.54,221413
14-Mar-14,2917,2941,2900,2932,321109
13-Mar-14,2958,2960,2923,2929,385211
12-Mar-14,3024,3031,2959,2959,501489
11-Mar-14,3043,3060,3017,3037,238076
10-Mar-14,3034,3070,3034,3049.27,352058
7-Mar-14,3076,3093,3054,3056,425415
6-Mar-14,3061,3088,3043,3080,458709
5-Mar-14,3057,3111,3043,3056,627576
4-Mar-14,3059,3065,3011,3043,513043
3-Mar-14,2839,3011,2830,2970,642332
28-Feb-14,2947,2955,2911,2941,478636
27-Feb-14,2970,2970,2914,2945,509509
26-Feb-14,3032,3043,2977,2977,340225
25-Feb-14,3027,3041,3011,3032.39,535922
24-Feb-14,3020,3040,3018,3031,318615
21-Feb-14,3017,3047,2994,3020,377792
20-Feb-14,2964,3011,2958,3011,263512
19-Feb-14,2961,3002,2959,2980,350371
18-Feb-14,2965,2966,2941,2964,338810
17-Feb-14,2917,2959,2907,2954,192712
14-Feb-14,2909,2943,2886,2932,233558
13-Feb-14,2923,2933,2893,2911,305636
12-Feb-14,2942,2954,2912,2919,375102
11-Feb-14,2890,2934,2881,2933,298982
10-Feb-14,2903,2914,2879,2885,347644
7-Feb-14,2864,2933,2860,2898,450415
6-Feb-14,2835,2866,2820,2854,352871
5-Feb-14,2811,2834,2800,2824,377044
4-Feb-14,2820,2845,2806,2812,342755
3-Feb-14,2828,2893,2826,2833,330623
31-Jan-14,2821,2841,2794,2832,339712
30-Jan-14,2850,2862,2809,2830.32,419661
29-Jan-14,2899,2903,2837,2861,348942
28-Jan-14,2869,2885,2836,2875,465771
27-Jan-14,2912,2928,2862,2868,299610
24-Jan-14,2985,3014,2905,2912,424490
23-Jan-14,3021,3029,2983,2983,320041
22-Jan-14,3001,3028,2997,3026,279618
21-Jan-14,2908,3064,2901,3000,518235
20-Jan-14,2920,2921,2867,2908,320163
17-Jan-14,2800,2920,2788,2909,498536
16-Jan-14,2950,2951,2844,2879,869097
15-Jan-14,3000,3003,2973,2979,300190
14-Jan-14,3040,3040,2984,2993,334151
13-Jan-14,3042,3082,3042,3069,169894
10-Jan-14,3044,3066,3038,3052,223062
9-Jan-14,3075,3077,3040,3048,167599
8-Jan-14,3094,3098,3062,3072,196785
7-Jan-14,3110,3118,3086,3088.41,157082
6-Jan-14,3123,3142,3109,3114,161795
3-Jan-14,3116,3135,3110,3125,157791
2-Jan-14,3150,3163,3116,3117,296004
31-Dec-13,3145,3168,3133,3148,115941
30-Dec-13,3123,3132,3093,3126,251430
27-Dec-13,3078,3131,3078,3110,175974
24-Dec-13,3042,3089,3042,3070,34462
23-Dec-13,2958,3053,2958,3051,213033
20-Dec-13,2962,2997,2954,2971,781904
19-Dec-13,2952,2968,2948,2960,286333
18-Dec-13,2973,2980,2929,2935,367940
17-Dec-13,2968,2988,2958,2966,294304
16-Dec-13,2937,2973,2930,2966,225342
13-Dec-13,2935,2952,2931,2946.84,307723
12-Dec-13,2968,2970,2933,2935,255070
11-Dec-13,2978,3009,2973,2975,229316
10-Dec-13,2978,3008,2959,2989,278980
9-Dec-13,2971,2975,2952,2957,272655
6-Dec-13,2957,2974,2937,2964,253691
5-Dec-13,2969,2978,2955,2958,295920
4-Dec-13,3003,3028,2984,2985,253780
3-Dec-13,3035,3042,2999,3001,376868
2-Dec-13,3043,3060,2997,3035,293997
29-Nov-13,3080,3080,3036,3037,319274
28-Nov-13,3079,3095,3067,3068,156388
27-Nov-13,3071,3097,3066,3083,275564
26-Nov-13,3090,3111,3071,3071,307299
25-Nov-13,3078,3107,3077,3097,180760
22-Nov-13,3061,3082,3061,3071,302501
21-Nov-13,3080,3084,3061,3064,314579
20-Nov-13,3054,3110,3048,3100.03,372779
19-Nov-13,3100,3107,2968,3102,1023017
18-Nov-13,3149,3184,3149,3170.8,224475
15-Nov-13,3138,3165,3126,3155,242688
14-Nov-13,3190,3209,3165,3170,297910
13-Nov-13,3117,3191,3108,3171,324944
12-Nov-13,3191,3204,3185,3204,211406
11-Nov-13,3193,3201,3185,3193,182126
8-Nov-13,3171,3200,3167,3185,275115
7-Nov-13,3196,3217,3145,3191,527262
6-Nov-13,3234,3251,3196,3219,542922
5-Nov-13,3303,3304,3235,3236,417342
4-Nov-13,3309,3322,3294,3299,235439
1-Nov-13,3337,3351,3306,3312,196224
31-Oct-13,3319,3376,3309,3332,441362
30-Oct-13,3269,3318,3269,3316,172762
29-Oct-13,3196,3294,3193,3284.33,286620
28-Oct-13,3289,3297,3277,3288,256387
25-Oct-13,3345,3345,3274,3309,320837
24-Oct-13,3329,3355,3326,3345,228111
23-Oct-13,3303,3353,0,3329,149184
22-Oct-13,3268,3315,3252,3313,174432
21-Oct-13,3229,3287,3229,3275,206719
18-Oct-13,3226,3237,3200,3232,371446
17-Oct-13,3277,3301,3203,3210,383903
16-Oct-13,3294,3302,3262,3294,264936
15-Oct-13,3284,3329,3277,3304,356546
