Date,Open,High,Low,Close,Volume
27-May-14,312.10,312.40,309.10,312.40,2139952
23-May-14,310.00,311.80,308.20,311.80,1668853
22-May-14,307.30,309.90,305.30,309.90,1812514
21-May-14,304.90,308.10,303.90,307.60,1835230
20-May-14,304.60,305.80,302.10,304.10,1703198
19-May-14,304.20,305.00,301.23,303.70,986103
16-May-14,303.90,305.60,299.10,303.30,1349249
15-May-14,305.50,305.50,301.20,305.00,1543953
14-May-14,306.80,306.80,303.40,304.70,930580
13-May-14,304.90,305.90,303.30,305.20,1188540
12-May-14,303.30,303.40,301.10,303.40,1475026
9-May-14,301.20,302.50,300.10,302.10,1429647
8-May-14,296.90,303.50,295.93,303.10,1910184
7-May-14,291.00,295.60,289.20,295.60,1314385
6-May-14,295.10,297.00,293.20,295.90,1261494
2-May-14,292.00,295.50,292.00,295.10,974493
1-May-14,296.90,296.90,292.90,293.00,367080
30-Apr-14,294.50,295.10,291.70,292.00,1463120
29-Apr-14,292.80,296.90,292.20,294.40,1141614
28-Apr-14,293.90,294.80,292.40,292.80,875628
25-Apr-14,291.40,292.60,290.50,292.60,1538309
24-Apr-14,293.50,294.00,290.10,292.30,1227308
23-Apr-14,292.10,293.00,289.80,291.30,1243983
22-Apr-14,287.30,292.30,287.30,290.70,1430122
17-Apr-14,287.30,287.30,285.10,285.50,1020107
16-Apr-14,288.50,289.30,282.70,285.40,1712277
15-Apr-14,283.20,283.20,280.30,282.70,3171664
14-Apr-14,288.30,290.80,286.10,290.80,3659365
11-Apr-14,285.50,290.90,284.90,288.10,5540066
10-Apr-14,292.60,295.50,288.70,290.30,3672391
9-Apr-14,293.60,294.50,288.70,291.00,3007601
8-Apr-14,292.40,293.90,289.20,293.70,2098897
7-Apr-14,292.00,293.40,289.10,291.90,1615243
4-Apr-14,287.40,292.80,286.90,292.69,2004815
3-Apr-14,285.00,287.80,285.00,287.80,1857017
2-Apr-14,285.20,287.20,282.90,286.00,1834828
1-Apr-14,281.50,286.70,281.00,286.20,2183762
31-Mar-14,283.80,285.60,270.10,282.00,5074130
28-Mar-14,307.90,312.10,307.90,311.10,1545353
27-Mar-14,306.50,309.10,304.70,308.02,1283122
26-Mar-14,308.90,309.00,307.00,307.00,1144520
25-Mar-14,307.70,308.80,305.18,308.07,1184874
24-Mar-14,305.90,308.10,303.50,306.40,1587879
21-Mar-14,309.00,309.20,306.80,308.41,2896385
20-Mar-14,310.80,314.00,301.20,308.30,5271331
19-Mar-14,321.10,324.30,320.50,323.20,1137171
18-Mar-14,317.00,321.50,316.50,319.90,1709417
17-Mar-14,314.50,318.40,314.50,316.90,1564382
14-Mar-14,315.60,318.70,314.30,315.00,1338605
13-Mar-14,316.90,319.50,314.60,318.10,1762625
12-Mar-14,315.50,318.30,311.50,315.30,1264227
11-Mar-14,315.20,317.70,314.10,315.70,1273257
10-Mar-14,315.50,319.40,314.50,315.00,1105612
7-Mar-14,315.00,319.60,313.60,316.00,2019199
6-Mar-14,322.50,324.80,320.70,322.00,1197266
5-Mar-14,323.70,323.90,321.00,322.20,1309598
4-Mar-14,324.60,325.50,323.10,324.50,902337
3-Mar-14,321.00,323.60,319.70,323.10,1386711
28-Feb-14,327.00,332.30,324.30,324.70,1399368
27-Feb-14,325.80,329.00,324.50,326.80,898237
26-Feb-14,329.80,329.80,326.00,326.60,1215477
25-Feb-14,328.30,330.00,325.40,329.10,1848824
24-Feb-14,326.90,328.50,324.90,327.86,1352302
21-Feb-14,326.90,329.60,325.80,328.84,1375551
20-Feb-14,316.80,326.10,315.70,326.10,1499325
19-Feb-14,317.00,320.30,315.00,319.70,1337392
18-Feb-14,316.90,319.20,315.80,318.30,884911
17-Feb-14,317.30,317.50,315.00,317.50,1260405
14-Feb-14,315.70,317.00,314.70,315.90,970728
13-Feb-14,314.90,317.10,313.40,316.60,1034392
12-Feb-14,318.70,320.80,314.10,316.50,1586845
11-Feb-14,318.20,319.50,315.70,318.80,1769957
10-Feb-14,316.70,319.50,315.00,318.20,915327
7-Feb-14,318.20,318.40,315.90,318.00,968593
6-Feb-14,313.80,318.30,311.80,318.20,1695723
5-Feb-14,314.60,315.60,312.10,313.00,2010413
4-Feb-14,311.20,315.30,310.60,314.90,1624249
3-Feb-14,316.10,318.40,312.10,312.10,1715407
31-Jan-14,324.10,324.20,309.70,315.60,2775789
30-Jan-14,325.10,331.40,322.10,326.00,2728612
29-Jan-14,330.10,332.70,322.90,326.00,3658717
28-Jan-14,315.20,320.50,311.50,320.40,1551573
27-Jan-14,313.10,315.90,311.00,314.70,2027242
24-Jan-14,316.80,316.80,309.10,311.10,1213318
23-Jan-14,315.10,318.30,313.50,317.50,1193127
22-Jan-14,316.00,318.00,314.40,317.50,1739169
21-Jan-14,317.50,317.50,314.90,316.00,1713920
20-Jan-14,315.60,316.60,312.00,316.00,1250515
17-Jan-14,309.30,314.50,307.10,314.50,2099526
16-Jan-14,310.80,311.10,308.80,310.00,874378
15-Jan-14,311.50,312.20,309.20,311.80,805316
14-Jan-14,310.20,311.60,307.10,311.30,784731
13-Jan-14,314.00,314.30,311.80,313.50,612994
10-Jan-14,310.00,313.70,310.00,313.70,1023807
9-Jan-14,306.80,309.50,306.80,309.00,929735
8-Jan-14,311.10,311.30,306.30,307.40,1286290
7-Jan-14,312.30,316.00,310.30,311.10,1429691
6-Jan-14,310.30,312.20,310.10,310.20,454058
3-Jan-14,309.10,310.90,308.80,309.90,696924
2-Jan-14,311.50,314.10,306.90,308.00,877214
31-Dec-13,310.30,313.50,309.90,309.90,261619
30-Dec-13,308.10,312.10,308.10,310.40,641048
27-Dec-13,306.60,311.40,306.60,309.80,396774
24-Dec-13,312.10,312.10,307.20,307.20,113781
23-Dec-13,308.50,311.30,306.90,310.50,698987
20-Dec-13,308.90,310.20,306.00,306.50,2393016
19-Dec-13,307.00,310.90,307.00,308.30,1556806
18-Dec-13,305.20,308.90,304.00,304.00,822923
17-Dec-13,308.50,308.60,304.80,304.80,1032306
16-Dec-13,308.60,311.10,308.00,309.40,532160
13-Dec-13,315.10,315.10,307.70,309.80,790080
12-Dec-13,310.80,310.90,306.00,308.30,1165274
11-Dec-13,316.10,316.10,311.60,311.60,1012312
10-Dec-13,315.80,319.40,313.80,316.40,741318
9-Dec-13,317.30,317.30,314.40,315.80,534118
6-Dec-13,313.70,317.00,312.30,316.30,933449
5-Dec-13,311.60,315.10,311.50,312.20,753865
4-Dec-13,313.50,317.20,311.80,312.60,1129195
3-Dec-13,316.00,316.00,308.80,312.80,1644414
2-Dec-13,321.30,321.70,316.10,316.90,992957
29-Nov-13,322.00,325.50,321.00,321.30,1077955
28-Nov-13,319.80,324.10,318.30,322.00,907764
27-Nov-13,322.50,324.50,319.60,322.00,2087534
26-Nov-13,327.00,328.10,323.00,323.20,1368142
25-Nov-13,327.30,329.70,326.30,328.30,876978
22-Nov-13,326.90,328.50,325.10,328.50,656464
21-Nov-13,329.00,329.70,327.30,327.30,866537
20-Nov-13,332.50,333.00,327.20,329.40,725709
19-Nov-13,335.90,335.90,332.60,333.60,660939
18-Nov-13,337.30,338.80,335.70,337.70,879914
15-Nov-13,335.80,339.40,335.80,338.80,975672
14-Nov-13,336.10,336.20,332.70,334.60,1029992
13-Nov-13,336.10,336.10,331.60,333.00,991504
12-Nov-13,336.00,339.40,334.80,336.70,703095
11-Nov-13,333.70,336.60,332.60,336.60,767237
8-Nov-13,331.80,334.10,330.20,333.30,925075
7-Nov-13,333.20,336.10,330.60,332.70,1416319
6-Nov-13,337.50,337.50,331.50,334.00,1879486
5-Nov-13,343.60,344.10,333.00,335.40,1780460
4-Nov-13,343.70,345.80,343.60,345.80,925886
1-Nov-13,349.10,349.10,342.70,343.30,1332649
31-Oct-13,347.10,347.10,343.00,344.20,2303345
30-Oct-13,348.50,350.40,345.50,347.20,4204418
29-Oct-13,346.30,347.70,345.30,347.60,1153153
28-Oct-13,346.00,347.90,344.20,346.40,706678
25-Oct-13,340.40,345.30,340.00,344.60,963485
24-Oct-13,334.70,342.90,334.70,342.10,876744
23-Oct-13,333.90,336.90,-,335.50,815286
22-Oct-13,330.60,335.50,330.60,335.10,921932
21-Oct-13,332.20,334.00,329.70,334.00,579333
18-Oct-13,332.60,334.40,331.30,331.60,530335
17-Oct-13,330.60,332.70,326.80,332.70,939300
16-Oct-13,323.40,331.00,322.60,329.20,1256215
15-Oct-13,328.80,330.50,327.70,330.00,1152063
14-Oct-13,323.80,330.30,322.30,327.30,1322941
11-Oct-13,328.00,331.30,327.90,329.70,791226
10-Oct-13,319.00,328.10,319.00,328.10,828543
9-Oct-13,317.10,322.10,316.90,320.50,1248801
8-Oct-13,322.00,323.80,317.90,318.10,1037888
7-Oct-13,323.50,324.10,320.30,322.80,758260
4-Oct-13,324.40,324.90,321.30,321.90,1003525
3-Oct-13,318.30,322.40,318.30,320.30,693850
2-Oct-13,324.40,324.40,315.60,319.70,1175104
1-Oct-13,316.00,324.90,313.00,324.90,1481990
30-Sep-13,323.10,323.50,319.90,321.10,1209115
27-Sep-13,326.50,326.50,322.00,324.60,642380
26-Sep-13,325.70,327.00,321.30,326.90,787332
25-Sep-13,325.60,326.10,321.70,324.70,807063
24-Sep-13,320.10,325.80,320.10,324.00,737516
20-Sep-13,321.30,327.40,321.30,324.50,1958622
19-Sep-13,320.50,325.80,320.50,323.40,1027664
18-Sep-13,317.40,319.60,315.40,316.70,1267049
17-Sep-13,319.70,321.00,317.30,318.30,838165
16-Sep-13,317.80,320.00,314.10,319.80,560636
13-Sep-13,315.60,316.00,312.00,316.00,916712
12-Sep-13,314.10,315.70,312.30,313.40,1316518
11-Sep-13,313.50,314.50,311.10,314.00,1007980
10-Sep-13,308.10,313.40,308.00,313.00,1011175
9-Sep-13,305.10,309.20,303.60,307.00,1296496
6-Sep-13,304.80,306.90,303.20,305.00,1134703
5-Sep-13,303.40,307.10,302.70,304.90,1386325
4-Sep-13,302.20,304.50,300.50,303.50,1556382
3-Sep-13,312.10,312.30,301.60,301.60,1625248
2-Sep-13,305.80,313.80,305.80,312.20,1027557
30-Aug-13,307.60,309.10,305.30,305.90,1134270
29-Aug-13,311.10,314.20,304.90,307.50,956846
28-Aug-13,311.50,312.40,310.00,311.00,952878
27-Aug-13,312.70,312.70,308.50,312.10,974936
23-Aug-13,311.20,314.10,308.80,312.90,808412
22-Aug-13,308.60,312.00,307.60,311.10,750122
