Date,Open,High,Low,Close,Volume
27-May-14,3316,3373.7,3307.8,3342.83,265585
23-May-14,3293,3324,3283,3306.83,217319
22-May-14,3293,3302.12,3280.4,3287,236108
21-May-14,3283,3308.3,3275,3287.84,204501
20-May-14,3284,3310,3281,3287.84,278108
19-May-14,3216,3290,3199,3280,291592
16-May-14,3271,3283,3196,3213.84,357231
15-May-14,3294,3322,3251.31,3263.84,231388
14-May-14,3295,3308,3284,3290.84,226036
13-May-14,3314,3321,3288,3295,262884
12-May-14,3312,3316,3291.9,3300,186009
9-May-14,3319,3319,3285,3298,195779
8-May-14,3289,3331,3280,3314,242159
7-May-14,3314,3322,3284,3284,385261
6-May-14,3325,3366,3289,3321.83,262644
2-May-14,3367,3367,3295,3308,320798
1-May-14,3289,3376,3287,3359,188008
30-Apr-14,3245,3284,3233.1,3273,332087
29-Apr-14,3290,3308,3242,3251,356317
28-Apr-14,3298,3305,3275,3287,188124
25-Apr-14,3271,3307,3271,3287.84,263507
24-Apr-14,3274,3313,3248,3281,267869
23-Apr-14,3240,3274,3232,3258,265043
22-Apr-14,3192,3250,3181,3240,258689
17-Apr-14,3115,3198,3112,3191,295069
16-Apr-14,3098,3122,3095,3118,269131
15-Apr-14,3097,3115,3072,3080,267957
14-Apr-14,3141,3154,3079,3108.84,326745
11-Apr-14,3210,3210,3116,3161,348106
10-Apr-14,3236,3324,3219,3234,318128
9-Apr-14,3180,3253,3170,3223,295590
8-Apr-14,3206,3219,3131,3178,299045
7-Apr-14,3236,3268,3205,3209,187921
4-Apr-14,3294,3299,3255,3265,269169
3-Apr-14,3297,3303,3281,3295,278585
2-Apr-14,3174,3313,3174,3295,331710
1-Apr-14,3281,3292,3272.3,3280.05,307468
31-Mar-14,3265,3323,3258.6,3271,528886
28-Mar-14,3230,3260,3219,3250,206616
27-Mar-14,3219,3244,3200,3216,282334
26-Mar-14,3190,3255,3187,3231,432522
25-Mar-14,3123,3190,3123,3187,312285
24-Mar-14,3146,3149,3114,3121,353332
21-Mar-14,3148,3154,3134.13,3147,486341
20-Mar-14,3126,3152,3120.5,3143,439360
19-Mar-14,3143,3152,3132,3145,346328
18-Mar-14,3099,3157,3084,3135,453774
17-Mar-14,3070,3111,3054.8,3099,301625
14-Mar-14,3045,3075,3032,3065,360819
13-Mar-14,3058,3067,3030,3057,494469
12-Mar-14,3081,3083,3035,3044,444037
11-Mar-14,3183,3204,3092,3096,515518
10-Mar-14,3229,3258,3181,3188,275062
7-Mar-14,3287,3305,3240,3242,278104
6-Mar-14,3286,3295,3265,3287,378271
5-Mar-14,3263,3303,3259,3269,282726
4-Mar-14,3210,3277,3209,3263,301948
3-Mar-14,3221,3221,3149,3187,336512
28-Feb-14,3297,3307,3256,3262,392996
27-Feb-14,3254,3299,3230,3291,338693
26-Feb-14,3282,3284,3234,3257,299553
25-Feb-14,3308,3312,3267,3283,530126
24-Feb-14,3270,3303,3246,3298,316595
21-Feb-14,3287,3312,3269,3275,272801
20-Feb-14,3289,3301,3265,3288,266440
19-Feb-14,3286,3324,3285,3310,236244
18-Feb-14,3310,3312,3290,3301,352739
17-Feb-14,3303,3318,3294,3300,176819
14-Feb-14,3306,3320,3289,3303,313147
13-Feb-14,3295,3301,3256,3297,295476
12-Feb-14,3288,3310,3274,3295,410019
11-Feb-14,3188,3280,3183,3280,518322
10-Feb-14,3185,3209,3167,3178,340697
7-Feb-14,3227,3238,3158,3180,553384
6-Feb-14,3246,3261,3190,3215,535445
5-Feb-14,3212,3249,3190,3230,490632
4-Feb-14,3209,3235,3172,3212,350673
3-Feb-14,3227,3272,3215,3228,706168
31-Jan-14,3280,3292,3177,3231,659191
30-Jan-14,3299,3341,3206,3284,494466
29-Jan-14,3300,3368,3267,3300,616980
28-Jan-14,3258,3349,3249,3334,354429
27-Jan-14,3300,3300,3226,3244,377365
24-Jan-14,3388,3411,3294,3296,391047
23-Jan-14,3447,3452,3369,3388,338915
22-Jan-14,3366,3451,3366,3440,303491
21-Jan-14,3367,3399,3347,3355,269281
20-Jan-14,3398,3402,3363,3371,159445
17-Jan-14,3341,3420,3341,3393,550343
16-Jan-14,3411,3418,3332,3335,378192
15-Jan-14,3391,3425,3384,3418,248552
14-Jan-14,3351,3391,3337,3386,266022
13-Jan-14,3320,3378,3315,3376,316925
10-Jan-14,3328,3382,3300,3310,507154
9-Jan-14,3299,3353,3293,3325,310181
8-Jan-14,3311,3324,3290,3308,366894
7-Jan-14,3271,3318,3263,3313,306532
6-Jan-14,3257,3281,3242,3270,217066
3-Jan-14,3256,3280,3236,3269,191278
2-Jan-14,3286,3295,3240,3256,226643
31-Dec-13,3257,3281,3251,3280,74731
30-Dec-13,3245,3347,3239,3259,278461
27-Dec-13,3242,3254,3217,3247,205376
24-Dec-13,3214,3241,3196,3234,88713
23-Dec-13,3207,3227,3207,3220,253187
20-Dec-13,3208,3237,3202,3212,414789
19-Dec-13,3232,3248,3186,3206,298812
18-Dec-13,3199,3231,3187,3212,289262
17-Dec-13,3188,3238,3184,3196,257421
16-Dec-13,3150,3219,3150,3196,198644
13-Dec-13,3129,3194,3124,3160,271797
12-Dec-13,3148,3158,3122,3139,252846
11-Dec-13,3149,3186,3141,3162,240659
10-Dec-13,3142,3172,3135,3155,264234
9-Dec-13,3134,3154,3133,3149,231614
6-Dec-13,3124,3150,3099,3130,295471
5-Dec-13,3101,3133,3095,3123,232289
4-Dec-13,3112,3152,3087,3118,317624
3-Dec-13,3156,3162,3098,3114,428809
2-Dec-13,3182,3189,3150,3157,278256
29-Nov-13,3200,3202,3168,3170,309728
28-Nov-13,3204,3221,3184,3203,235207
27-Nov-13,3205,3224,3190,3190,298847
26-Nov-13,3271,3282,3211,3220,493019
25-Nov-13,3280,3323,3249,3254,264987
22-Nov-13,3230,3319,3216,3268,514150
21-Nov-13,3143,3221,3108,3210,612691
20-Nov-13,3064,3121,3062,3094,378275
19-Nov-13,3044,3090,3016,3090,326094
18-Nov-13,3015,3049,2983,3049,262319
15-Nov-13,2990,3021,2984,3013,227884
14-Nov-13,3028,3054,2987,2990,329034
13-Nov-13,3049,3058,2993,3004,338720
12-Nov-13,3057,3072,3036,3054,230954
11-Nov-13,3038,3062,3016,3059,174704
8-Nov-13,2978,3028,2961,3020,374137
7-Nov-13,2993,3017,2976,2992,224573
6-Nov-13,3027,3034,2987,2998,240840
5-Nov-13,3042,3051,2998,3007.88,195315
4-Nov-13,3010,3036,2986,3026,198794
1-Nov-13,3025,3039,2977,2995,194839
31-Oct-13,2981,3010,2969,3004,391228
30-Oct-13,2999,2999,2972,2983,233433
29-Oct-13,2990,2995,2969,2993,265253
28-Oct-13,2966,3006,2962,2984,172557
25-Oct-13,2956,2995,2948,2958,210202
24-Oct-13,2973,2986,2964,2969,243670
23-Oct-13,2984,0,2962,2970,171878
22-Oct-13,2992,3010,2969,2983,206163
21-Oct-13,2971,3007,2959,2997,216154
18-Oct-13,2950,2975,2930,2973,232410
17-Oct-13,2950,2951,2915,2936,302642
16-Oct-13,2966,2974,2933,2960,294046
15-Oct-13,2998,3012,2954,2978,509282
14-Oct-13,2880,2997,2880,2987,734367
11-Oct-13,2773,2827,2767,2821,335363
10-Oct-13,2720,2785,2717,2778,312434
9-Oct-13,2763,2768,2704,2714,385702
8-Oct-13,2797,2805,2764,2765,308732
7-Oct-13,2808,2813,2776,2802,217967
4-Oct-13,2800,2840,2793,2819,343467
3-Oct-13,2789,2821,2787,2810,310372
2-Oct-13,2806,2806,2782,2791,286829
1-Oct-13,2815,2834,2801,2813,328814
30-Sep-13,2785,2809,2760,2808,355068
27-Sep-13,2851,2851,2795,2813,227213
26-Sep-13,2845,2857,2819,2844,211537
25-Sep-13,2857,2879,2837,2845,233211
24-Sep-13,2873,2889,2853,2867,204799
20-Sep-13,2843,2892,2825,2878,543380
19-Sep-13,2905,2907,2842,2852,359788
18-Sep-13,2894,2911,2874,2894,283138
17-Sep-13,2927,2945,2890,2890,468783
16-Sep-13,2957,2974,2937,2937,322908
13-Sep-13,2930,2951,2918,2924,378621
12-Sep-13,2977,2995,2926,2944,404410
11-Sep-13,2999,3002,2964,2977,401904
10-Sep-13,2971,3009,2971,2985,449835
