Date,Open,High,Low,Close,Volume
17-Jun-14,282.40,296.20,278.70,295.10,2730612
16-Jun-14,275.60,286.90,273.50,284.00,1333666
13-Jun-14,278.40,280.90,274.10,275.50,581866
12-Jun-14,280.00,281.74,274.30,279.00,947667
11-Jun-14,278.00,281.70,276.73,280.00,926797
10-Jun-14,281.30,283.40,274.90,276.00,1232733
9-Jun-14,278.70,282.20,274.20,279.20,1164465
6-Jun-14,280.00,281.40,272.40,278.30,1837504
5-Jun-14,281.80,287.87,278.30,280.00,1754259
4-Jun-14,278.60,285.70,278.10,283.50,1539322
3-Jun-14,283.90,283.90,276.80,280.00,1053190
2-Jun-14,277.10,283.80,275.00,283.80,1424347
30-May-14,276.60,278.80,273.90,276.50,1191596
29-May-14,274.00,277.60,271.60,275.40,555751
28-May-14,265.90,280.70,265.20,276.40,2104247
27-May-14,265.50,268.90,262.70,265.00,941759
23-May-14,260.00,266.80,254.60,266.40,1294460
22-May-14,256.20,260.70,256.20,259.90,874553
21-May-14,254.90,259.30,250.00,257.30,1247698
20-May-14,254.60,255.80,248.70,254.00,1143265
19-May-14,248.30,258.30,248.30,254.00,1149510
16-May-14,248.30,250.90,241.70,250.70,1494320
15-May-14,254.30,260.25,247.60,248.00,1594003
14-May-14,249.20,253.20,249.20,253.20,514023
13-May-14,258.30,258.30,247.70,250.30,807513
12-May-14,254.10,263.23,252.53,256.30,1257399
9-May-14,248.40,255.00,248.40,253.50,1062157
8-May-14,245.10,254.00,245.10,252.50,1290200
7-May-14,243.00,245.80,240.12,245.30,487709
6-May-14,243.70,247.60,241.20,244.60,1020424
2-May-14,235.10,248.40,235.10,246.00,1328230
1-May-14,232.40,237.83,232.11,236.10,518461
30-Apr-14,239.00,239.00,226.20,238.10,1049328
29-Apr-14,239.60,239.60,233.20,237.00,664357
28-Apr-14,237.40,240.20,236.60,236.90,500501
25-Apr-14,235.80,240.00,234.00,239.30,476446
24-Apr-14,241.70,244.30,234.40,237.10,563054
23-Apr-14,245.50,246.14,234.70,238.80,651424
22-Apr-14,233.50,243.22,229.20,242.90,902298
17-Apr-14,240.00,240.00,231.00,234.00,531062
16-Apr-14,237.10,241.10,234.60,238.60,1090557
15-Apr-14,240.80,246.60,234.40,235.40,1148034
14-Apr-14,245.00,245.00,232.60,240.70,1237275
11-Apr-14,242.40,246.30,238.40,245.50,893866
10-Apr-14,258.00,260.10,242.59,245.80,1302303
9-Apr-14,260.20,262.50,253.60,255.60,1408577
