Date,Open,High,Low,Close,Volume
27-May-14,415.3,419.3,415.1,417.5,3324300
23-May-14,413.6,416.8,412.1,412.7,2884176
22-May-14,414.4,415.9,411.6,413.7,2701053
21-May-14,407.6,413.4,405.5,413.38,4332215
20-May-14,407.6,414.07,406.2,407.28,3338510
19-May-14,404.4,408.1,400.6,407.74,4286345
16-May-14,403.6,406.7,399.6,403.68,8462633
15-May-14,409.5,414.7,401.2,401.9,5557081
14-May-14,410.9,411.8,407.4,408.28,2699984
13-May-14,419.6,421.1,412.56,417.5,4542105
12-May-14,422.8,422.8,413.6,415.6,4182355
9-May-14,423.2,423.4,419,420,2532374
8-May-14,423.9,425,420,422,2451086
7-May-14,422.9,424.8,421.2,424,3681205
6-May-14,427.3,429.1,418.01,423.38,4669452
2-May-14,419.3,427.5,414.17,426.4,6188004
1-May-14,419.9,512,414.1,418,2733348
30-Apr-14,413,418.1,412.44,418.1,5903744
29-Apr-14,410.8,414.7,407.38,413.1,4345843
28-Apr-14,413.3,415,408,410,3686583
25-Apr-14,414.4,415.2,409.86,411.4,3095651
24-Apr-14,421.3,423,415.4,416.7,3662825
23-Apr-14,420.8,422.4,418,420,4024368
22-Apr-14,418.9,421.2,415.74,419.2,5343002
17-Apr-14,420.7,420.7,413.7,417,6861677
16-Apr-14,421.7,423.1,417.4,419.8,4488585
15-Apr-14,424.2,427.3,411.47,417.1,5013156
14-Apr-14,426.8,427.28,420.1,425.6,3443427
11-Apr-14,433.3,434.9,427.1,427.6,4079190
10-Apr-14,438.4,444.1,435.2,438,5254748
9-Apr-14,431,439.5,424.1,436.4,8328242
8-Apr-14,429.2,429.3,419.32,422.3,5464514
7-Apr-14,434.7,435.59,428.9,429.8,5603701
4-Apr-14,442.8,443.87,435.9,438.6,5495110
3-Apr-14,431.9,446.7,431.6,444.2,7252642
2-Apr-14,430.1,432.8,427.7,431.2,4396827
1-Apr-14,424.4,431.3,421.6,428.72,6008484
31-Mar-14,420.4,423.1,416.5,421.4,5826071
28-Mar-14,424.8,425.3,416.02,418.1,7510859
27-Mar-14,430,431,423.6,423.6,6187711
26-Mar-14,430.7,438.2,429.05,430.3,5843558
25-Mar-14,416,436.8,415,430.8,13285564
24-Mar-14,412.4,419.8,405,406.5,4698507
21-Mar-14,410.1,415.6,405.7,413.1,8751032
20-Mar-14,407.2,409.6,405,407.4,4465701
