Date,Open,High,Low,Close,Volume
27-May-14,1043,1059,1042,1059,1654739
23-May-14,1059,1059,1045,1047,1521615
22-May-14,1052,1059,1045,1056,1873638
21-May-14,1054,1061,1051,1052,1204420
20-May-14,1060,1074,1050,1054,1348249
19-May-14,1065,1077,1061,1063,1606979
16-May-14,1081,1084,1051,1064,2078855
15-May-14,1090,1093.34,1063,1078,1790104
14-May-14,1100,1111,1085,1105,1689819
13-May-14,1091,1101,1089,1101,1167149
12-May-14,1096,1097,1079.64,1085,907149
9-May-14,1094,1094,1081.72,1092,742792
8-May-14,1084,1096,1079,1094,941779
7-May-14,1065,1078,1065,1078,1138720
6-May-14,1062,1073,1056,1071,1513952
2-May-14,1058,1066,1055,1059,1206309
1-May-14,1063,1075,1060,1060,910224
30-Apr-14,1074,1074,1058,1062,1074236
29-Apr-14,1063,1077,1061.25,1072,1240678
28-Apr-14,1056,1069,1056,1059,779494
25-Apr-14,1059,1065,1055,1055,973831
24-Apr-14,1066,1068,1057,1063,1027125
23-Apr-14,1060,1075,1059,1060,956330
22-Apr-14,1048,1062,1047,1058,1140988
17-Apr-14,1043,1050,1042.28,1047,1324229
16-Apr-14,1038,1044,1037,1040,1043864
15-Apr-14,1031,1042,1028.72,1031,1459422
14-Apr-14,1017,1028,1008,1028,1289242
11-Apr-14,1037,1040,1022,1023,1713198
10-Apr-14,1021,1045,1021,1045,1738155
9-Apr-14,1011,1021,1011,1016,1423562
8-Apr-14,1022,1024,1007,1013,1247823
7-Apr-14,1026,1032,1022,1024,1269887
4-Apr-14,1032,1037,1028,1033,920738
3-Apr-14,1032,1039.36,1028,1031,1180718
2-Apr-14,1022,1039,1021,1035,1390916
1-Apr-14,1022,1027,1016,1022,1672067
31-Mar-14,1035,1039,1020,1021,1761804
28-Mar-14,1028,1036,1026,1034,1342995
27-Mar-14,1031,1034.85,1025,1026,1351114
26-Mar-14,1042,1048,1035,1035,1592749
25-Mar-14,1028,1043,1028,1042,1473192
24-Mar-14,1031,1036,1021,1026,1177140
21-Mar-14,1039,1042,1031,1033,2703683
20-Mar-14,1051,1053,1034,1037,1437576
19-Mar-14,1052,1063,1052,1059,1655321
18-Mar-14,1046,1064,1041,1052,1517674
17-Mar-14,1048,1056,1038,1049,1618787
14-Mar-14,1028,1038,1017,1034,2426360
13-Mar-14,1036,1038,1024,1032,1799506
12-Mar-14,1054,1055,1032,1032,1740178
11-Mar-14,1073,1078,1063,1067,1176290
10-Mar-14,1078,1083,1070,1073,1612907
7-Mar-14,1089,1094,1075,1078,1267356
6-Mar-14,1100,1100,1094,1094,1794247
5-Mar-14,1087,1097,1087,1096,1227308
4-Mar-14,1080,1092,1078,1090,1124150
3-Mar-14,1073,1079,1063,1070,1324599
28-Feb-14,1086,1089,1076,1086,1253372
27-Feb-14,1083,1088,1075,1084,1077272
26-Feb-14,1091,1093,1081,1085,1148426
25-Feb-14,1088,1097,1087,1093,2569530
24-Feb-14,1088,1089,1075,1087,1598162
21-Feb-14,1093,1103,1081,1093,2405726
20-Feb-14,1071,1091,1070,1091,1102256
19-Feb-14,1077,1084,1071,1078,1170417
18-Feb-14,1069,1081,1060,1080,1600790
17-Feb-14,1047,1067,1045,1064,1184680
14-Feb-14,1046,1051,1041,1041.29,1068541
13-Feb-14,1043,1048,1033,1035.17,2022903
12-Feb-14,1061,1062,1041,1043,2584766
11-Feb-14,1050,1062,1046,1060,1241589
10-Feb-14,1037,1049,1034,1048,1175034
7-Feb-14,1024,1035,1022,1028.09,1937237
6-Feb-14,1025,1028,1016,1023,2674631
5-Feb-14,1015,1025,1005,1019,2470257
4-Feb-14,1023,1026,1013,1014,2441669
3-Feb-14,1026,1033,1024,1028,2059708
31-Jan-14,1033,1035,1018,1029,2615701
30-Jan-14,1034,1038,1030,1035,1857688
29-Jan-14,1056,1061,1033,1035,2589286
28-Jan-14,1061,1069,1045,1051,2357519
27-Jan-14,1059,1070,1049,1055,3102392
24-Jan-14,1046,1052,1046,1050,2542106
23-Jan-14,1049,1055,1039,1047,2057885
22-Jan-14,1043,1055,1037,1047,2127295
21-Jan-14,1035,1049,1035,1045,1863293
20-Jan-14,1029,1035,1021,1034,1030829
17-Jan-14,1007,1036,1007,1030,2600225
16-Jan-14,1004,1009,996,1008,1190612
15-Jan-14,995.5,1010,990.5,1006,1805186
14-Jan-14,985,994,981,989.5,1271386
13-Jan-14,990,997,989,995.5,820749
10-Jan-14,984,990,979,988,1258382
9-Jan-14,980.5,986,974,978,1393395
8-Jan-14,979.5,982.5,974,978.5,1521915
7-Jan-14,958,979.5,958,976.5,1500345
6-Jan-14,959.5,968.5,955.5,961.5,1150560
3-Jan-14,948.5,963,948.5,959,903355
2-Jan-14,967.5,967.5,947,948,1485532
31-Dec-13,951.5,963.5,947,963.5,630043
30-Dec-13,951,957,943,946,823253
27-Dec-13,959.5,966,950,955,735542
24-Dec-13,953.5,965,953.5,962,164586
23-Dec-13,944,958,944,957,666475
20-Dec-13,954.5,954.5,940,949,3143517
19-Dec-13,938.5,953.5,938,951,1787753
18-Dec-13,928,932.5,926,928,784343
17-Dec-13,927,932.5,925,927,1368572
16-Dec-13,925.5,941,924,931.5,1173694
13-Dec-13,930.5,934.5,927,928.5,833533
12-Dec-13,936,938,929.5,932,1264584
11-Dec-13,936.5,947,936.5,940,1447596
10-Dec-13,944,945,940.5,940.5,1104679
9-Dec-13,942.5,947.5,934,947.5,1098904
6-Dec-13,937,942,933,940.5,1406541
5-Dec-13,930,939,929.5,937.5,1102430
4-Dec-13,935,942.5,931.5,935.5,1790871
3-Dec-13,939,943.5,936,941.5,1540621
2-Dec-13,950,952.5,939,943,1207744
29-Nov-13,952,963,951,953,876711
28-Nov-13,953,959,948.5,954,1162200
27-Nov-13,955,959.5,954,955.5,1059673
26-Nov-13,952,961,952,955.5,1883430
25-Nov-13,953,958,951,951,1413988
22-Nov-13,956.5,960,950.5,950.5,1691941
21-Nov-13,945,956.5,942.5,955,1354581
20-Nov-13,963,965,945,950,1368490
19-Nov-13,965,965.5,959,963.5,1079372
18-Nov-13,973.5,974.5,966,969.5,1264478
15-Nov-13,976,977.5,968.5,977.5,1279956
