Date,Open,High,Low,Close,Volume
27-May-14,226.6,229.7,225.3,228.7,11287798
23-May-14,224.8,225.2,223,225.1,5955416
22-May-14,223,225.4,222.82,224.6,7884039
21-May-14,223.3,224,221.1,223.3,10931236
20-May-14,225.3,227.27,222.1,223,11228765
19-May-14,227,227.4,224,224.7,8384617
16-May-14,226.6,227.52,223.4,226.6,10732359
15-May-14,228.2,228.9,225.5,227,13644004
14-May-14,227.5,228.76,226.6,227.4,11113138
13-May-14,228.3,229.3,226.9,228,10336983
12-May-14,222.8,228,222.6,227.2,13664405
9-May-14,221.6,222.8,220,222.4,9157268
8-May-14,221.4,221.8,220,221.7,9551140
7-May-14,217,221.43,215.2,220,17513889
6-May-14,215.4,215.45,211.8,213.49,8530805
2-May-14,212.5,214.7,210.9,214.3,9546452
1-May-14,211.9,213.31,210.71,211.8,3699592
30-Apr-14,212,212.2,209.6,211.78,8514036
29-Apr-14,206.8,212.9,206.8,212.9,11541168
28-Apr-14,207.4,208.5,206.1,206.3,8362232
25-Apr-14,205.1,211.9,204.2,205.48,11374072
24-Apr-14,207.6,208.6,203.7,205.1,12005435
23-Apr-14,205.6,207.8,204.58,207.1,11352367
22-Apr-14,210.5,213.06,210.39,212.22,9125659
17-Apr-14,209.3,211.5,208.6,210.7,12019697
16-Apr-14,208.2,209.4,207.1,207.8,10549968
15-Apr-14,212,212.7,206.5,207,11276143
14-Apr-14,210,211.6,207.3,211.4,13567903
11-Apr-14,211,212.5,209.9,211,14766003
10-Apr-14,213.9,215.72,211.7,212.1,10090876
9-Apr-14,213.3,214.5,210.8,213,16331730
8-Apr-14,216,217.4,212,213.48,20873071
7-Apr-14,216,217.4,211.8,216.4,19010964
4-Apr-14,209.7,219,209.7,217.7,18157447
3-Apr-14,212.5,214.06,210.8,211.1,14705591
2-Apr-14,212.1,212.5,209.7,211.9,11461970
1-Apr-14,205.7,211.9,204.64,210.31,23379977
31-Mar-14,206,208.18,204.3,204.69,19352949
28-Mar-14,207.7,208,193,205,65001406
27-Mar-14,213.6,213.8,210.7,212.39,15501031
26-Mar-14,214,217.5,211.1,214.8,28980107
25-Mar-14,208.1,210.1,208.1,209.5,15391835
24-Mar-14,204.7,210.97,204,207.7,25580803
21-Mar-14,213,214.6,204.5,206,34886524
20-Mar-14,211.9,215.8,206.4,213.1,50077865
19-Mar-14,231,231.43,197.71,211.2,91019373
18-Mar-14,228.9,231.4,227.6,230.5,8605072
17-Mar-14,227.7,230.1,225.4,229.4,10094645
14-Mar-14,228.1,230.4,227,227.8,11780481
13-Mar-14,231.8,231.8,229.6,229.7,11722613
12-Mar-14,232.6,233.6,230.7,230.7,13436274
11-Mar-14,234.2,235.7,232,233.8,10162546
10-Mar-14,236.5,238.2,233.7,234,15167743
7-Mar-14,234.2,240.9,232.4,237.2,22339287
6-Mar-14,235.2,236.1,230.1,233.6,23598169
5-Mar-14,236.4,238.7,234.2,236,12462567
4-Mar-14,240,242.1,238.4,240.5,15880123
3-Mar-14,236.1,237.9,233.1,236.98,18082485
28-Feb-14,239.3,242.1,239.2,240.4,14401167
27-Feb-14,239.5,239.8,235.6,239.2,14358963
26-Feb-14,243.8,244.5,238.8,240.3,13503235
25-Feb-14,243.4,244.9,241.6,243.5,19166484
24-Feb-14,239,243.2,239,243.2,9148213
21-Feb-14,241.9,243.6,238.3,239.7,15486242
20-Feb-14,235.9,240.3,234.4,240.3,11137465
19-Feb-14,238.4,241.2,235.4,238,14931319
18-Feb-14,242.6,242.6,237,239.7,19048158
17-Feb-14,239.1,243.3,238.8,241.9,9788044
14-Feb-14,234.6,238.9,234.3,238.9,18450578
13-Feb-14,232.4,235.5,231.2,235.5,17747024
12-Feb-14,228.8,234.4,228.3,232.4,18944208
11-Feb-14,224.5,228.6,224.2,227.6,11820932
10-Feb-14,222.7,223.6,220.5,223.12,10428760
7-Feb-14,220.5,223.2,219.9,221.2,10029963
6-Feb-14,216.8,219.8,216.3,219.4,10137783
5-Feb-14,215.1,217.5,214,215.8,10546914
4-Feb-14,213,217.7,212,215.6,10813977
3-Feb-14,214.6,218,213.5,214.3,9572635
31-Jan-14,216.8,217.7,211.5,215.3,9740076
30-Jan-14,214.2,217.7,213.1,217.4,8606512
29-Jan-14,218.9,220.5,213.7,215.1,10645106
28-Jan-14,215.1,217.9,214.7,216.8,13848101
27-Jan-14,217.9,218,212.9,214.5,12841999
24-Jan-14,222.5,223,216.6,218.1,18372606
23-Jan-14,224.8,227,221.1,222.4,12966977
22-Jan-14,227.8,228,224.9,225.4,9753071
21-Jan-14,226.3,228.3,225.4,227.9,10258812
20-Jan-14,230.3,230.7,228.5,229.4,4039554
17-Jan-14,228.4,231.6,228.4,230.3,11167410
16-Jan-14,232,232,227.3,228.4,8884912
15-Jan-14,230.3,232.5,229.6,231.8,6459141
14-Jan-14,226.4,229.7,225.7,229.4,8438253
13-Jan-14,228.8,229.7,227.1,228.1,5907516
10-Jan-14,228.7,231.5,227.6,228.3,12726507
9-Jan-14,227.5,228.7,226.3,227.4,11213515
8-Jan-14,228.4,229.5,226.2,227.1,9515606
7-Jan-14,225.4,230.8,225.4,228.9,15777413
6-Jan-14,222.9,226.4,222,225.9,10504505
3-Jan-14,223,224.5,221.9,222.6,6104999
2-Jan-14,223.2,225,222.1,223.3,8816160
31-Dec-13,222.8,223.9,222.3,222.7,1383818
30-Dec-13,222.8,223.4,221.2,222.6,3868683
27-Dec-13,223.1,223.4,221.4,223.2,2850400
24-Dec-13,220.7,222.8,218,221.1,1570857
23-Dec-13,218.9,221.4,218.2,221.4,6173323
20-Dec-13,214.4,218.7,213.3,218,19260442
19-Dec-13,211.2,214.2,211.1,214.2,10815527
18-Dec-13,208.4,210.3,208.1,209.1,6531080
17-Dec-13,208.8,209.3,207,207.5,6633839
16-Dec-13,206,210.1,206,209.1,7526494
13-Dec-13,205.1,207.9,205,207,7498407
12-Dec-13,205.2,206.8,203.4,205.6,11758164
11-Dec-13,205.9,207.5,205.5,205.7,7300885
10-Dec-13,206.1,207.6,204.9,206.6,12068319
9-Dec-13,208,208.5,205.5,206.5,9595133
6-Dec-13,206.8,208.3,205.7,207.3,6233491
5-Dec-13,207.3,208.5,205.6,206.2,7531165
4-Dec-13,207.1,209.2,206,208.5,9705531
3-Dec-13,210.4,210.8,206.8,207.3,11708319
2-Dec-13,213.7,214,210.3,210.6,7182775
29-Nov-13,214.2,214.7,213.4,213.9,5484630
28-Nov-13,215,216.3,214.2,214.3,3929365
27-Nov-13,211.9,215.5,211.9,214.5,6166455
26-Nov-13,212,213,211.6,212.3,10181756
25-Nov-13,213.1,213.7,211.1,212.5,7186664
22-Nov-13,214.4,214.7,210.9,212,9020673
21-Nov-13,209.4,214.5,209.1,212.82,9672397
20-Nov-13,209.9,211,209.2,210,5600174
19-Nov-13,210.1,211.3,209,210.5,8234231
18-Nov-13,212.2,212.5,210.3,211.5,7698542
15-Nov-13,212.5,213.1,210.8,212.9,6147579
14-Nov-13,211.7,212.7,210,212.5,10181545
13-Nov-13,211,211.4,208.1,209.7,8637807
12-Nov-13,211.2,212.5,210.5,211.8,6569574
11-Nov-13,210.6,211.4,208.7,211.3,5931160
8-Nov-13,208,210.6,207.1,210.6,8484732
7-Nov-13,210.1,210.9,208.3,209,12459886
6-Nov-13,214.3,215.2,209.3,209.9,15128163
5-Nov-13,217.8,218.1,210.2,213.1,13505133
4-Nov-13,217,218.1,215.8,217.9,8249540
1-Nov-13,216.5,217,214.8,216.2,8365095
31-Oct-13,215.9,217.8,215.3,216.3,10085768
30-Oct-13,215.2,216.9,214.5,215.4,9802173
29-Oct-13,212,216.4,212,215.3,10135248
28-Oct-13,213.9,213.9,211.5,212,5788779
25-Oct-13,213.4,214.2,211.5,212.9,9692075
24-Oct-13,213.6,215.8,212.8,214.1,11391997
23-Oct-13,210,214.2,0,213,14615420
22-Oct-13,207.2,211.4,207.2,210,10580810
21-Oct-13,207.3,208.1,206.1,207,7684282
18-Oct-13,205.9,207.6,204.7,207.3,9813366
17-Oct-13,202.1,204.8,201.2,204.4,6957305
16-Oct-13,200.2,203.7,200.1,202.8,5999194
15-Oct-13,199.6,202.8,199.6,201.2,10019561
14-Oct-13,195.1,199.5,194.6,198.6,9644281
11-Oct-13,194.8,197.4,194.5,195.9,8839251
10-Oct-13,187.1,194.8,187,194.5,11660749
9-Oct-13,190.2,190.5,186.1,186.5,13576544
8-Oct-13,195,195.8,190.5,190.7,11074082
7-Oct-13,194.8,195.8,193.9,195.4,6392606
4-Oct-13,194.5,196.5,194.5,195.5,9569019
3-Oct-13,194.8,196.5,194.1,195,9615271
2-Oct-13,196.4,197.9,194.6,195.8,11009760
