Date,Open,High,Low,Close,Volume
27-May-14,1871,1908,1864,1906,390958
23-May-14,1828,1856,1820,1852,306885
22-May-14,1794,1815,1785,1809.09,289414
21-May-14,1789,1799,1775,1794,272338
20-May-14,1772,1794,1755,1788,571236
19-May-14,1780,1805.6,1761,1764,424313
16-May-14,1815,1817,1764,1780,521248
15-May-14,1832,1878,1810,1811,704244
14-May-14,1811,1813,1798,1801,388021
13-May-14,1826,1842,1804,1808,528948
12-May-14,1847,1855,1841,1855,259689
9-May-14,1848,1852,1827,1840,225429
8-May-14,1830,1849,1821,1849,176818
7-May-14,1821,1839.36,1816.62,1825,334075
6-May-14,1826,1832,1814.64,1826,272585
2-May-14,1826,1832,1818,1826,346130
1-May-14,1817,1834,1810,1828,233888
30-Apr-14,1812,1820,1799,1812,322531
29-Apr-14,1824,1840,1817,1819,276193
28-Apr-14,1813,1835,1813,1820,287240
25-Apr-14,1817,1827,1809,1816,162128
24-Apr-14,1835,1843,1811,1825,183102
23-Apr-14,1855,1856,1828,1830,208835
22-Apr-14,1840,1863,1833,1855,219899
17-Apr-14,1814,1842,1806,1839,274034
16-Apr-14,1773,1814.34,1773,1809,367516
15-Apr-14,1779,1787,1760,1763,524271
14-Apr-14,1802,1802,1761,1775,349080
11-Apr-14,1873,1875,1802,1803,414145
10-Apr-14,1901,1911,1885,1885,211190
9-Apr-14,1899,1917,1894,1895,336184
8-Apr-14,1932,1938,1870,1891,445940
7-Apr-14,1967,1969,1934,1934,306024
4-Apr-14,1983,2004,1983,1988,236116
3-Apr-14,2006,2013,1978,1982,351115
2-Apr-14,2007,2016,2001,2004,266371
1-Apr-14,1980,2007.81,1970,2000.43,307189
31-Mar-14,1989,1994,1966,1970,536683
28-Mar-14,2002,2008,1977,1979,234821
27-Mar-14,1988,2002,1966,2001,287467
26-Mar-14,1981,2004.07,1979,1990,214217
25-Mar-14,1970,1988,1966,1978,291267
24-Mar-14,1969,1981,1958,1968,216082
21-Mar-14,1978,1984,1967,1979,546668
20-Mar-14,1993,2032,1972,1978.35,495862
19-Mar-14,1977,2009,1970,2007,317238
18-Mar-14,1950,1981.28,1942,1977,316999
17-Mar-14,1901,1957,1901,1950,241678
14-Mar-14,1916,1916,1885,1902,261832
13-Mar-14,1966,1966,1925,1925,302528
12-Mar-14,1978,1978,1936,1957,350989
11-Mar-14,2005,2021,1976,1985,276782
10-Mar-14,2010,2053,1998,1998,348413
7-Mar-14,2017,2029,2006,2012,291570
6-Mar-14,2017,2033,2011,2017,207699
5-Mar-14,2008,2019,1995,2010,309078
4-Mar-14,2016,2026,2002,2016,378164
3-Mar-14,1989,1998,1960,1996,315674
28-Feb-14,2003,2033,1993,2027,365670
27-Feb-14,2015,2016,1988,2002,330642
26-Feb-14,2034,2042,2012,2012,287642
25-Feb-14,2032,2042,2011,2038,496292
24-Feb-14,2019,2034,2009,2030,269941
21-Feb-14,2014,2027,1991,2024,342673
20-Feb-14,1993,2005,1978,2005,260302
19-Feb-14,2000,2015,1993,2008,237713
18-Feb-14,1965,2004,1956,2001,380936
17-Feb-14,1937,1977,1930,1957,247517
14-Feb-14,1923,1943,1908,1940,357641
13-Feb-14,1942,1947,1915,1926,593379
12-Feb-14,1946,1959,1935,1940,322798
11-Feb-14,1912,1943,1912,1939,341861
10-Feb-14,1934,1938,1903,1909,244924
7-Feb-14,1883,1929,1874,1928,367247
6-Feb-14,1843,1880,1839,1873,259674
5-Feb-14,1840,1868,1830,1834,279494
4-Feb-14,1804,1855,1789,1840,408747
3-Feb-14,1834,1845,1812,1814,259070
31-Jan-14,1873,1877,1819,1840,371999
30-Jan-14,1871,1882,1856,1875,324522
29-Jan-14,1880,1888,1861,1874,429292
28-Jan-14,1827,1875,1827,1869,314391
27-Jan-14,1816,1828,1792,1821,338235
24-Jan-14,1845,1874,1807,1811,337642
23-Jan-14,1850,1889,1839,1862,465291
22-Jan-14,1825,1855,1817,1854,334593
21-Jan-14,1821,1840,1820,1820,247873
20-Jan-14,1844,1854,1828,1828,274969
17-Jan-14,1808,1845,1808,1837,383734
16-Jan-14,1821,1834,1809,1810,201179
15-Jan-14,1814,1833,1810,1830,239965
14-Jan-14,1778,1815,1769,1813,302572
13-Jan-14,1798,1811,1794,1800,115814
10-Jan-14,1795,1813,1789,1799,233178
9-Jan-14,1768,1797,1765,1784,354416
8-Jan-14,1756,1771,1748,1765,302636
7-Jan-14,1744,1757,1728,1753,298943
6-Jan-14,1748,1764,1735,1745,222893
3-Jan-14,1734,1762,1734,1753,218791
2-Jan-14,1742,1743,1711,1741,253009
31-Dec-13,1721,1736,1721,1733,57437
30-Dec-13,1718,1730,1700,1723,132403
27-Dec-13,1710,1724,1685,1720,172090
24-Dec-13,1710,1713,1680,1710,63785
23-Dec-13,1679,1711,1669,1711,206969
20-Dec-13,1645,1682,1641,1677,473351
19-Dec-13,1622,1652,1621,1652,335840
18-Dec-13,1605,1615,1595,1613,183425
17-Dec-13,1609,1613,1597,1600.37,222411
16-Dec-13,1580,1614,1580,1613,165917
13-Dec-13,1582,1588,1578,1580,168538
12-Dec-13,1592,1592,1580,1586,206712
11-Dec-13,1608,1621,1594,1595,277655
10-Dec-13,1624,1628,1611,1611,269420
9-Dec-13,1626,1627,1612,1618,189810
6-Dec-13,1608,1644,1598,1626,485946
5-Dec-13,1576,1588,1574,1582,239006
4-Dec-13,1584,1595,1576,1585,333087
3-Dec-13,1610,1615,1595,1596,215225
2-Dec-13,1629,1633,1612,1612,260619
29-Nov-13,1614,1627,1610,1627,208670
28-Nov-13,1628,1628,1611,1615,142790
27-Nov-13,1633,1635,1617,1625,205594
26-Nov-13,1615,1629,1610,1625,303820
25-Nov-13,1612,1628,1612,1620,241200
22-Nov-13,1602,1617,1597,1605,243150
21-Nov-13,1572,1609,1572,1605,304906
20-Nov-13,1567,1600,1563,1584,366070
19-Nov-13,1573,1576,1570,1572,231443
18-Nov-13,1575,1593,1575,1585,225719
15-Nov-13,1569,1581,1564,1577.35,455469
14-Nov-13,1550,1578,1550,1561,375843
13-Nov-13,1598,1606,1538,1555,517861
12-Nov-13,1621,1626,1600,1605,166285
11-Nov-13,1617,1620,1609,1617,119321
8-Nov-13,1594,1609,1571,1608,285258
7-Nov-13,1626,1628,1600,1600,389340
6-Nov-13,1623,1632,1619,1625,267945
5-Nov-13,1632,1632,1590,1611,343444
4-Nov-13,1633,1644,1626,1626,258346
1-Nov-13,1645,1647,1622,1631,223773
31-Oct-13,1650,1659,1629,1642,416692
30-Oct-13,1670,1679,1634,1643,285690
29-Oct-13,1672,1672,1664,1671,183529
28-Oct-13,1706,1706,1667,1672,172028
25-Oct-13,1659,1682,1659,1682,304940
24-Oct-13,1664,1668,1653,1663,130038
23-Oct-13,1653,1665,1647,1665,177790
22-Oct-13,1645,1668,1644,1653,213254
21-Oct-13,1648,1651,1637,1647,130684
18-Oct-13,1656,1657,1636,1650,280288
17-Oct-13,1615,1650,1612,1650,328071
16-Oct-13,1607,1623,1594,1621,418198
15-Oct-13,1593,1621,1592,1620,306620
14-Oct-13,1569,1589,1558,1588,176666
11-Oct-13,1550,1578,1546,1577,177827
10-Oct-13,1517,1552,1510,1552,181851
9-Oct-13,1522,1525,1501,1510,226751
8-Oct-13,1532,1539,1516,1526,237898
7-Oct-13,1543,1543,1521,1537,284700
4-Oct-13,1543,1552,1542,1549,174503
3-Oct-13,1549,1562,1539,1548,255419
2-Oct-13,1563,1563,1547,1557,403067
1-Oct-13,1543,1569,1536,1567,369493
30-Sep-13,1548,1550,1520,1537,666835
27-Sep-13,1570,1574,1560,1566,190441
26-Sep-13,1584,1584,1556,1567,265962
25-Sep-13,1572,1590,1563,1568,300601
