Date,Open,High,Low,Close,Volume
27-May-14,444,453.5,443.8,450.7,3045229
23-May-14,446.7,447.81,440.5,443.2,3165177
22-May-14,451.4,452.98,445.6,447.8,3991229
21-May-14,441.6,453.5,439.6,446.5,5816098
20-May-14,445,448.7,434.1,446,6602650
19-May-14,456,460.78,447.5,451.05,5280612
16-May-14,460.5,461.9,450,455.48,4748922
15-May-14,465.9,471.4,460,460.98,5497903
14-May-14,468.1,468.1,463.2,464.88,2261706
13-May-14,458.6,468.2,456.9,468.2,4492941
12-May-14,459.2,459.5,452.3,458.48,2866487
9-May-14,450.7,460,450.14,458,4110214
8-May-14,438.4,450.2,436.7,449,2935710
7-May-14,435.1,440.4,433.9,436.9,2566946
6-May-14,441.4,446.3,435.3,437,1879185
2-May-14,444,444,439.8,440.8,2269631
1-May-14,443.2,447.3,439.2,444,1947254
30-Apr-14,440.3,442.6,439,441.1,4398728
29-Apr-14,433.5,440,432.7,439.3,2459419
28-Apr-14,438.3,440.42,433.4,433.4,2746337
25-Apr-14,438.2,440.1,434.2,437.7,2792233
24-Apr-14,440.4,442.4,435.5,437.5,2840591
23-Apr-14,443.7,444.3,439.1,440.2,2646609
22-Apr-14,435.7,442.8,435.4,442.34,3812638
17-Apr-14,427.7,439.5,427.4,434.5,5428130
16-Apr-14,420,427.7,419.3,427.7,5399770
15-Apr-14,429,431.8,415.9,416.6,4458407
14-Apr-14,433.4,435.4,425.5,426.7,5089114
11-Apr-14,437.7,440,431.6,435.5,5505511
10-Apr-14,469.8,471,438.1,442,13144316
9-Apr-14,454.6,460.08,452.9,456,4430845
8-Apr-14,451.1,453.9,441.6,453.3,8247715
7-Apr-14,458.6,460.41,359.2,452.9,3613077
4-Apr-14,463.6,473,460.8,461.9,4670692
3-Apr-14,469.9,475.1,469.9,471.6,3302648
2-Apr-14,460.1,472.48,460.1,469.9,4761917
1-Apr-14,452,460.9,452,458.79,4405232
31-Mar-14,455.9,455.9,450.2,451.5,4978882
28-Mar-14,457.2,461.4,453.1,453.7,2379340
27-Mar-14,457.4,459,453.8,455.1,2225670
26-Mar-14,455.7,461.1,455.5,459.2,3173126
25-Mar-14,454,458.6,451.8,455.3,5498253
24-Mar-14,459,461.9,453.3,454,3210298
21-Mar-14,471.8,472.14,459.7,459.7,7245411
20-Mar-14,469.9,475.8,465.3,471.2,5788555
19-Mar-14,469.1,475.7,466.9,472.6,3821563
18-Mar-14,461,472.7,458.9,467.4,5410750
17-Mar-14,460.8,471,458.8,466.3,4219984
14-Mar-14,455.6,464.8,455.6,461.3,3524911
13-Mar-14,467.8,468.8,458.5,458.8,7396849
12-Mar-14,477.6,482.9,472,473.6,4615805
11-Mar-14,481.9,482.4,476,480,3647259
10-Mar-14,487.9,488.6,479.4,481.5,3816728
7-Mar-14,496.4,496.4,486.5,488.4,4682025
6-Mar-14,503.5,505,496.7,496.8,3481580
5-Mar-14,503,508.5,502.5,503,2299141
4-Mar-14,502,505.5,501,504,3437814
3-Mar-14,496.2,501,494.2,499.9,2517959
28-Feb-14,502.5,505,499.3,503.5,2636103
27-Feb-14,500,504,493.5,502.5,2808102
26-Feb-14,510.5,512,500.5,502,2843483
25-Feb-14,506.5,512,502.5,511,4785177
24-Feb-14,500.5,509.5,497.9,505.5,3743870
21-Feb-14,506,507.5,498.5,501,4167868
20-Feb-14,498.6,504.5,498,500.92,2984038
19-Feb-14,501.5,508,499.7,501.25,4122456
18-Feb-14,495.4,496.8,492.1,496.3,2178585
17-Feb-14,489.9,496,489.9,494.4,2152797
14-Feb-14,485,490,483.9,490,2644142
13-Feb-14,489.6,490.8,481.1,484.9,2966887
12-Feb-14,488,492.9,486.4,489.4,4661004
