Date,Open,High,Low,Close,Volume
27-May-14,278,282.66,278,280,1441130
23-May-14,277.8,279,275.4,276.1,1287739
22-May-14,278.8,280.8,275,277.8,1641105
21-May-14,278.3,279.4,275,278.4,1214666
20-May-14,279.9,283,277.1,277.8,1408186
19-May-14,275.6,280.2,274.4,279.6,1409627
16-May-14,285,289.22,272.37,275.08,3063507
15-May-14,287.2,290.4,283.1,283.7,1660540
14-May-14,293.6,294.24,287.4,288.3,1742686
13-May-14,290,296.8,287.5,293.5,2161567
12-May-14,289.6,289.8,285.3,287.2,1462706
9-May-14,289.2,289.9,287.5,289.7,707452
8-May-14,287.7,291.4,287.7,290.6,919245
7-May-14,289,289.5,286.8,287.4,2517662
6-May-14,287.8,293.6,287.64,289.8,2603422
2-May-14,285.1,285.5,284,285.5,1826144
1-May-14,288.5,288.7,284.5,284.7,814403
30-Apr-14,284.5,287.6,283.5,285.5,1931417
29-Apr-14,283.3,286.2,283.1,285.5,1831203
28-Apr-14,283.4,285.6,282.7,283,1847610
25-Apr-14,284.5,287.8,282.6,283.8,1447577
24-Apr-14,286.4,287.9,283.5,285,1737012
23-Apr-14,288.9,289.3,284.6,285,1652249
22-Apr-14,283.9,289.6,281.8,288.2,1857030
17-Apr-14,282.2,283.4,279.9,281.8,1989533
16-Apr-14,281.1,286,274.04,281,1930954
15-Apr-14,287.6,289,282,282.5,1717575
14-Apr-14,290.5,292.2,281.61,288.1,2236933
11-Apr-14,297.5,297.6,289.5,292.5,2571089
10-Apr-14,301.1,301.7,298.31,299.9,2855004
9-Apr-14,296.5,300.6,295,299.9,1211068
8-Apr-14,298.9,298.9,292.7,295.7,1033557
7-Apr-14,301.2,302.12,298.7,299.3,913280
4-Apr-14,302.6,305.5,302.27,303.3,1007829
3-Apr-14,301.7,304.3,301.58,302.6,935047
2-Apr-14,300.6,304.7,299.87,302,2150720
1-Apr-14,297.4,300.6,297.4,300.5,1904918
31-Mar-14,296.4,298.3,294.87,296.9,1748237
28-Mar-14,296.4,297.6,293.6,297,2263482
27-Mar-14,297,298.1,294.7,295.7,2753860
26-Mar-14,293.9,300.9,293.8,297.6,1523572
25-Mar-14,288.3,293.5,288.3,292.7,1489682
24-Mar-14,291,293.6,287.6,288.1,1991083
21-Mar-14,288.6,293.5,288.6,292.3,2981258
20-Mar-14,287.8,289.8,285.5,289,1756671
19-Mar-14,291.3,292.97,288.8,290,3142689
18-Mar-14,291.8,293.4,290.99,292,2694879
17-Mar-14,285.3,293.1,285.3,292.2,1400743
14-Mar-14,286.6,287.5,284.9,286.1,1852872
13-Mar-14,288,290.5,286.8,287.6,2282755
12-Mar-14,294,294.9,287.1,288,2306655
11-Mar-14,295,299.5,293.6,297.2,2327981
10-Mar-14,297.8,302,293.4,295,2572745
7-Mar-14,307,307,298.5,299.6,2312975
6-Mar-14,303.6,305.9,297.9,305.4,2630296
