Date,Open,High,Low,Close,Volume
27-May-14,1081,1087,1075,1085,1466442
23-May-14,1055,1085,1052,1080,1046451
22-May-14,1047,1054,1040,1052,636891
21-May-14,1023,1042.31,1015,1042,688393
20-May-14,1024,1029,1019,1026,667414
19-May-14,998,1026,992,1023,1601543
16-May-14,1012,1017,979,995,1748219
15-May-14,1045,1049,1008,1010.05,1037054
14-May-14,1040,1075,1040,1044.05,1107909
13-May-14,1045,1049,1031,1031,843760
12-May-14,1022,1043,1022,1040.05,917654
9-May-14,1014,1018,1006,1016,709181
8-May-14,998,1020,995,1013,1438130
7-May-14,986,1011,979,992.05,1168605
6-May-14,976,988.5,968.73,985.05,1299867
2-May-14,980.5,982.5,959.5,973.5,1326356
1-May-14,983.5,989.5,977.5,982.5,403947
30-Apr-14,971,985,967.5,982.5,928174
29-Apr-14,971.5,980,967.5,972.5,1030367
28-Apr-14,984.5,984.5,961.5,969.1,901307
25-Apr-14,998.5,1005,975,978.5,902594
24-Apr-14,1000,1019,1000,1002,1504449
23-Apr-14,985,999.8,983.4,996.5,1377216
22-Apr-14,1002,1015,1001,1004,918159
17-Apr-14,983.5,1007,978,1004,1320176
16-Apr-14,980,986.5,968,985,1175176
15-Apr-14,991,994.5,962,963.5,1090413
14-Apr-14,990.5,991,967.5,990,1048581
11-Apr-14,1009,1012,989.5,998.5,1441884
10-Apr-14,1029,1039,1020,1020,1301628
9-Apr-14,1012,1029.39,1009,1025,1343012
8-Apr-14,1050,1058,1006,1007,2415426
7-Apr-14,1073,1078,1046,1047,1062466
4-Apr-14,1054,1090,1054,1083,933490
3-Apr-14,1077,1077,1051,1054,918478
2-Apr-14,1044,1075,1038.33,1073,1356859
1-Apr-14,1054,1057,1030,1040.94,1580112
31-Mar-14,1028,1061,1028,1049,2393887
28-Mar-14,1047,1063,1023,1026,1909292
27-Mar-14,1072,1077,1040,1042,1483585
26-Mar-14,1067,1095,1066,1077,1226132
25-Mar-14,1044,1068,1038,1066,1232563
24-Mar-14,1033,1048,1013,1045,1912335
21-Mar-14,1049,1063,1034.9,1035,3973985
20-Mar-14,1063,1066,1036,1051,1622289
19-Mar-14,1083,1086,1069,1070.89,1173804
