Date,Open,High,Low,Close,Volume
27-May-14,204.4,205,199.1,200,10856091
23-May-14,205,205,201,202.7,8447670
22-May-14,205,206.4,203.5,204.9,13109141
21-May-14,206.5,206.9,200.7,205,14764108
20-May-14,214.4,214.9,208.6,209.5,7056789
19-May-14,213.1,215.2,209.3,213.99,7628032
16-May-14,205.3,214.98,204.9,212.9,17677685
15-May-14,197,210.5,196.7,205.2,13480921
14-May-14,195.6,197.9,194.02,196.3,5138407
13-May-14,198.2,199.7,194.9,195.8,5890823
12-May-14,198.5,200.4,195.4,197.2,5402422
9-May-14,198.4,206.48,196.2,197.6,8342029
8-May-14,189.8,205.66,184.4,199,20218042
7-May-14,196,196,188.98,190.8,16888091
6-May-14,197.9,203.3,196.3,202,11898734
2-May-14,195,198.04,194.8,196.2,8453077
1-May-14,201.8,203,197.4,197.5,4828648
30-Apr-14,200.1,202.8,199.2,200.9,5966814
29-Apr-14,199.8,201.7,199.28,200.8,7004812
28-Apr-14,197,200,196.16,198.8,7771762
25-Apr-14,197.5,198.51,195.4,196.4,6278826
24-Apr-14,198,199.65,196.8,197.9,7757453
23-Apr-14,201,202.93,195.7,196.7,14081074
22-Apr-14,202.9,205,201.7,204.1,5061141
17-Apr-14,203.1,203.1,199.4,201.4,6818042
16-Apr-14,203,205.7,199.4,202,8955027
15-Apr-14,204.6,204.6,199.9,200.8,7440914
14-Apr-14,200.3,203.95,200,203.9,6865793
11-Apr-14,197,201.3,196,201.2,12215565
10-Apr-14,203,203.8,197.1,197.3,12054548
9-Apr-14,203.6,204.4,201.2,201.9,7455715
8-Apr-14,205.1,206.1,200.8,203,10097012
7-Apr-14,203.5,207.84,203.1,204.9,6234653
4-Apr-14,207.4,207.8,204.8,204.8,6532636
3-Apr-14,207.9,209.3,206.3,207,6544916
2-Apr-14,210.5,210.8,205.77,207.2,15562554
1-Apr-14,213.6,214.5,210.2,213.47,10462967
31-Mar-14,216.1,216.87,212.8,213,8922052
28-Mar-14,213.6,215.47,212.5,214.9,4932417
