Date,Open,High,Low,Close,Volume
27-May-14,886.5,894.38,885,889.46,5628888
23-May-14,880.5,882.5,872.5,880.46,3900888
22-May-14,884.5,887.5,876,881.09,5862104
21-May-14,885,889,874.5,882.5,5688714
20-May-14,894,894,879,883.96,7501610
19-May-14,876.5,890.5,874,889.59,8393879
16-May-14,856,876.5,850.36,876.5,9624177
15-May-14,860,866,851.5,863.5,5593264
14-May-14,852,861,849,860.96,4009082
13-May-14,854.5,855,844,851.5,4718198
12-May-14,855.5,859.5,848.94,851.46,4760952
9-May-14,843.5,855.5,839,855,4841780
8-May-14,845,849.5,843.11,845,4116878
7-May-14,841,846.5,839.15,844.5,5948157
6-May-14,840,841.3,837,839.96,2903175
2-May-14,840,845.5,835.86,838.58,5057266
1-May-14,840.5,844.72,836.5,836.5,2671309
30-Apr-14,841,844.5,838,840.5,6311446
29-Apr-14,835,840.08,831,840.08,4727221
28-Apr-14,826.5,831,821.35,829.5,4054956
25-Apr-14,817.5,824,815.5,823.5,3574304
24-Apr-14,827,827.16,813,817,6662842
23-Apr-14,829,832.32,823,823,4647127
22-Apr-14,827,834,825,831.08,4694426
17-Apr-14,827.5,830,823.5,824,4680531
16-Apr-14,828.5,832.79,825,829,4162053
15-Apr-14,817.5,830.5,815.1,824,6731590
14-Apr-14,808.5,815,806.22,813.5,3762523
11-Apr-14,817,817,809,809.5,5085623
10-Apr-14,817,819.5,812.62,818.5,5266863
9-Apr-14,815,819.5,812.5,816.54,6092662
8-Apr-14,815.5,819.5,811.5,816.5,5031442
7-Apr-14,815,821,813.74,817,4379588
4-Apr-14,822,824,816.5,820.5,3802832
3-Apr-14,823,827,815.5,818,3506289
2-Apr-14,827.5,830.59,822,823.42,4428776
1-Apr-14,825,828.5,820.21,826.91,3831074
31-Mar-14,833.5,838,820,821.96,6961015
28-Mar-14,822,830.42,817.47,830,4533226
27-Mar-14,814.5,820.35,810.2,818.96,4922722
26-Mar-14,819.5,821.5,813.5,816.42,4975739
25-Mar-14,812,819.5,808,818.5,5571859
24-Mar-14,823.5,823.5,812.5,814,5140799
21-Mar-14,817,824,816,822.5,9217403
20-Mar-14,823,825,815.05,818,7265219
19-Mar-14,826,830,821.83,830,5571982
18-Mar-14,824,831,821,828.5,5701068
17-Mar-14,824.5,828,819.5,826,4937392
14-Mar-14,823.5,827.5,819.5,823.56,6038639
13-Mar-14,829.5,829.5,820,822,6913349
12-Mar-14,833,836.5,828,832.92,5369314
11-Mar-14,826.5,835.5,822.5,835.5,6456402
10-Mar-14,822,828.5,819.5,824,4518388
7-Mar-14,830,833.5,820,822,6660690
6-Mar-14,835,835.5,827.5,830.5,4100900
5-Mar-14,837.5,839.5,832.5,835.5,4285779
4-Mar-14,832,838,830,837,4719001
3-Mar-14,825.5,835,823.5,826.42,6527051
28-Feb-14,834.5,838,830.5,834.5,6473531
27-Feb-14,831.5,836.5,824,834.5,6810706
26-Feb-14,833,833.5,824,830,4909508
25-Feb-14,840,842.5,832,836.5,10954042
24-Feb-14,834.5,840,829,840,5661410
21-Feb-14,841,842,831,833.5,7319513
20-Feb-14,827.5,837,822.5,836,5527967
19-Feb-14,827,836,825,831.5,5566322
18-Feb-14,819.5,827.5,815,825,5703695
17-Feb-14,811,822.5,809,820,2932482
14-Feb-14,814,815,809,812.5,4175337
13-Feb-14,809.5,813.5,806,810.5,4413941
12-Feb-14,815.5,818.5,803.5,809.5,7200949
11-Feb-14,804,813.5,801.5,813.5,5905011
10-Feb-14,793.5,800.5,791,800.5,4416971
7-Feb-14,789.5,794.5,788,792,4087126
6-Feb-14,783,790.5,779,788.5,5229224
5-Feb-14,782.5,786,777.5,779,5456446
4-Feb-14,790,794.5,782,782.5,6697780
3-Feb-14,788,796,786,792,5109643
31-Jan-14,789.5,793.5,778,789,7296289
30-Jan-14,777,784.5,775,782,5139221
29-Jan-14,784,790,774.5,777.71,7918387
28-Jan-14,784.5,786.5,778.5,782.5,5246519
27-Jan-14,790.5,800,784,784,6932850
24-Jan-14,796.5,797,788.5,790.25,8662921
23-Jan-14,799,809.5,794,797.5,5637730
22-Jan-14,792,799.5,792,798,5294964
21-Jan-14,794.5,801.5,790,792,5009134
20-Jan-14,788.5,795,788,793,2855391
17-Jan-14,784.5,794,783.5,788,6436376
16-Jan-14,782.5,788,778.5,780.5,3479619
15-Jan-14,780.5,784.5,772,783,4888928
14-Jan-14,773,785,771.5,781.28,5062352
13-Jan-14,782,782,774.5,777,3785716
10-Jan-14,780.5,782.5,776,781.5,4864133
9-Jan-14,775,780.5,771.5,775,4571227
8-Jan-14,781.5,783,769,774,8226835
7-Jan-14,786.5,788,782,783,3276807
6-Jan-14,789.5,795,784.5,785.5,4224180
3-Jan-14,785.5,794,784,790.5,3027436
2-Jan-14,788,792.5,782.5,785.5,4750980
31-Dec-13,788,791.5,785.5,788,1055575
30-Dec-13,793.5,797.5,781.5,786.5,3456078
27-Dec-13,787.5,795,785,790.5,3517801
24-Dec-13,781.5,788,781.5,786.5,643347
23-Dec-13,786.5,789.5,779.5,788.5,3493317
20-Dec-13,782.5,787.5,775,787,8825919
19-Dec-13,775,787.5,773,787.5,6623283
18-Dec-13,770,772,766.5,770,5473196
17-Dec-13,767,770.5,764,766,5200645
16-Dec-13,757.5,770.5,755.5,770.5,5969173
13-Dec-13,748,757,742.5,756.5,6073860
12-Dec-13,745,756.5,743.5,750,6337740
11-Dec-13,749,753.5,743,746,4715749
10-Dec-13,747.5,755,747,748.5,3340523
9-Dec-13,751.5,753,745.5,750.5,4090168
6-Dec-13,747,752,745,750.5,4647369
5-Dec-13,746.5,748.5,742.5,746,4341215
4-Dec-13,749.5,755,746.5,748.5,5466634
3-Dec-13,770.5,773.5,762.5,764,4365579
2-Dec-13,775.5,777.5,770,771.5,5324058
29-Nov-13,775.5,779.5,771.5,775,4432200
28-Nov-13,777.5,777.5,771.5,776,3787983
27-Nov-13,777,783.5,773,775.5,4150614
26-Nov-13,786,787.5,773.5,775,9066275
25-Nov-13,780,786,779,784.5,4749652
22-Nov-13,775.5,780,768.5,785.14,5373060
21-Nov-13,770,777.5,753.5,773.5,5888200
20-Nov-13,776.5,781.5,768,768,6511499
19-Nov-13,775,784.5,774,779.5,4313463
18-Nov-13,772,779.5,766,774.5,4332957
15-Nov-13,779,780.5,773,774,4613850
14-Nov-13,782.5,783.5,775,781.5,6125789
13-Nov-13,777,784,771.5,776.5,6439957
12-Nov-13,776.5,781,771.5,781,4268822
11-Nov-13,774.5,780,771.5,778,4042686
8-Nov-13,772,781,768,774,6188118
7-Nov-13,786,786,772.5,775.5,5295940
6-Nov-13,786.5,788,777.5,783.5,5287612
5-Nov-13,783.5,789.5,777.5,788,5026051
4-Nov-13,780.5,788,777,780.5,4153715
1-Nov-13,787,789.5,778.5,780.5,4732800
31-Oct-13,784.5,788.5,780.5,784.5,6331377
30-Oct-13,788.5,792,783.5,786,4044220
29-Oct-13,787.5,790.5,783,788,3473874
28-Oct-13,785,787,779,783.5,3100221
25-Oct-13,776.5,783.5,776,781.29,3639969
24-Oct-13,780,782.5,777,779,3817252
23-Oct-13,771.5,778.5,0,776.5,5409292
22-Oct-13,763,772.5,758,772,5444370
21-Oct-13,764.5,770.5,761,766,4911642
18-Oct-13,755,761,749,760.5,6293308
17-Oct-13,750,755,748.5,751.5,3725500
16-Oct-13,757,758,748,752,4939240
15-Oct-13,754,758.5,750,757,3555866
14-Oct-13,749,756,749,750.5,3255641
11-Oct-13,750.5,751,742.5,748,4177376
10-Oct-13,745,747.5,735,746.5,5129978
9-Oct-13,733,745.5,729.5,743.5,5506141
8-Oct-13,742,745,734.5,735.5,6643014
7-Oct-13,740.5,744,736.5,740.5,3073119
4-Oct-13,739.5,746.5,737,743.5,4009813
3-Oct-13,745.5,746.5,736.5,739.5,4315765
2-Oct-13,729,746.5,725.5,743,6373536
1-Oct-13,730.5,732.5,727.5,731,3707362
30-Sep-13,732.5,738,727.5,730.5,6113418
27-Sep-13,743,744.5,735.5,739,3884266
26-Sep-13,740.5,746.5,735.5,743,5815573
25-Sep-13,747.5,753.5,730.5,737.5,7883023
24-Sep-13,747.5,750,744,746.5,3573826
20-Sep-13,757,767,757,758.5,12934353
19-Sep-13,758,768,757,761.5,8017211
18-Sep-13,749,751,741,747.5,3403691
17-Sep-13,746.5,756,746,747.5,6160486
16-Sep-13,744,750,742,746,3638352
13-Sep-13,743,748,739.5,741.5,4706764
12-Sep-13,738.5,744,737,743,4285510
11-Sep-13,740,746.5,736.5,739,4747372
10-Sep-13,740.5,744.5,735.5,737,5327483
9-Sep-13,742.5,745,730.5,737,4319225
6-Sep-13,737,745.5,734,742,3883996
5-Sep-13,740.5,744.5,731.5,734,4796251
4-Sep-13,748,748.5,735.5,737,5318742
3-Sep-13,752,757,744.5,747,4386692
2-Sep-13,745.5,754.5,745.5,751.5,2108210
30-Aug-13,747.5,749,741.5,742.5,6706799
29-Aug-13,742,753,739,747,3861297
28-Aug-13,740,745,735.5,742.5,4130877
27-Aug-13,745,745.5,735,740,4742232
23-Aug-13,739,743.5,738,742.5,4239252
22-Aug-13,741,746.5,733.5,737.5,4075201
21-Aug-13,744,744.5,738,740,4950462
20-Aug-13,730,744.5,727.5,743.5,5274907
19-Aug-13,736,738.5,732.5,733.5,3801470
16-Aug-13,740,742.5,734,736,7133201
15-Aug-13,750.5,754.5,738.5,740,6576904
14-Aug-13,758,761,748,749,4635365
13-Aug-13,759.5,764.5,752.5,758.5,3869663
12-Aug-13,768,768.5,755.5,758,4471558
9-Aug-13,772.5,774,766,768,3358592
8-Aug-13,773.5,775.5,766.5,769.5,5351122
7-Aug-13,779,783,769.5,771.5,5338470
6-Aug-13,782,785,775.5,781,4646081
5-Aug-13,785,791.5,779,780,3631099
2-Aug-13,793,794.5,781.5,783.5,3880105
1-Aug-13,790,794.5,788,790.5,4929799
31-Jul-13,769.5,791,768.5,786.5,7329810
30-Jul-13,766.5,779,765.5,769.5,5519012
29-Jul-13,764.5,774.5,760.5,763,3690701
26-Jul-13,767,770.5,758.5,760.5,3427705
25-Jul-13,769.5,772.5,759,765.5,3648479
24-Jul-13,768.5,773.5,762,769,5595180
23-Jul-13,777,780.5,764.5,764.5,6333362
22-Jul-13,774,774.5,768,773.5,3764138
19-Jul-13,765.5,775,765.5,774.5,8631943
18-Jul-13,752.5,768.5,752.5,764.5,5843444
17-Jul-13,761,762.5,755,755,5988407
16-Jul-13,766,790.86,762,762,5667609
15-Jul-13,762.5,765.58,761.5,763.5,3710014
12-Jul-13,762.5,764.58,759,760.5,3492634
11-Jul-13,766.5,768.08,759.5,761.5,5600303
10-Jul-13,758.5,762,754,760,4956936
9-Jul-13,758.5,762.25,751.9,758,6168099
8-Jul-13,753,757.25,749.86,755,4980756
5-Jul-13,751.5,759.5,743,749,5668710
4-Jul-13,743.5,754,739.5,752,5318738
3-Jul-13,739.4,744,734.5,740,5506643
2-Jul-13,747,748.5,737.5,746,5460221
1-Jul-13,750,753,741.5,744,7025235
28-Jun-13,737,749,734,746,10647133
27-Jun-13,729,739.5,725.94,739,10017874
26-Jun-13,719.5,729.14,717.5,726.5,9462308
25-Jun-13,718.5,720.5,711,718.5,10487394
24-Jun-13,730,734,717,717.5,8452805
21-Jun-13,733.5,740.25,727.5,734.09,13909456
20-Jun-13,746,747,727.5,730.5,10874248
19-Jun-13,763,763.5,752.5,754,8618150
18-Jun-13,744.5,755.91,743.5,754.5,6443076
17-Jun-13,749,753.5,744.5,744.5,4696804
14-Jun-13,746.5,748.5,740.12,746,4612871
13-Jun-13,740.5,745.65,738.5,741.5,8884189
12-Jun-13,740,756,739.5,747.5,7900068
11-Jun-13,741.5,744.3,732,741,8292994
10-Jun-13,742,749,738.33,743.5,6762990
7-Jun-13,742.5,751,736.5,747.5,9477202
6-Jun-13,740,752.5,737.18,740,11252347
5-Jun-13,763,767.5,740,740,10078310
4-Jun-13,785.5,792,779.86,790.5,6074478
3-Jun-13,780.5,784.75,772.81,782.5,7188394
31-May-13,785,798.5,783.5,784.5,8658287
30-May-13,795.18,804,777.5,788.5,7463741
29-May-13,833,834.29,789.5,797,14552173
28-May-13,838,846,836,839.5,4727324
24-May-13,832,839.5,823.06,836,6225762
23-May-13,833.5,842.5,827,829.5,5003888
22-May-13,841,844,837.5,840.5,4828785
21-May-13,846,846,835.5,843.5,6188775
20-May-13,835,848,832.5,847.5,4573251
17-May-13,825,833.59,825,828.5,5073408
16-May-13,842,842,811.28,835,6580259
15-May-13,845,849.5,839,844.5,3792568
14-May-13,837,847,834.86,847,6216114
13-May-13,825,835.84,823.25,834.5,3985116
10-May-13,820,824.5,817.5,823,3818870
9-May-13,816.5,822.5,813.5,821,2754990
8-May-13,821.5,823,816,818,3658970
7-May-13,825.5,826,812.62,820,4893106
3-May-13,820,828,818.18,825,3548488
2-May-13,824.5,828.11,816.5,819.5,4471150
1-May-13,822,826,815,825.5,2338398
30-Apr-13,819.5,820.5,811.6,819.5,6449445
29-Apr-13,809.5,820.1,807.5,817,5734690
26-Apr-13,799,808.5,797.34,807.5,4653909
25-Apr-13,805,806.5,794,800,5689172
24-Apr-13,809,809,803,807,3514772
23-Apr-13,794,808.5,788.5,807.5,6047312
22-Apr-13,796,803,792.5,797.5,3369337
19-Apr-13,791.5,795.5,785,795.5,6047635
18-Apr-13,798,798.5,788.66,790,4321520
17-Apr-13,795,796.46,788,790,4797688
16-Apr-13,798,799.49,785.5,789,7622415
15-Apr-13,792.5,803.04,792.5,803,5118098
12-Apr-13,785.5,793.5,784.5,792.5,3433578
11-Apr-13,786,787.36,782,786.5,4351584
10-Apr-13,779,787.5,776.6,787,6034733
9-Apr-13,790,790,776,777.5,7407623
8-Apr-13,784,788,781.5,785,3414021
5-Apr-13,780,791.27,778.5,781,5345242
4-Apr-13,786.5,787.02,777,777.24,5741316
3-Apr-13,780.5,784.86,780,783,5901289
2-Apr-13,766.5,781,766,778,5477908
28-Mar-13,753,770,752,765,6695176
27-Mar-13,758.5,759.5,744.5,751,5064586
26-Mar-13,758.5,758.5,749.56,751,5289651
25-Mar-13,756.5,761,750,755,4362494
22-Mar-13,745.5,757,744.11,753.5,7462427
21-Mar-13,749,751,740,743.5,6094300
20-Mar-13,749.5,752.5,744,746.5,7073234
19-Mar-13,737,747.5,735.5,746.5,5798761
18-Mar-13,729,741.4,718,735,6741140
15-Mar-13,744,745,733.5,734,11864682
14-Mar-13,745,746,740,744,5546154
13-Mar-13,742,749,740.5,743.5,5198952
12-Mar-13,735,744.32,732.52,741,5378706
11-Mar-13,734.5,737.84,732,737,3144005
8-Mar-13,735.5,738.5,731,734.5,5705418
7-Mar-13,733,736.5,731,732,3833429
6-Mar-13,735.5,736.5,730,732,4145656
5-Mar-13,738,738,731.06,735.5,5338953
4-Mar-13,721.5,734.5,721.5,732.5,5148568
1-Mar-13,728.5,728.88,718.5,725,6151971
28-Feb-13,726,735,724.58,729.5,10340903
27-Feb-13,715,722,712,721.5,5193626
26-Feb-13,716,717.5,712.5,714.5,7130172
25-Feb-13,716.5,720.3,710,717.5,7482488
22-Feb-13,709.5,716,708.18,715.5,4854410
21-Feb-13,708,710.77,704.5,707,8571905
20-Feb-13,704,711.1,702.5,710,8790418
19-Feb-13,692,701.5,692,700.5,6020454
18-Feb-13,683,694.44,681,692.5,4369606
15-Feb-13,684,686,678,682,7847757
14-Feb-13,697,697.5,682,686.5,5664585
13-Feb-13,692,698,688.5,695.5,5544580
12-Feb-13,691.5,693.23,685,691.5,6039834
11-Feb-13,691.5,693.9,687.8,691,3829967
8-Feb-13,692.5,694,688.5,690,6409087
7-Feb-13,693,697,687.5,689,5714468
6-Feb-13,700,701.5,691.82,695.5,5394240
5-Feb-13,694,699.5,693.5,697,5759626
4-Feb-13,698.5,701.5,692,692.5,4802327
1-Feb-13,694.5,698.5,688.82,696.5,4714385
31-Jan-13,694.5,698.88,690,691.5,7139645
30-Jan-13,701.5,703.5,692.5,693.5,8047688
29-Jan-13,702.5,703,696.01,701.5,6796044
28-Jan-13,700,702.5,695.5,700.5,5023526
25-Jan-13,693,700.35,692.2,700,7352239
24-Jan-13,698,703.7,696,698,5690079
23-Jan-13,697.5,700.5,695.5,699,4394984
22-Jan-13,707,707,685,696.5,5544510
21-Jan-13,686.5,696,685,695,3756980
18-Jan-13,685,687.72,681.88,683.5,7561396
17-Jan-13,693.5,695.24,682.5,682.5,8369706
16-Jan-13,694,696.5,689.5,692.5,5352842
15-Jan-13,685.5,696.9,682,695,5670347
14-Jan-13,689,695,685.5,687.5,3515173
11-Jan-13,688.5,690.5,678.5,687,6238542
10-Jan-13,694,698.5,685.5,687,4005124
9-Jan-13,690,692.82,683.2,689,7012409
8-Jan-13,692.5,696.75,688.29,689,4720503
7-Jan-13,708,709.86,692,694,6544638
4-Jan-13,707,711.07,704.5,711,7442931
3-Jan-13,707,709.85,704.29,706.5,4381615
2-Jan-13,710,713,705,706.5,4021828
31-Dec-12,702.5,705.08,700,703,1438604
28-Dec-12,706,709,700.5,705,2276313
27-Dec-12,712,712,703.5,705,2462674
24-Dec-12,708.5,717,706.08,710,1448638
21-Dec-12,699.5,706,697,704.5,10483045
20-Dec-12,709.5,712,701,702,6324897
19-Dec-12,710,711,703.5,711,4484061
18-Dec-12,706,709.25,702,707,5000720
17-Dec-12,709.5,712,696,703,6675050
