Date,Open,High,Low,Close,Volume
27-May-14,6590,6664.98,6575,6645,246412
23-May-14,6660,6670,6535,6550,206997
22-May-14,6625,6675,6580,6660,211940
21-May-14,6585,6625,6535,6614.67,237399
20-May-14,6495,6600,6475,6570,317173
19-May-14,6425,6510,6370,6480.65,368721
16-May-14,6415,6430,6292.27,6399.68,348506
15-May-14,6580,6630,6385,6405,338057
14-May-14,6535,6575,6520,6564.67,283672
13-May-14,6540,6545,6475,6535,305380
12-May-14,6485,6515,6435,6505,261782
9-May-14,6470,6545,6445,6465,245780
8-May-14,6490,6530,6460,6480,219702
7-May-14,6560,6580,6485,6495,251397
6-May-14,6585,6614.25,6530,6549.67,289054
2-May-14,6650,6675,6595,6610,232229
1-May-14,6540,7967,6505,6650,240503
30-Apr-14,6645,6690,6380,6520,603293
29-Apr-14,6410,6500,6365,6485,434900
28-Apr-14,6340,6420,6275,6410,323558
25-Apr-14,6405,6405,6287.68,6335,343438
24-Apr-14,6440,6495.75,6357.59,6395,273538
23-Apr-14,6560,6565,6400,6440,241731
22-Apr-14,6505,6588,6490,6540,244742
17-Apr-14,6370,6510,6350,6490,276913
16-Apr-14,6280,6380,6275,6360,266770
15-Apr-14,6285,6385,6230,6235,243413
14-Apr-14,6375,6385,6253.37,6277.5,219950
11-Apr-14,6495,6500,6365,6405,312855
10-Apr-14,6485,6580,6478.42,6540,290407
9-Apr-14,6455,6520,6430,6465,301886
8-Apr-14,6585,6595,6395,6410,404587
7-Apr-14,6645,6645,6585,6615,221763
4-Apr-14,6765,6780,6670,6695,195302
3-Apr-14,6650,6770,6645,6755,261375
2-Apr-14,6655,6730,6630,6630,246676
1-Apr-14,6645,6710,6590,6663.79,280372
31-Mar-14,6720,6750,6600,6600,340752
28-Mar-14,6755,6790,6650,6700,321305
27-Mar-14,6935,6935,6735,6745,319030
26-Mar-14,6850,6960,6849,6945,471330
25-Mar-14,6750,6835.84,6725,6820,288668
24-Mar-14,6680,6735,6675,6715,302635
21-Mar-14,6745,6779.81,6695,6700,550868
20-Mar-14,6655,6745,6621.98,6730,337053
19-Mar-14,6580,6620.34,6510,6580,333672
18-Mar-14,6650,6680,6564.24,6565,594046
17-Mar-14,6580,6735,6550,6715,248888
14-Mar-14,6570,6620,6550,6585,271692
13-Mar-14,6690,6715,6600,6605,225116
12-Mar-14,6725,6795,6655,6695,286765
11-Mar-14,6620,6745,6605,6745,355499
10-Mar-14,6535,6665,6510,6595,261258
7-Mar-14,6675,6700,6550,6550,346140
6-Mar-14,6710,6735,6650,6685,203341
5-Mar-14,6730,6760,6690,6710,229146
4-Mar-14,6695,6760,6675,6725,263074
3-Mar-14,6650,6665,6590,6650,258410
28-Feb-14,6645,6735,6615,6735,509290
27-Feb-14,6585,6650,6560,6645,262930
26-Feb-14,6635,6635,6575,6600,199974
25-Feb-14,6580,6640,6560,6630,446270
24-Feb-14,6510,6600,6480,6580,228259
21-Feb-14,6590,6600,6490,6515,254727
20-Feb-14,6475,6545,6440,6540,234623
19-Feb-14,6505,6565,6465,6490,172086
18-Feb-14,6470,6530,6430,6515,251553
17-Feb-14,6390,6460,6390,6440,113277
14-Feb-14,6410,6425,6350,6395,150197
13-Feb-14,6445,6505,6350,6415,270175
12-Feb-14,6385,6445,6350,6430,285984
11-Feb-14,6300,6365,6250,6360,412877
10-Feb-14,6295,6330,6225,6235,324767
7-Feb-14,6325,6355,6290,6305,255782
6-Feb-14,6175,6330,6175,6295,331401
5-Feb-14,6125,6210,6105,6145,252525
4-Feb-14,6150,6210,6090,6135,328405
3-Feb-14,6240,6280,6180,6190,323194
31-Jan-14,6215,6250,6130,6250,414404
30-Jan-14,6195,6240,6150,6240,196819
29-Jan-14,6255,6290,6145,6195.9,331544
28-Jan-14,6195,6245,6140,6170,260319
27-Jan-14,6270,6315,6155,6175,309550
24-Jan-14,6365,6405,6265,6280,365789
23-Jan-14,6355,6415,6310,6350,319858
22-Jan-14,6340,6405,6280,6365,322023
21-Jan-14,6260,6365,6230,6335,287724
20-Jan-14,6155,6275,6150,6255,308233
17-Jan-14,6170,6195,6125,6145,352168
16-Jan-14,6230,6260,6135,6165,307014
15-Jan-14,6160,6225,6120,6225,278258
14-Jan-14,6165,6230,6125,6200,283551
13-Jan-14,6165,6205,6130,6195,215132
10-Jan-14,6060,6190,6060,6160,276077
9-Jan-14,6170,6180,6015,6050,430087
8-Jan-14,6125,6175,6110,6170,281069
7-Jan-14,6250,6255,6080,6130,402004
6-Jan-14,6090,6170,6050,6170,448580
3-Jan-14,5900,6130,5885,6085,794298
2-Jan-14,5485,5565,5455,5530,367144
31-Dec-13,5465,5515,5420,5450,116386
30-Dec-13,5455,5470,5435,5455,117833
27-Dec-13,5460,5500,5430,5470,137908
24-Dec-13,5435,5435,5325,5435,41272
23-Dec-13,5375,5460,5370,5445,206591
20-Dec-13,5420,5435,5355,5375,524530
19-Dec-13,5350,5445,5350,5410,294379
18-Dec-13,5405,5420,5335,5335,340526
17-Dec-13,5445,5450,5385,5390,288757
16-Dec-13,5440,5475,5410,5445,249342
13-Dec-13,5435,5490,5420,5465,251225
12-Dec-13,5425,5460,5395,5415,228972
11-Dec-13,5410,5475,5410,5440,188677
10-Dec-13,5445,5460,5405,5410,205010
9-Dec-13,5450,5475,5420,5450,182803
6-Dec-13,5465,5490,5420,5445,312642
5-Dec-13,5510,5510,5460,5470,221771
4-Dec-13,5530,5595,5515,5545,326884
3-Dec-13,5420,5575,5420,5515,406405
2-Dec-13,5495,5515,5395,5400,386852
29-Nov-13,5490,5525,5490,5518.4,154103
28-Nov-13,5540,5555,5485,5510,229437
27-Nov-13,5500,5555,5490,5530,231221
26-Nov-13,5485,5520,5460,5515,326472
25-Nov-13,5435,5495,5425,5485,206998
22-Nov-13,5395,5420,5365,5420,228706
21-Nov-13,5435,5450,5400,5400,188477
20-Nov-13,5430,5455,5415,5440,179012
19-Nov-13,5490,5490,5460,5470,150728
18-Nov-13,5470,5515,5440,5490,219997
15-Nov-13,5465,5505,5435,5454.45,191476
14-Nov-13,5470,5520,5470,5485,151453
13-Nov-13,5475,5480,5425,5450,229857
12-Nov-13,5480,5500,5455,5480,149450
11-Nov-13,5525,5535,5465,5480,145294
8-Nov-13,5525,5525,5455,5505,255745
7-Nov-13,5535,5605,5510,5540,257816
