Date,Open,High,Low,Close,Volume
27-May-14,203.6,203.9,202.5,203,5473532
23-May-14,202,202.5,200.7,202.1,3307211
22-May-14,200.6,201.8,199.2,201.2,5227779
21-May-14,198.8,201.1,198.3,200.9,4870370
20-May-14,201.5,201.5,198.4,198.6,6387577
19-May-14,201,201.9,199.5,200.7,4659230
16-May-14,199.1,206.2,197.8,200,7504496
15-May-14,208.9,208.9,198.7,199.1,11292038
14-May-14,208.2,211.2,208.2,209.4,6250333
13-May-14,208.2,209.1,207.4,208.2,4899956
12-May-14,206.1,207.2,204.5,207,5295265
9-May-14,206.1,207.15,204.7,205.8,6683540
8-May-14,203.7,211.52,203.7,208,8563918
7-May-14,203.5,204.5,202.4,203.1,5203938
6-May-14,204.2,204.6,202.4,203.79,6168102
2-May-14,200.6,203.6,200.2,202.6,10786489
1-May-14,200.1,201,198.9,200.5,2584179
30-Apr-14,197.1,203.67,197.1,199.7,10158530
29-Apr-14,194.9,202,194.9,197.9,7266672
28-Apr-14,195.1,201.34,193.9,195.2,3620028
25-Apr-14,195.5,196,193.9,194.6,8367692
24-Apr-14,197,197.8,194.1,195.5,7490459
23-Apr-14,198,198.5,195.8,196,7547018
22-Apr-14,201.6,204.5,198.9,204,10717085
17-Apr-14,198.2,202.1,197,201.2,7073079
16-Apr-14,198.6,199.3,196.8,197.3,6327802
15-Apr-14,199.3,199.6,196.4,197.1,7189233
14-Apr-14,198,199.1,195.5,198.9,8042731
11-Apr-14,200,200.7,197.3,198.94,8652782
10-Apr-14,202,203.28,199.3,201.58,8418055
9-Apr-14,200.2,201.9,199.3,200.8,6727100
8-Apr-14,202.1,203.2,198.5,199.58,9737452
7-Apr-14,203,204.47,201.8,202.6,5558049
4-Apr-14,201.1,206.2,201.1,205.2,7964274
3-Apr-14,202.1,202.8,200.4,201.2,7676766
2-Apr-14,203.5,203.75,201.5,202.6,6973672
1-Apr-14,201.9,203.9,201.5,203.3,5057858
31-Mar-14,201.5,202.5,200.5,201.09,10219527
28-Mar-14,202.4,202.7,198,200.5,10706809
27-Mar-14,199.4,201.5,199.1,201.2,9263326
26-Mar-14,198.6,200.5,197.95,200,8754637
