Date,Open,High,Low,Close,Volume
27-May-14,1142,1160,1141.44,1152,1264126
23-May-14,1142,1146,1129,1137,1486746
22-May-14,1124,1151,1115,1144,2536015
21-May-14,1153,1156,1128,1132,2807019
20-May-14,1177,1177,1156,1156,2229630
19-May-14,1172,1182,1166,1175,1640447
16-May-14,1152,1170,1138,1170,2106753
15-May-14,1158,1163,1143.58,1150,2131248
14-May-14,1144,1161,1142,1159,1921936
13-May-14,1140,1155,1136.2,1146,1845115
12-May-14,1136,1137,1121,1134,1515953
9-May-14,1119,1143,1111.31,1137,1867526
8-May-14,1099,1124,1099,1118,1262435
7-May-14,1110,1113,1092.64,1101.06,1755807
6-May-14,1103,1130,1103,1112.06,2674824
2-May-14,1101,1101,1084,1094,2512051
1-May-14,1113,1117,1097,1102,843424
30-Apr-14,1094,1135.84,1091,1109.11,1918330
29-Apr-14,1105,1115,1087,1097,2335806
28-Apr-14,1090,1114,1080,1087,2577782
25-Apr-14,1051,1093,1051,1090.05,2755566
24-Apr-14,1057,1058,1044,1050,1502072
23-Apr-14,1062,1064,1053,1056,1663260
22-Apr-14,1061,1068,1056,1060,1370285
17-Apr-14,1056,1063,1047,1062,1566175
16-Apr-14,1048,1062,1048,1054,2000058
15-Apr-14,1050,1059,1040,1045,1692174
14-Apr-14,1031,1051,1030,1051,1515243
11-Apr-14,1032,1042,1029,1038,1973465
10-Apr-14,1040,1048,1035,1041,1848463
9-Apr-14,1025,1042.88,1022,1036,1662252
8-Apr-14,1021,1023,1001,1022.9,1732635
7-Apr-14,1025,1033,1020,1025,1988248
4-Apr-14,1031,1064,1005.74,1033,2715515
3-Apr-14,1014,1037,1003,1008,2651434
2-Apr-14,1012,1046,1004,1014,2181205
1-Apr-14,1061,1061,1032,1041.87,3002114
31-Mar-14,1043,1067,1043,1063,4187829
28-Mar-14,1028,1041,1025.49,1039,2234366
27-Mar-14,1038,1039,1023,1025.95,2104353
26-Mar-14,1024,1050,1024,1035.9,3069146
25-Mar-14,1004,1023.28,1002,1020,2347672
24-Mar-14,1012,1014,1000,1004,1890037
21-Mar-14,997.5,1012,997,1011,4821096
20-Mar-14,1010,1010.55,999,999.5,2412021
19-Mar-14,1025,1029.08,1014,1014,2341484
18-Mar-14,1022,1035.78,1020,1027,2108286
17-Mar-14,1004,1025,1004,1023,2408518
14-Mar-14,995,1010,993.5,1006,3104034
13-Mar-14,997,1011,994,998.5,3227729
12-Mar-14,1001,1006,994,998,3232648
11-Mar-14,1021,1025,1000,1001,3548992
10-Mar-14,1053,1057,1019,1022,3844643
7-Mar-14,1034,1068,1027,1054,3505034
6-Mar-14,1021,1033,1012,1033,2792971
5-Mar-14,1021,1032,1009,1020,3140597
4-Mar-14,1034,1050,1023,1024,3257635
3-Mar-14,1002,1025,993.5,1023,4266128
28-Feb-14,997,1020,981,1013,8964502
27-Feb-14,1083,1085,1072,1076,1650052
26-Feb-14,1097,1101,1080,1085,2211276
25-Feb-14,1100,1102,1093,1098,2937445
24-Feb-14,1111,1115,1096,1099,2628568
21-Feb-14,1115,1123,1112,1113,2578782
20-Feb-14,1105,1111,1100,1110,1241636
19-Feb-14,1108,1114,1105,1110,1372017
18-Feb-14,1122,1122,1099,1112,1960797
17-Feb-14,1117,1125,1115,1117,1052951
14-Feb-14,1118,1124,1114,1119,1422140
13-Feb-14,1128,1129,1114,1115,1805659
12-Feb-14,1130,1140,1122,1131,1543945
11-Feb-14,1113,1132,1111,1130,2318881
10-Feb-14,1093,1117,1093,1114,2233390
7-Feb-14,1090,1103,1086,1094,2382928
6-Feb-14,1087,1091,1072,1086,3055812
5-Feb-14,1084,1103,1074,1084,2581741
4-Feb-14,1105,1105,1086,1088,2332476
3-Feb-14,1112,1116,1097,1107,2263103
31-Jan-14,1118,1122,1092,1112,2206916
30-Jan-14,1108,1119,1105,1115,2565395
29-Jan-14,1136,1145,1094,1104,3144832
28-Jan-14,1133,1140,1123,1125,3688277
27-Jan-14,1166,1169,1125,1126,3688964
24-Jan-14,1190,1196,1157,1171,4281680
23-Jan-14,1213,1241,1185,1191,6335540
22-Jan-14,1310,1313,1296,1298,1194269
21-Jan-14,1312,1317,1304,1311,1454033
20-Jan-14,1279,1306,1279,1306,1342843
17-Jan-14,1293,1299,1278,1280,1805270
16-Jan-14,1310,1310,1291,1291,1357295
15-Jan-14,1322,1336,1306,1311,1602177
14-Jan-14,1311,1317,1305,1315,1939054
13-Jan-14,1320,1321,1309,1318,1538650
10-Jan-14,1308,1324,1304,1321,1107219
9-Jan-14,1299,1308,1298,1305,1674192
8-Jan-14,1307,1308,1297,1299,940497
7-Jan-14,1320,1326,1309,1309,1183110
6-Jan-14,1316,1322,1311,1318,1473601
3-Jan-14,1343,1344,1316,1318,1095849
2-Jan-14,1344,1351,1337,1340,813549
31-Dec-13,1339,1345,1332,1341,367562
30-Dec-13,1345,1349,1337,1340,480757
27-Dec-13,1331,1346,1331,1345,514381
24-Dec-13,1316,1338,1314,1326,185128
23-Dec-13,1310,1322,1305,1318,638689
20-Dec-13,1302,1315,1297,1309,2440418
19-Dec-13,1290,1300,1272,1300,935353
18-Dec-13,1300,1302,1279,1280,1223086
17-Dec-13,1283,1295,1280,1293,1159588
16-Dec-13,1279,1288,1278,1288,627070
13-Dec-13,1270,1288,1270,1281,1092081
12-Dec-13,1283,1284,1264,1271,1515916
11-Dec-13,1287,1302,1286,1286,1243672
10-Dec-13,1279,1288,1276,1286,1058404
9-Dec-13,1291,1295,1286,1286,836275
6-Dec-13,1290,1294,1283,1290,1033459
5-Dec-13,1288,1301,1282,1287,1212206
4-Dec-13,1320,1335,1294,1295,2080762
3-Dec-13,1341,1348,1330,1332,1390034
2-Dec-13,1350,1352,1338,1343,1127588
29-Nov-13,1349,1357,1347,1350.68,1233371
28-Nov-13,1350,1360,1348,1352,1262967
27-Nov-13,1341,1354,1341,1350,1313158
26-Nov-13,1341,1348,1337,1341,2214861
25-Nov-13,1342,1350,1338,1341,1448698
