Date,Open,High,Low,Close,Volume
27-May-14,1333,1349,1324,1345,778474
23-May-14,1338,1346,1317,1321,831528
22-May-14,1348,1355,1331,1340,796545
21-May-14,1339,1351,1323,1342,899208
20-May-14,1331,1347,1321.9,1338,793467
19-May-14,1334,1347,1306,1325,1155028
16-May-14,1347,1355.38,1293,1330,2010120
15-May-14,1387,1402,1330,1344,1416883
14-May-14,1404,1404,1372,1385,897324
13-May-14,1372,1405,1372,1404,1092318
12-May-14,1360,1368,1356.18,1360,589491
9-May-14,1371,1371,1341,1355,1050606
8-May-14,1363,1371,1352,1371,904401
7-May-14,1371,1376,1340,1360,1202374
6-May-14,1359,1400,1350,1378,3183079
2-May-14,1333,1346,1317,1327,1661013
1-May-14,1311,1328,1297,1324,558931
30-Apr-14,1301,1320,1293,1312,1858928
29-Apr-14,1300,1312,1295,1305,1372798
28-Apr-14,1319,1331,1296,1307.59,1287721
25-Apr-14,1316,1330,1298,1318,2037273
24-Apr-14,1328,1337,1305,1320,2051495
23-Apr-14,1327,1331.55,1310,1317.51,1568475
22-Apr-14,1296,1326,1292.42,1325,1152608
17-Apr-14,1275,1298,1262,1292,1391931
16-Apr-14,1305,1322.63,1265,1275,1446290
15-Apr-14,1281,1319,1263,1265,1007721
14-Apr-14,1305,1311,1254,1279,1052108
11-Apr-14,1322,1328.84,1301,1315,1458860
10-Apr-14,1335,1346,1316,1342,1559319
9-Apr-14,1283,1325,1283,1320,1080999
8-Apr-14,1294,1301.07,1241.48,1280,1752330
7-Apr-14,1331,1338,1284,1292,956898
4-Apr-14,1362,1366,1339,1346,702829
3-Apr-14,1359,1370,1348,1361,659207
2-Apr-14,1367,1376,1357,1364,630498
1-Apr-14,1350,1368.25,1344,1365.98,692434
31-Mar-14,1371,1378,1344,1346,804538
28-Mar-14,1347,1364.27,1339,1364,815059
27-Mar-14,1345,1348,1323,1340,592837
26-Mar-14,1340,1362,1333,1353,739235
25-Mar-14,1322,1352,1321.4,1333,869907
24-Mar-14,1331,1343,1315,1318,947903
21-Mar-14,1351,1352,1331,1333,3633597
20-Mar-14,1367,1375,1342,1352,1280019
19-Mar-14,1397,1414,1374,1377,1340325
18-Mar-14,1360,1386,1356.72,1367,1451847
17-Mar-14,1352,1406.57,1348,1361,2716850
14-Mar-14,1295,1317,1278,1313,1348705
13-Mar-14,1320,1334,1301,1307,1108343
12-Mar-14,1313,1323,1301,1316,1803114
11-Mar-14,1325,1332,1315,1320,1289668
10-Mar-14,1392,1394,1325,1329,1985284
7-Mar-14,1421,1421,1393,1393,1027317
6-Mar-14,1436,1446,1404,1417,1127131
5-Mar-14,1452,1462,1392,1433,2391504
4-Mar-14,1444,1476,1438,1469,1954373
3-Mar-14,1427,1460,1419,1431,1297138
28-Feb-14,1460,1468,1439,1446,1081335
27-Feb-14,1438,1463,1437,1462,1204739
26-Feb-14,1478,1479,1427,1435,1153590
25-Feb-14,1505,1508,1446,1463,2324813
24-Feb-14,1464,1471,1445,1471,1770729
21-Feb-14,1440,1471,1438,1464,1108369
20-Feb-14,1409,1438,1393,1437,988870
19-Feb-14,1440,1442,1412,1417,934711
18-Feb-14,1422,1448,1412,1444,956035
17-Feb-14,1389,1415,1387,1415,887276
14-Feb-14,1388,1392,1378,1385,730927
13-Feb-14,1383,1394,1372,1386,957581
12-Feb-14,1430,1431,1387,1390,1483617
11-Feb-14,1397,1434,1397,1434,1222814
10-Feb-14,1389,1396,1378,1393,662411
7-Feb-14,1346,1391,1346,1385,1268188
6-Feb-14,1308,1350,1305,1340,771940
5-Feb-14,1288,1317,1277,1301,872760
4-Feb-14,1289,1317,1283,1287,768564
3-Feb-14,1312,1331,1296,1300,681617
31-Jan-14,1287,1322,1272,1313,793082
30-Jan-14,1279,1304,1275,1294.52,628350
29-Jan-14,1298,1327,1261,1299.01,900823
28-Jan-14,1251,1297,1250,1292,502683
27-Jan-14,1265,1267,1237,1250,723993
24-Jan-14,1311,1320,1261,1264,812105
23-Jan-14,1323,1349,1307,1310,517884
22-Jan-14,1343,1348,1312,1326,728659
21-Jan-14,1334,1354,1331,1336,597188
20-Jan-14,1343,1355,1338,1342,381901
17-Jan-14,1333,1350,1329,1340,651853
16-Jan-14,1337,1345,1323,1328,653068
15-Jan-14,1338,1349,1329,1333,630472
14-Jan-14,1339,1341,1322,1336,741300
13-Jan-14,1356,1360,1337,1346,876887
10-Jan-14,1285,1356,1283,1354,1273467
9-Jan-14,1295,1303,1269,1274,830641
8-Jan-14,1325,1343,1280,1289,1499035
7-Jan-14,1291,1299,1275,1294,641167
6-Jan-14,1267,1294,1255,1290,861717
3-Jan-14,1251,1266,1240,1259,583413
2-Jan-14,1250,1261,1227,1256,799360
31-Dec-13,1216,1250,1216,1239,321001
