Date,Open,High,Low,Close,Volume
27-May-14,1248,1256,1246,1250,980411
23-May-14,1246,1263,1207,1249.94,834894
22-May-14,1223,1254,1220,1239.94,1563441
21-May-14,1210,1228,1210,1220,773475
20-May-14,1195,1202,1188,1193.94,608148
19-May-14,1190,1202,1182,1193,584976
16-May-14,1195,1199.26,1159.36,1187,799542
15-May-14,1213,1217.27,1173,1180,796195
14-May-14,1228,1247,1205,1208,834955
13-May-14,1220,1222,1203,1217,1015905
12-May-14,1182,1219,1176,1218,1728091
9-May-14,1180,1209,1142,1177,4567982
8-May-14,1425,1429,1378,1388,1197329
7-May-14,1443,1450,1413,1421,856730
6-May-14,1467,1483,1438,1448,759393
2-May-14,1452,1468,1451,1463,426866
1-May-14,1462,1465,1450.79,1454,185630
30-Apr-14,1458,1472.79,1450,1453,854192
29-Apr-14,1446,1460,1443,1459.15,713605
28-Apr-14,1443,1455,1441,1444,935242
25-Apr-14,1439,1449,1432.62,1443,785067
24-Apr-14,1411,1443,1411,1438,678954
23-Apr-14,1407,1417,1405,1408,494213
22-Apr-14,1405,1414,1398.85,1408,440523
17-Apr-14,1397,1404,1379.72,1404,537479
16-Apr-14,1393,1417,1389,1395,887444
15-Apr-14,1416,1424,1385,1407,867302
14-Apr-14,1397,1413,1380,1413,681461
11-Apr-14,1405,1409,1387,1403,574966
10-Apr-14,1415,1425,1405,1415,696763
9-Apr-14,1398,1430,1396,1413,895999
8-Apr-14,1405,1413,1380,1393,986994
7-Apr-14,1416,1416,1404,1408,520058
4-Apr-14,1423,1430,1417,1423.16,609944
3-Apr-14,1430,1436,1416,1420,479750
2-Apr-14,1440,1441.56,1420,1425,646329
1-Apr-14,1443,1446,1432,1439.68,614883
31-Mar-14,1424,1441,1419,1438,752608
28-Mar-14,1436,1439.85,1404,1416,992922
27-Mar-14,1436,1443,1419,1432,631440
26-Mar-14,1443,1450,1433,1440,1006544
25-Mar-14,1398,1434,1391,1434,900097
24-Mar-14,1412,1414,1380,1392,1056949
21-Mar-14,1389,1417,1389,1406,1193765
20-Mar-14,1372,1396.15,1365.38,1393,888954
19-Mar-14,1382,1393,1368,1376,971471
18-Mar-14,1362,1381,1353,1378,583507
17-Mar-14,1358,1378,1355.62,1366,730257
14-Mar-14,1348,1354,1322,1349,859763
13-Mar-14,1357,1365,1347,1353.8,931231
12-Mar-14,1343,1362,1341,1352,853071
11-Mar-14,1357,1364,1324,1348,1262154
10-Mar-14,1402,1402,1355,1357,876785
7-Mar-14,1381,1420,1373,1405,1059598
6-Mar-14,1374,1380,1360,1378,1074666
5-Mar-14,1369,1388,1365,1366,931261
4-Mar-14,1362,1380,1356,1380,796289
3-Mar-14,1350,1368,1336,1348,854117
28-Feb-14,1374,1374,1360,1368,896084
27-Feb-14,1379,1379,1337,1371,1033166
26-Feb-14,1385,1385,1332,1350,937923
25-Feb-14,1371,1372,1343,1367,1278611
24-Feb-14,1384,1394,1338,1366.28,988442
21-Feb-14,1378,1380,1355,1379,841485
20-Feb-14,1332,1383,1331,1360,1256131
19-Feb-14,1347,1357,1313,1330,1359956
18-Feb-14,1328,1347,1325,1347,1054252
17-Feb-14,1318,1344,1308,1318,741934
14-Feb-14,1300,1317,1278,1317,1149068
13-Feb-14,1280,1287,1262,1265,1060832
12-Feb-14,1270,1294,1262,1274,1122854
11-Feb-14,1238,1270,1238,1261,992405
10-Feb-14,1225,1247,1215,1232,933421
7-Feb-14,1199,1201,1189,1195,535285
6-Feb-14,1203,1205,1184,1198,684221
5-Feb-14,1184,1195,1173,1190,624073
4-Feb-14,1170,1191,1162,1182,715774
3-Feb-14,1151,1182,1151,1175,668660
31-Jan-14,1186,1190,1150,1155,802316
30-Jan-14,1164,1192,1155,1184,831406
29-Jan-14,1174,1177,1148,1157,912204
28-Jan-14,1166,1171,1146,1155,561294
27-Jan-14,1165,1167,1147,1160,657925
24-Jan-14,1206,1206,1166,1170.17,800309
23-Jan-14,1242,1251,1195,1203,1131437
22-Jan-14,1253,1266,1242,1242,495771
21-Jan-14,1257,1266,1241,1248,656397
20-Jan-14,1265,1268,1247,1258,503991
17-Jan-14,1293,1293,1258,1263,1038405
16-Jan-14,1256,1264,1248,1251,457105
15-Jan-14,1270,1283,1252,1256,581819
14-Jan-14,1248,1274,1240,1259,629264
13-Jan-14,1242,1262,1239,1258,924534
10-Jan-14,1232,1248,1225,1243,870741
9-Jan-14,1232,1233,1221,1227,611888
8-Jan-14,1234,1244,1214,1222,797820
7-Jan-14,1230,1235,1217,1228,497669
6-Jan-14,1251,1252,1223,1231,797904
3-Jan-14,1225,1229,1215,1221,532843
2-Jan-14,1223,1227,1208,1221,578003
31-Dec-13,1226,1243,1192,1224,319855
30-Dec-13,1206,1224,1203,1220,559012
27-Dec-13,1194,1210,1174,1202,665155
24-Dec-13,1187,1200,1171,1187,131225
23-Dec-13,1158,1184,1154,1182,574867
20-Dec-13,1144,1157,1121,1154,1199169
19-Dec-13,1104,1142,1102,1140,1358263
18-Dec-13,1110,1112,1080,1089,1138547
17-Dec-13,1146,1150,1110,1110,953044
16-Dec-13,1150,1162,1144,1153,684676
13-Dec-13,1137,1161,1135,1148,729496
12-Dec-13,1187,1191,1110,1142,1385709
11-Dec-13,1177,1197,1168,1189,556913
10-Dec-13,1171,1183,1167,1170,403204
9-Dec-13,1180,1193,1164,1174,844312
6-Dec-13,1153,1208,1151,1194,1439704
5-Dec-13,1190,1194,1144,1152,1627039
4-Dec-13,1231,1232,1194,1196,822563
3-Dec-13,1236,1236,1190,1207,1014197
2-Dec-13,1267,1268,1231,1233,799338
29-Nov-13,1281,1281,1256,1266,832465
28-Nov-13,1240,1259,1240,1258,440268
27-Nov-13,1236,1245,1233,1240,872936
26-Nov-13,1220,1245,1215,1239,1214514
25-Nov-13,1194,1245,1194,1212,950762
22-Nov-13,1185,1211,1185,1191,911089
21-Nov-13,1185,1197,1176,1184,812985
20-Nov-13,1167,1185,1159,1185,1468737
19-Nov-13,1210,1210,1161,1166.82,1874132
18-Nov-13,1244,1270,1189,1215.79,3334701
15-Nov-13,1418,1442,1417,1439,491721
14-Nov-13,1415,1430,1408,1418,424868
13-Nov-13,1422,1426,1403,1403,366536
12-Nov-13,1441,1442,1410,1424,449140
11-Nov-13,1450,1456,1443,1444,299977
8-Nov-13,1440,1451,1436,1445,295007
7-Nov-13,1451,1474,1442,1452,480915
6-Nov-13,1446,1465,1440,1458,348927
5-Nov-13,1448,1457,1426,1440,489412
4-Nov-13,1443,1450,1437,1443,630885
1-Nov-13,1468,1471,1433,1442,481909
31-Oct-13,1470,1474,1438,1463,929315
30-Oct-13,1501,1525,1476,1478,923002
29-Oct-13,1479,1491,1466,1468,539005
28-Oct-13,1460,1476,1458,1473,514110
25-Oct-13,1459,1477,1459,1471,379124
24-Oct-13,1431,1462,1429,1462,477099
23-Oct-13,1438,0,1417,1424,464034
22-Oct-13,1440,1444,1427,1438,280858
21-Oct-13,1413,1445,1413,1442,402776
18-Oct-13,1392,1415,1380,1415,461938
17-Oct-13,1400,1409,1385,1388,282692
16-Oct-13,1404,1414,1389,1409,334245
15-Oct-13,1371,1416,1368,1410,484869
14-Oct-13,1364,1375,1355,1360,307688
11-Oct-13,1368,1374,1354,1371,365476
10-Oct-13,1339,1362,1336,1361,455931
9-Oct-13,1335,1336,1315,1336,677446
8-Oct-13,1368,1375,1340,1341,495116
7-Oct-13,1375,1380,1362,1373,391146
4-Oct-13,1397,1399,1372,1380,548583
3-Oct-13,1407,1415,1399,1415,380648
2-Oct-13,1407,1415,1404,1413,537274
1-Oct-13,1410,1417,1395,1415,881864
30-Sep-13,1393,1405,1391,1405,838686
27-Sep-13,1399,1412,1393,1410,877135
26-Sep-13,1408,1411,1399,1400,692237
25-Sep-13,1408,1413,1400,1406,705533
24-Sep-13,1405,1409,1384,1409,596595
20-Sep-13,1401,1420,1398,1418,1111112
19-Sep-13,1359,1430,1354,1412,1396077
18-Sep-13,1379,1382,1346,1349,585338
17-Sep-13,1393,1402,1388,1388,518045
16-Sep-13,1408,1412,1398,1403,374731
13-Sep-13,1400,1410,1389,1390,505605
12-Sep-13,1412,1416,1406,1412,432143
11-Sep-13,1407,1426,1406,1411,625171
10-Sep-13,1402,1414,1398,1406,906363
9-Sep-13,1412,1418,1396,1397,416880
6-Sep-13,1420,1426,1408,1416,583451
5-Sep-13,1417,1429,1404,1425,979085
4-Sep-13,1403,1421,1390,1418,1117631
3-Sep-13,1408,1412,1385,1396,792282
2-Sep-13,1388,1412,1382,1410,946525
30-Aug-13,1421,1421,1384,1385,905939
29-Aug-13,1375,1439,1372,1423,1521184
28-Aug-13,1375,1408,1360,1375,1696293
27-Aug-13,1311,1384,1304,1373,2798835
23-Aug-13,1249,1267,1234,1265,771064
22-Aug-13,1236,1244,1222,1242,971024
21-Aug-13,1263,1267,1227,1234,790730
20-Aug-13,1245,1265,1227,1263,668346
19-Aug-13,1248,1275,1244,1262,528235
16-Aug-13,1235,1249,1225,1245,626341
15-Aug-13,1272,1272,1232,1235,600176
14-Aug-13,1294,1299,1272,1273,488821
13-Aug-13,1275,1301,1272,1292,435464
12-Aug-13,1277,1280,1264,1274,286041
9-Aug-13,1261,1281,1251,1275,576056
8-Aug-13,1259,1277,1253,1260,767139
7-Aug-13,1252,1268,1243,1252,586900
6-Aug-13,1271,1273,1247,1253,570213
5-Aug-13,1290,1304,1261,1273,564668
2-Aug-13,1340,1340,1287,1290,569881
1-Aug-13,1317,1342,1317,1340,591271
31-Jul-13,1302,1326,1297,1313,614414
30-Jul-13,1310,1319,1304,1309,363845
29-Jul-13,1284,1315,1284,1308,393137
26-Jul-13,1290,1312,1285,1287,456849
25-Jul-13,1311,1316,1282,1285,473797
24-Jul-13,1317,1320,1308,1315,544392
23-Jul-13,1308,1318,1304,1314,494779
22-Jul-13,1304,1315,1295,1301,292536
19-Jul-13,1286,1297,1274,1294,637354
18-Jul-13,1275,1293,1263.88,1289,688831
17-Jul-13,1266,1282,1263,1274,421442
16-Jul-13,1268,1277,1263.18,1266,479668
15-Jul-13,1295,1298,1266,1269,809803
12-Jul-13,1321,1322.85,1291,1294,912368
11-Jul-13,1310,1332,1310,1321,765484
10-Jul-13,1310,1321.99,1290,1302,927844
9-Jul-13,1266,1289,1264,1286,724693
8-Jul-13,1254,1259,1243,1252,464262
5-Jul-13,1230,1254,1225,1237,508823
4-Jul-13,1205,1235,1193,1227,615962
3-Jul-13,1188,1199.75,1174,1194,550256
2-Jul-13,1213,1215.87,1192,1195,493552
1-Jul-13,1224,1225,1196.8,1211,710028
28-Jun-13,1208,1212,1184.68,1198,1049488
27-Jun-13,1199,1225,1194.2,1199,1010748
26-Jun-13,1226,1227.75,1194,1205,1108841
25-Jun-13,1250,1250,1159.05,1219,1660949
24-Jun-13,1248,1253,1216,1234,611009
21-Jun-13,1275,1279.7,1246,1248,1341106
20-Jun-13,1291,1296.55,1272.83,1274,519731
19-Jun-13,1316,1330,1310,1310,461285
18-Jun-13,1284,1321,1284,1316,742140
17-Jun-13,1293,1324,1273,1288,996136
14-Jun-13,1306,1350,1302,1324,971626
13-Jun-13,1288,1301,1256,1297,1040782
12-Jun-13,1288,1296.5,1254,1261,645116
11-Jun-13,1298,1304,1273,1287,851526
10-Jun-13,1303,1309,1293,1299,404732
7-Jun-13,1284,1307.61,1272.8,1301,552216
6-Jun-13,1306,1313,1281,1284,606029
5-Jun-13,1330,1348.49,1310,1310,810021
4-Jun-13,1345,1355,1333,1337,664195
3-Jun-13,1347,1355,1334.64,1337,544065
31-May-13,1383,1386.28,1350.61,1351,865179
30-May-13,1392,1399.5,1375,1379,762957
29-May-13,1386,1412,1370,1395.01,799465
28-May-13,1357,1402,1356.78,1389,851325
24-May-13,1356,1366,1331,1340,564400
23-May-13,1377,1389,1342,1350,986667
22-May-13,1395,1413,1388,1403,623197
21-May-13,1356,1395,1356,1395,847621
20-May-13,1346,1373,1334,1361,883356
17-May-13,1352,1352,1315,1325,1506442
16-May-13,1325,1347,1297,1325,2162203
15-May-13,1387,1387,1359,1362,810034
14-May-13,1392,1395,1367,1382,629460
13-May-13,1399,1416,1387,1392,778369
10-May-13,1425,1430,1386,1394,972517
9-May-13,1401,1465,1401,1428,718536
8-May-13,1383,1418,1382,1404,472438
7-May-13,1412,1420.33,1365,1377,960759
3-May-13,1351,1406.64,1350,1404,981515
