Date,Open,High,Low,Close,Volume
27-May-14,510.50,536.00,506.50,519.50,1177486
23-May-14,502.00,511.50,492.30,508.50,1321971
22-May-14,545.00,550.00,507.00,510.50,912197
21-May-14,557.50,557.50,538.03,543.00,239699
20-May-14,561.00,576.50,549.00,553.00,159558
19-May-14,565.00,575.00,551.00,556.00,239276
16-May-14,561.00,564.00,539.00,560.00,227030
15-May-14,570.00,589.50,557.00,557.00,243925
14-May-14,570.00,580.00,561.53,569.50,233127
13-May-14,569.00,589.50,560.50,566.50,198875
12-May-14,560.00,583.50,560.00,567.00,244319
9-May-14,559.00,568.50,548.00,552.50,120340
8-May-14,564.50,577.00,561.00,562.00,157690
7-May-14,557.50,564.00,547.00,560.00,170946
6-May-14,554.50,560.50,543.00,558.00,228345
2-May-14,540.00,562.00,540.00,562.00,226388
1-May-14,554.00,561.20,540.50,548.00,127959
30-Apr-14,599.50,599.50,550.00,566.00,434217
29-Apr-14,586.50,593.50,578.00,588.00,155226
28-Apr-14,592.50,592.50,580.00,585.00,213818
25-Apr-14,600.00,608.50,586.50,591.50,249935
24-Apr-14,605.00,619.50,597.00,610.50,402649
23-Apr-14,602.50,617.00,601.00,605.00,237984
22-Apr-14,617.50,617.50,601.00,608.00,216157
17-Apr-14,609.00,617.90,595.50,613.50,193444
16-Apr-14,625.00,628.00,605.00,614.50,234026
15-Apr-14,639.00,639.00,607.00,615.00,343033
14-Apr-14,616.00,641.50,609.00,641.00,299726
11-Apr-14,612.50,622.00,603.50,612.50,174457
10-Apr-14,617.50,622.50,612.00,620.00,352875
9-Apr-14,635.50,640.50,601.29,609.50,482714
8-Apr-14,632.00,642.00,623.50,632.55,691382
7-Apr-14,617.50,632.50,613.00,624.50,332138
4-Apr-14,596.50,632.62,596.50,626.00,432934
3-Apr-14,634.50,642.00,601.50,605.00,569039
2-Apr-14,635.00,645.00,609.50,638.00,425581
1-Apr-14,619.00,642.00,619.00,641.50,237445
31-Mar-14,605.00,633.50,596.00,620.50,368227
28-Mar-14,609.50,617.50,588.00,615.50,305789
27-Mar-14,598.50,608.02,585.00,601.00,372188
26-Mar-14,593.50,615.35,593.50,603.00,484193
25-Mar-14,605.50,612.00,580.00,595.00,614936
24-Mar-14,629.50,630.50,608.50,610.00,307447
21-Mar-14,616.50,637.50,616.00,626.50,638918
20-Mar-14,611.00,620.00,599.50,614.00,448125
19-Mar-14,629.50,636.50,606.50,612.00,509918
18-Mar-14,625.50,639.50,607.50,636.00,545778
17-Mar-14,573.50,627.50,568.10,622.00,1040802
14-Mar-14,549.50,572.50,540.00,569.50,463896
13-Mar-14,561.00,566.50,551.50,557.50,473344
12-Mar-14,562.00,567.50,544.50,559.00,371155
11-Mar-14,556.50,562.50,545.00,553.50,575885
10-Mar-14,565.00,566.00,543.50,550.56,497917
7-Mar-14,597.00,601.50,562.00,565.00,535335
6-Mar-14,564.50,601.50,564.50,591.00,521540
5-Mar-14,568.00,572.00,550.50,568.50,534557
4-Mar-14,580.00,585.00,565.00,579.00,1230876
3-Mar-14,618.00,629.00,556.50,560.50,1711366
28-Feb-14,657.00,657.00,629.50,633.50,382103
27-Feb-14,635.50,650.00,629.50,650.00,397241
26-Feb-14,649.00,660.00,640.00,640.00,318946
25-Feb-14,663.00,663.00,640.00,656.00,861996
24-Feb-14,661.50,662.00,645.50,660.50,315134
21-Feb-14,638.50,664.00,638.50,660.00,441565
20-Feb-14,650.50,650.50,630.50,641.00,594555
19-Feb-14,672.50,677.50,654.00,660.00,831530
18-Feb-14,681.50,681.50,655.50,671.00,947393
17-Feb-14,666.50,690.00,666.50,684.00,946865
14-Feb-14,639.00,661.50,639.00,657.50,585633
13-Feb-14,638.00,639.50,617.00,636.50,740628
12-Feb-14,637.00,645.00,627.00,642.00,872343
11-Feb-14,617.50,631.00,612.00,630.00,1372357
10-Feb-14,600.50,605.00,598.00,604.00,496457
7-Feb-14,592.00,596.00,583.00,593.50,381095
6-Feb-14,597.00,600.00,582.50,590.22,505832
5-Feb-14,582.00,596.00,570.00,592.00,557624
4-Feb-14,577.00,589.00,569.50,584.00,545462
3-Feb-14,578.00,592.00,575.50,582.00,865184
31-Jan-14,583.00,593.00,568.50,577.50,772101
30-Jan-14,601.00,601.00,575.00,590.37,658864
29-Jan-14,600.50,609.00,588.50,600.50,931033
28-Jan-14,601.00,606.00,585.50,590.00,587766
27-Jan-14,594.00,610.00,586.50,601.50,1294494
24-Jan-14,582.50,603.50,565.50,596.00,1436123
23-Jan-14,556.00,587.00,548.00,586.00,953589
22-Jan-14,575.00,581.00,557.00,558.50,602708
21-Jan-14,577.00,599.00,565.50,569.50,958096
20-Jan-14,543.50,570.50,541.50,570.00,852117
17-Jan-14,545.50,558.00,528.00,539.00,2234914
16-Jan-14,525.00,554.00,517.00,543.50,1647957
15-Jan-14,534.50,537.50,501.00,514.00,1146259
14-Jan-14,529.00,542.50,522.00,531.55,980446
13-Jan-14,529.50,545.00,525.50,535.50,659274
10-Jan-14,530.50,547.00,527.50,530.00,788316
9-Jan-14,566.50,567.50,527.00,528.00,1043470
8-Jan-14,569.00,578.50,552.00,572.00,873918
7-Jan-14,569.00,582.50,551.50,569.00,978799
6-Jan-14,588.00,588.00,561.00,564.50,871777
3-Jan-14,586.00,602.00,573.50,591.00,538157
2-Jan-14,573.50,594.00,566.00,584.50,798923
31-Dec-13,573.00,587.00,572.50,575.00,126110
30-Dec-13,562.00,583.50,559.00,577.50,620435
27-Dec-13,531.00,576.00,520.00,565.00,914100
24-Dec-13,498.00,546.00,498.00,530.00,336175
23-Dec-13,489.10,516.00,475.90,511.50,1402042
20-Dec-13,512.00,512.00,470.40,493.30,3354063
19-Dec-13,525.00,526.50,500.00,516.00,1062053
18-Dec-13,498.80,526.50,498.80,517.50,926263
17-Dec-13,508.00,510.50,495.30,506.00,723125
16-Dec-13,498.10,518.00,491.70,512.50,607773
13-Dec-13,494.20,502.50,486.60,496.30,556179
12-Dec-13,494.30,503.50,481.00,498.20,1291191
11-Dec-13,518.00,518.00,494.30,496.90,657990
10-Dec-13,507.50,524.00,499.50,514.00,951867
9-Dec-13,503.50,514.50,481.40,507.00,1045205
6-Dec-13,484.10,504.00,477.70,498.20,1203421
5-Dec-13,489.00,513.50,470.00,477.30,1085048
4-Dec-13,503.00,515.00,482.20,500.50,910111
3-Dec-13,504.00,509.00,473.80,498.00,2387685
2-Dec-13,531.50,541.00,509.00,510.00,477699
29-Nov-13,540.00,550.50,528.50,533.50,380677
28-Nov-13,532.00,546.50,526.50,543.50,454110
27-Nov-13,503.50,533.00,503.50,527.00,904211
26-Nov-13,517.50,519.00,500.00,507.00,418700
25-Nov-13,521.00,531.00,508.50,511.00,431237
22-Nov-13,521.50,528.50,500.00,524.00,760126
21-Nov-13,543.00,543.00,513.00,520.00,516537
20-Nov-13,549.50,560.50,535.50,541.00,385928
19-Nov-13,552.00,567.00,540.00,556.00,365714
18-Nov-13,550.00,567.00,543.50,556.00,257896
15-Nov-13,551.50,573.50,551.00,558.00,594277
14-Nov-13,545.00,561.50,543.00,557.00,950417
13-Nov-13,541.00,552.00,525.00,545.00,1021413
12-Nov-13,558.00,559.50,530.00,536.50,600078
11-Nov-13,568.50,572.00,559.50,567.50,351371
8-Nov-13,577.00,590.50,559.00,567.50,645565
7-Nov-13,569.00,610.50,569.00,587.00,751060
6-Nov-13,591.50,601.00,573.00,577.50,644138
5-Nov-13,576.50,602.00,575.50,595.50,597138
4-Nov-13,562.50,582.50,562.50,571.50,508134
1-Nov-13,598.00,598.50,560.00,566.50,494093
31-Oct-13,613.00,615.50,594.50,599.50,569353
30-Oct-13,609.00,622.00,609.00,622.00,343564
29-Oct-13,608.50,623.50,608.50,616.00,567808
28-Oct-13,619.50,621.00,601.50,618.50,385062
25-Oct-13,618.00,629.50,610.00,612.50,557801
24-Oct-13,610.00,612.50,599.00,606.50,306456
23-Oct-13,605.00,-,594.00,597.50,645426
